Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Super-class,Class,Sub-class,Super-order,Order,Sub-order,Superfamily,Family,Subfamily,Origin,Status,Reporting,Documented,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,First Documented,Documenter,iNaturalist Link,iNaturalist photo,Notes,ID,Stats Code,
Sceliphron caementarium,Drury,yellow-legged mud-dauber wasp,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Sphecidae,Sceliphrinae,,not in CDC records,confirmed,documented,2015-06-26,SEM Team,UBC,SEM-UBC HYM-10942,2018-06-29,thuja,https://www.inaturalist.org/observations/13899616,https://static.inaturalist.org/photos/20529699/medium.jpeg?1530321265,,121821,,
Schizura ipomaeae,Doubleday,morning-glory prominent,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Notodontidae,Heterocampinae,,genus is in CDC records,new 2019,documented,,,,,2019-07-12,benkeen,https://www.inaturalist.org/observations/28671023,https://static.inaturalist.org/photos/44709024/medium.jpeg?1562941457,,204014,,
Scoliopteryx libatrix,L.,the herald,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Scoliopteryginae,Native,S5 (2017) ,new 2019,documented,,,,,2019-07-21,benkeen,https://www.inaturalist.org/observations/29227616,https://static.inaturalist.org/photos/45606176/medium.jpeg?1563696632,,134078,,
Scoparia biplagialis,Walker,double-striped Scoparia moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Scopariinae,Native,SNR (2017) ,confirmed,documented,1937-08-27,unrecorded online,RBCM,ENT991-142849,2019-06-27,benkeen,https://www.inaturalist.org/observations/27791878,https://static.inaturalist.org/photos/43279116/medium.jpeg?1561689825,"historical record S. biplagialis pacificalis, West Vancouver",146963,,
Selatosomus montanus,(W.J. Brown),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateridae,,,Unknown,SU (2017) ,reported,undocumented,1955-08-08,R. Stace-Smith,UBC,SEM-UBC COL-30259,,,,,,456435,,
Sepedon sp.,Latreille,snail-killing flies,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Sciomyzoidea,Sciomyzidae,,,genus not in CDC records,new 2019,documented,,,,,2019-09-07,benkeen,https://www.inaturalist.org/observations/32304090,https://static.inaturalist.org/photos/50652502/medium.jpeg?1567895028,,334891,,
Sericomyia chalcopyga,Loew,western pond fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Syrphidae,Eristalinae,,not in CDC records,confirmed,documented,1975-05-05,H.A. Wilson,UBC,SEM-UBC SYR-5583,2018-08-18,citizen1,https://www.inaturalist.org/observations/15756198,https://static.inaturalist.org/photos/23534409/medium.jpg?1534866982,,68132,,
Sigara lineata,(Forester),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,,Corixidae,,,not in CDC records,reported,undocumented,1927-05-10,G.S. Walley,UBC,SEM-UBC COR-2914,,,,,,230898,,
Smerinthus cerisyi,Kirby,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Sphingidae,,Native,SNR,reported,undocumented,1955-08-18,J.R. Pinkerton,UBC,SEM-UBC SPH-0059,,,,,,119492,,
Somatochlora albicincta,(Burmeister),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Corduliidae,,Native,S5 (2015) ,reported,undocumented,1996-08-08,S.G. Cannings,RBCM,ENT001-003522,,,,,historical record Cypress PP,112782,,
Somatochlora semicircularis,(Selys),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Corduliidae,,Native,S5 (2015),reported,undocumented,1983-08-27,S.G. Cannings,UBC,SEM-UBC ODO-5352,,,,,,112806,,
Spargania magnoliata,Guenée,double-banded carpet moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,Anisppterr,Geometroidea,Geometridae,Larentiinae,Native,S4S5 (2017),new 2017,documented,,,,,2017-09-23,elsemikkelsen,https://www.inaturalist.org/observations/9190440,https://static.inaturalist.org/photos/12439708/medium.jpg?1513582953,,231256,,
Speyeria hydaspe,Boisduval,Hydaspe fritillary,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Heliconiinae,Native,S5 (2013),recorded,undocumented,1980-08-25,unrecorded online,RBCM,ENT989-009406,,,,,historical record Squamish;Diamond Head,68266,,
Speyeria sp.,Scudder,greater fritillaries,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,Anispptery,Papilionoidea,Nymphalidae,Heliconiinae,,genus is in CDC records,new 2018,documented,,,,,2018-07-03,judithofsquamish,https://www.inaturalist.org/observations/14190640,https://static.inaturalist.org/photos/21044003/medium.jpeg?1531106868,,47981,,
Sphaerites politus,Mannerheim,hairy spider weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Hydrophiloidea,Sphaeritidae,,Unknown,SU (2017),recorded,undocumented,1981-08-01,R.J. Cannings,UBC,SEM-UBC COL-18039,,,,,,361545,,
Spilomelinae,,a subfamily of Crambid Snout Moths,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Spilomelinae,,n/a,new 2019,documented,,,,,2019-07-14,benkeen,https://www.inaturalist.org/observations/28836743,https://static.inaturalist.org/photos/44977284/medium.jpeg?1563150764,,122486,,
Spilomyia interrupta,Williston,interrupted hornet fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Syrphidae,Eristalinae,,not in CDC records,recorded,undocumented,1934-08-19,unrecorded online,RBCM,ENT991-119099,,,,,historical record West Vancouver,320510,,
Spilosoma virginica,Fabricius,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Arctiinae,Native,SNR,recorded,undocumented,1937-06-28,unrecorded online,RBCM,ENT991-124173,,,,,historical record West Vancouver,60839,,
Stamnoctenis pearsalli,Swett,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S3S5 (2017) ,recorded,undocumented,1936-08-09,unrecorded online,RBCM,ENT991-104815,,,,,historical record West Vancouver,452688,,
Stenoporpia excelsaria,Strecker,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,Anistptern,Geometroidea,Geometridae,Ennominae,Native,S4S5 (2017),new 2019,documented,,,,,2019-06-04,benkeen,https://www.inaturalist.org/observations/26405751,https://static.inaturalist.org/photos/40999223/medium.jpeg?1559682343,,452659,,
Stenoporpia pulmonaria,Grote,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,Anistptern,Geometroidea,Geometridae,Ennominae,Native,S4S5 (2017),confirmed,documented,1935-08-16,unrecorded online,RBCM,ENT991-127398,2016-08-21,elsemikkelsen,https://www.inaturalist.org/observations/7437343,https://static.inaturalist.org/photos/9668668/medium.jpg?1502392818,"historical record S. pulmonaria albescens, West Vancouver",231577,,
Stenotus binotatus,Fabricius,two-spotted grass bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Mirinae,,not in CDC records,new 2019,documented,,,,,2019-07-16,benkeen,https://www.inaturalist.org/observations/28977453,https://static.inaturalist.org/photos/45200332/medium.jpeg?1563330107,,321690,,
Sthereus horridus,Mannerheim,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Molytinae,Unknown,SU (2017) ,new 2019,documented,,,,,2019-05-27,benkeen,https://www.inaturalist.org/observations/25927449,https://static.inaturalist.org/photos/40214621/medium.jpeg?1559019847,,361533,,
Strophosoma melanogrammum,Forster,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,Exotic,SNA (2017),new 2019,documented,,,,,2019-04-16,benkeen,https://www.inaturalist.org/observations/22594928,https://static.inaturalist.org/photos/35008734/medium.jpg?1555477397,,231837,,
Strymon melinus,Hübner,grey hairstreak,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,Anistptery,Papilionoidea,Lycaenidae,Theclinae,Native,S5 (2013,confirmed,documented,1936-06-03,unrecorded online,RBCM,ENT991-141357,2019-05-03,chrisob,https://www.inaturalist.org/observations/24995678,https://static.inaturalist.org/photos/38674618/medium.jpeg?1557671060,historical record West Vancouver,50931,,
Sunira decipiens,Grote,shield-backed cutworm moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,Anisupteri,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017),new 2019,documented,,,,,2019-10-01,benkeen,https://www.inaturalist.org/observations/33741045,https://static.inaturalist.org/photos/53025678/medium.jpeg?1569996418,,176068,,
