Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Super-class,Class,Sub-class,Super-order,Order,Sub-order,Superfamily,Family,Subfamily,Origin,Status,Reporting,Documented,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,First Documented,Documenter,iNaturalist Link,iNaturalist photo,Notes,ID,Stats Code,
Hololepida magna,Moore,giant fleshy scaleworm family,Animalia,Annelida,,,Polychaeta,Erantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Lepidonotinae,,not in CDC records,reported,undocumented,0000-00-00,,RBCM,976-00029-002,,,,,historical record Horseshoe Bay,0,,
Lumbricus terrestris,L.,common earthworm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,,,Lumbricidae,,Exotic,SNA (2019),new 2018,documented,,,,,2018-09-09,benkeen,https://www.inaturalist.org/observations/16374324,https://static.inaturalist.org/photos/24621127/medium.jpg?1536539520,,81545,,
Alopecosa kochi,Keyserling,Koch's wolf spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,Native,S5 (2018),new 2014,documented,,,,,2010-07-24,elsemikkelsen,https://www.inaturalist.org/observations/9235173,https://static.inaturalist.org/photos/12499164/medium.jpg?1513976420,,143470,,
Araneus diadematus,Clerck,cross orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,Exotic,SNA,new 2009,documented,,,,,2005-10-02,hillanddale,https://www.inaturalist.org/observations/8540621,https://static.inaturalist.org/photos/11409425/medium.jpeg?1508905114,,52628,,
Callobius severus,Simon,hacklemesh weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Amaurobioidea,Amaurobiidae,,Native,S5 (2018),new 2018,documented,,,,,2014-12-19,benkeen,https://www.inaturalist.org/observations/19130251,https://static.inaturalist.org/photos/29366496/medium.jpg?1545373240,,49549,,
Castianeira sp.,Keyserling,ant-mimic sac spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Corinnidae,,Exotic,SNA,new 2019,documented,,,,,2015-03-29,judithofsquamish,https://www.inaturalist.org/observations/21827468,https://static.inaturalist.org/photos/33815495/medium.jpeg?1554045368,,48134,,
Cheiracanthium mildei,C.L. Koch,yellow sac spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Cheiracanthiidae,,Exotic,SNA,new 2019,documented,,,,,2015-03-24,benkeen,https://www.inaturalist.org/observations/21616161,https://static.inaturalist.org/photos/33463920/medium.jpg?1553562775,,61869,,
Enoplognatha ovata,Clerck,common candy-striped spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,Exotic,SNA,new 2019,documented,,,,,2015-07-31,benkeen,https://www.inaturalist.org/observations/30021186,https://static.inaturalist.org/photos/46881869/medium.jpeg?1564714394,,219195,,
Eratigena duellica,C.L. Koch,giant house spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,,genus is in CDC records,new 2017,documented,,,,,2013-04-19,gwenlh,https://www.inaturalist.org/observations/8311370,https://static.inaturalist.org/photos/11035128/medium.jpg?1507478913,"CDC records only E. agrestis and E. atrica, both are Exotic",750907,,
Eriophyes emarginatae,Duluth,plum finger gall mite,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Endeostigmata,,Eriophyoidea,Eriophyidae,,,not in CDC records,new 2014,documented,,,,,2010-06-20,judithofsquamish,https://www.inaturalist.org/observations/8893748,https://static.inaturalist.org/photos/11966085/medium.jpeg?1511328565,,322964,,
Eris militaris,Hentz,bronze jumping spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Native,S4S5 (2018),new 2019,documented,,,,,2015-05-25,citizen1,https://www.inaturalist.org/observations/26099750,https://static.inaturalist.org/photos/40497835/medium.jpg?1559278501,,121445,,
Habronattus sp.,Peckham & Peckham,paradise spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,,genus is in CDC records,new 2019,documented,,,,,2015-07-19,benkeen,https://www.inaturalist.org/observations/29261558,https://static.inaturalist.org/photos/45657901/medium.jpeg?1563735299,,61881,,
Larinioides sclopetarius,Clerck,grey cross spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,Exotic,SNA,new 2015,documented,,,,,2015-07-04,benkeen,https://www.inaturalist.org/observations/28275245,https://static.inaturalist.org/photos/44066318/medium.jpeg?1562389743,,538959,,
Maevia inclemens,Walckenaer,dimorphic jumping spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae, ,not in CDC records,recorded,undocumented,2009-06-16, ,RBCM,ENT009-004643,,,,,Big Rideau Lake; Horseshoe Bay,133054,,
Metellina sp.,McCook,tetragnathid spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Tetragnathidae,,,genus is in CDC records,new 2019,documented,,,,,2015-08-17,benkeen,https://www.inaturalist.org/observations/31071153,https://static.inaturalist.org/photos/48592385/medium.jpeg?1566154844,,55622,,
Misumena vatia,Clerck,goldenrod crab spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,Native,S5 (2018) ,new 2015,documented,,,,,2011-06-06,judithofsquamish,https://www.inaturalist.org/observations/6016409,https://static.inaturalist.org/photos/7527932/medium.jpeg?1493513733,,55746,,
Nelima paessleri,Roewer,harvestman spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Opiliones,Eupnoi,Phalangioidea,Sclerosomatidae,Leiobuninae,Native,S5? (2019) ,new 2019,documented,,,,,2019-08-10,benkeen,https://www.inaturalist.org/observations/30574465,https://static.inaturalist.org/photos/47772563/medium.jpeg?1565478476,,428584,,
Neriene litigiosa,Keyserling,Sierra dome spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,Native,S5 (2018),new 2018,documented,,,,,2014-08-11,rileypollom,https://www.inaturalist.org/observations/15732244,https://static.inaturalist.org/photos/23490411/medium.jpeg?1534793396,,209814,,
Neriene radiata,Walckenaer,filmy dome spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,Native,S5 (2018),new 2019,documented,,,,,2015-08-16,benkeen,https://www.inaturalist.org/observations/31020732,https://static.inaturalist.org/photos/48506029/medium.jpeg?1566082547,,225815,,
Parasteatoda tepidariorum,C.L. Koch,common house spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,Exotic,SNA,new 2015,documented,,,,,2011-09-03,elsemikkelsen,https://www.inaturalist.org/observations/9504728,https://static.inaturalist.org/photos/12951469/medium.jpg?1516163879,,120583,,
Pardosa sp.,C.L. Koch,thin-legged wolf spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,,genus is in CDC records,new 2018,documented,,,,,2014-08-17,citizen1,https://www.inaturalist.org/observations/15744263,https://static.inaturalist.org/photos/23512472/medium.jpg?1534819660,,47415,,
Paroligolophus agrestis,Meade,a species of harvestman,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Opiliones,Eupnoi,Phalangioidea,Phalangiidae,Oligolophinae,Exotic,SNA (2019),new 2019,documented,,,,,2015-10-01,benkeen,https://www.inaturalist.org/observations/33786682,https://static.inaturalist.org/photos/53102569/medium.jpeg?1570080268,,527483,,
Phalangium opilio,Linnaeus,European harvestman,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Opiliones,Eupnoi,Phalangioidea,Phalangiidae,Phalangiinae,Exotic,SNA (2019) ,new 2018,documented,,,,,2014-08-17,citizen1,https://www.inaturalist.org/observations/15742959,https://static.inaturalist.org/photos/23509923/medium.jpg?1534816590,,84644,,
Phidippus johnsoni,Peckham & Peckham,red-backed jumping spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Native,S5 (2018) ,new 2018,documented,,,,,2014-03-30,elsemikkelsen,https://www.inaturalist.org/observations/20484636,https://static.inaturalist.org/photos/31612398/medium.jpg?1550566583,,58421,,
Philodromus dispar,Walckenaer,Eurasian running crab spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Philodromidae,,Exotic,SNA,new 2019,documented,,,,,2015-05-04,benkeen,https://www.inaturalist.org/observations/24650673,https://static.inaturalist.org/photos/38117602/medium.jpg?1557120013,,227754,,
Pholcus phalangioides,Feusslin,long-bodied cellar spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Pholcoidea,Pholcidae,,Exotic,SNA,new 2018,documented,,,,,2014-07-05,carl1986,https://www.inaturalist.org/observations/15715950,https://static.inaturalist.org/photos/23462388/medium.jpg?1534749218,,67328,,
Phytoptus laevis,Nalepa,alder bead gall mite,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Endeostigmata,,Eriophyoidea,Eriophyidae,, ,not in CDC records,new2017,documented,,,,,2013-11-15,judithofsquamish,https://www.inaturalist.org/observations/8869915,https://static.inaturalist.org/photos/11926218/medium.jpeg?1511151356,,492547,,
Platycryptus californicus,Peckham & Peckham,California flattened jumping spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Native,S4S5 (2018),new 2019,documented,,,,,2015-06-05,benkeen,https://www.inaturalist.org/observations/26512328,https://static.inaturalist.org/photos/41174058/medium.jpeg?1559851392,,228315,,
Poecilochirus sp.,G. & R. Canestrini,none,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Parasitiformes,Mesostigmata,,,Parasitidae,,,genus not in CDC records,new 2015,documented,,,,,2011-09-02,elsemikkelsen,https://www.inaturalist.org/observations/9505447,https://static.inaturalist.org/photos/12953200/medium.jpg?1516168722,,85389,,
Salticus scenicus,Clerck,zebra jumping spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Exotic,SNA,new 2019,documented,,,,,2015-05-03,benkeen,https://www.inaturalist.org/observations/24554896,https://static.inaturalist.org/photos/37969210/medium.jpg?1557016325,,68901,,
Segestria pacifica,Banks,none,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dysderoidea,Segestriidae,,Native,S4S5 (2018),new 2019,documented,,,,,2015-05-27,elsemikkelsen,https://www.inaturalist.org/observations/33632551,https://static.inaturalist.org/photos/52836924/medium.jpg?1569808300,,199807,,
Steatoda grossa,C.L. Koch,false black widow,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,Exotic,SNA,new 2018,documented,,,,,2014-10-06,benkeen,https://www.inaturalist.org/observations/17297292,https://static.inaturalist.org/photos/26248846/medium.jpg?1538951495,,61997,,
Tetragnatha sp.,Latreille,none,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Tetragnathidae,,,genus is in CDC records,new 2019,documented,,,,,2015-07-04,judithofsquamish,https://www.inaturalist.org/observations/28232025,https://static.inaturalist.org/photos/43995007/medium.jpeg?1562338723,,47550,,
Trombidium sp.,L.,none,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Trombidiformes,Parasitengona,Trombidioidea,Trombidiidae,Trombidiinae,,genus not in CDC records,new 2019,documented,,,,,2015-03-28,benkeen,https://www.inaturalist.org/observations/21765672,https://static.inaturalist.org/photos/33711368/medium.jpg?1553917703,,58398,,
Xysticus sp.,C.L. Koch,ground crab spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,,genus is in CDC records,new 2019,documented,,,,,2015-05-29,benkeen,https://www.inaturalist.org/observations/26093226,https://static.inaturalist.org/photos/40486507/medium.jpeg?1559268529,,61903,,
Armadillidium vulgare,Latreille,common pill woodlouse,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Armadillidiidae,,,not in CDC records,new 2019,documented,,,,,2019-03-26,benkeen,https://www.inaturalist.org/observations/21649681,https://static.inaturalist.org/photos/33518644/medium.jpg?1553648482,,56083,,
Balanus glandula,,Pacific acorn barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,,not in CDC records,new 2019,documented,,,,,2019-03-27,jennyheron,https://www.inaturalist.org/observations/21683084,https://static.inaturalist.org/photos/33573910/medium.jpg?1553733834,,81610,,
Daphnia sp.,O.F. Müller,genus water fleas,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Cladocera,Anomopoda,,,Daphniidae,,,not in CDC records,reported ,undocumented,1950-09-25,,RBCM,983-00183-002,,,,,historical record Squamish-Clowholm Lake,87850,,
Eualus pusiolus,Krøyer,doll eualid,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,not in CDC records,reported ,undocumented,1973-12-05,,RBCM,015-00165-001,,,,,historical record Lions Bay ,459515,,
Harpaphe haydeniana,Wood,yellow-spotted millipede,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Merocheta,Polydesmida,Leptodesmidea,Xystodesmoidea,Xystodesmidae,Xystodesminae,,not in CDC records,reported ,undocumented,,,,,2019-04-14,benkeen,https://www.inaturalist.org/observations/22489646,https://static.inaturalist.org/photos/34839456/medium.jpg?1555283463,,47737,,
Hemigrapsus nudus,Dana,purple shore crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Grapsoidea,Varunidae,,,SNR,new 2019,documented,,,,,2019-03-17,benkeen,https://www.inaturalist.org/observations/21331359,https://static.inaturalist.org/photos/32989410/medium.jpg?1552854101,,48342,,
Hemigrapsus oregonensis,Dana,yellow shore crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Grapsoidea,Varunidae,,,SNR,new 2019,documented,,,,,2019-09-02,benkeen,https://www.inaturalist.org/observations/32016759,https://static.inaturalist.org/photos/50172669/medium.jpeg?1567463072,,69170,,
Munida quadrispina,Benedict,four-spined squat lobster  ,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Galatheoidea,Munididae,,Native,SNR,reported ,undocumented,0000-00-00,,RBCM,976-00029-003,,,,,historical record Horseshoe Bay,334674,,
Oniscus asellus,Linnaeus,common shiny woodlouse,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Oniscidae,,,not in CDC records,reported ,undocumented,,,,,2019-04-30,benkeen,https://www.inaturalist.org/observations/24243684,https://static.inaturalist.org/photos/37491367/medium.jpg?1556676478,,48284,,
Polyphemus pediculus,L.,none,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Cladocera,Onychopoda,,,Polyphemidae,,,not in CDC records,reported ,undocumented,1950-09-25,,RBCM,983-00183-003,,,,,"historical record Squamish-Clowholm Lake; note: (iNaturalist-""found in Europe""",483930,,
Acalypta lillianis,Torre-Bueno,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Tingoidea,Tingidae,Tinginae,,not in CDC records,reported,undocumented,1961-04-13,J. Scudder,UBC,SEM-UBC TIN-0031,,,,,,212202,,
Acleris effractana,Hübner,hook-winged tortrix moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tortricoidea,Tortricidae,Tortricinae,Native,SNR (2017),new 2019,documented,,,,,2019-09-26,benkeen,https://www.inaturalist.org/observations/33469143,https://static.inaturalist.org/photos/52570248/medium.jpeg?1569564859,,453394,,
Acleris macdunnoughi,Obraztsou,MacDunnough's acleris,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tortricoidea,Tortricidae,Tortricinae,,not in CDC records,new 2019,documented,,,,,2019-09-22,benkeen,https://www.inaturalist.org/observations/33239851,https://static.inaturalist.org/photos/52192741/medium.jpg?1569208691,,212340,,
Acleris nivisellana,Walsingham,snowy-shouldered acleris moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tortricoidea,Tortricidae,Tortricinae,Native,SNR (2017),new 2019,documented,,,,,2019-09-18,benkeen,https://www.inaturalist.org/observations/32985304,https://static.inaturalist.org/photos/51771675/medium.jpeg?1568853476,,212345,,
Acleris variegana,Denis & Schiffermüller,garden rose tortrix,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tortricoidea,Tortricidae,Tortricinae,Exotic,SNA (2017),new 2019,documented,,,,,2019-09-16,benkeen,https://www.inaturalist.org/observations/32875622,https://static.inaturalist.org/photos/51597079/medium.jpeg?1568693086,,212354,,
Acronicta dactylina,Grote,fingered dagger,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Acronictinae,Native,S4S5 (2017),new 2019,documented,,,,,2019-07-01,benkeen,https://www.inaturalist.org/observations/28007418,https://static.inaturalist.org/photos/43629952/medium.jpeg?1562003145,,212425,,
Acronicta oblinita,J E Smith,smeared dagger,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Acronictinae,Native,S4S5 (2017),new 2015,documented,,,,,2015-07-15,judithofsquamish,https://www.inaturalist.org/observations/6017065,https://static.inaturalist.org/photos/7528859/medium.jpeg?1493516710,,129428,,
Adalia bipunctata,Linnaeus,two-spotted ladybug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,Native,S5 (2017) ,confirmed,documented,1963-04-07,G.J. Spencer,UBC,SEM-UBC COL-10324,2019-05-26,judithofsquamish,https://www.inaturalist.org/observations/25856434,https://static.inaturalist.org/photos/40094868/medium.jpeg?1558928434,,52506,,
Adelphagrotis stellaris,Grote,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017),new 2019,documented,,,,,2019-08-12,benkeen,https://www.inaturalist.org/observations/30734369,https://static.inaturalist.org/photos/48033318/medium.jpeg?1565673083,,366775,,
Aeshna canadensis,Walker,Canadian darner,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota, ,Odonata,Anisoptera,,Aeshnidae,,Native,S5 (2015) ,reported,undocumented,1998-08-20,R.D. Kenner,UBC,SEM-UBC ODO-9001,,,,,,56082,,
Aeshna interrupta,Walker,variable darner,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Aeshnidae,,Native,S5 (2015),reported,undocumented,2000-09-30,R.D. Kenner,UBC,SEM-UBC ODO-4100,,,,,,67725,,
Aeshna juncea,(Linnaeus),common hawker,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Aeshnidae,,Native,S5 (2015),reported,undocumented,1989-09-24,not online,RBCM,ENT991-056343,,,,,,93434,,
Aeshna palmata,Hagen,paddle-tailed darner,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Aeshnidae,,Native,S5 (2015) ,reported,undocumented,1989-09-03,F. Berry,UBC,SEM-UBC ODO-7100,,,,,,67726,,
Aeshna tuberculifera,Walker,black-tipped darner,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Aeshnidae,,Native,S4 (2015),reported,undocumented,1989-09-03,F. Berry,UBC,SEM-UBC ODO-7150,,,,,,93448,, 
Aeshna umbrosa,Walker,shadow darner,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Aeshnidae,,Native,S5 (2015),reported,undocumented,1998-08-20,R.D. Kenner,UBC,SEM-UBC ODO-7183,,,,,,67727,,
Agabus sp.,Leach,predatory aquatic beetles,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,,,genus is in CDC records,reported,undocumented,1955-08-08,R. Stace-Smith,UBC,SEM-UBC COL-32514,,,,,,84734,,
Agoliinus guttatus,(Eschscholtz),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae, Aphodiinae,Native,SNR ,reported,undocumented,1955-08-10,R. Stace-Smith,UBC,SEM-UBC COL-27518,,,,,,457254,,
Agonopterix canadensis,Busck.,Canadian Agonopterix moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Gelechioidea,Depressariidae,Depressariinae,,SNR (2017)  ,new 2019,documented,,,,,2019-04-25,benkeen,https://www.inaturalist.org/observations/23096150,https://static.inaturalist.org/photos/35806902/medium.jpg?1556252640,,212738,,
Agriphila sp.,Hübner,a genus of small moths,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Crambinae,,genus is in CDC records,new 2019,documented,,,,,2019-07-21,benkeen,https://www.inaturalist.org/observations/29229188,https://static.inaturalist.org/photos/45608450/medium.jpeg?1563699952,,142781,,
Agrotina, ,a subtribe of owlet moths,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,,n/a,new 2019,documented,,,,,2019-08-30,benkeen,https://www.inaturalist.org/observations/31830201,https://static.inaturalist.org/photos/49859958/medium.jpeg?1567224855,,210553,,
Agrotis vancouverensis,Grote,Vancouver dart moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017) ,new 2019,documented,,,,,2019-06-04,benkeen,https://www.inaturalist.org/observations/26427832,https://static.inaturalist.org/photos/41037400/medium.jpeg?1559715106,,212878,,
Altica sp.,Geoffroy,a genus of metallic flea beetles,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Galerucinae,,genus is in CDC records,new 2019,documented,,,,,2019-04-21,judithofsquamish,https://www.inaturalist.org/observations/22940392,https://static.inaturalist.org/photos/35559678/medium.jpeg?1556028521,,173228,,
Alucita montana,Barnes & Lindsey,Montana six-plume moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Alucitoidea,Alucitidae,,,SNR (2017) ,new 2015,documented,,,,,2019-04-29,benkeen,https://www.inaturalist.org/observations/24156149,https://static.inaturalist.org/photos/37357010/medium.jpg?1556604323,,213109,,
Amauronematus sp.,Kon.,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Symphyta,Tenthredinidoidea,Tenthredinidae,Nematinae,,genus not in CDC records,reported,undocumented,1965-05-09,G.J. Spencer,UBC,SEM-UBC HYM-5686,,,,,,447152,,
Ampedus rhodopus,LeConte,a click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,Native,SU (2017),new 2019,documented,,,,,2019-05-11,benkeen,https://www.inaturalist.org/observations/24958062,https://static.inaturalist.org/photos/38610112/medium.jpg?1557609100,,456234,,
Amphipyra pyramidoides,Guenée,American copper underwing,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Amphipyrinae,Native,S4S5 (2017) ,new 2019,documented,,,,,2019-11-17,benkeen,https://www.inaturalist.org/observations/35803245,https://static.inaturalist.org/photos/56502224/medium.jpeg?1574045087,,119340,,
Anania hortulata,Linnaeus,small magpie,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Pyraustinae,Native,SNA (2019) ,new 2019,documented,,,,,2019-07-09,benkeen,https://www.inaturalist.org/observations/28525409,https://static.inaturalist.org/photos/44473617/medium.jpeg?1562713567,,55638,,
Anania tertialis,Guenée,Guenee's pearl,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Pyraustinae,Native,SNR (2017) ,new 2014,documented,,,,,2014-07-26,elsemikkelsen,https://www.inaturalist.org/observations/9236733,https://static.inaturalist.org/photos/12501754/medium.jpg?1513986746,,453075,,
Anaplectoides prasina,Denis & Schiffermüller,green arches,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017),new 2019,documented,,,,,2019-07-28,benkeen,https://www.inaturalist.org/observations/29742644,https://static.inaturalist.org/photos/46433910/medium.jpeg?1564351243,,213514,,
Anaspis rufa,Say,false flower beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Scraptiidae,Anaspidinae,Native,S5 (2017),new 2017,documented, ,,,,2017-07-06,elsemikkelsen,https://www.inaturalist.org/observations/7447350,https://static.inaturalist.org/photos/9684578/medium.jpg?1502464006,,213538,,
Anax junius,(Drury),common green darner,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Aeshnidae,,Native,S4 (2015),reported,undocumented,2001-08-14,R.D. Kenner,UBC,SEM-UBC ODO-8139,,,,,,67731,,
Andrena frigida,Smith,frigid mining bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Andrenidae,Adreninae,Native,S3S5 (2016),reported,undocumented,1965-05-09,G.J. Spencer,UBC,SEM-UBC HYM-11288,,,,,,198991,,
Andrena prunorum,Cockerell,prunus miner,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Andrenidae,Andreninae,Native,S5 (2016) ,new 2016,documented,,,,,2016-05-20,gwenlh,https://www.inaturalist.org/observations/9646496,https://static.inaturalist.org/photos/13175763/medium.jpg?1517172139,,57667,,
Andropolia aedon,Grote,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S5 (2016),new 2019,documented,,,,,2019-08-17,benkeen,https://www.inaturalist.org/observations/30995269,https://static.inaturalist.org/photos/48464387/medium.jpeg?1566058106,,213602,,
Anisolabis maritima,Bonelli,maritime earwig,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Dermaptera,Neodermaptera,Anisolabidoidea,Anisolabididae,,,not in CDC records,new 2019,documented,,,,,2019-08-24,benkeen,https://www.inaturalist.org/observations/31432471,https://static.inaturalist.org/photos/49191755/medium.jpeg?1566682227,,127193,,
