Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Sub-class,Super-order,Order,Sub-order,Super-family,Family,Sub-family,Origin or Residency Status,Status (coloured if red or blue listed),Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code,Latitude,Longditude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piscicolinae,Johnston,fish leeches,Animalia,Annelida,,,Clitellata,Hirudinea,,Rhynchobdellida,,,Piscicolidae,,Exotic,not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Genus piscicola is the only genus in iNat that has observations,171276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eisenia fetida,Savigny,redworm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,,,Lumbricidae,,Exotic,SNA (2019),new 2020,documented,,,,,,2019-07-15,benkeen,https://www.inaturalist.org/observations/28874743,iNat: needs i.d.,127409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumbricus terrestris,L.,common earthworm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,,,Lumbricidae,,Exotic,SNA (2019),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2018-09-09,benkeen,https://www.inaturalist.org/observations/16374324,,81545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octolasion cyaneum,Savigny,blue-grey worm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,,,Lumbricidae,,Exotic,SNA (2019),new 2021,documented,,,,,,6/5/2021,cgbc,https://www.inaturalist.org/observations/81805444, ,358274,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diopatra ornata ,Moore,ornate tubeworm,Animalia,Annelida,,,Polychaeta,Errantia,,Eunicida,,,Onuphidae,Onuphinae,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,339286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nephtys spp. ,Cuvier,goddess-worms,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,,,Nephtyidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,117607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllodoce spp. ,L.,leafy paddleworms,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,,,Phyllodocidae,,Exotic,genus not in CDC records (as Animalia),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,339338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomopteris pacifica ,Isuka,tailed pacific transparent-worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,,,Tomopteridae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,693689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomopteris septentrionalis ,Steenstrup,tail-less pacific transparent-worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,,,Tomopteridae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,409151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctonoe fragilis ,Baird,fragile ruffled scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,Exotic,genus not in CDC records,reported,undocumented,2003-08-19T14:13:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: Furry Creek  ,69914,,49.5785,-123.23033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
