Taxon,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name,Observation Taxon Name
Cinna latifolia,(Trev. ex Goepp.) Griseb.,,nodding wood-reed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Cinna,latifolia,,,,native,S5 (2019),,reported,unobserved,,,,,,,,,,76340,,accepted,76340,Cinna latifolia,Cinna latifolia,
Cynosurus echinatus,L.,,bristly dogtail grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Cynosurus,echinatus,,,,exotic,SNA (2019),,new 2020,observed,,,,,,2020-05-26,benkeen,https://www.inaturalist.org/observations/47467269,,47695,,accepted,47695,Cynosurus echinatus,Cynosurus echinatus,Cynosurus echinatus
Dactylis glomerata,L.,,cock's-foot,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Dactylis,glomerata,,,,exotic,SNA (2000),,new 2018,observed,,,,,,2018-06-03,judithofsquamish,https://www.inaturalist.org/observations/13102797,,52720,,accepted,52720,Dactylis glomerata,Dactylis glomerata,Dactylis glomerata
Danthonia intermedia,Vasey,,none,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Danthonioideae,Danthonieae,Danthonia,intermedia,,,,native,S5 (2015),,reported,unobserved,2006-05-27,Jeffery M. Saarela,UBC,UBC: V228353,,,,,UBC:  Horseshoe Bay Whytecliff Park,945362,,accepted,76604,Danthonia intermedia,Ocinara obliquisigna,
Danthonia spicata,(L.) P. Beauv. ex Roem. & Schult.,,poverty oatgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Danthonioideae,Danthonieae,Danthonia,spicata,,,,native,S5 (2015),,reported,unobserved,1974-07-02,Charles E. Beil,UBC,UBC: V176156,,,,,UBC:  Bowen Island Plot #31,130174,,accepted,130174,Danthonia spicata,Danthonia spicata,
Deschampsia cespitosa,(L.) P. Beauv.,,tufted hair grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Deschampsia,cespitosa,,,,native,S5 (2000),,new 2016,observed,,,,,,2016-06-21,judithofsquamish,http://www.inaturalist.org/observations/4373411,,76639,,accepted,76639,Deschampsia cespitosa,Deschampsia cespitosa,Deschampsia cespitosa
Deschampsia danthonioides,(Trin.) M+B942unro ex Benth.,,annual hairgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Deschampsia,danthonioides,,,,native,S5 (2019),,reported,unobserved,,,,,,,,,,57164,,accepted,57164,Deschampsia danthonioides,Deschampsia danthonioides,
Deschampsia elongata,(Hook.) Munro,,slender hair grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Deschampsia,elongata,,,,native,S5 (2015),,reported,unobserved,1974-07-04,Charles E. Beil,UBC,UBC: V176165,,,,,UBC:  Bowen Island Plot #27,52722,,accepted,52722,Deschampsia elongata,Deschampsia elongata,
Dichanthelium sp.,(Hitchc. & Chase) Gould,,rosette grasses,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Panicoideae,Paniceae,Dichanthelium,,,,,,genus is in CDC records,,new 2020,observed,,,,,,2020-04-05,judithofsquamish,https://www.inaturalist.org/observations/41484850,iNat: needs i.d.,128807,,accepted,128807,Dichanthelium,Dichanthelium,Dichanthelium
Digitaria sanguinalis,(L.) Scop.,,hairy crabgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Panicoideae,Paniceae,Digitaria,sanguinalis,,,,exotic,SNA (2019),,new 2019,observed,,,,,,2019-09-06,benkeen,https://www.inaturalist.org/observations/32251482,iNat: needs i.d.,51633,,accepted,51633,Digitaria sanguinalis,Digitaria sanguinalis,Digitaria sanguinalis
Echinochloa crus-galli,(L.) P. Beauv.,,barnyardgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Panicoideae,Paniceae,Echinochloa,crus-galli,,,,exotic,SNA (2019),,new 2019,observed,,,,,,2019-08-19,gwenlh,https://www.inaturalist.org/observations/31242954,,60283,,accepted,60283,Echinochloa crus-galli,Echinochloa crus-galli,Echinochloa crus-galli
Elymus elymoides ssp. californicus,(J.G.Sm.) Barkworth,,California squirrel-tail,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Elymus,elymoides,,californicus,,native,S4 (2001),,reported,unobserved,,,,,,,,,,80698,,accepted,80698,Elymus elymoides californicus,Elymus elymoides californicus,
Elymus glaucus,Buckley,,blue wild rye,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Elymus,glaucus,,,,native,S5 (2000),,confirmed,observed,2015-05-30,Frank Lomer,UBC,UBC: V246600,,2018-10-10,judithofsquamish,https://www.inaturalist.org/observations/17844727,UBC:  W Vancouver Marine Dr opposite Thunderbird Marina parking,52791,,accepted,52791,Elymus glaucus,Elymus glaucus,Elymus glaucus
Elymus hirsutus,J. Presl,,boreal wild rye,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Elymus,hirsutus,,,,native,S5 (2015),,reported,unobserved,1979-09-13,Wilfred B. Schofield,UBC,UBC: V167223,,,,,UBC:  Cypress Bowl Howe Sound Crest Trail,162281,,accepted,162281,Elymus hirsutus,Elymus hirsutus,
Elymus trachycaulus ssp. trachycaulus,(Link) Gould ex Shinners,,slender wheatgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Elymus,trachycaulus,,trachycaulus,,native,S5 (2020),,reported,unobserved,,,,,,,,,,636557,,accepted,636557,Elymus trachycaulus trachycaulus,Elymus trachycaulus trachycaulus,
Elymus violaceus,Hornem.,,Alaska wildrye,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Elymus,violaceus,,,,native,S5 (2020),,reported,unobserved,,,,,,,,,historical record Elymus alaskanus ssp. latiglumis,555525,,accepted,555525,Elymus violaceus,Elymus violaceus,
Festuca occidentalis,Hook.,,western fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,occidentalis,,,,native,S5 (2015),,confirmed,observed,1974-07-02,Charles E. Beil,UBC,UBC: V176159,,2018-10-15,judithofsquamish,https://www.inaturalist.org/observations/18025070,iNat: needs i.d.,59091,,accepted,59091,Festuca occidentalis,Festuca occidentalis,Juncus parryi
Festuca rubra,L.,,red fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,rubra,,,,native,depends which ssp.,,confirmed,observed,2005-07-29,P.M. Peterson,UBC,UBC: V225345,,2015-05-14,judithofsquamish,https://www.inaturalist.org/observations/10554086,iNat: needs i.d.,61061,,accepted,61061,Festuca rubra,Festuca rubra,Festuca rubra
Festuca rubra ssp. mediana,L.,,dwarf red fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,,Festuca,rubra,,mediana,,native,S5? (2020),,reported,unobserved,,,,,,,,,,236038,,unknown,,,Festuca rubra mediana,
Festuca saximontana,Rydb.,,mountain fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,saximontana,,,,exotic,SNR (2015),,new 2018,observed,,,,,,2018-09-28,judithofsquamish,https://www.inaturalist.org/observations/17052895,iNat: needs i.d.,77144,,accepted,77144,Festuca saximontana,Festuca saximontana,Festuca saximontana
Glyceria borealis,(Nash) Batch.,,northern mannagrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Meliceae,Glyceria,borealis,,,,native,S5 (2019),,reported,unobserved,,,,,,,,,,77287,,accepted,77287,Glyceria borealis,Glyceria borealis,
Glyceria elata,(Nash) M.E. Jones,,tall mannagrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Meliceae,Glyceria,elata,,,,native,S5 (2019),,reported,unobserved,,,,,,,,,,77289,,accepted,77289,Glyceria elata,Glyceria elata,
Glyceria striata,(Lam.) Hitchc.,,fowl mannagrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Meliceae,Glyceria,striata,,,,native,S5 (2000),,reported,unobserved,1977-08-05,Chris J. Clement,RBCM,V110648,,,,,RBCM:  Bowen Island Tunstall Bay,77293,,accepted,77293,Glyceria striata,Glyceria striata,
Holcus lanatus,L.,,Yorkshire fog,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Holcus,lanatus,,,,exotic,SNA (2000),,new 2018,observed,,,,,,2018-05-21,judithofsquamish,https://www.inaturalist.org/observations/12708902,,52793,,accepted,52793,Holcus lanatus,Holcus lanatus,Holcus lanatus
Hordeum brachyantherum,Nevski,,meadow barley,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Hordeum,brachyantherum,,,,native,S5 (2000),,confirmed,observed,1916-06-22,,RBCM,V000615,,2015-07-09,judithofsquamish,http://www.inaturalist.org/observations/4390161,,57173,,accepted,57173,Hordeum brachyantherum,Hordeum brachyantherum,Hordeum brachyantherum
Hordeum jubatum ssp. intermedium,Bowden,,foxtail barley,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Hordeum,jubatum,,intermedium,,,SU (2020),,reported,unobserved,,,,,,,,,,60287,,accepted,236440,Hordeum jubatum intermedium,Hordeum jubatum,
Hordeum murinum ssp. murinum,L.,,hare barley,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Hordeum,murinum,,murinum,,exotic,SNA (2000),,reported,unobserved,2001-05-29,Frank Lomer,UBC,UBC: V235041,,,,,"UBC:  West Vancouver, Whytecliff Park",63333,,accepted,63333,Hordeum murinum murinum,Hordeum murinum murinum,
Koeleria macrantha,J.A. Schultes,,prairie junegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Koeleria,macrantha,,,,native,S5 (2019),,reported,unobserved,,,,,,,,,,57183,,accepted,57183,Koeleria macrantha,Koeleria macrantha,
Leymus mollis ssp. mollis,(Trin.) Pilg.,,sea lyme grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Leymus,mollis,,mollis,,native,S5 (April 2019),,new 2015,observed,,,,,,2015-06-13,judithofsquamish,http://www.inaturalist.org/observations/4392057,,118426,,accepted,118426,Leymus mollis mollis,Leymus mollis mollis,Leymus mollis mollis
Lolium perenne,L.,,perennial ryegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Lolium,perenne,,,,exotic,SNA (2019),,new 2020,observed,,,,,,2020-06-02,benkeen,https://www.inaturalist.org/observations/48302899,,52801,,accepted,52801,Lolium perenne,Lolium perenne,Lolium perenne
Melica subulata,(Griseb.) Scribn.,,Alaska oniongrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Meliceae,Melica,subulata,,,,native,S5 (2000),,confirmed,observed,1974-07-08,Charles E. Biel,UBC,UBC: V176149,,2021-05-21,elsemikkelsen,https://www.inaturalist.org/observations/79747722,UBC:  Bowen Island,77986,,accepted,77986,Melica subulata,Melica subulata,Melica subulata
Panicum sp.,L.,,panicgrasses,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Panicoideae,Paniceae,Panicum,,,,,native,S5 (2000),,new 2018,observed,,,,,,2018-10-09,judithofsquamish,https://www.inaturalist.org/observations/18003157,iNat: needs i.d.,60301,,accepted,60301,Panicum,Panicum,Panicum
Phalaris arundinacea,L.,,reed canary grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Phalaris,arundinacea,,,,exotic,SNA (2013),,new 2015,observed,,,,,,2015-07-15,judithofsquamish,http://www.inaturalist.org/observations/4396776,,63337,,accepted,63337,Phalaris arundinacea,Phalaris arundinacea,Phalaris arundinacea
Phalaris canariensis,L.,,canary grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Phalaris,canariensis,,,,exotic,SNA (2019),,new 2019,observed,,,,,,2019-07-06,benkeen,https://www.inaturalist.org/observations/28317682,iNat: needs i.d.,57191,,accepted,57191,Phalaris canariensis,Phalaris canariensis,Phalaris canariensis
Phleum alpinum,L.,,alpine timothy,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Phleum,alpinum,,,,native,S5 (2015),,confirmed,observed,1965-07-07,B. Fraser,UBC,UBC: V158231,,2018-07-08,judithofsquamish,https://www.inaturalist.org/observations/14220533,,78540,,accepted,78540,Phleum alpinum,Phleum alpinum,Phleum alpinum
Phleum pratense,L.,,timothy,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Phleum,pratense,,,,exotic,SNA,,new 2018,observed,,,,,,2018-07-17,judithofsquamish,https://www.inaturalist.org/observations/14470461,,57190,,accepted,57190,Phleum pratense,Phleum pratense,Phleum pratense
Phyllostachys aurea,Rivière & C. Rivière,,fishpole bamboo,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Bambusoideae,Arundinarieae,Phyllostachys,aurea,,,,exotic,not in CDC records,,new 2020,observed,,,,,,2020-01-04,benkeen,https://www.inaturalist.org/observations/37285423,iNat: needs i.d.,78563,,accepted,78563,Phyllostachys aurea,Phyllostachys aurea,Phyllostachys aurea
Pleuropogon refractus,(A. Gray) Benth. ex Vasey,,nodding semaphore grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Meliceae,Pleuropogon,refractus,,,,native,S3S4 (2015),,confirmed,observed,1963-08-31,V.C. Brink,UBC,UBC: V236741,,2017-09-05,judithofsquamish,https://www.inaturalist.org/observations/7979840,,78629,,accepted,78629,Pleuropogon refractus,Pleuropogon refractus,Pleuropogon refractus
Poa abbreviata ssp. pattersonii,"(Vasey) Á. Löve, D. Löve & B.M. Kapoor",,abbreviated bluegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Poa,pattersonii,,pattersonii,,native,S3 (2019),,reported,unobserved,,,,,,,,,,80136,,unaccepted,1272303,Poa pattersonii,Poa abbreviata pattersonii,
Poa alpina,L.,,alpine meadow-grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Poa,alpina,,,,native,S5 (2015),,reported,unobserved,1969-09-03,T. Christopher Brayshaw,RBCM,V055013,,,,,RBCM:  Garibaldi PP,167076,,accepted,167076,Poa alpina,Poa alpina,
Poa annua,L.,,annual meadow-grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Poa,annua,,,,exotic,SNA (2000),,new 2017,observed,,,,,,2017-05-05,chlorophilia,https://www.inaturalist.org/observations/6113043,,52808,,accepted,52808,Poa annua,Poa annua,Poa annua
Poa compressa,L.,,flattened meadow-grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Poa,compressa,,,,exotic,SNA (2005),,reported,unobserved,2016-07-28,Terry Taylor,UBC,UBC: V244884,,,,,UBC:  Cypress PP Yew Lake,78636,,accepted,78636,Poa compressa,Poa compressa,
Poa cusickii ssp. epilis,Vasey,,skyline bluegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Poa,cusickii,,epilis,,native,S4 (2001),,reported,unobserved,1969-09-06,T. Christopher Brayshaw,RBCM,V055010,,,,,RBCM:  Garibaldi PP,80140,,accepted,80140,Poa cusickii epilis,Poa cusickii epilis,
Poa glauca,Vahl,,glaucous meadow-grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Poa,glauca,,,,native,S5 (2000),,reported,unobserved,1926-08-01,George A. Hardy,RBCM,V008009,,,,,RBCM:  Garibaldi PP Lake Garibaldi,78641,,accepted,78641,Poa glauca,Poa glauca,
Poa interior,Rydb.,,interior bluegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Poa,interior,,,,native,S5 (2019),,reported,unobserved,,,,,,,,,,167090,,accepted,167090,Poa interior,Poa interior,
Poa lettermanii,Vasey,,letterman's bluegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Poa,lettermanii,,,,native,S4 (2015),,reported,unobserved,1911-09-01,E. Burns,UBC,UBC: V20352,,,,,UBC:  Garibaldi,78646,,accepted,78646,Poa lettermanii,Poa lettermanii,
Poa macrantha,Vasey,,dune bluegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Poa,macrantha,,,,native,S4S4,,reported,unobserved,,,,,,,,,,167090,,accepted,78647,Poa macrantha,Poa interior,
Poa nemoralis,L.,,wood meadow-grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Poa,nemoralis,,,,exotic,SNA (2000),,reported,unobserved,2015-05-30,Frank Lomer,UBC,UBC: V246597,,,,,"UBC:  West Vancouver, Larson Bay Park",78649,,accepted,78649,Poa nemoralis,Poa nemoralis,
Poa palustris,L.,,swamp meadow-grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Poa,palustris,,,,native,S5 (2019),,new 2020,observed,,,,,,2020-05-30,judithofsquamish,https://www.inaturalist.org/observations/47915049,iNat: needs i.d.,78650,,accepted,78650,Poa palustris,Poa palustris,Poa palustris
Poa paucispicula,Scribn. & Merr.,,marsh bluegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Poa,paucispicula,,,,native,S4 (2015),,reported,unobserved,1938-08-12,John W. E Eastham,RBCM,V011306,,,,,"RBCM:  Garibaldi PP Mt. Garibaldi; species not in iNaturalist, however recognized by CDC and others",1046693,,accepted,1046693,Poa paucispicula,Poa paucispicula,
Poa pratensis,L.,,smooth meadow-grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Poa,pratensis,,,,exotic,SNA (2001),,confirmed,observed,1974-06-18,T. Christopher Brayshaw,RBCM,V082554,,2020-06-11,benkeen,https://www.inaturalist.org/observations/49290499,RBCM:  Squamish,60307,,accepted,60307,Poa pratensis,Poa pratensis,Poa pratensis
Poa secunda ssp. secunda,J. Presl,,one-sided bluegrass/sandberg's bluegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Poa,secunda,,secunda,,native,S5 (2000),,reported,unobserved,1958-09-03,,RBCM,V033959,,,,,RBCM:  Garibaldi PP,58383,,accepted,58383,Poa secunda secunda,Poa secunda secunda,
Poa stenantha,Trin.,,narrow-flowered bluegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Poa,stenantha,,,,native,S5 (2019),,reported,unobserved,,,,,,,,,,143699,,accepted,143699,Poa stenantha,Poa stenantha,
Setaria pumila,(Poir.) Roem. & Shult.,,yellow foxtail,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Panicoideae,Paniceae,Setaria,pumila,,,,exotic,SNA (2019),,new 2019,observed,,,,,,2019-09-21,benkeen,https://www.inaturalist.org/observations/33163939,iNat: needs i.d.,48688,,accepted,48688,Setaria pumila,Setaria pumila,Setaria pumila
Torreyochloa pallida var. pauciflora,(Torr.) G.L. Church,,weak manna grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Torreyochloa,pallida,,,pauciflora,native,S5 (2015),,reported,unobserved,1979-07-28,C. M. Tay,RBCM,V148200,,,,,RBCM:  McNair Creek Valley,81431,,accepted,81431,Torreyochloa pallida pauciflora,Torreyochloa pallida pauciflora,
Trisetum canescens,Buckley,,tall trisetum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Trisetum,canescens,,,,native,S5 (2000),,reported,unobserved,,,,,,,,,,64229,,accepted,64229,Trisetum canescens,Trisetum canescens,
Trisetum cernuum,Trin.,,nodding trisetum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Trisetum,cernuum,,,,native,S5 (2019),,reported,unobserved,2005-07-29,P.M. Peterson,UBC,UBC: V225302,,,,,UBC:  Cypress PP just below ski resort,79444,,accepted,79444,Trisetum cernuum,Trisetum cernuum,
Trisetum spicatum,(L.) K. Richt.,,spike trisetum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Trisetum,spicatum,,,,native,S5 (2015),,confirmed,observed,1912-08-14,John Davidson,UBC,UBC: V21178,,2020-09-11,judithofsquamish,https://www.inaturalist.org/observations/59392405,UBC:  Black Tusk valley,79446,,accepted,79446,Trisetum spicatum,Trisetum spicatum,Trisetum spicatum
Triticum aestivum,L.,,bread wheat,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Triticum,aestivum,,,,exotic,SNA (2019),,new 2020,observed,,,,,,2020-08-13,benkeen,https://www.inaturalist.org/observations/56379037,,64161,,accepted,64161,Triticum aestivum,Triticum aestivum,Triticum aestivum
Vahlodea atropurpurea,(Wahlenb.) Fr. ex Hartm.,,mountain hairgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Vahlodea,atropurpurea,,,,native,S5 (2000),,confirmed,observed,1969-09-03,T. Christopher Brayshaw,RBCM,V055011,,2018-07-21,judithofsquamish,https://www.inaturalist.org/observations/14705489,,79473,,accepted,79473,Vahlodea atropurpurea,Vahlodea atropurpurea,Vahlodea atropurpurea
Vulpia bromoides,(L.) Gray,,brome fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,bromoides,,,,exotic,SNA (2000),,confirmed,observed,2006-05-27,Jeffery M. Saarela,UBC,UBC: V236841,,2018-05-07,judithofsquamish,https://www.inaturalist.org/observations/12246806,iNat: needs i.d.,170281,,unaccepted,77136,Festuca bromoides,Vulpia bromoides,Poeae
Vulpia myuros,(L.) C.C. Gmel.,,rat's-tail fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,myuros,,,,exotic,SNA (2000),,reported,unobserved,2006-05-27,Jeffery M. Saarela,UBC,UBC: V228356,,,,,,52814,,unaccepted,77140,Festuca myuros,Vulpia myuros,
Sparganium angustifolium,Michx.,,narrow-leaved bur-reed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,,Sparganium,angustifolium,,,,native,S5 (2000),,reported,unobserved,1998-07-09,Frank Lomer,UBC,UBC: V233949,,,,,UBC:  Cypress PP Hollyburn Mt. base of ski slope,79161,,accepted,79161,Sparganium angustifolium,Sparganium angustifolium,
Sparganium emersum,Rehmann,,unbranched bur-reed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,,Sparganium,emersum,,,,native,S5 (2015),,confirmed,observed,1940-08-06,John W. Eastham,UBC,UBC: V29329,,2017-08-07,judithofsquamish,https://www.inaturalist.org/observations/7477283,,62575,,accepted,62575,Sparganium emersum,Sparganium emersum,Sparganium emersum
Sparganium natans,L.,,small bur-reed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,,Sparganium,natans,,,,native,S5 (2015),,reported,unobserved,1977-08-11,Patrick D. Warrington,RBCM,V172786,,,,,RBCM:  Murrin PP Browning Lake; original record S. minimum,79162,,accepted,79162,Sparganium natans,Sparganium natans,
Typha angustifolia,L.,,narrow-leaved cattail,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,,Typha,angustifolia,,,,exotic,SNA (2001),,reported,unobserved,1991-07-19,Frank Lomer,UBC,UBC: V203896,,,,,UBC:  Horseshoe Bay,60316,,accepted,60316,Typha angustifolia,Typha angustifolia,
Typha latifolia,L.,,broadleaf cattail,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,,Typha,latifolia,,,,native,S5 (2015),,new 2016,observed,,,,,,2016-06-25,judithofsquamish,http://www.inaturalist.org/observations/4509960,,48685,,accepted,48685,Typha latifolia,Typha latifolia,Typha latifolia
Aegopodium podagraria,L.,,goutweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Careae,Aegopodium,podagraria,,,,exotic,SNA (2019),,new 2019,observed,,,,,,2019-09-15,benkeen,https://www.inaturalist.org/observations/32797199,,51741,,accepted,51741,Aegopodium podagraria,Aegopodium podagraria,Aegopodium podagraria
Angelica genuflexa,Nutt.,,kneeling angelica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Selineae,Angelica,genuflexa,,,,native,S5 (2019,,reported,unobserved,,,,,,,,,,75450,,accepted,75450,Angelica genuflexa,Angelica genuflexa,
Angelica lucida,L.,,sea-watch,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Selineae,Angelica,lucida,,,,native,S5 (2015),,confirmed,observed,2015-06-26,A. Lynn,2015 Squamish Bioblitz part of Whistler BB Bob Brett),,,2015-05-17,hillanddale,https://www.inaturalist.org/observations/9528810,,75453,,accepted,75453,Angelica lucida,Angelica lucida,Angelica lucida
Cicuta douglasii,(DC.) J.M. Coult. & Rose,,western water hemlock,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Oenantheae,Cicuta,douglasii,,,,native,S5 (2015),,new 2021,observed,,,,,,2021-08-05,cgbc,https://www.inaturalist.org/observations/90403661,,76338,,accepted,76338,Cicuta douglasii,Cicuta douglasii,Cicuta douglasii
