Taxon,Author,Common Name,Origin,Status,Reporting,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,First Documented,Documenter,Catalogue Number,iNaturalist Link,ID,iNaturalist photo,Notes
Neriene litigiosa,Keyserling,Sierra dome spider,Native,S5 (2018),new 2018,,,,2014-08-11,rileypollom,,https://www.inaturalist.org/observations/15732244,209814,https://static.inaturalist.org/photos/23490411/medium.jpeg?1534793396,
Neriene radiata,Walckenaer,filmy dome spider,Native,S5 (2018),new 2019,,,,2015-08-16,benkeen,,https://www.inaturalist.org/observations/31020732,225815,https://static.inaturalist.org/photos/48506029/medium.jpeg?1566082547,
Parasteatoda tepidariorum,C.L. Koch,common house spider,Exotic,SNA,new 2015,,,,2011-09-03,elsemikkelsen,,https://www.inaturalist.org/observations/9504728,120583,https://static.inaturalist.org/photos/12951469/medium.jpg?1516163879,
Pardosa sp.,C.L. Koch,thin-legged wolf spiders,,genus is in CDC records,new 2018,,,,2014-08-17,citizen1,,https://www.inaturalist.org/observations/15744263,47415,https://static.inaturalist.org/photos/23512472/medium.jpg?1534819660,
Paroligolophus agrestis,Meade,a species of harvestman,Exotic,SNA (2019),new 2019,,,,2015-10-01,benkeen,,https://www.inaturalist.org/observations/33786682,527483,https://static.inaturalist.org/photos/53102569/medium.jpeg?1570080268,
Phalangium opilio,Linnaeus,European harvestman,Exotic,SNA (2019) ,new 2018,,,,2014-08-17,citizen1,,https://www.inaturalist.org/observations/15742959,84644,https://static.inaturalist.org/photos/23509923/medium.jpg?1534816590,
Phidippus johnsoni,Peckham & Peckham,red-backed jumping spider,Native,S5 (2018) ,new 2018,,,,2014-03-30,elsemikkelsen,,https://www.inaturalist.org/observations/20484636,58421,https://static.inaturalist.org/photos/31612398/medium.jpg?1550566583,
Philodromus dispar,Walckenaer,Eurasian running crab spider,Exotic,SNA,new 2019,,,,2015-05-04,benkeen,,https://www.inaturalist.org/observations/24650673,227754,https://static.inaturalist.org/photos/38117602/medium.jpg?1557120013,
Pholcus phalangioides,Feusslin,long-bodied cellar spider,Exotic,SNA,new 2018,,,,2014-07-05,carl1986,,https://www.inaturalist.org/observations/15715950,67328,https://static.inaturalist.org/photos/23462388/medium.jpg?1534749218,
Phytoptus laevis,Nalepa,alder bead gall mite, ,not in CDC records,new2017,,,,2013-11-15,judithofsquamish,,https://www.inaturalist.org/observations/8869915,492547,https://static.inaturalist.org/photos/11926218/medium.jpeg?1511151356,
Platycryptus californicus,Peckham & Peckham,California flattened jumping spider,Native,S4S5 (2018),new 2019,,,,2015-06-05,benkeen,,https://www.inaturalist.org/observations/26512328,228315,https://static.inaturalist.org/photos/41174058/medium.jpeg?1559851392,
Poecilochirus sp.,G. & R. Canestrini,none,,genus not in CDC records,new 2015,,,,2011-09-02,elsemikkelsen,,https://www.inaturalist.org/observations/9505447,85389,https://static.inaturalist.org/photos/12953200/medium.jpg?1516168722,
Salticus scenicus,Clerck,zebra jumping spider,Exotic,SNA,new 2019,,,,2015-05-03,benkeen,,https://www.inaturalist.org/observations/24554896,68901,https://static.inaturalist.org/photos/37969210/medium.jpg?1557016325,
Segestria pacifica,Banks,none,Native,S4S5 (2018),new 2019,,,,2015-05-27,elsemikkelsen,,https://www.inaturalist.org/observations/33632551,199807,https://static.inaturalist.org/photos/52836924/medium.jpg?1569808300,
Steatoda grossa,C.L. Koch,false black widow,Exotic,SNA,new 2018,,,,2014-10-06,benkeen,,https://www.inaturalist.org/observations/17297292,61997,https://static.inaturalist.org/photos/26248846/medium.jpg?1538951495,
Tetragnatha sp.,Latreille,none,,genus is in CDC records,new 2019,,,,2015-07-04,judithofsquamish,,https://www.inaturalist.org/observations/28232025,47550,https://static.inaturalist.org/photos/43995007/medium.jpeg?1562338723,
Trombidium sp.,L.,none,,genus not in CDC records,new 2019,,,,2015-03-28,benkeen,,https://www.inaturalist.org/observations/21765672,58398,https://static.inaturalist.org/photos/33711368/medium.jpg?1553917703,
Xysticus sp.,C.L. Koch,ground crab spiders,,genus is in CDC records,new 2019,,,,2015-05-29,benkeen,,https://www.inaturalist.org/observations/26093226,61903,https://static.inaturalist.org/photos/40486507/medium.jpeg?1559268529,
Armadillidium vulgare,Latreille,common pill woodlouse,,not in CDC records,new 2019,,,,2019-03-26,benkeen,,https://www.inaturalist.org/observations/21649681,56083,https://static.inaturalist.org/photos/33518644/medium.jpg?1553648482,
Balanus glandula,,Pacific acorn barnacle,,not in CDC records,new 2019,,,,2019-03-27,jennyheron,,https://www.inaturalist.org/observations/21683084,81610,https://static.inaturalist.org/photos/33573910/medium.jpg?1553733834,
Daphnia sp.,O.F. Müller,genus water fleas,,not in CDC records,reported ,1950-09-25,,RBCM,,,983-00183-002,,87850,,historical record Squamish-Clowholm Lake
Eualus pusiolus,Krøyer,doll eualid,,not in CDC records,reported ,1973-12-05,,RBCM,,,015-00165-001,,459515,,historical record Lions Bay 
Harpaphe haydeniana,Wood,yellow-spotted millipede,,not in CDC records,reported ,,,,2019-04-14,benkeen,,https://www.inaturalist.org/observations/22489646,47737,https://static.inaturalist.org/photos/34839456/medium.jpg?1555283463,
Hemigrapsus nudus,Dana,purple shore crab,,SNR,new 2019,,,,2019-03-17,benkeen,,https://www.inaturalist.org/observations/21331359,48342,https://static.inaturalist.org/photos/32989410/medium.jpg?1552854101,
Hemigrapsus oregonensis,Dana,yellow shore crab,,SNR,new 2019,,,,2019-09-02,benkeen,,https://www.inaturalist.org/observations/32016759,69170,https://static.inaturalist.org/photos/50172669/medium.jpeg?1567463072,
Munida quadrispina,Benedict,four-spined squat lobster  ,Native,SNR,reported ,0000-00-00,,RBCM,,,976-00029-003,,334674,,historical record Horseshoe Bay
Oniscus asellus,Linnaeus,common shiny woodlouse,,not in CDC records,reported ,,,,2019-04-30,benkeen,,https://www.inaturalist.org/observations/24243684,48284,https://static.inaturalist.org/photos/37491367/medium.jpg?1556676478,
Polyphemus pediculus,L.,none,,not in CDC records,reported ,1950-09-25,,RBCM,,,983-00183-003,,483930,,"historical record Squamish-Clowholm Lake; note: (iNaturalist-""found in Europe"""
Acalypta lillianis,Torre-Bueno,none,,not in CDC records,reported,1961-04-13,J. Scudder,UBC,,,SEM-UBC TIN-0031,,212202,,
Acleris effractana,Hübner,hook-winged tortrix moth,Native,SNR (2017),new 2019,,,,2019-09-26,benkeen,,https://www.inaturalist.org/observations/33469143,453394,https://static.inaturalist.org/photos/52570248/medium.jpeg?1569564859,
Acleris macdunnoughi,Obraztsou,MacDunnough's acleris,,not in CDC records,new 2019,,,,2019-09-22,benkeen,,https://www.inaturalist.org/observations/33239851,212340,https://static.inaturalist.org/photos/52192741/medium.jpg?1569208691,
Acleris nivisellana,Walsingham,snowy-shouldered acleris moth,Native,SNR (2017),new 2019,,,,2019-09-18,benkeen,,https://www.inaturalist.org/observations/32985304,212345,https://static.inaturalist.org/photos/51771675/medium.jpeg?1568853476,
Acleris variegana,Denis & Schiffermüller,garden rose tortrix,Exotic,SNA (2017),new 2019,,,,2019-09-16,benkeen,,https://www.inaturalist.org/observations/32875622,212354,https://static.inaturalist.org/photos/51597079/medium.jpeg?1568693086,
Acronicta dactylina,Grote,fingered dagger,Native,S4S5 (2017),new 2019,,,,2019-07-01,benkeen,,https://www.inaturalist.org/observations/28007418,212425,https://static.inaturalist.org/photos/43629952/medium.jpeg?1562003145,
Acronicta oblinita,J E Smith,smeared dagger,Native,S4S5 (2017),new 2015,,,,2015-07-15,judithofsquamish,,https://www.inaturalist.org/observations/6017065,129428,https://static.inaturalist.org/photos/7528859/medium.jpeg?1493516710,
Adalia bipunctata,Linnaeus,two-spotted ladybug,Native,S5 (2017) ,confirmed,1963-04-07,G.J. Spencer,UBC,2019-05-26,judithofsquamish,SEM-UBC COL-10324,https://www.inaturalist.org/observations/25856434,52506,https://static.inaturalist.org/photos/40094868/medium.jpeg?1558928434,
Adelphagrotis stellaris,Grote,none,Native,S4S5 (2017),new 2019,,,,2019-08-12,benkeen,,https://www.inaturalist.org/observations/30734369,366775,https://static.inaturalist.org/photos/48033318/medium.jpeg?1565673083,
Aeshna canadensis,Walker,Canadian darner,Native,S5 (2015) ,reported,1998-08-20,R.D. Kenner,UBC,,,SEM-UBC ODO-9001,,56082,,
Aeshna interrupta,Walker,variable darner,Native,S5 (2015),reported,2000-09-30,R.D. Kenner,UBC,,,SEM-UBC ODO-4100,,67725,,
Aeshna juncea,(Linnaeus),common hawker,Native,S5 (2015),reported,1989-09-24,not online,RBCM,,,ENT991-056343,,93434,,
Aeshna palmata,Hagen,paddle-tailed darner,Native,S5 (2015) ,reported,1989-09-03,F. Berry,UBC,,,SEM-UBC ODO-7100,,67726,,
Aeshna tuberculifera,Walker,black-tipped darner,Native,S4 (2015),reported,1989-09-03,F. Berry,UBC,,,SEM-UBC ODO-7150,,93448,,
Aeshna umbrosa,Walker,shadow darner,Native,S5 (2015),reported,1998-08-20,R.D. Kenner,UBC,,,SEM-UBC ODO-7183,,67727,,
Agabus sp.,Leach,predatory aquatic beetles,,genus is in CDC records,reported,1955-08-08,R. Stace-Smith,UBC,,,SEM-UBC COL-32514,,84734,,
Agoliinus guttatus,(Eschscholtz),none,Native,SNR ,reported,1955-08-10,R. Stace-Smith,UBC,,,SEM-UBC COL-27518,,457254,,
Agonopterix canadensis,Busck.,Canadian Agonopterix moth,,SNR (2017)  ,new 2019,,,,2019-04-25,benkeen,,https://www.inaturalist.org/observations/23096150,212738,https://static.inaturalist.org/photos/35806902/medium.jpg?1556252640,
Agriphila sp.,Hübner,a genus of small moths,,genus is in CDC records,new 2019,,,,2019-07-21,benkeen,,https://www.inaturalist.org/observations/29229188,142781,https://static.inaturalist.org/photos/45608450/medium.jpeg?1563699952,
Agrotina, ,a subtribe of owlet moths,,n/a,new 2019,,,,2019-08-30,benkeen,,https://www.inaturalist.org/observations/31830201,210553,https://static.inaturalist.org/photos/49859958/medium.jpeg?1567224855,
Agrotis vancouverensis,Grote,Vancouver dart moth,Native,S4S5 (2017) ,new 2019,,,,2019-06-04,benkeen,,https://www.inaturalist.org/observations/26427832,212878,https://static.inaturalist.org/photos/41037400/medium.jpeg?1559715106,
Altica sp.,Geoffroy,a genus of metallic flea beetles,,genus is in CDC records,new 2019,,,,2019-04-21,judithofsquamish,,https://www.inaturalist.org/observations/22940392,173228,https://static.inaturalist.org/photos/35559678/medium.jpeg?1556028521,
Alucita montana,Barnes & Lindsey,Montana six-plume moth,,SNR (2017) ,new 2015,,,,2019-04-29,benkeen,,https://www.inaturalist.org/observations/24156149,213109,https://static.inaturalist.org/photos/37357010/medium.jpg?1556604323,
Amauronematus sp.,Kon.,none,,genus not in CDC records,reported,1965-05-09,G.J. Spencer,UBC,,,SEM-UBC HYM-5686,,447152,,
Ampedus rhodopus,LeConte,a click beetle,Native,SU (2017),new 2019,,,,2019-05-11,benkeen,,https://www.inaturalist.org/observations/24958062,456234,https://static.inaturalist.org/photos/38610112/medium.jpg?1557609100,
Amphipyra pyramidoides,Guenée,American copper underwing,Native,S4S5 (2017) ,new 2019,,,,2019-11-17,benkeen,,https://www.inaturalist.org/observations/35803245,119340,https://static.inaturalist.org/photos/56502224/medium.jpeg?1574045087,
Anania hortulata,Linnaeus,small magpie,Native,SNA (2019) ,new 2019,,,,2019-07-09,benkeen,,https://www.inaturalist.org/observations/28525409,55638,https://static.inaturalist.org/photos/44473617/medium.jpeg?1562713567,
Anania tertialis,Guenée,Guenee's pearl,Native,SNR (2017) ,new 2014,,,,2014-07-26,elsemikkelsen,,https://www.inaturalist.org/observations/9236733,453075,https://static.inaturalist.org/photos/12501754/medium.jpg?1513986746,
Anaplectoides prasina,Denis & Schiffermüller,green arches,Native,S4S5 (2017),new 2019,,,,2019-07-28,benkeen,,https://www.inaturalist.org/observations/29742644,213514,https://static.inaturalist.org/photos/46433910/medium.jpeg?1564351243,
Anaspis rufa,Say,false flower beetle,Native,S5 (2017),new 2017, ,,,2017-07-06,elsemikkelsen,,https://www.inaturalist.org/observations/7447350,213538,https://static.inaturalist.org/photos/9684578/medium.jpg?1502464006,
Anax junius,(Drury),common green darner,Native,S4 (2015),reported,2001-08-14,R.D. Kenner,UBC,,,SEM-UBC ODO-8139,,67731,,
Andrena frigida,Smith,frigid mining bee,Native,S3S5 (2016),reported,1965-05-09,G.J. Spencer,UBC,,,SEM-UBC HYM-11288,,198991,,
Andrena prunorum,Cockerell,prunus miner,Native,S5 (2016) ,new 2016,,,,2016-05-20,gwenlh,,https://www.inaturalist.org/observations/9646496,57667,https://static.inaturalist.org/photos/13175763/medium.jpg?1517172139,
Andropolia aedon,Grote,none,Native,S5 (2016),new 2019,,,,2019-08-17,benkeen,,https://www.inaturalist.org/observations/30995269,213602,https://static.inaturalist.org/photos/48464387/medium.jpeg?1566058106,
Anisolabis maritima,Bonelli,maritime earwig,,not in CDC records,new 2019,,,,2019-08-24,benkeen,,https://www.inaturalist.org/observations/31432471,127193,https://static.inaturalist.org/photos/49191755/medium.jpeg?1566682227,
Antheraea polyphemus,(Cramer),polyphemus moth,Native,SNR,confirmed,1922-07-15,G.J. Spencer,UBC,2013-06-20,hillanddale,SEM-UBC SAT-0057,https://www.inaturalist.org/observations/6113066,47919,https://static.inaturalist.org/photos/7649647/medium.jpeg?1494092146,
Anthidium manicatum,Linnaeus,European wool carder bee,Exotic,SNA (2016) ,new 2017,,,,2017-07-22,gwenlh,,https://www.inaturalist.org/observations/9724384,62453,https://static.inaturalist.org/photos/13302859/medium.jpg?1517716665,
Anthocharis sara,Lucas,Sara orangetip,Native,S5 (2013),reported,1933-04-23,not online,RBCM,,,ENT991-121762,,59124,,historical record West Vancouver
Anthocoris antevolens,White,none,,not in CDC records,reported,1965-05-24,G.J. Spencer,UBC,,,SEM-UBC ANTH-0078,,498349,,
Anthocoris tomentosus,Pericart,none,,not in CDC records,reported,1963-09-23,G.J. Spencer,UBC,,,SEM-UBC ANTH-0373,,453779,,
Anticlea vasiliata,Gn.,variable carpet moth,Native,S4S5 (2017),new 2015,,,,2015-04-04,elsemikkelsen,,https://www.inaturalist.org/observations/9176895,215211,https://static.inaturalist.org/photos/12417229/medium.jpg?1513495444,
Apamea amputatrix,Fitch,yellow-headed cutworm moth,Native,S4S5 (2017),new 2019,,,,2019-07-30,benkeen,,https://www.inaturalist.org/observations/29873340,213826,https://static.inaturalist.org/photos/46645555/medium.jpeg?1564517199,
Apamea unanimis,Hübner,small clouded brindle,Exotic,SNA (2017),new 2019,,,,2019-05-24,benkeen,,https://www.inaturalist.org/observations/25715653,213861,https://static.inaturalist.org/photos/39861612/medium.jpeg?1558760244,
Apamea vultuosa,Grote,airy apamea moth,Native,S4S5 (2017),new 2019,,,,2019-06-06,benkeen,,https://www.inaturalist.org/observations/26536143,213865,https://static.inaturalist.org/photos/41213448/medium.jpeg?1559884697,
Aphidius sp.,Nees,none,,genus not in CDC records,reported,1961-05-22,G.J. Spencer,UBC,,,SEM-UBC HYM-5346,,250247,,
Aphodius congregatus,(Mannerheim),none,,genus is in CDC records,reported,1981-08-01,R.J. Cannings,UBC,,,SEM-UBC COL-27510,,475710,,original record Agoliinus congregatus 
Aphrophora sp.,Germar,a genus of spittlebugs,,genus not in CDC records,new 2019,,,,2019-08-14,benkeen,,https://www.inaturalist.org/observations/30859036,173079,https://static.inaturalist.org/photos/48239362/medium.jpeg?1565852324,
Apis mellifera,Linnaeus,western honey bee,Exotic,SNA (2016) ,new 2018,,,,2018-03-24,gwenlh,,https://www.inaturalist.org/observations/10402544,47219,https://static.inaturalist.org/photos/14444046/medium.jpg?1521935915,
Apotomis capreana,Hübner,sallow apotomis moth,Native,SNR (2017) ,new 2019,,,,2019-08-19,benkeen,,https://www.inaturalist.org/observations/31163234,214030,https://static.inaturalist.org/photos/48747995/medium.jpeg?1566283115,
Apteroloma caraboides,(Fall),none,Native,S3S5 (2017) ,reported,1984-05-27,B. Harrison,UBC,,,SEM-UBC COL-28991,,455075,,
Aquarius remigis,(Say),common water strider,,not in CDC records,confirmed,1981-09-13,G.G.E. Scudder,UBC,2018-09-11,benkeen,SEM-UBC GER-0270,https://www.inaturalist.org/observations/7425969,59651,https://static.inaturalist.org/photos/9649757/medium.jpg?1502312582,
Aradus heidemanni,Bergroth,sp. of flat bug family,,not in CDC records,reported,1951-07-13,W. Cottle,UBC,,,SEM-UBC HET-4118,,0,,iNaturalist 322578-Aradus genus
Aradus persimilis,Van Duzee,sp. of flat bug family,,not in CDC records,reported,1951-06-13,W. Cottle,UBC,,,SEM-UBC HET-4033,,0,,iNaturalist 322578-Aradus genus
Archipini,,tribe of Tortrix moths,,n/a,new 2019,,,,2019-06-25,benkeen,,https://www.inaturalist.org/observations/27681017,199542,https://static.inaturalist.org/photos/43094360/medium.jpeg?1561531559,
Archips rosana,Linnaeus,rose tortrix moth,Exotic,SNA (2017) ,new 2019,,,,2019-06-28,benkeen,,https://www.inaturalist.org/observations/27855555,214086,https://static.inaturalist.org/photos/43384099/medium.jpeg?1561791934,
Argia sp.,Rambur,dancers,,genus is in CDC records,new 2019,,,,2019-05-04,benkeen,,https://www.inaturalist.org/observations/24548790,47977,https://static.inaturalist.org/photos/37959211/medium.jpg?1557011046,
Arta sp.,Grote,none,,genus is in CDC records,new 2019,,,,2019-07-04,benkeen,,https://www.inaturalist.org/observations/28209777,173022,https://static.inaturalist.org/photos/43958275/medium.jpeg?1562290153,
Asemum sp.,Eschscholtz,a genus of long-horned beetles,,genus is in CDC records,new 2019,,,,2019-07-30,benkeen,,https://www.inaturalist.org/observations/29898878,172998,https://static.inaturalist.org/photos/46688082/medium.jpeg?1564548672,
Asilinae,,a subfamily of flies,,n/a,new 2019,,,,2019-08-29,benkeen,,https://www.inaturalist.org/observations/31772778,326683,https://static.inaturalist.org/photos/49765008/medium.jpeg?1567142979,
Athous sp.,Eschscholtz,a genus of click beetles,,genus is in CDC records,new 2018,,,,2018-06-25,thuja,,https://www.inaturalist.org/observations/13835687,86722,https://static.inaturalist.org/photos/20417405/medium.jpeg?1530122923,
Athysanus argentarius,Metcalf,silver leafhopper,,genus is in CDC records,new 2019,,,,2019-07-11,benkeen,,https://www.inaturalist.org/observations/28651539,204626,https://static.inaturalist.org/photos/44678067/medium.jpeg?1562897675,
Atimia confusa,Say,none,Native,S4S5 (2017),confirmed,1961-09-15,"Foster, J.B.",UBC,2019-07-30,benkeen,SEM-UBC COL-08417,https://www.inaturalist.org/observations/29872910,214583,https://static.inaturalist.org/photos/46645059/medium.jpeg?1564516896,
Atylotus tingaureus,Philip,none,Native,S4 (2017) ,confirmed,1931-08-16,H.B. Leech,UBC,2019-08-25,kmfret,SEM-UBC TAB-0069,https://www.inaturalist.org/observations/32189103,214629,https://static.inaturalist.org/photos/50459001/medium.jpeg?1567722411,
Autographa ampla,Walker,large looper moth,Native,S4S5 (2017),new 2019,,,,2019-06-28,benkeen,,https://www.inaturalist.org/observations/27855559,214671,https://static.inaturalist.org/photos/43384108/medium.jpeg?1561791951,
Autographa californica,Speyer,alfalfa looper,Native,S4S5 (2017),confirmed,1927-08-14,not online,RBCM,2019-05-11,benkeen,ENT991-094377,https://www.inaturalist.org/observations/24958060,121823,https://static.inaturalist.org/photos/38610055/medium.jpg?1557609068,historical record: West Vancouver
Autographa corusca,Strecker,none,Native,S4S5 (2017),confirmed,1936-07-09,not online,RBCM,2019-07-26,benkeen,ENT991-094121,https://www.inaturalist.org/observations/29623617,362247,https://static.inaturalist.org/photos/46241972/medium.jpeg?1564210189,historical record: West Vancouver
Autographa metallica,Grote,shanded gold spot,Native,S4S5 (2017),confirmed,1930-08-14,not online,RBCM,2019-07-28,benkeen,ENT991-094501,https://www.inaturalist.org/observations/29742684,214674,https://static.inaturalist.org/photos/46433984/medium.jpeg?1564351291,historical record: West Vancouver
Banasa dimidiata,Say,green burgundy stink bug,,not in CDC records,confirmed,1961-09-15,J.B. Foster,UBC,2019-06-24,judithofsquamish,SEM-UBC PEN-0321,https://www.inaturalist.org/observations/27606511,363224,https://static.inaturalist.org/photos/42971351/medium.jpeg?1561426947,
Banasa sordida,Uhler,none,,not in CDC records,confirmed,1963-08-18,R. Taylor,UBC,2018-12-29,benkeen,SEM-UBC PEN-0436,https://www.inaturalist.org/observations/19300935,119735,https://static.inaturalist.org/photos/29669562/medium.jpg?1546136728,
Banksiola crotchi,Banks,none,Native,S4S5 (2016) ,new 2019,,,,2019-07-20,benkeen,,https://www.inaturalist.org/observations/29227537,214849,https://static.inaturalist.org/photos/45606007/medium.jpeg?1563696406,
Barypeithes pellucidus,(Boheman),hairy spider weevil,Exotic,SNA (2017),reported,1961-05-18,G.J. Spencer,UBC,,,SEM-UBC COL-25489,,214872,,
Basilia sp. ,Miranda-Ribeiro,a genus of bat fly,,genus not in CDC records,new 2018,,,,2018-08-18,carl1986,,https://www.inaturalist.org/observations/15715800,173390,https://static.inaturalist.org/photos/23462083/medium.jpg?1534748115,
Bembidion sp.,Latreille,a genus of beetles,,genus is in CDC records,new 2019,,,,2019-04-05,benkeen,,https://www.inaturalist.org/observations/22064998,130639,https://static.inaturalist.org/photos/34170492/medium.jpg?1554515454,
Besma quercivoraria,Guenée,oak besma moth,Native,S4S5 (2017),new 2019,,,,2019-06-29,benkeen,,https://www.inaturalist.org/observations/27890004,143610,https://static.inaturalist.org/photos/43438496/medium.jpeg?1561840194,
Biston betularia,Linnaeus,peppered moth,Native,S4S5 (2017,new 2019,,,,2019-06-05,benkeen,,https://www.inaturalist.org/observations/26474691,143517,https://static.inaturalist.org/photos/41114074/medium.jpeg?1559788678,
Blastobasinae,,a subfamily of moths,,n/a,new 2019,,,,2019-06-25,benkeen,,https://www.inaturalist.org/observations/27681039,336937,https://static.inaturalist.org/photos/43094398/medium.jpeg?1561531602,
Boarmiini,,a tribe of geometer moths,,n/a,new 2019,,,,2019-05-11,benkeen,,https://www.inaturalist.org/observations/24958061,124062,https://static.inaturalist.org/photos/38610074/medium.jpg?1557609080,
Bombus bifarius,Cresson,black-notched bumble bee,Native,S5 (2016) ,new 2014,,,,2014-07-25,elsemikkelsen,,https://www.inaturalist.org/observations/9235983,127052,https://static.inaturalist.org/photos/12500697/medium.jpg?1513982460,
Bombus flavifrons,Cresson,yellow-fronted bumble bee,Native,S5 (2016,new 2017,,,,2017-07-22,gwenlh,,https://www.inaturalist.org/observations/9724361,119308,https://static.inaturalist.org/photos/13302814/medium.jpg?1517716404,
Bombus melanopygus,Nylander,black-tailed bumble bee,Native,S5 (2016),confirmed,1937-05-29,not online,RBCM,2018-03-31,judithofsquamish,ENT991-027198,https://www.inaturalist.org/observations/10528829,130222,https://static.inaturalist.org/photos/14656306/medium.jpeg?1522518167,historical record: West Vancouver
Bombus mixtus,Cresson,fuzzy-horned bumble bee,Native,S5 (2016) ,confirmed,1934-07-30,not online,RBCM,2018-06-03,sea2skynaturebc,ENT991-027242,https://www.inaturalist.org/observations/13080756,319125,https://static.inaturalist.org/photos/19054753/medium.jpg?1528045104,historical record: West Vancouver
Bombus occidentalis,Greene,none,Native,S2S4 (2016),reported,1969-09-14,J. Kato,UBC,,,SEM-UBC HYM-3088,,82371,,historical record Bowen Island
Bombus sitkensis,Nylander,none,Native,S5 (2016),reported,1932-06-13,not online,RBCM,,,ENT991-027093,,142269,,historical record West Vancouver
Bombus suckleyi,Greene,Suckley's cuckoo bumblebee,Native,S3S4 (2016),reported,1969-05-31,not online,RBCM,,,ENT991-027341,,452445,,historical record Psithyrus suckleyi; Bowen Island
Bombus vosnesenskii,Radoszkowski,yellow-faced bumble bee,Native,S5 (2016) ,new 2019,,,,2019-03-30,judithofsquamish,,https://www.inaturalist.org/observations/21794011,57689,https://static.inaturalist.org/photos/33757588/medium.jpeg?1553975722,
Bombylius major,Linnaeus,green bee fly,Native,S5 (2016),reported,1987-04-13,B. Elliot,UBC,,,SEM-UBC BOM-0433,,51557,,
