Taxon,Author,Common Name,Origin,Status,Reporting,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,First Documented,Documenter,Catalogue Number,iNaturalist Link,ID,iNaturalist photo,Notes
Hololepida magna,Moore,giant fleshy scaleworm family,,not in CDC records,reported,0000-00-00,,RBCM,,,976-00029-002,,0,,historical record Horseshoe Bay
Lumbricus terrestris,L.,common earthworm,Exotic,SNA (2019),new 2018,,,,2018-09-09,benkeen,,https://www.inaturalist.org/observations/16374324,81545,https://static.inaturalist.org/photos/24621127/medium.jpg?1536539520,
Alopecosa kochi,Keyserling,Koch's wolf spider,Native,S5 (2018),new 2014,,,,2010-07-24,elsemikkelsen,,https://www.inaturalist.org/observations/9235173,143470,https://static.inaturalist.org/photos/12499164/medium.jpg?1513976420,
Araneus diadematus,Clerck,cross orbweaver,Exotic,SNA,new 2009,,,,2005-10-02,hillanddale,,https://www.inaturalist.org/observations/8540621,52628,https://static.inaturalist.org/photos/11409425/medium.jpeg?1508905114,
Callobius severus,Simon,hacklemesh weaver,Native,S5 (2018),new 2018,,,,2014-12-19,benkeen,,https://www.inaturalist.org/observations/19130251,49549,https://static.inaturalist.org/photos/29366496/medium.jpg?1545373240,
Castianeira sp.,Keyserling,ant-mimic sac spiders,Exotic,SNA,new 2019,,,,2015-03-29,judithofsquamish,,https://www.inaturalist.org/observations/21827468,48134,https://static.inaturalist.org/photos/33815495/medium.jpeg?1554045368,
Cheiracanthium mildei,C.L. Koch,yellow sac spider,Exotic,SNA,new 2019,,,,2015-03-24,benkeen,,https://www.inaturalist.org/observations/21616161,61869,https://static.inaturalist.org/photos/33463920/medium.jpg?1553562775,
Enoplognatha ovata,Clerck,common candy-striped spider,Exotic,SNA,new 2019,,,,2015-07-31,benkeen,,https://www.inaturalist.org/observations/30021186,219195,https://static.inaturalist.org/photos/46881869/medium.jpeg?1564714394,
Eratigena duellica,C.L. Koch,giant house spider,,genus is in CDC records,new 2017,,,,2013-04-19,gwenlh,,https://www.inaturalist.org/observations/8311370,750907,https://static.inaturalist.org/photos/11035128/medium.jpg?1507478913,"CDC records only E. agrestis and E. atrica, both are Exotic"
Eriophyes emarginatae,Duluth,plum finger gall mite,,not in CDC records,new 2014,,,,2010-06-20,judithofsquamish,,https://www.inaturalist.org/observations/8893748,322964,https://static.inaturalist.org/photos/11966085/medium.jpeg?1511328565,
Eris militaris,Hentz,bronze jumping spider,Native,S4S5 (2018),new 2019,,,,2015-05-25,citizen1,,https://www.inaturalist.org/observations/26099750,121445,https://static.inaturalist.org/photos/40497835/medium.jpg?1559278501,
Habronattus sp.,Peckham & Peckham,paradise spiders,,genus is in CDC records,new 2019,,,,2015-07-19,benkeen,,https://www.inaturalist.org/observations/29261558,61881,https://static.inaturalist.org/photos/45657901/medium.jpeg?1563735299,
Larinioides sclopetarius,Clerck,grey cross spider,Exotic,SNA,new 2015,,,,2015-07-04,benkeen,,https://www.inaturalist.org/observations/28275245,538959,https://static.inaturalist.org/photos/44066318/medium.jpeg?1562389743,
Maevia inclemens,Walckenaer,dimorphic jumping spider, ,not in CDC records,recorded,2009-06-16, ,RBCM,,,ENT009-004643,,133054,,Big Rideau Lake; Horseshoe Bay
Metellina sp.,McCook,tetragnathid spiders,,genus is in CDC records,new 2019,,,,2015-08-17,benkeen,,https://www.inaturalist.org/observations/31071153,55622,https://static.inaturalist.org/photos/48592385/medium.jpeg?1566154844,
Misumena vatia,Clerck,goldenrod crab spider,Native,S5 (2018) ,new 2015,,,,2011-06-06,judithofsquamish,,https://www.inaturalist.org/observations/6016409,55746,https://static.inaturalist.org/photos/7527932/medium.jpeg?1493513733,
Nelima paessleri,Roewer,harvestman spider,Native,S5? (2019) ,new 2019,,,,2019-08-10,benkeen,,https://www.inaturalist.org/observations/30574465,428584,https://static.inaturalist.org/photos/47772563/medium.jpeg?1565478476,
