iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Author,Common name,Origin,Status,Reporting,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Catalogue Number,sinceTimestamp,sinceRecordedBy,sinceCollection,Documenting,iNaturalist Observation Link,Notes
Arctonoe pulchra,465156,Arctonoe pulchra ,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Arctonoinae,,Arctonoe,pulchra,Johnson,red commensal scaleworm,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Arctonoe vittata,122163,Arctonoe vittata ,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Arctonoinae,,Arctonoe,vittata,Grube,red-banded commensal scaleworm,Origin,Status,reported,1999-10-31T10:32:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,iNat,undocumented,,"Gibbs: Defence Islands, large, south side  "
Halosydna brevisetosa,71236,Halosydna brevisetosa ,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Lepidonotinae,,Halosydna,brevisetosa,Kinberg,eighteen-scaled worm,Origin,Status,reported,1999-09-13T12:24:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,iNat,undocumented,,Gibbs: Porteau shoreline north  
Harmothoe extenuata,347325,Harmothoe extenuata ,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Polynoinae,,Harmothoe,extenuata,Grube,yellow and brown scaleworm,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Hololepida magna,221400,Hololepida magna,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Lepidonotinae,,Hololepida,magna,Moore,giant fleshy scaleworm  ,Origin,Status,reported,0000-00-00,,RBCM,,976-00029-002,,,iNat,undocumented,,RBCM: Porteau Cove; RBCM: Horseshoe Bay 
Nereis vexillosa,81790,Nereis vexillosa ,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,,Nereididae,Nereidinae,,Nereis,vexillosa,Grube,banner sea-nymph,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Platynereis bicanaliculata,129876,Platynereis bicanaliculata,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,,Nereididae,Nereidinae,,Platynereis,bicanaliculata,Baird,a marine sp of worm,Origin,Status,new 2021,,,,,,2/16/2021,urielgc,iNat,documented,https://www.inaturalist.org/observations/69692181,
Chaetopterus variopedatus,216631,Chaetopterus species complex,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,,Chaetopteridae,,,Chaetopterus,variopedatus,Cuvier,u-shaped parchment tubeworm,Origin,Status,reported,,,,,,,,iNat,undocumented,, 
Phyllochaetopterus prolifica,467241,Phyllochaeopterus prolifica ,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,,Chaetopteridae,,,Phyllochaetopterus,prolifica,Potts,prolific three-section tubeworm,Origin,Status,reported,2015-01-29T10:59:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,iNat,undocumented,,DG: Porteau
Spiochaetopterus costarum,130236,Spiochaetopterus costarum ,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,,Chaetopteridae,,,Spiochaetopterus,costarum,Claparède,jointed three-section tubeworm,Origin,Status,reported,2003-10-13T12:26:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,iNat,undocumented,,DG: Porteau
Acromegalomma,781286,Acromegalomma sp. ,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Acromegalomma,,Montagu,twin-eyed feather duster,Origin,Status,reported,2015-01-29T10:59:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,iNat,undocumented,,"DG: Porteau, Megalomma sp. updated to current iNat taxonomy"
Apomatus geniculatus,939557,Apomatus geniculatus,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Apomatus,geniculatus,Moore & Bush,sp. of calcareous worms,Origin,Status,confirmed,,,,,,2018-06-23,thiebaud,iNat,documented,https://www.inaturalist.org/observations/55767318, 
Apomatus,375596,Apomatus spp.,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Apomatus,,Philippi,none,Origin,Status,reported,2012-04-25T11:05:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,iNat,undocumented,,DG: Porteau 2008 slide
Chone aurantiaca,356415,Chone aurantiaca ,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Chone,aurantiaca,Johnson,orange feather-duster,Origin,Status,reported,2004-07-14T12:56:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,iNat,undocumented,,"DG: Defence Islands, shore bioherm"
Chone minuta,339234,Chone minuta / c. C. ecaudata ,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Chone,minuta,Hartman / Moore,minute feather-dusters,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Crucigera irregularis,1294563,Crucigera irregularis ,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Crucigera,irregularis,Bush,irregular calcareous tubeworm,Origin,Status,reported,1998-06-13T15:07:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,iNat,undocumented,,DG: Porteau
Crucigera zygophora,543574,Crucigera zygophora ,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Crucigera,zygophora,Johnson,yolk-bearer calcareous tubeworm,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Eudistylia vancouveri,84864,Eudistylia vancouveri ,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Eudistylia,vancouveri,Kinberg,vancouver feather-duster tubeworm ,Origin,Status,reported,2015-01-11T13:34:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,iNat,undocumented,,DG: Porteau
Idanthyrsus saxicavus,942519,Idanthyrsus saxicavus ,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,,Sabellariidae,,,Idanthyrsus,saxicavus,Baird,stone-cave sandmason tubeworm,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Myxicola infundibulum,49533,Myxicola infundibulum,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Myxicola,infundibulum,Montagu,sand fan worm/slime-tube feather-duster,Origin,Status,confirmed,2015-01-11T13:34:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,iNat,documented,,DG: Porteau
Protula pacifica,538108,Protula pacifica,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Protula,pacifica,Pixell,white-crowned calcareous tubeworm ,Origin,Status,new 2018,,,,,,2018-06-23,thiebaud,iNat,documented,https://www.inaturalist.org/observations/55767317,
Parasabella media,367054,Parasabella media ,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Parasabella,media,Bush,parasol feather-duster,Origin,Status,reported,2015-01-11T13:34:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,iNat,undocumented,,DG: Porteau
Pileolaria,353085,Pileolaria spp. ,Fungi,Basidiomycota,Pucciniomycotina,,Pucciniomycetes,,,Pucciniales,Uredinineae,,,Pileolariaceae,,,Pileolaria,,Rioja,dwarf calcareous worm,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Protula pacifica,538108,Protula pacifica ,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Protula,pacifica,Pixell,white-crown calcareous tubeworm,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Pseudochitinopoma occidentalis,538107,Pseudochitinopoma occidentalis ,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Pseudochitinopoma,occidentalis,Bush,western calcareous tubeworm,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Neosabellaria cementarium,339237,Sabellaria cementarium ,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,,Sabellariidae,,,Neosabellaria,cementarium,Moore,cemented sandmason tubeworm,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Schizobranchia insignis,339561,Schizobranchia insignis,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Schizobranchia,insignis,Bush,split-branch feather-duster,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Serpula columbiana,131207,Serpula columbiana,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Serpula,columbiana,Johnson,red-trumpet calcareous tubeworm,Origin,Status,reported,2018-01-16T13:37:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,iNat,undocumented,,"DG: Defence Islands, sponge garden"
Protula pacifica,538108,Protula pacifica,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Protula,pacifica,Pixell,none,Origin,Status,reported,2018-01-16T13:37:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,iNat,undocumented,,"DG: Defence Islands, sponge garden"
Cistenides granulata,464624,Pectinaria granulata ,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebelliformia,,,Pectinariidae,,,Cistenides,granulata,L.,tusk coneworm,Origin,Status,reported, , ,,,,,,iNat,undocumented,, 
Pista elongata,338339,Pista elongata ,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebelliformia,,,Terebellidae,Terebellinae,,Pista,elongata,Moore,basket-top spaghetti-worm,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Thelepus crispus,117582,Thelepus crispus,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebelliformia,,,Terebellidae,Thelepodinae,,Thelepus,crispus,Johnson,none,Origin,Status,reported,2018-03-16T12:11:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,iNat,undocumented,,"DG: Defence Islands, shore bioherm"
Thelepus,117588,Thelepus spp. ,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebelliformia,,,Terebellidae,Thelepodinae,,Thelepus,,Leuckart,curly-head spaghetti-worm,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Alopecosa kochi,143470,Alopecosa kochi,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Lycosoidea,Lycosidae,Lycosinae,,Alopecosa,kochi,Keyserling,Koch's wolf spider,Origin,Status,confirmed,,,,,,2010-07-24,elsemikkelsen,iNat,documented,https://www.inaturalist.org/observations/9235173, 
Araneus diadematus,52628,Araneus diadematus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,,Araneus,diadematus,Clerck,cross orbweaver,Origin,Status,new 2009,,,,,,2009-10-03,hillanddale,iNat,documented,https://www.inaturalist.org/observations/8540621, 
Callobius severus,49549,Callobius severus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Amaurobioidea,Amaurobiidae,,,Callobius,severus,Simon,hacklemesh weaver,Origin,Status,confirmed,,,,,,2018-12-20,benkeen,iNat,documented,https://www.inaturalist.org/observations/19130251,iNat: needs i.d.
Castianeira,48134,Castianeira sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Corinnoidea,Corinnidae,Castianeirinae,,Castianeira,,Keyserling,ant-mimic sac spiders,Origin,Status,new 2019,,,,,,2019-03-30,judithofsquamish,iNat,documented,https://www.inaturalist.org/observations/21827468, 
Cheiracanthium mildei,61869,Cheiracanthium mildei,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Corinnoidea,Cheiracanthiidae,,,Cheiracanthium,mildei,C.L. Koch,yellow sac spider,Origin,Status,new 2019,,,,,,2019-03-25,benkeen,iNat,documented,https://www.inaturalist.org/observations/21616161,iNat: needs i.d.
Dysdera crocata,68912,Dysdera crocata,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Haplogynae,Dysderoidea,Dysderidae,,,Dysdera,crocata,C.L. Koch,woodlouse Spider,Origin,Status,new 2020,,,,,,2020-06-27,cunderdown,iNat,documented,https://www.inaturalist.org/observations/51815395, 
Eratigena duellica,750907,Eratigena duellica,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Agelenoidea,Agelenidae,,,Eratigena,duellica,C.L. Koch,giant house spider,Origin,Status,new 2017,,,,,,2017-04-20,gwenlh,iNat,documented,https://www.inaturalist.org/observations/8311370,"CDC records only E. agrestis and E. atrica, both are Exotic"
Agelenopsis,82116,Agelenopsis sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Agelenoidea,Agelenidae,Ageleninae,,Agelenopsis,,Giebel,Grass Spiders,Origin,Status,new 2021,,,,,,9/16/2019,elsemikkelsen,iNat,documented,https://www.inaturalist.org/observations/40565306,
Alopecosa kochi,143470,Alopecosa kochi,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Lycosoidea,Lycosidae,Lycosinae,,Alopecosa,kochi,Keyserling,Koch's wolf spider,Origin,Status,confirmed,,,,,,2010-07-24,elsemikkelsen,iNat,documented,https://www.inaturalist.org/observations/9235173,
Araneus gemmoides,214058,Araneus gemmoides,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,,Araneus,gemmoides,Chamberlin and Ivie,Cat-faced Orbweaver,Origin,Status,new 2021,,,,,,8/14/2021,ian676,iNat,documented,https://www.inaturalist.org/observations/91209431,
Araneus saevus,122290,Araneus saevus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,,Araneus,saevus,L. Koch,Fierce Orbweaver,Origin,Status,new 2019,,,,,,9/6/2019,jonahwho,iNat,documented,https://www.inaturalist.org/observations/32246145,
Araniella displicata,81984,Araniella displicata,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,,Araniella,displicata,Hentz,Six-spotted Orbweaver,Origin,Status,new 2021,,,,,,5/3/2021,gwenlh,iNat,documented,https://www.inaturalist.org/observations/77308096,
Arctosa,55470,Arctosa sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Lycosoidea,Lycosidae,Tricassinae,,Arctosa,,Fabricius,Bear Spiders,Origin,Status,new 2019,,,,,,8/24/2019,lenachiasson,iNat,documented,https://www.inaturalist.org/observations/31820341,
Bassaniana utahensis,298120,Bassaniana utahensis,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Thomisoidea,Thomisidae,,,Bassaniana,utahensis,Keyserling,Multicolored Bark Crab Spider,Origin,Status,new 2020,,,,,,4/24/2020,benkeen,iNat,documented,https://www.inaturalist.org/observations/43234383,
Castianeira,48134,Castianeira sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Corinnoidea,Corinnidae,Castianeirinae,,Castianeira,,Keyserling,ant-mimic sac spiders,Origin,Status,new 2019,,,,,,2019-03-30,judithofsquamish,iNat,documented,https://www.inaturalist.org/observations/21827468,
Cheiracanthium mildei,61869,Cheiracanthium mildei,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Corinnoidea,Cheiracanthiidae,,,Cheiracanthium,mildei,C.L. Koch,yellow sac spider,Origin,Status,new 2019,,,,,,2019-03-25,benkeen,iNat,documented,https://www.inaturalist.org/observations/21616161,iNat: needs i.d.
Clubiona,121774,Clubiona sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,,Clubionidae,,,Clubiona,,Latreille,Leafcurling Sac Spiders,Origin,Status,new 2019,,,,,,4/16/2019,benkeen,iNat,documented,https://www.inaturalist.org/observations/22594932,
Coriarachne,172448,Coriarachne sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Thomisoidea,Thomisidae,,,Coriarachne,,Thorell,a genus of crab spiders,Origin,Status,new 2020,,,,,,8/22/2020,benkeen,iNat,documented,https://www.inaturalist.org/observations/57273181,
Cybaeus,52951,Cybaeus sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Dictynoidea,Cybaeidae,,,Cybaeus,,L. Koch,a genus of araneomorph spiders,Origin,Status,new 2021,,,,,,4/6/2021,benkeen,iNat,documented,https://www.inaturalist.org/observations/73180540,
Cyclosa conica,205888,Cyclosa conica,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,,Cyclosa,conica,Pallas,Conical Trashline Orbweaver,Origin,Status,new 2020,,,,,,8/5/2021,cgbc,iNat,documented,https://www.inaturalist.org/observations/90367782,
Dysdera crocata,68912,Dysdera crocata,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Haplogynae,Dysderoidea,Dysderidae,,,Dysdera,crocata,C.L. Koch,woodlouse Spider,Origin,Status,new 2020,,,,,,2020-06-27,cunderdown,iNat,documented,https://www.inaturalist.org/observations/51815395,
Eratigena duellica,750907,Eratigena duellica,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Agelenoidea,Agelenidae,,,Eratigena,duellica,C.L. Koch,giant house spider,Origin,Status,new 2017,,,,,,2017-04-20,gwenlh,iNat,documented,https://www.inaturalist.org/observations/8311370,"CDC records only E. agrestis and E. atrica, both are Exotic"
Eris militaris,121445,Eris militaris,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Eris,militaris,Hentz,bronze jumping spider,Origin,Status,new 2019,,,,,,2015-05-25,citizen1,iNat,documented,https://www.inaturalist.org/observations/26099750,
Evarcha,61762,Evarcha sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Plexippini,Evarcha,,Simon,genus of jumping spiders,Origin,Status,new 2015,,,,,,2015-06-10,cfmurrell,iNat,documented,https://www.inaturalist.org/observations/61723610,
Habronattus hirsutus,220812,Habronattus hirsutus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Plexippini,Habronattus,tranquillus,Peckham & Peckham,Hirsute Paradise Spider,Origin,Status,new 2018,,,,,,5/12/2018,jkaseman18,iNat,documented,https://www.inaturalist.org/observations/68298177,
Habronattus oregonensis,61880,Habronattus oregonensis,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Plexippini,Habronattus,oregonensis,Peckham & Peckham,Oregon paradise spider,Origin,Status,new 2020,,,,,,2020-05-09,benkeen,iNat,documented,https://www.inaturalist.org/observations/45409818,
Larinioides sclopetarius,538959,Larinioides sclopetarius,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,,Larinioides,sclopetarius,Clerck,grey cross spider,Origin,Status,new 2015,,,,,,2015-07-04,benkeen,iNat,documented,https://www.inaturalist.org/observations/28275245,
Maevia inclemens,133054,Maevia inclemens,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Maevia,inclemens,Walckenaer,dimorphic jumping spider,Origin,Status,reported,2009-06-16, ,RBCM,,ENT009-004643,,,iNat,undocumented,,RBCM: Big Rideau Lake; Horseshoe Bay
Metellina,55622,Metellina sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Tetragnathidae,,,Metellina,,McCook,tetragnathid spiders,Origin,Status,new 2019,,,,,,2019-08-18,benkeen,iNat,documented,https://www.inaturalist.org/observations/31071153,
Microlinyphia dana,225132,Microlinyphia dana,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Linyphiidae,Linyphiinae,,Microlinyphia,dana,Chamberlin & Ivie,west coast threaded sheetweaver,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Misumena vatia,55746,Misumena vatia,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Thomisoidea,Thomisidae,,,Misumena,vatia,Clerck,goldenrod crab spider,Origin,Status,confirmed,,,,,,2015-06-07,judithofsquamish,iNat,documented,https://www.inaturalist.org/observations/6016409,
Neriene litigiosa,209814,Neriene litigiosa,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Linyphiidae,Linyphiinae,,Neriene,litigiosa,Keyserling,Sierra dome spider,Origin,Status,new 2018,,,,,,2018-08-12,rileypollom,iNat,documented,https://www.inaturalist.org/observations/15732244,
Parasteatoda tepidariorum,120583,Parasteatoda tepidariorum,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Theridiidae,,,Parasteatoda,tepidariorum,C.L. Koch,common house spider,Origin,Status,new 2015,,,,,,2015-09-04,elsemikkelsen,iNat,documented,https://www.inaturalist.org/observations/9504728,
Pardosa,47415,Pardosa sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Lycosoidea,Lycosidae,Pardosinae,,Pardosa,,C.L. Koch,thin-legged wolf spiders,Origin,Status,new 2018,,,,,,2018-08-18,citizen1,iNat,documented,https://www.inaturalist.org/observations/15744263,iNat: needs i.d.
Phanias albeolus,202314,Phanias albeolus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Phanias,albeolus,Chamberlin & Ivie,a sp of jumping spider,Origin,Status,new 2021,,,,,,7/26/2021,benkeen,iNat,documented,https://www.inaturalist.org/observations/88767885,
Phidippus johnsoni,1362558,Phidippus johnsoni,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Phidippus,johnsoni,Peckham & Peckham,red-backed jumping spider,Origin,Status,confirmed,,,,,,2018-03-31,elsemikkelsen,iNat,documented,https://www.inaturalist.org/observations/20484636,
Philodromus dispar,227754,Philodromus dispar,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Thomisoidea,Philodromidae,,,Philodromus,dispar,Walckenaer,Eurasian running crab spider,Origin,Status,new 2019,,,,,,2019-05-05,benkeen,iNat,documented,https://www.inaturalist.org/observations/24650673,
Pholcus phalangioides,67328,Pholcus phalangioides,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Haplogynae,Pholcoidea,Pholcidae,,,Pholcus,phalangioides,Feusslin,long-bodied cellar spider,Origin,Status,new 2018,,,,,,2018-10-07,benkeen,iNat,documented,https://www.inaturalist.org/observations/17298226,
Pimoa altioculata,228139,Pimoa altioculata,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Pimoidae,,,Pimoa,altioculata,Keyserling,a sp of spider,Origin,Status,new 2021,,,,,,2/9/2021,urielgc,iNat,documented,https://www.inaturalist.org/observations/69393852,
