iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Author,Common name,Origin,Status,Reporting,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Catalogue Number,sinceTimestamp,sinceRecordedBy,sinceCollection,Documenting,iNaturalist Observation Link,Notes
Piscicolinae,1067395,Piscicolinae,Animalia,Annelida,,,Clitellata,Hirudinea,,Rhynchobdellida,,,,Piscicolidae,Piscicolinae,,,,Johnston,fish leeches,Origin,Status,reported,,,,,,,,iNat,undocumented,,Genus piscicola is the only genus in iNat that has observations
Eisenia fetida,127409,Eisenia fetida,Animalia,Annelida,,,Clitellata,Oligochaeta,,Crassiclitellata,Lumbricina,,,Lumbricidae,,,Eisenia,fetida,Savigny,redworm,Origin,Status,new 2020,,,,,,2019-07-15,benkeen,iNat,documented,https://www.inaturalist.org/observations/28874743,iNat: needs i.d.
Lumbricus terrestris,81545,Lumbricus terrestris,Animalia,Annelida,,,Clitellata,Oligochaeta,,Crassiclitellata,Lumbricina,,,Lumbricidae,,,Lumbricus,terrestris,L.,common earthworm,Origin,Status,confirmed,,,,,,2018-09-09,benkeen,iNat,documented,https://www.inaturalist.org/observations/16374324,
Octolasion cyaneum,358274,Octolasion cyaneum,Animalia,Annelida,,,Clitellata,Oligochaeta,,Crassiclitellata,Lumbricina,,,Lumbricidae,,,Octolasion,cyaneum,Savigny,blue-grey worm,Origin,Status,new 2021,,,,,,6/5/2021,cgbc,iNat,documented,https://www.inaturalist.org/observations/81805444, 
Diopatra ornata,339286,Diopatra ornata ,Animalia,Annelida,,,Polychaeta,Errantia,,Eunicida,,,,Onuphidae,Onuphinae,,Diopatra,ornata,Moore,ornate tubeworm,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Nephtys,117607,Nephtys spp. ,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,,,,Nephtyidae,,,Nephtys,,Cuvier,goddess-worms,Origin,Status,reported,,,,,,,,iNat,undocumented,, 
Phyllodoce,52132,Phyllodoce spp. ,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Ericoideae,Phyllodoceae,Phyllodoce,,L.,leafy paddleworms,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Tomopteris pacifica,693689,Tomopteris pacifica ,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,,,,Tomopteridae,,,Tomopteris,pacifica,Isuka,tailed pacific transparent-worm,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Tomopteris septentrionalis,409151,Tomopteris septentrionalis ,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,,,,Tomopteridae,,,Tomopteris,septentrionalis,Steenstrup,tail-less pacific transparent-worm,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Arctonoe fragilis,69914,Arctonoe fragilis ,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Arctonoinae,,Arctonoe,fragilis,Baird,fragile ruffled scaleworm,Origin,Status,reported,2003-08-19T14:13:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,iNat,undocumented,,Gibbs: Furry Creek  
