Taxon,Author of Species,Author of       Subspecies or Variety,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status (B.C.),reporting,Documented,Last Collected/ Reported,Collector/Source,Collection Accession #/List,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Antitrichia curtipendula,(Hedw.) Brid.,,pendulous wing-moss,Plantae,Bryophyta,,,Bryopsida,,,Leucodontales,,,Leucodontaceae,,native,S5 (2015),confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),2017-02-21,elsemikkelsen,https://www.inaturalist.org/observations/9211340,https://static.inaturalist.org/photos/12458891/medium.jpg?1513710609,,126107,
Arctoa fulvella ,(Dicks.) Bruch & Schimp. B18, ,tawny fork moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2015) ,reported,undocumented,1981-08-26,J. Spence,UBC s.n.,,,,,,158575,
Atrichum selwynii ,Aust.,,Selwyn's smoothcap moss,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,Polytrichaceae,,native,S5? (2015) ,reported,undocumented,1983-09-06,W. B. Schofield ,UBC  s.n.,,,,,,55331,
Atrichum undulatum,(Hedw.) P. Beauv.,,Catherine's moss,Plantae,Bryophyta,,,Bryopsida,,,Polytrichales,,,Polytrichaceae,,native,S5 (2015) ,confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),2018-09-24,keeganjd,https://www.inaturalist.org/observations/16893131,https://static.inaturalist.org/photos/25520575/medium.jpg?1537848701,,124155,
Aulacomnium androgynum,(Hedw.) Schwaegr.,,drumsticks,Plantae,Bryophyta,,,Bryopsida,,,Rhizogoniales,,,Aulacomniaceae,,native,S5 (2015) ,reported,undocumented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,,,,,124384,
Aulacomnium palustre,(Hedw.) Schwaegr.,,ribbed bog moss,Plantae,Bryophyta,,,Bryopsida,,,Rhizogoniales,,,Aulacomniaceae,,native,S5 (2015) ,reported,undocumented,1983-08-11,J. Spence ,UBC s.n.,,,,,,154189,
Barbula convoluta ,Hedw.,,lesser bird's-claw beard-moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S4S5 (2015) ,reported,undocumented,1974-08-10,W. B. Schofield ,UBC  s.n.,,,,,,159168,
Barbula unguiculata ,Hedw.,,bird's-claw beard-moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S3S4 (2015),reported,undocumented,1961-02-25,W. B. Schofield ,UBC  s.n.,,,,,,159173,
Bartramia ithyphylla,Brid.,,stiff apple-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,native,S5? (2015) ,reported,undocumented,1983-09-29,W. B. Schofield ,UBC  s.n.,,,,,,317945,
Bartramia pomiformis,Hedw.,,common apple-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,native,S4S5 (2015,confirmed,documented,2005-04-20,W. B. Schofield ,UBC  s.n.,2012-04-21,judithofsquamish,https://www.inaturalist.org/observations/9060413,https://static.inaturalist.org/photos/12232794/medium.jpeg?1512531826,,320575,
Blindia acuta ,(Hedw.) Bruch & Schimp. B63,,sharp-leaved blindia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Seligariaceae,,native,S5 (2015),reported,undocumented,1980-08-19,J. van Velzen ,UBC  s.n.,,,,,,156309,
Brachydontium olympicum ,(Britt. in Frye) McIntosh &  Spence,,Olympic brachydontium moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Seligariaceae,,native,S2? (2015),reported,undocumented,1983-09-29,J. Spence & W. B. Schofield ,UBC  s.n.,,,,,,156319,
Brachythecium albicans,(Hedw.) Schimp. in B.S.G.,,whitish feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S4S5 (2015) ,reported,undocumented,2003-06-19,W. B. Schofield ,UBC  s.n.,,,,,,123771,
Brachythecium collinum ,(Schleich. ex C. Müll.) Schimp. in B.S.G. ,,none,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S4S5 (2015) ,reported,undocumented,1983-08-11,J. Spence ,UBC s.n.,,,,,,159389,
Brachythecium erythrorrhizon ,Schimp. in B.S.G.,,none,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S3S4 (2015) ,reported,undocumented,1983-08-11,J. Spence ,UBC s.n.,,,,,,159392,
Brachythecium frigidum,(C. Müll.) Besch.,,cold brachythecium moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S5? (2015),reported,undocumented,2001-05-22,W. B. Schofield ,UBC  s.n.,,,,,,123270,
Brachythecium holzingeri,(Grout) Grout,,none,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S2S3 (2011) ,reported,undocumented,1998-06-19,W. B. Schofield ,UBC  s.n.,,,,, ,159396,
Brachythecium hylotapetum,B. Hig. & N. Hig.,,woodsy ragged moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S4S5 (2011) ,reported,undocumented,1969-08-22,M. Fries ,WTU: WTU-B-005995,,,,,,159397,
Brachythecium nelsonii ,Grout,,none,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S3S4 (2011) ,reported,undocumented,2001-10-07,W. B. Schofield ,UBC  s.n.,,,,,,159400,
Brachythecium oedipodium ,(Mitt.) Jaeg.,,short-leaved ragged moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S4S5 (2011),reported,undocumented,1978-10-14,W. B. Schofield,UBC  s.n.,,,,,,159401,
Brachythecium plumosum,(Hedw.) Schimp. ,,rusty ragged moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S4S5 (2011) ,reported,undocumented,1983-09-06,W. B. Schofield ,UBC  s.n.,,,,,,159403,
Brachythecium reflexum,(Starke in Web. & Mohr) Schimp.,,cedar moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,see notes,reported,undocumented,1976-09-23,W. B. Schofield,UBC  s.n.,,,,,"one of the 2 BC varieties is listed; FNA name updated to Sciuro-hypnum reflexum (Starke) Ignatov & Huttunen, Arctoa, however Brachythecium reflexum on Nature Serve",159404,
Brachythecium rutabulum ,(Hedw.) Schimp. .,,rough-stalked feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S4S5 (2011) ,reported,undocumented,1980-08-19,J. van Velzen ,UBC  s.n.,,,,,,159407,
Brachythecium salebrosum,(Web. & Mohr) Schimp. ,,smooth-stalked feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S4S5 (2011),reported,undocumented,1980-04-16,W. B. Schofield  ,UBC  s.n.,,,,,,159408,
Brachythecium starkei ,(Brid.) Schimp. ,,Starke`s feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,SU (2015),reported,undocumented,1998-11-11,W. B. Schofield ,UBC  s.n.,,,,,,159409,
Brachythecium velutinum ,(Hedw.) Schimp. B88,,velvet feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,see notes,reported,undocumented,1983-08-11,J. Spence ,UBC ,,,,,one of the 2 BC varieties is listed,154134,
Brotherella roellii  ,(Ren. & Card. in Röll) Fleisch.,,Roell`s brotherella moss,Plantae,Bryophyta,,,Bryopsida,, ,Hypnales,,,Sematophyllaceae,,native,S1S2 (2011),reported,undocumented,1980-04-16,W. B. Schofield  & T.T. McIntosh,UBC  s.n.,,,,,,159482,
Bryoerythrophyllum recurvirostrum ,(Hedwig) P. C. Chen,,red beard-moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,"not in CDC records, see 'notes'",reported,undocumented,1974-08-10,W. B. Schofield ,UBC  s.n.,,,,,"on NatureServe, FNA map shows it in BC & I.T.I.S. accepts",273647,
Bryum caespiticium,Hedw.,,tufted thread-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S4S5 (2015) ,reported,undocumented,1983-08-11,J. Spence ,UBC s.n.,,,,,,159521,
Bryum calobryoides ,Spence,,beautiful bryum,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S1S3 (2015),reported,undocumented,1983-09-29,J. Spence ,UBC  s.n.,,,,,,159522,
Bryum lisae ,De Not.,,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S4S5 (2015)  ,reported,undocumented,1981-08-26,J. Spence ,UBC s.n.,,,,,,159542,
Bryum meesioides ,Kindb. in Mac.,,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S4S5 (2015)  ,reported,undocumented,1981-08-26,J. Spence,UBC s.n.,,,,,,159546,
Bryum miniatum,Lesq.,,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S4S5 (2015) ,reported,undocumented,1962-07-01,R. R. Ireland ,WTU: WTU-B-008997,,,,,,159548,
Bryum muehlenbeckii,Bruch & Schimp. in B.S.G.,,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S3S4 (2011),reported,undocumented,1983-09-29,J. Spence ,UBC s.n.,,,,,,623038,
Bryum pallescens ,Schleich. ex Schwaegr.,,tall-clustered thread moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S3 (2015)  ,reported,undocumented,1980-08-18,J. van Velzen ,UBC s.n.,,,,,,67865,
"Bryum salinum 
",I. Hagen ex Limpr,,saltmarsh bryum,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,"not in CDC records, see 'notes'",reported,undocumented,1983-08-11,J. Spence ,UBC s.n.,,,,,"name accepted by I.T.I.S., however NatureServe name is Ptychostomum salinum (Hag. ex Limpr.) J.R. Spence saltmarsh moss",159562,
Buckiella undulata,(Hedw.) Ireland,,waved silk-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Hypnaceae,,native,S4 (2015) ,confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),2017-05-05,chlorophilia,https://www.inaturalist.org/observations/6113052,https://static.inaturalist.org/photos/7647964/medium.jpeg?1494086886,,123497,
Buxbaumia aphylla ,(Funck) Bednarek-Ochyra & Ochyra,,slender fringe-moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,native,"not in CDC records, see 'notes'",reported,undocumented,2001-10-07,W. B. Schofield ,UBC s.n.,,,,,"on NatureServe, I.T.I.S.accepts,FNA map shows it in BC",159610,
