Taxon,Author of Species,Author of       Subspecies or Variety,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status (B.C.),reporting,Documented,Last Collected/ Reported,Collector/Source,Collection Accession #/List,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Sphagnum riparium ,Ångstr.,,streamside sphagnum,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S5 (2015) ,reported,undocumented,1981-08-05,J. Spence,UBC s.n.,,,,,,169232,
Sphagnum rubellum ,Wils.,,red peatmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S5 (2015),reported,undocumented,1982-09-02,W. B. Schofield,UBC s.n.,,,,,,132815,
Sphagnum russowii ,Warnst.,,Russow's peatmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4S5 (2015) ,reported,undocumented,1966-09-14,W. B. Schofield,NY: 00543505,,,,,,155565,
Sphagnum squarrosum,Crome,,Crome sphagnum,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S5 (2015) ,confirmed,documented,2001-10-07,W. B. Schofield,UBC s.n.,2018-08-28,judithofsquamish,https://www.inaturalist.org/observations/17456926,https://static.inaturalist.org/photos/26541649/medium.jpeg?1539408790,,132807,
Sphagnum subnitens ,Russ. & Warnst. in Warnst.,,lustrous bog-moss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4? (2015),reported,undocumented,1986-09-09,W. B. Schofield,UBC s.n.,,,,,,132808,
Sphagnum subsecundum ,Nees,,orange peatmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4 (2015),reported,undocumented,1982-09-02,W. B. Schofield,UBC s.n.,,,,,,132799,
Sphagnum tenellum ,(Brid.) Bory,,delicate peatmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4S5 (2015),reported,undocumented,1982-07-22,J. Spence,UBC s.n.,,,,,,132798,
Sphagnum teres ,Ångstr.,,rigid bog-moss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4S5 (2015),reported,undocumented,1961-07-21,E.B. Peterson ,UBC s.n.,,,,,,132805,
Sphagnum warnstorfii ,Russ.,,fen peatmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4S5 (2015) ,reported,undocumented,1982-09-02,W. B. Schofield,UBC s.n.,,,,,,143509,
Syntrichia montana ,Nees,,intermediate screw-moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S4 (2015) ,reported,undocumented,1974-08-10,W. B. Schofield,UBC s.n.,,,,,,169511,
Syntrichia norvegica ,Web.,,none,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S4S5 (2015),reported,undocumented,1966-09-14,W. B. Schofield,UBC s.n.,,,,,,494575,
Syntrichia ruralis ,(Hedw.) Weber & D. Mohr ,,star moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S5 (2015),reported,undocumented,2003-06-19,W. B. Schofield,UBC s.n.,,,,,"herbarium record Tortula ruralis 
",22320,
Tetraphis pellucida ,Hedw.,,common four-tooth moss,Plantae,Bryophyta,,,Tetraphidopsida,,,Tetraphidales,,,Tetraphidaceae,,native,S4S5 (2015),reported,undocumented,2005-04-20,W. B. Schofield,UBC s.n.,,,,,,124385,
Timmia austriaca,Hedw.,,Austria timmia moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Timmiaceae,,native,S5 (2015),new,documented,,,,2018-10-09,judithofsquamish,https://www.inaturalist.org/observations/18013271,https://static.inaturalist.org/photos/27538380/medium.jpeg?1541098473,,123702,
Tortella fragilis ,(Hook. & Wils. in Drumm.) Limpr.,,fragile twisted moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S4S5 (2015),reported,undocumented,1980-08-19,Joop van Velzen,UBC s.n.,,,,,,169800,
Tortella inclinata ,(Hedw. f.) Limpr.,,inclined twisted moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S3S4 (2015) ,reported,undocumented,1974-08-06,W. B. Schofield,UBC s.n.,,,,,,169802,
Tortella tortuosa ,(Hedw.) Limpr.,,twisted moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S5 (2015)  ,reported,undocumented,1978-08-02,W. B. Schofield,UBC s.n.,,,,,,134215,
Tortula hoppeana ,(Schultz) Ochyra,,none,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S4S5 (2015),reported,undocumented,1983-09-29,John Spence,UBC s.n.,,,,,,364138,
Trematodon ambiguus ,(Hedw.) Hornsch.,,none,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Bruchiaceae,,native,S3S4 (2011),reported,undocumented,1980-10-04,W. B. Schofield,UBC s.n.,,,,,,155766,
Trichodon cylindricus ,(Hedw.) Schimp.,,trichodon moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4 (2015),reported,undocumented,1980-10-04,W. B. Schofield,UBC s.n.,,,,,,169918,
Ulota megalospora,Vent. in Röll,,Ulota megalospora,Plantae,Bryophyta,,,Bryopsida,,,Orthotrichales,,,Orthotrichaceae,,native,S4 (2015),reported,undocumented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,,,,,170065,
Ulota obtusiuscula,C. Müll. & Kindb. in Mac. & Kindb.,,twisted ulota moss,Plantae,Bryophyta,,,Bryopsida,,,Orthotrichales,,,Orthotrichaceae,,native,S4 (2015) ,confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),2015-11-11,judithofsquamish,https://www.inaturalist.org/observations/8728702,https://static.inaturalist.org/photos/11710768/medium.jpeg?1510120153,one of the 2 BC varieties is listed,123137,
Ulota phyllantha ,Brid.,,frizzled pincushion ,Plantae,Bryophyta,,,Bryopsida,,,Orthotrichales,,,Orthotrichaceae,,native,S4S5 (2015),reported,documented,1981-08-10,Terry Taylor,UBC s.n.,,,,,,170066,
Warnstorfia exannulata ,(Schimp. in B.S.G.) Loeske,,Warnstorfia moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Calliergonaceae,,native,S4S5 (2015) ,reported,undocumented,1976-09-23,W. B. Schofield,UBC s.n.,,,,,,170291,
Bryopsis sp. / B. corticulans,Setchell,,none,Plantae,Chlorophyta,,,Ulvophyceae,,,Bryopsidales,,,Bryopsideceae,,,not in CDC records,reported,undocumented,2005-02-17,Donna Gibbs,Howe Sound Marine Data,,,,, ,339004,
Cladophora sp.,Kützing,,none,Plantae,Chlorophyta,,,Ulvophyceae,,,Cladophorales,,,Cladophroaceae,,,not in CDC records,reported,undocumented,1994-09-24,Donna Gibbs,Howe Sound Marine Data,,,,, ,53707,
Ulva intestinalis,L.,,gutweed,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,Ulvaceae,,,not in CDC records,confirmed,documented,2003-07-17,Donna Gibbs,Howe Sound Marine Data,2018-09-18,keeganjd,https://www.inaturalist.org/observations/16662328,https://static.inaturalist.org/photos/25125420/medium.jpg?1537291296,,130197,
Ulva lactuca,L.,,sea lettuce,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,Ulvaceae,,,not in CDC records,confirmed,documented,2012-04-25,Donna Gibbs,Howe Sound Marine Data,2018-09-23,benkeen,https://www.inaturalist.org/observations/16844439,https://static.inaturalist.org/photos/25433131/medium.jpg?1537731045, ,67423,
Urospora penicilliformis,(Roth) Areschoug,,none,Plantae,Chlorophyta,,,Ulvophyceae,,,Codiolales,,,Acrosiphoniaceae,,,not in CDC records,reported,undocumented,2003-07-17,Donna Gibbs,Howe Sound Marine Data,,,,, ,339001,
Abies amabilis,Douglas ex J. Forbes,,Pacific silver fir,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,,native,S5 (2015) ,confirmed,documented,1979-07-20,Jack R. Maze,UBC: V166771,2015-03-13,judithofsquamish,https://www.inaturalist.org/observations/5992370,https://static.inaturalist.org/photos/7493527/medium.jpeg?1493356182,,75240,
Abies grandis,(Douglas ex D. Don) Lindl. ,,grand fir,Plantae,Tracheophyta,,,Pinopsida,,,Pinales, ,,Pinaceae,,native,S5 (2015),new,documented,,,,2018-09-24,keeganjd,https://www.inaturalist.org/observations/16895059,https://static.inaturalist.org/photos/25523981/medium.jpeg?1537856128,,63690,
Abies lasiocarpa,(Hook.) Nutt.,,subalpine fir,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,,native,S5 (2015),reported,undocumented,1914-08-04,John Davidson ,UBC: V47676,,,,,,75241,
Acer circinatum,Pursh,,vine maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,native,S5 (2015) ,confirmed,documented,2012-07-25,E. R. Manton ,V238601,2017-05-05,chlorophilia,https://www.inaturalist.org/observations/6113046,https://static.inaturalist.org/photos/7647901/medium.jpeg?1494086657,,48258,
Acer glabrum var. douglasii,Torr.,(Hook.) Dippel,Douglas maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,native,S5 (2015) ,confirmed,documented,1959-04-05,L. Holm,UBC: V78930,2018-10-09,judithofsquamish,https://www.inaturalist.org/observations/18003066,https://static.inaturalist.org/photos/27521542/medium.jpeg?1541048874,,181694,
Acer macrophyllum,Pursh,,bigleaf maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,native,S5 (2015) ,confirmed,documented,2015-06-26,B. Brett,2015 Squamish Bioblitz part of Whistler BB Bob Brett),2016-09-19,vanezo,http://inaturalist.ca/observations/4148391,https://static.inaturalist.org/photos/4939194/medium.jpg?1474302239,,48227,
Achillea millefolium,L.,,common yarrow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA ,confirmed,documented,2015-06-26,A. Lynn,2015 Squamish Bioblitz part of Whistler BB Bob Brett),2016-07-02,hillanddale,https://www.inaturalist.org/observations/9532474,https://static.inaturalist.org/photos/13000173/medium.jpeg?1516403412,,52821,
Achnatherum hymenoides ,(Roem. & Schult.) Barkworth,,Indian ricegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,native,S4 (2015),reported,undocumented,1947-06-24,Vernon C. Brink,UBC: V120307,,,,,,117413,
Acmispon parviflorus,(Benth.) D.D. Sokoloff,,short-flower deervetch,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,,native,S3S4 (2015),confirmed,documented,1912-07-14,John Davidson,UBC: V62565,2018-12-15,benkeen,https://www.inaturalist.org/observations/19035628,https://static.inaturalist.org/photos/29196388/medium.jpg?1544910206,,57048,
Adenocaulon bicolor,Hook.,,American trailplant,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,, ,Asterales,,,Asteraceae,,native,S5 (2015),reported ,undocumented,1984-08-14,Bruce A. Bohm ,UBC: V194653,,,,,,56854,
Adiantum aleuticum,(Rupr.) Paris,,western maidenhair fern,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,,,Pteridaceae,,native,S4 (2012) ,confirmed,documented,1963-10-23,Thomas M.C. Taylor,UBC: V104640,2017-05-07,judithofsquamish,https://www.inaturalist.org/observations/10424848,https://static.inaturalist.org/photos/14483053/medium.jpeg?1522029680,,52667,
Aesculus hippocastanum,L.,,horse-chestnut,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,exotic,SNA (2013) ,new,documented,,,,2018-09-24,keeganjd,https://www.inaturalist.org/observations/16893433,https://static.inaturalist.org/photos/25521124/medium.jpg?1537849634,,84298,
Agoseris aurantiaca var. aurantiaca ,(Hook.) Greene,(Hook.) Greene,orange agoseris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,native,S5 (2015),confirmed,documented,1965-08-16,B. Fraser,UBC: V158245,2013-08-19,judithofsquamish,https://www.inaturalist.org/observations/10425403,https://static.inaturalist.org/photos/14483888/medium.jpeg?1522031268,,75302,
Agoseris glauca,(Pursh.) Raf.,,pale agoseris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,, ,Asterales,,,Asteraceae,Cichorioideae,native,S4 (2001),reported ,undocumented,1965-07-03,B. Fraser ,UBC: V158309,,,,,,75303,
Agrostis aequivalvis,(Trin.) Scribn. & Merr.,,northern bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooidiae,native,S5 (2000),confirmed,documented,1977-06-08,Chris J. Clement,V155066,2018-07-12,judithofsquamish,https://www.inaturalist.org/observations/14557708,https://static.inaturalist.org/photos/21687817/medium.jpeg?1532132883,"aka Podagrostis aequivalvis, including herbarium record",158130,
Agrostis capillaris,L.,,colonial bent,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooidiae,exotic,SNA (2000),confirmed,documented,2005-07-29,P.M. Peterson,UBC: V225553,2018-05-21,judithofsquamish,https://www.inaturalist.org/observations/12726914,https://static.inaturalist.org/photos/18433055/medium.jpeg?1527037777,,75312,
Agrostis exarata,Trin.,,Pacific bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooidiae,native,S5 (2015)  ,confirmed,documented,2005-07-29,P.M. Peterson,UBC: V225551,2015-06-07,judithofsquamish,https://www.inaturalist.org/observations/10426061,https://static.inaturalist.org/photos/14485004/medium.jpeg?1522033687,,59088,
Agrostis gigantea?,Roth,,redtop?,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooidiae,exotic,SNA (2000),reported,undocumented,2013-08-09,Terry Taylor ,UBC: V241537,,,,,,75314,
Agrostis humilis ,(Vasey) Björkman,,alpine bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,native,S4 (2015) ,reported,undocumented,1969-09-05,T. Christopher Brayshaw ,V055006,,,,,"herbarium record Podagrostis humilis, accepted by I.T.I.S.",75316,
Agrostis mertensii ,Trin.,,Arctic bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooidiae,native,S5 (2015),reported,undocumented,1941-07-28,Vernon C. Brink ,UBC: V95858,,,,,,158138,
Agrostis scabra,Willd.,,ticklegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooidiae,native,S5 (2015),confirmed,documented,1974-07-02,Charles E. Beil ,UBC: V176155,2017-06-19,judithofsquamish,https://www.inaturalist.org/observations/10426228,https://static.inaturalist.org/photos/14485209/medium.jpeg?1522034355,,75319,
Agrostis stolonifera,L.,,creeping bent,Plantae,Tracheophyta,Angiospermae,,Liliopsida,, ,Poales,,,Poaceae,Pooidiae,exotic,SNA (2000) ,reported ,undocumented,2004-05-05,T. Taylor ,report,,,,,,69931,
Agrostis thurberiana ,Hitchc.,,Thurber's bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,, ,Poales,,,Poaceae,Pooidiae,native,not in CDC records,reported ,undocumented,1960-08-22,E.B. Peterson,UBC: V206759,,, ,,herbarium record updated as Podagrostis thurberiana (Hitchc.) Hultén; neither in NatureServe,158141, 
Agrostis variabilis ,Rydb.,,mountain bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,, ,Poales,,,Poaceae,Pooidiae,native,not in CDC records,reported,undocumented,1969-09-06,T. Christopher Brayshaw ,V055007,,,,,not in NatureServe but is in FNA,75320,
Aira caryophyllea,L.,,silver hairgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,, ,Poales,,,Poaceae,Pooidiae,exotic,SNA (2000) ,confirmed,documented,1959-08-24,K.J. Roller,UBC: V83739,2018-05-16,judithofsquamish,https://www.inaturalist.org/observations/12628683,https://static.inaturalist.org/photos/18266006/medium.jpeg?1526789486,,52694,
Aira praecox,L.,,early hair grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,, ,Poales,,,Poaceae,Pooidiae,exotic,SNA (2000) ,confirmed,documented,1959-05-24,K.J. Roller,UBC: V83698,2018-07-10,judithofsquamish,https://www.inaturalist.org/observations/14331152,https://static.inaturalist.org/photos/21292206/medium.jpeg?1531525083,,61058,
Ajuga reptans ,L.,,carpet bugle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,,exotic,SNA (2001),reported,undocumented,1978-08-15,John Pinder-Moss,UBC: V166527,,,,,,56099,
Allium cernuum ,Roth,,nodding onion,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,,native,S5 (2015),reported,undocumented,2001-06-15,Helen Kennedy,UBC: V217116,,,,,A. cernum var. cernuum in BC,116364,
Allotropa virgata,Torr. & A. Gray,,sugarstick,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Monotropoideae,native,S3S4 (2015),confirmed,documented,2003-06-13,Paul Kroeger,UBC: V219246,2017-07-09,vanezo,http://inaturalist.ca/observations/6980666,https://static.inaturalist.org/photos/8933894/medium.jpg?1499615775,,62481,
Alnus rubra,Bong.,,red alder,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Betulaceae,,native,S5 (2015) ,confirmed,documented,2015-06-26,B. Brett,2015 Squamish Bioblitz part of Whistler BB Bob Brett),2017-07-02,judithofsquamish,https://www.inaturalist.org/observations/6940158,https://static.inaturalist.org/photos/8868816/medium.jpeg?1499317569,,56034,
Alnus viridis ssp. sinuata,(Chaix) DC.,(Regel) Á. Löve & D. Löve,Sitka alder,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Betulaceae,,native,S5 (2000) ,confirmed,documented,2012-07-25,Erin R. Manton,UBC: V238603,2014-05-24,judithofsquamish,https://www.inaturalist.org/observations/5946345,https://static.inaturalist.org/photos/7425641/medium.jpeg?1493083228,,75378,
Alopecurus geniculatus,L.,,marsh foxtail,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,, ,Poales,,,Poaceae,,exotic,SNA (2000),reported ,undocumented,1916-06-09,John M. Macoun ,UBC: V: V000426,,,,,,71140,
Amaranthus retroflexus,L.,,redroot pigweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Amaranthaceae,,native,S5 (2015) ,new,documented,,,,2018-09-26,benkeen,https://www.inaturalist.org/observations/16935468,https://static.inaturalist.org/photos/25624373/medium.jpg?1538014890,,58776,
Amelanchier alnifolia,(Nutt.) Nutt. ex M. Roem.,,saskatoon,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,,native,S4S5 (2001),confirmed,documented,2015-06-26,B. Brett,2015 Squamish Bioblitz part of Whistler BB Bob Brett),2015-05-17,hillanddale,https://www.inaturalist.org/observations/9528777,https://static.inaturalist.org/photos/12993599/medium.jpg?1516378603,,75415,
Anaphalis margaritacea,(L.) Benth. & Hook.,,pearly everlasting,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015),confirmed,documented,2015-12-30,Frank Lomer,UBC: V247105,2017-09-26,judithofsquamish,https://www.inaturalist.org/observations/8230889,https://static.inaturalist.org/photos/10913369/medium.jpeg?1506997403,,52833,
Anemone occidentalis ,(S. Watson) Freyn,,western anemone,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,native,S5 (2015) ,reported ,undocumented,1913-08-14,W. Taylor ,UBC: V35990,,,,, ,75443,
Anemone parviflora ,Michx.,,small-flower anemone,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,native,S5,reported ,undocumented,2014-08-00,F. Perry ,UBC: V238245,,,,,,158365,
Angelica lucida,L.,,sea-watch,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,native,S5 (2015),confirmed,documented,2015-06-26,A. Lynn,2015 Squamish Bioblitz part of Whistler BB Bob Brett),2015-05-17,hillanddale,https://www.inaturalist.org/observations/9528810,https://static.inaturalist.org/photos/12993655/medium.jpg?1516378858,,75453,
Antennaria alpina,Greene,,alpine pussytoes,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015) ,reported ,undocumented,1966-08-00,B. Fraser,UBC: V158269,,,,,BC CDC updated this to A. pallida,75466,
Antennaria neglecta,Greene,,field pussytoes,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S2S3 (2015),reported,undocumented,1986-05-29,W. J. Merilees ,V: V155110,,,,,,127005,
Antennaria parvifolia ,Nutt.,,small-leaf pussytoes,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015),reported,undocumented,1955-06-16,V. J. Krajina ,UBC: V80232,,,,, AB320,158414,
Antennaria rosea                          ,Greene,,rosy pussytoes,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,SNR (2015) ,reported,undocumented,1965-08-16,B. Fraser,UBC: V158246,,,,,,53096,
Antennaria rosea subsp. pulvinata ,Greene ,(Greene) R.J. Bayer,pulvinate pussytoes,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S4S5 (2016) ,reported,undocumented,1938-08-12,John W. Eastham,UBC: V125197,,,,,aka A. pulvinata,234288,
Antennaria umbrinella,Rydb.,,umber pussytoes,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015)  ,confirmed,documented,1964-09-20,V.J. Krajina,UBC: V108987,2015-05-10,hillanddale,https://www.inaturalist.org/observations/9535369,https://static.inaturalist.org/photos/13005309/medium.jpeg?1516424322,,75471,
Anthemis cotula,L.,,stinking chamomile,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2001) ,reported,undocumented,1911-07-02,John Davidson ,UBC: V44823,,,,,,52841,
Anthoxanthum hirtum,(Schrank) Y. Schouten & Veldkamp,,northern sweetgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooidiae,native,S5 (2015),confirmed,documented,2004-11-02,N. Page,report,2016-04-09,judithofsquamish,https://www.inaturalist.org/observations/12643313,https://static.inaturalist.org/photos/18290353/medium.jpeg?1526833885,,204239,
Anthoxanthum odoratum,L.,,sweet vernal grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooidiae,exotic,SNA (2000),reported,undocumented,2006-05-27,Jeffery M. Saarela ,UBC: V236836,,,,,f. A. nitens,75475,
Aphanes arvensis,L.,,field parsley piert,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,,exotic,SNA (2006),confirmed,documented,1973-01-00,Anonymous,UBC: V228126,2018-12-15,benkeen,https://www.inaturalist.org/observations/19035564,https://static.inaturalist.org/photos/29196222/medium.jpg?1544909988,,158445,
Aphanes occidentalis ,(Nutt.) Rydb.,,western lady's mantle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,,native,S5 (2015),reported,undocumented,1993-05-24,Terry Taylor,V182025,,,,,,64548,
Aphyllon uniflorum,L.,,one-flowered cancer root,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,, ,Lamiales,,,Orobanchaceae,,native,S4 (2015),reported,undocumented,1912-05-24,J. Davidson,UBC: V235851,,,,,Herbarium record Orobanche uniflora,802714,
Apocynum androsaemifolium,L.,,spreading dogbane,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Apocynaceae,Apocynoideae,native,S5 (2000),confirmed,documented,1965-07-09,J. P. Luitjens ,UBC: V162172,2017-06-19,judithofsquamish,https://www.inaturalist.org/observations/8893322,https://static.inaturalist.org/photos/11965188/medium.jpeg?1511324652,,47359,
Aquilegia formosa,Fisch. ex DC.,,western columbine,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Thalictroideae,native,S5 (2015),confirmed,documented,2015-06-26,B. Hircock/S. Hirst,2015 Squamish Bioblitz part of Whistler BB Bob Brett),2017-07-30,judithofsquamish,https://www.inaturalist.org/observations/7356124,https://static.inaturalist.org/photos/9536849/medium.jpeg?1501906142,,48244,
Arabidopsis lyrata subsp. kamchatica ,(Fisch. ex DC.) K. Shimizu & Kudoh,,lyreleaf rockcress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S4 (2001,reported,undocumented,1914-08-05,John Davidson ,UBC: V12369,,,,,herbarium record Arabidopsis kamchatica ,333497,
Arabis sp.,L.,,none,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,,n/a,new,documented,,,,2018-07-03,judithofsquamish,https://www.inaturalist.org/observations/14170644,https://static.inaturalist.org/photos/21009014/medium.jpeg?1531069363,,58068,
Arbutus menziesii,Pursh,,arbutus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Arbutoideae,native,S4? (2014),confirmed,documented,1974-04-30,Jim Pojar,UBC: V157148,2018-08-21,alexc243,https://www.inaturalist.org/observations/15794682,https://static.inaturalist.org/photos/23605054/medium.jpeg?1534974911,,51046,
Arbutus unedo,L.,,strawberry tree,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Arbutoideae,exotic,"not in CDC records, see 'notes'",new 2018,documented,,,,2018-11-12,benkeen,https://www.inaturalist.org/observations/18360548,https://static.inaturalist.org/photos/28061650/medium.jpg?1542063143,"not in NatureServe, however, FNA & I.T.I.S. recognize it",82689,
Arceuthobium campylopodum,Engelmann,,western dwarf mistletoe,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Santalales,,,Santalaceae,,,"not in CDC records, see 'notes'",new 2014,documented,,,,2014-07-26,elsemikkelsen,https://www.inaturalist.org/observations/9228336,https://static.inaturalist.org/photos/12488857/medium.jpg?1513895757,"accepted by Nature Serve, FNA & I.T.I.S.",55422,
Arctium minus,Bernh.,,lesser burdock,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Carduoideae,exotic,SNA (2001),reported,undocumented,1967-06-16,P. Warrington ,LEA,2018-09-17,judithofsquamish,https://www.inaturalist.org/observations/16647222,https://static.inaturalist.org/photos/25097604/medium.jpeg?1537236103,,59570,
Arctostaphylos columbiana,Piper,,Columbia manzanita,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Arbutoideae,native,S4 (2014) ,confirmed,documented,1989-11-05,P.Kroeger,UBC: V202097,2017-08-26,rainwalker,https://www.inaturalist.org/observations/7659852,https://static.inaturalist.org/photos/10026483/medium.jpg?1503768982,,75505,
