iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Place Name,First Catalogue Number,First observationId,First Date Reported,Last Reported By,Last Source,Last Place Name,Last Catalogue Number,Last observationId,Last Date Reported
Pseudacris regilla,24259,Pseudacris regilla,1,"{""iNat:787994"":[48.589164,-123.142388]}",Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,,Hylidae,Acridinae,,Pseudacris,regilla,Rochelle Kelly,iNat,,,iNat:787994,2014-07-16T05:43:27.000Z,Rochelle Kelly,iNat,,,iNat:787994,2014-07-16T05:43:27.000Z
Acer macrophyllum,48227,Acer macrophyllum,12,"{""iNat:1353743"":[48.589083,-123.148321],""iNat:48848581"":[48.585467,-123.149543],""iNat:51963987"":[48.588053,-123.148161],""iNat:62860908"":[48.586012,-123.149995],""iNat:66027505"":[48.59095,-123.138931],""iNat:82919905"":[48.586274,-123.149115],""iNat:91801581"":[48.586102,-123.147408],""iNat:94257170"":[48.586204,-123.149885],""iNat:122839538"":[48.586051,-123.150042],""iNat:125376970"":[48.586296,-123.147865],""iNat:131543151"":[48.586486,-123.149251],""iNat:144019267"":[48.587763,-123.14823]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,macrophyllum,,iNat,,,iNat:1353743,2014-07-16T19:43:40.000Z,Jacob Rosales,iNat,,,iNat:144019267,2022-12-05T22:41:55.000Z
Rana aurora,25545,Rana aurora,1,"{""iNat:1420918"":[48.595925,-123.144604]}",Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,,Ranidae,,,Rana,aurora,,iNat,,,iNat:1420918,2015-04-23T16:27:50.000Z,,iNat,,,iNat:1420918,2015-04-23T16:27:50.000Z
Calypso bulbosa occidentalis,57724,Calypso bulbosa occidentalis,10,"{""iNat:1420921"":[48.595329,-123.144282],""iNat:1421023"":[48.595329,-123.144282],""iNat:2915231"":[48.592271,-123.147222],""iNat:22677413"":[48.586403,-123.133203],""iNat:75493235"":[48.590453,-123.1568],""iNat:77441344"":[48.592219,-123.152428],""iNat:78374613"":[48.59076,-123.151837],""iNat:78877993"":[48.584436,-123.149442],""iNat:111449116"":[48.592838,-123.154078],""iNat:112488848"":[48.577547,-123.133983]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Orchidaceae,Epidendroideae,Epidendreae,Calypso,bulbosa,,iNat,,,iNat:1421023,2015-04-23T16:42:22.000Z,Doug McCutchen,iNat,,,iNat:112488848,2022-04-23T00:40:28.000Z
Ribes sanguineum,53435,Ribes sanguineum,2,"{""iNat:1420931"":[48.595329,-123.144282],""iNat:3200770"":[48.582384,-123.142204]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Grossulariaceae,,,Ribes,sanguineum,,iNat,,,iNat:1420931,2015-04-23T18:52:29.000Z,,iNat,,,iNat:3200770,2016-05-17T00:00:00.000Z
Cirsium arvense,60132,Cirsium arvense,4,"{""iNat:1421005"":[48.595329,-123.144282],""iNat:1434117"":[48.571297,-123.134615],""iNat:51963717"":[48.587044,-123.148617],""iNat:128271198"":[48.586122,-123.149285]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Cirsium,arvense,,iNat,,,iNat:1421005,2015-04-23T15:52:56.000Z,,iNat,,,iNat:128271198,2022-07-27T21:46:31.000Z
Hedera helix,55882,Hedera helix,2,"{""iNat:1421007"":[48.595329,-123.144282],""iNat:143825825"":[48.58683,-123.148544]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Araliaceae,,,Hedera,helix,,iNat,,,iNat:1421007,2015-04-23T15:56:14.000Z,Jacob Rosales,iNat,,,iNat:143825825,2022-12-05T22:46:40.000Z
Diadumene lineata,81783,Diadumene lineata,1,"{""iNat:1421011"":[48.595329,-123.144282]}",Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Metridioidea,Diadumenidae,,,Diadumene,lineata,,iNat,,,iNat:1421011,2015-04-23T16:16:32.000Z,,iNat,,,iNat:1421011,2015-04-23T16:16:32.000Z
Geranium molle,1178020,Geranium molle,2,"{""iNat:1421014"":[48.595329,-123.144282],""iNat:52079776"":[48.586522,-123.149934]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,,Geraniaceae,,,Geranium,molle,,iNat,,,iNat:1421014,2015-04-23T16:31:24.000Z,,iNat,,,iNat:52079776,2020-07-05T22:15:50.000Z
Plantago lanceolata,53178,Plantago lanceolata,2,"{""iNat:1421015"":[48.595329,-123.144282],""iNat:48952442"":[48.589556,-123.148953]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Plantagineae,Plantago,lanceolata,,iNat,,,iNat:1421015,2015-04-23T16:28:49.000Z,Eliza,iNat,,,iNat:48952442,2020-06-08T20:43:39.000Z
Pteridium aquilinum,52681,Pteridium aquilinum,7,"{""iNat:1421018"":[48.595329,-123.144282],""iNat:3200731"":[48.582384,-123.142204],""iNat:3290842"":[48.58559,-123.149666],""iNat:12495738"":[48.594556,-123.143236],""iNat:51993005"":[48.589646,-123.146124],""iNat:78376074"":[48.589193,-123.152329],""iNat:138881412"":[48.588806,-123.151047]}",Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Dennstaedtiineae,,,Dennstaedtiaceae,,,Pteridium,aquilinum,,iNat,,,iNat:1421018,2015-04-23T16:39:36.000Z,,iNat,,,iNat:138881412,2022-10-15T19:39:44.000Z
