id,parentId,iNaturalistTaxonName,commonName,rank,iNaturalistTaxonImage
48460,,Life,life,stateofmatter,https://inaturalist-open-data.s3.amazonaws.com/photos/347064198/medium.jpeg
1,48460,Animalia,Animals,kingdom,https://inaturalist-open-data.s3.amazonaws.com/photos/80678745/medium.jpg
47126,48460,Plantae,plants,kingdom,https://static.inaturalist.org/photos/221143410/medium.jpeg
47170,48460,Fungi,Fungi Including Lichens,kingdom,https://inaturalist-open-data.s3.amazonaws.com/photos/260296784/medium.jpg
47686,48460,Protozoa,protozoans,kingdom,https://inaturalist-open-data.s3.amazonaws.com/photos/28906584/medium.jpg
48222,48460,Chromista,"kelp, diatoms, and allies",kingdom,https://inaturalist-open-data.s3.amazonaws.com/photos/131300/medium.jpg
67333,48460,Bacteria,bacteria,kingdom,https://inaturalist-open-data.s3.amazonaws.com/photos/47562898/medium.jpg
2,1,Chordata,Chordates,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/80551845/medium.jpg
47115,1,Mollusca,Molluscs,phylum,https://static.inaturalist.org/photos/58051104/medium.jpg
47120,1,Arthropoda,Arthropods,phylum,https://static.inaturalist.org/photos/294541916/medium.jpg
47169,47170,Basidiomycota,Basidiomycete Fungi,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/160331738/medium.jpg
47491,1,Annelida,Segmented Worms,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/163489709/medium.jpeg
47534,1,Cnidaria,Cnidarians,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/4118/medium.jpg
47549,1,Echinodermata,Echinoderms,phylum,https://static.inaturalist.org/photos/22930217/medium.jpg
47685,47686,Mycetozoa,slime molds,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/326930791/medium.jpg
48051,1,Phoronida,Horseshoe Worms,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/14931770/medium.jpg
48221,48222,Ochrophyta,,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/41475016/medium.jpg
48250,47170,Ascomycota,Ascomycete Fungi,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/4896433/medium.jpg
48824,1,Porifera,Sponges,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/117290419/medium.jpg
50863,47126,Chlorophyta,green algae,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/165319609/medium.jpg
