"id","time_observed_at","observed_on","user_login","user_name","quality_grade","coordinates_obscured","image_url","positional_accuracy","scientific_name","common_name","captive","taxon_id","taxon_rank","latitude","longitude","private_latitude","private_longitude","phylum"
18987508,"2018-12-02","2018-12-02","donnatalluto","Donna Talluto","research","false","https://static.inaturalist.org/photos/29113079/square.jpeg",31,"Zalophus californianus","California Sea Lion","false",41740,"species",49.0113969396,-123.577096018,,,"Chordata"
53613937,"2020-07-15T13:48:00-06:00","2020-07-15","rbbrummitt","","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/85278825/square.jpg",244,"Phoca vitulina richardii","Pacific Harbor Seal","false",117766,"subspecies",48.8585506092,-123.3389110298,,,"Chordata"
61897887,"2020-10-06T11:36:12-07:00","2020-10-06","alisonmartin","Alison Martin","research","false","https://static.inaturalist.org/photos/99104311/square.jpeg",,"Silene coronaria","Rose campion","false",485191,"species",48.8642277778,-123.3304055556,,,"Tracheophyta"
61897917,"2020-10-06T11:36:12-07:00","2020-10-06","alisonmartin","Alison Martin","research","false","https://static.inaturalist.org/photos/101079199/square.jpeg",,"Cynosurus echinatus","Rough Dog's-tail","false",47695,"species",48.8642277778,-123.3304055556,,,"Tracheophyta"
63022967,"2020-10-06T11:36:12-07:00","2020-10-06","alisonmartin","Alison Martin","research","false","https://static.inaturalist.org/photos/101079232/square.jpeg",,"Arbutus menziesii","Pacific madrone","false",51046,"species",48.8642277778,-123.3304055556,,,"Tracheophyta"
105999640,"2022-02-01T15:47:00-08:00","2022-02-01","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/177979235/square.jpg",79,"Larus brachyrhynchus","Short-billed Gull","false",1286964,"species",48.858907,-123.322841,,,"Chordata"
105999641,"2022-02-01T15:47:00-08:00","2022-02-01","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/177979250/square.jpg",35,"Larus brachyrhynchus","Short-billed Gull","false",1286964,"species",48.858518,-123.32093,,,"Chordata"
105999643,"2022-02-01T15:47:00-08:00","2022-02-01","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/177979265/square.jpg",90,"Phoca vitulina richardii","Pacific Harbor Seal","false",117766,"subspecies",48.858516,-123.317986,,,"Chordata"
105999644,"2022-02-01T15:47:00-08:00","2022-02-01","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/177979294/square.jpg",41,"Phoca vitulina richardii","Pacific Harbor Seal","false",117766,"subspecies",48.858712,-123.323581,,,"Chordata"
105999645,"2022-02-01T15:48:00-08:00","2022-02-01","jackson_chu","Jackson W.F. Chu","needs_id","false","https://static.inaturalist.org/photos/177979309/square.jpg",19,"Larus","Large White-headed Gulls","false",4343,"genus",48.858979,-123.327442,,,"Chordata"
105999647,"2022-02-01T15:48:00-08:00","2022-02-01","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/177979322/square.jpg",29,"Larus glaucoides thayeri","Thayer's Gull","false",556736,"subspecies",48.859086,-123.327235,,,"Chordata"
105999649,"2022-02-01T15:48:00-08:00","2022-02-01","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/177979329/square.jpg",20,"Larus brachyrhynchus","Short-billed Gull","false",1286964,"species",48.859151,-123.327342,,,"Chordata"
105999653,"2022-02-01T15:49:00-08:00","2022-02-01","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/177979352/square.jpg",19,"Larus brachyrhynchus","Short-billed Gull","false",1286964,"species",48.859533,-123.334307,,,"Chordata"
116212928,"2022-05-08T14:40:00-07:00","2022-05-08","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/196146336/square.jpg",84,"Cathartes aura","Turkey Vulture","false",4756,"species",48.875525,-123.297959,,,"Chordata"
146845890,"2023-01-17T08:52:00-08:00","2023-01-17","kevintoo","Kevin Toomer","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/252561497/square.jpeg",174,"Lentinellus ursinus","bear lentinus","false",118231,"species",48.8770785636,-123.3366394154,,,"Basidiomycota"
147576880,"2023-01-28T17:17:40-08:00","2023-01-28","heavyveil","","needs_id","false","https://inaturalist-open-data.s3.amazonaws.com/photos/253965195/square.jpeg",,"Doridoidea","Sea Lemons and Allies","false",528872,"superfamily",48.9224805556,-123.455475,,,"Mollusca"
147656350,"2023-01-29T13:42:08-08:00","2023-01-29","classickendall","Kendall McLaughlin","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/254117089/square.jpeg",271,"Urile pelagicus","Pelagic Cormorant","false",1289605,"species",48.8940306506,-123.4094643965,,,"Chordata"
147656376,"2023-01-29T13:17:58-08:00","2023-01-29","classickendall","Kendall McLaughlin","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/254117135/square.jpeg",152,"Bucephala albeola","Bufflehead","false",6993,"species",48.8962941801,-123.4111484885,,,"Chordata"
147656422,"2023-01-29T13:24:20-08:00","2023-01-29","classickendall","Kendall McLaughlin","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/254117216/square.jpeg",237,"Bucephala clangula","Common Goldeneye","false",6990,"species",48.8973592313,-123.4110509232,,,"Chordata"
147656467,"2023-01-29T13:46:26-08:00","2023-01-29","classickendall","Kendall McLaughlin","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/254117338/square.jpeg",284,"Bucephala clangula","Common Goldeneye","false",6990,"species",48.8972922254,-123.4107910842,,,"Chordata"
147656494,"2023-01-29T13:29:15-08:00","2023-01-29","classickendall","Kendall McLaughlin","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/254117406/square.jpeg",140,"Melanitta perspicillata","Surf Scoter","false",7036,"species",48.8962886696,-123.4109962732,,,"Chordata"
147656527,"2023-01-29T13:06:18-08:00","2023-01-29","classickendall","Kendall McLaughlin","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/254117447/square.jpeg",89,"Mergus serrator","Red-breasted Merganser","false",6996,"species",48.8994185156,-123.4081132337,,,"Chordata"
147656550,"2023-01-29T13:35:39-08:00","2023-01-29","classickendall","Kendall McLaughlin","needs_id","false","https://inaturalist-open-data.s3.amazonaws.com/photos/254117518/square.jpeg",101,"Larus glaucescens","Glaucous-winged Gull","false",4399,"species",48.8956130821,-123.4112383425,,,"Chordata"
147658305,"2023-01-29T13:53:00-08:00","2023-01-29","jackson_chu","Jackson W.F. Chu","needs_id","false","https://static.inaturalist.org/photos/254120903/square.jpg",61,"Larus brachyrhynchus","Short-billed Gull","false",1286964,"species",48.871600799,-123.3039546906,,,"Chordata"
147658306,"2023-01-29T13:54:00-08:00","2023-01-29","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/254120916/square.jpg",8,"Eumetopias jubatus","Steller Sea Lion","false",41755,"species",48.8712168623,-123.3040297925,,,"Chordata"
147658307,"2023-01-29T13:54:00-08:00","2023-01-29","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/254120925/square.jpg",8,"Larus brachyrhynchus","Short-billed Gull","false",1286964,"species",48.8709416412,-123.3043999373,,,"Chordata"
147658310,"2023-01-29T13:54:00-08:00","2023-01-29","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/254120935/square.jpg",15,"Larus brachyrhynchus","Short-billed Gull","false",1286964,"species",48.8700770424,-123.3052305436,,,"Chordata"
147658311,"2023-01-29T13:56:00-08:00","2023-01-29","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/254120944/square.jpg",15,"Nereocystis luetkeana","Bull Kelp","false",120499,"species",48.8612835798,-123.3159353186,,,"Ochrophyta"
