iNaturalis,iNatural_1,Taxon name,ambiguousN,nameStatus,Common nam,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamil,Family,Subfamily,Tribe,Genus,Species,observatio,Latitude,Longitude,Date obser,Descriptio,Place name,Recorded b,Event Rema,coordinate,Individual,Depth,gbifOccurr,Catalog Nu,Confidence,Sex,Field numb,Coordina_1,Coordina_2,GeoCorrect,LatNew,LongNew
Thuja plicata,48252,Thuja plicata,0,accepted,western redcedar,,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Cupressaceae,Cupressoideae,,Thuja,plicata,iNat:72321476,48.941631999999998,-123.501258,2021-03-17,,,Andrew Simon,,,,,,,,,,,,yes,48.941635,-123.501201
Acer macrophyllum,48227,Acer macrophyllum,0,accepted,bigleaf maple,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,macrophyllum,iNat:72321477,48.941634999999998,-123.501263,2021-03-17,,,Andrew Simon,,,,,,,,,,,,yes,48.941631,-123.501135
Sanicula crassicaulis,53201,Sanicula crassicaulis,0,accepted,Pacific Sanicle,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Saniculoideae,Saniculeae,Sanicula,crassicaulis,iNat:72980143,48.939278000000002,-123.501495,2020-12-05,,,Austin Tahiliani,,2488,,,,,,,,,,yes,48.939332,-123.501239
Geranium robertianum,55925,Geranium robertianum,0,accepted,Herb Robert,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,,Geraniaceae,,,Geranium,robertianum,iNat:97178765,48.940798999999998,-123.503227,2009-07-29,,,Karolle Wall,,61,,,,,,,,,,yes,48.940641,-123.503374
Camassia,62219,Camassia,0,accepted,camas,,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Agavoideae,,Camassia,,iNat:107193905,48.942272000000003,-123.511203,2022-02-20,,,Andrew Simon,,,,,,,,,,,,yes,48.942305,-123.511243
Lamium purpureum,55851,Lamium purpureum,0,accepted,red deadnettle,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Lamioideae,Lamieae,Lamium,purpureum,iNat:107193915,48.944080999999997,-123.517086,2022-02-20,,,Andrew Simon,,,,,,,,,,,,yes,48.944132,-123.517079
Lonicera hispidula,53416,Lonicera hispidula,0,accepted,Pink Honeysuckle,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Caprifolioideae,,Lonicera,hispidula,iNat:107193918,48.944082000000002,-123.517085,2022-02-20,,,Andrew Simon,,,,,,,,,,,,yes,48.944126,-123.51707
Sedum spathulifolium,58886,Sedum spathulifolium,0,accepted,Broad-leaved Stonecrop,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Sedeae,Sedum,spathulifolium,iNat:107676348,48.939917999999999,-123.501261,2022-03-01,,,Alex Niese,,,,,,,,,,,,yes,48.939657,-123.501199
Claytonia rubra,64184,Claytonia rubra,0,accepted,Redstem Springbeauty,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Montiaceae,,,Claytonia,rubra,iNat:107678579,48.939117000000003,-123.50133,2022-03-01,,,Alex Niese,,,,,,,,,,,,yes,48.939152,-123.501169
Rubus armeniacus,61317,Rubus armeniacus,0,accepted,Armenian Blackberry,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Rubeae,Rubus,armeniacus,iNat:107686047,48.939686000000002,-123.500543,2022-03-01,,,Alex Niese,,,,,,,,,,,,yes,48.93961,-123.500505
