Scientific_name,Hulquminum_name,Audio_path,Audio_link,Video
Metacarcinus magister,ey'x,.../audio/ey'x_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1BuNYWNAF3jNecsypPsJqNj5xsFnFtHkw/view?usp=sharing,
Odocoileus hemionus columbianus,ha'put,.../audio/ha'put_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20_2.WAV,https://drive.google.com/file/d/1kNmFVMvSX-4OhJGPst7PObkccL4-19cw/view?usp=sharing,
Oncorhynchuus gorbuscha,haan,.../audio/haan_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/19Ok7gE5BYhMqHeJLBhZxlaRlVpsl5Xka/view?usp=sharing,
Alnus rubra,kwulala'ulhp,.../audio/kwulala'ulhp_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1ugE8UysAbVe_C5xHVCaaerRx3QCaKdgf/view?usp=sharing,/video/kwulala'ulhp_Galiano_Island_Austin_Baines_Levi_Wilson_2022-02-20.MP4
Pyropia spp.,lhuq'us,.../audio/lhuq'us_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1tkNXZDlRQ_aCHUJljNFqTdTqdrz1hJ8g/view?usp=sharing,
Rubus spectabilis,lila',.../audio/lila'_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1cwRSKNpnsTuojKoDEi1whMECT1_s1jFc/view?usp=sharing,
Quercus garryana,p'hwulhp,.../audio/p'hwulhp_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1AMNVqpFF3oXYZZCkr9e9uvNsQzjMT_y-/view?usp=sharing,
Nereocystis luetkeana,q'am',.../audio/q'am'_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1xsbCJT2BiXcdQFZlfmBDKhwl4uyff3hr/view?usp=sharing,
Orcinus orca,q'ul-lhanamutsum,.../audio/q'ul-lhanamutsum_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1PvuZii7ZaK_iL_lt9rrffrE6BU_tE_cl/view?usp=sharing,
Lomatium nudicaule,q'uxmin,.../audio/q'uxmin_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1QC57dKOFnYDbFMOD20wbTtgIe7WL8Z6I/view?usp=sharing,
