iNaturalist taxon name,iNaturalist taxon ID,Taxon name,ambiguousNameMatch,nameStatus,commonName,Author,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Institution Code,First Place Name,First Catalogue Number,First observationId,First Date Reported,Last Reported By,Last Source,Last Institution Code,Last Place Name,Last Catalogue Number,Last observationId,Last Date Reported,foodValue,medicinalValue,spiritualValue,materialValue,tradeValue,indicatorValue,hulquminumName,hulquminumAuthority,audioLink,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,iNaturalistTaxonImage,wikipediaSummary
Nucella lamellosa,117641,Nucella lamellosa,0,accepted,wrinkled dogwinkle,,20,"{""PMLS:23"":[48.939813,-123.501514],""PMLS:15371"":[48.939813,-123.501514],""PMLS:16246"":[48.938826,-123.501192],""PMLS:16413"":[48.938826,-123.501192],""PMLS:17206"":[48.938826,-123.501192],""iNat:70635949"":[48.941532,-123.502757],""iNat:72321485"":[48.941593,-123.502703],""iNat:72321488"":[48.941575,-123.502708],""iNat:94383767"":[48.94173,-123.50149],""iNat:107193923"":[48.944038,-123.517078],""iNat:107679297"":[48.93899,-123.50124],""iNat:107679436"":[48.939028,-123.501242],""iNat:110584866"":[48.941613,-123.502588],""iNat:164079143"":[48.942921,-123.510568],""iNat:164139566"":[48.943052,-123.508256],""iNat:164152121"":[48.943165,-123.50865],""iNat:164153302"":[48.9428,-123.510558],""iNat:164355943"":[48.943078,-123.510413],""iNat:164357422"":[48.943,-123.509],""iNat:164370336"":[48.943283,-123.510553]}",Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Ocenebrinae,,Nucella,lamellosa,Andy Lamb,dataPaper,,,,PMLS:23,1969-02-21T10:00:00.000Z,Joan Septembre,iNat,,,,iNat:164355943,2023-05-27T22:52:17.000Z,,,,,,,,,,accepted,117641,Nucella lamellosa,https://inaturalist-open-data.s3.amazonaws.com/photos/1326077/medium.JPG,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Nucella lamellosa</b></i>, commonly known as the <b>frilled dogwinkle</b> or <b>wrinkled purple whelk</b>, is a species of sea snail, a marine gastropod mollusk in the family Muricidae, the murex snails or rock snails. This species occurs in the eastern Pacific Ocean, its range extending in the intertidal zone from the Aleutian Islands southward to central California.
</p>


"
Peltodoris nobilis,48450,Peltodoris nobilis,0,accepted,noble sea lemon,,9,"{""PMLS:24"":[48.939813,-123.501514],""PMLS:15375"":[48.939813,-123.501514],""PMLS:16415"":[48.938826,-123.501192],""PMLS:17209"":[48.938826,-123.501192],""PMLS:18512"":[48.939813,-123.501514],""iNat:68195093"":[48.939469,-123.501653],""iNat:68198421"":[48.938573,-123.500851],""iNat:69181306"":[48.939222,-123.501847],""iNat:129151056"":[48.939909,-123.505711]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Doridoidea,Discodorididae,,,Peltodoris,nobilis,Andy Lamb,dataPaper,,,,PMLS:24,1969-02-21T10:00:00.000Z,Andrew Simon,dataPaper,,,,iNat:69181306,2021-02-06T23:30:00.000Z,,,,,,,,,,accepted,48450,Peltodoris nobilis,https://inaturalist-open-data.s3.amazonaws.com/photos/3897304/medium.jpg,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Peltodoris nobilis</b></i>, commonly called the <b>sea lemon</b>, <b>false sea lemon</b>, or the <b>noble dorid</b>, is a species of colorful sea slug, a dorid nudibranch, a shell-less marine gastropod mollusk in the family Discodorididae.
</p><p>This species was previously placed in the genus <i>Anisodoris</i> and was known for a long time as <i>Anisodoris nobilis</i>. Subsequently it was known as <i>Diaulula</i></p>..."
Doris montereyensis,47469,Doris montereyensis,0,accepted,Monterey sea lemon,,8,"{""PMLS:25"":[48.939813,-123.501514],""PMLS:17210"":[48.938826,-123.501192],""iNat:7660202"":[48.940619,-123.502053],""iNat:12744159"":[48.941097,-123.505945],""iNat:68195090"":[48.939469,-123.501653],""iNat:71473614"":[48.9415,-123.50181],""iNat:124069843"":[48.939701,-123.501656],""iNat:177091479"":[48.940449,-123.502685]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Doridoidea,Dorididae,,,Doris,montereyensis,Andy Lamb,dataPaper,,,,PMLS:25,1969-02-21T10:00:00.000Z,Andrew Simon,iNat,,,,iNat:177091479,2023-08-06T22:15:00.000Z,,,,,,,,,,accepted,47469,Doris montereyensis,https://static.inaturalist.org/photos/1069325/medium.jpg,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Doris montereyensis</b></i> is a species of sea slug, a dorid nudibranch, a shell-less marine gastropod mollusk in the family Dorididae.
</p>
"
Dendronotus iris,47706,Dendronotus iris,0,accepted,giant nudibranch,,13,"{""PMLS:26"":[48.939813,-123.501514],""PMLS:2684"":[48.94167,-123.51333],""PMLS:3043"":[48.94167,-123.51333],""PMLS:15377"":[48.939813,-123.501514],""PMLS:16253"":[48.938826,-123.501192],""PMLS:16420"":[48.938826,-123.501192],""PMLS:17213"":[48.938826,-123.501192],""iNat:2975966"":[48.940329,-123.502328],""iNat:2975974"":[48.940312,-123.502361],""iNat:3706371"":[48.940923,-123.503053],""iNat:6298902"":[48.940751,-123.50306],""iNat:7647300"":[48.941072,-123.503812],""iNat:164589486"":[48.939464,-123.503756]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Dendronotoidea,Dendronotidae,,,Dendronotus,iris,Andy Lamb,dataPaper,,,,PMLS:26,1969-02-21T10:00:00.000Z,Dave Zeuss Cochrane,iNat,,,,iNat:164589486,2023-05-27T21:13:00.000Z,,,,,,,,,,accepted,47706,Dendronotus iris,https://inaturalist-open-data.s3.amazonaws.com/photos/236465655/medium.jpg,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Dendronotus iris</b></i>, also known as the  <b>rainbow nudibranch</b>, is a species of sea slug, a dendronotid nudibranch, a shell-less marine gastropod mollusc in the family Dendronotidae.
</p>


"
Dirona albolineata,47477,Dirona albolineata,0,accepted,frosted nudibranch,,24,"{""PMLS:27"":[48.939813,-123.501514],""PMLS:3045"":[48.94167,-123.51333],""PMLS:15378"":[48.939813,-123.501514],""PMLS:16255"":[48.938826,-123.501192],""PMLS:16422"":[48.938826,-123.501192],""PMLS:17215"":[48.938826,-123.501192],""PMLS:18237"":[48.938826,-123.501192],""PMLS:18513"":[48.939813,-123.501514],""iNat:2909345"":[48.940454,-123.502114],""iNat:2976490"":[48.94033,-123.502293],""iNat:12684288"":[48.941199,-123.505168],""iNat:68195083"":[48.939469,-123.501653],""iNat:68195091"":[48.939469,-123.501653],""iNat:69181302"":[48.939222,-123.501847],""iNat:69181312"":[48.939222,-123.501847],""iNat:69243370"":[48.939582,-123.502061],""iNat:97178779"":[48.940799,-123.503227],""iNat:107422973"":[48.939281,-123.501726],""iNat:107422985"":[48.939281,-123.501726],""iNat:107422986"":[48.939281,-123.501726],""iNat:107422988"":[48.939281,-123.501726],""iNat:107457327"":[48.939372,-123.503078],""iNat:107457357"":[48.939372,-123.503078],""iNat:151258139"":[48.939453,-123.502937]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Proctonotoidea,Dironidae,,,Dirona,albolineata,Andy Lamb,dataPaper,,,,PMLS:27,1969-02-21T10:00:00.000Z,Andrew Simon,dataPaper,,,,iNat:151258139,2023-03-15T20:07:00.000Z,,,,,,,,,,accepted,47477,Dirona albolineata,https://static.inaturalist.org/photos/2733198/medium.JPG,"<p class=""mw-empty-elt"">
</p>

<p>The <b>alabaster nudibranch</b>, <b>white-lined Dirona</b>, or <b>frosted sea slug</b> (<i>Dirona albolineata</i>) is an Eastern Pacific Ocean opisthobranch gastropod mollusk in the family Dironidae.
</p>


"
Hermissenda crassicornis,495552,Hermissenda crassicornis,0,accepted,opalescent nudibranch,,5,"{""PMLS:28"":[48.939813,-123.501514],""iNat:3707787"":[48.941268,-123.5037],""iNat:6298899"":[48.940751,-123.50306],""iNat:7674344"":[48.940194,-123.501601],""iNat:97178775"":[48.940799,-123.503227]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Aeolidioidea,Myrrhinidae,,,Hermissenda,crassicornis,Andy Lamb,dataPaper,,,,PMLS:28,1969-02-21T10:00:00.000Z,Andrew Simon,dataPaper,,,,iNat:6298899,2017-05-18T07:11:00.000Z,,,,,,,,,,accepted,495552,Hermissenda crassicornis,https://static.inaturalist.org/photos/1041822/medium.JPG,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Hermissenda crassicornis</b></i>, also known as the <b>opalescent nudibranch</b> or <b>thick-horned nudibranch,</b> is a species of brightly coloured, sea slug or nudibranch, a marine gastropod mollusc in the family Facelinidae.
</p>


"
Scyra acutifrons,47712,Scyra acutifrons,0,accepted,sharpnose crab,,8,"{""PMLS:29"":[48.939813,-123.501514],""PMLS:2699"":[48.94167,-123.51333],""PMLS:3054"":[48.94167,-123.51333],""PMLS:15384"":[48.939813,-123.501514],""PMLS:16260"":[48.938826,-123.501192],""PMLS:16427"":[48.938826,-123.501192],""PMLS:17218"":[48.938826,-123.501192],""iNat:2976243"":[48.94034,-123.502396]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Majoidea,Epialtidae,Pisinae,,Scyra,acutifrons,Andy Lamb,dataPaper,,,,PMLS:29,1969-02-21T10:00:00.000Z,Andy Lamb,dataPaper,,,,PMLS:17218,2016-03-05T09:42:00.000Z,,,,,,,,,,accepted,47712,Scyra acutifrons,https://inaturalist-open-data.s3.amazonaws.com/photos/24054/medium.jpg,
Phyllolithodes papillosus,424896,Phyllolithodes papillosus,0,accepted,heart crab,,4,"{""PMLS:30"":[48.939813,-123.501514],""PMLS:15386"":[48.939813,-123.501514],""PMLS:16430"":[48.938826,-123.501192],""PMLS:17219"":[48.938826,-123.501192]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,,Lithodidae,Lithodinae,,Phyllolithodes,papillosus,Andy Lamb,dataPaper,,,,PMLS:30,1969-02-21T10:00:00.000Z,Andy Lamb,dataPaper,,,,PMLS:17219,2016-03-05T09:42:00.000Z,,,,,,,,,,accepted,424896,Phyllolithodes papillosus,https://static.inaturalist.org/photos/1424192/medium.JPG,
Pagurus armatus,459543,Pagurus armatus,0,accepted,blackeyed hermit,,2,"{""PMLS:31"":[48.939813,-123.501514],""iNat:12631603"":[48.939991,-123.502159]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,,,Pagurus,armatus,Andy Lamb,dataPaper,,,,PMLS:31,1969-02-21T10:00:00.000Z,Karolle Wall,dataPaper,,,,iNat:12631603,2018-05-18T22:00:00.000Z,,,,,,,,,,accepted,459543,Pagurus armatus,https://inaturalist-open-data.s3.amazonaws.com/photos/4245147/medium.jpg,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Pagurus armatus</b></i>, the <b>armed hermit crab</b> or <b>black-eyed hermit crab</b>, is a species of hermit crab found in the eastern Pacific Ocean of the United States and British Columbia, Canada.
</p>


"
Balanus nubilus,49127,Balanus nubilus,0,accepted,giant acorn barnacle,,10,"{""PMLS:32"":[48.939813,-123.501514],""PMLS:2693"":[48.94167,-123.51333],""PMLS:3061"":[48.94167,-123.51333],""PMLS:15389"":[48.939813,-123.501514],""PMLS:16262"":[48.938826,-123.501192],""PMLS:16433"":[48.938826,-123.501192],""PMLS:17223"":[48.938826,-123.501192],""PMLS:18481"":[48.938826,-123.501192],""iNat:2975823"":[48.940318,-123.502447],""iNat:103178046"":[48.940763,-123.503086]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,nubilus,Andy Lamb,dataPaper,,,,PMLS:32,1969-02-21T10:00:00.000Z,Andrew Simon,dataPaper,,,,iNat:103178046,2021-12-16T23:59:00.000Z,1,1,1,0,1,0,qumine',"(Thom, 2011)",,accepted,49127,Balanus nubilus,https://inaturalist-open-data.s3.amazonaws.com/photos/4306270/medium.jpg,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Balanus nubilus</b></i>, commonly called the <b>giant acorn barnacle</b>, is the world's largest barnacle, reaching a diameter of 15&#160;cm (6&#160;in) and a height of up to 30&#160;cm (12&#160;in), and containing the largest known muscle fibres.
</p><p><i>Balanus nubilus</i> is a northeast Pacific species that ranges from southern Alaska to Baja California. It is frequently found growing on rocks, pier pilings and hard-shelled</p>..."
