iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Place Name,First Catalogue Number,First Date Reported,Last Reported By,Last Source,Last Place Name,Last Catalogue Number,Last Date Reported,Food Value,Medicinal Value,Spiritual Value,Material Value,Trade Value,Indicator Value,Hulquminum Name,Hulquminum Authority
Bankia setacea,347368,Bankia setacea,1,"{""PMLS:3036"":[48.94167,-123.51333]}",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,,Pholadoidea,Teredinidae,Bankiinae,,Bankia,Bankia setacea,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,,,,,,,,
Gastropteron pacificum,49839,Gastropteron pacificum,2,"{""PMLS:3038"":[48.94167,-123.51333],""iNat:97178769"":[48.940799,-123.503227]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,,Philinoidea,Gastropteridae,,,Gastropteron,Gastropteron pacificum,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Karolle Wall,iNat,,,2009-07-26T00:00:00.000Z,,,,,,,,
Geitodoris heathi,47505,Geitodoris heathi,1,"{""PMLS:3039"":[48.94167,-123.51333]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Doridoidea,Discodorididae,,,Geitodoris,Geitodoris heathi,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,,,,,,,,
Acanthodoris nanaimoensis,47476,Acanthodoris nanaimoensis,8,"{""PMLS:3042"":[48.94167,-123.51333],""PMLS:16251"":[48.938826,-123.501192],""PMLS:16418"":[48.938826,-123.501192],""iNat:2976276"":[48.940301,-123.502378],""iNat:3705623"":[48.941131,-123.504417],""iNat:68195094"":[48.939469,-123.501653],""iNat:107457335"":[48.939372,-123.503078],""iNat:107457348"":[48.939372,-123.503078]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Acanthodoris,Acanthodoris nanaimoensis,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andrew Simon,iNat,,,2022-02-26T00:39:00.000Z,,,,,,,,
Heptacarpus kincaidi,459524,Heptacarpus kincaidi,1,"{""PMLS:3047"":[48.94167,-123.51333]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Thoridae,,,Heptacarpus,Heptacarpus kincaidi,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,,,,,,,,
Heptacarpus tridens,459522,Heptacarpus tridens,1,"{""PMLS:3048"":[48.94167,-123.51333]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Thoridae,,,Heptacarpus,Heptacarpus tridens,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,,,,,,,,
Pandalus stenolepis,459645,Pandalus stenolepis,1,"{""PMLS:3049"":[48.94167,-123.51333]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Pandaloidea,Pandalidae,,,Pandalus,Pandalus stenolepis,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,,,,,,,,
Metacarcinus gracilis,116721,Metacarcinus gracilis,5,"{""PMLS:3052"":[48.94167,-123.51333],""iNat:3958200"":[48.941037,-123.501577],""iNat:7647296"":[48.940283,-123.501066],""iNat:7660201"":[48.939987,-123.502053],""iNat:74472226"":[48.941206,-123.503059]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Cancroidea,Cancridae,,,Metacarcinus,Metacarcinus gracilis,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andrew Simon,dataPaper,,,2021-04-18T20:29:00.000Z,,,,,,,,
Petrolisthes eriomerus,47803,Petrolisthes eriomerus,1,"{""PMLS:3055"":[48.94167,-123.51333]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Galatheoidea,Porcellanidae,,,Petrolisthes,Petrolisthes eriomerus,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,,,,,,,,
Lopholithodes mandtii,459608,Lopholithodes mandtii,1,"{""PMLS:3056"":[48.94167,-123.51333]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Lithodidae,,,Lopholithodes,Lopholithodes mandtii,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,,,,,,,,
Cryptolithodes sitchensis,47395,Cryptolithodes sitchensis,1,"{""PMLS:3057"":[48.94167,-123.51333]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Lithodidae,,,Cryptolithodes,Cryptolithodes sitchensis,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,,,,,,,,
Pagurus kennerlyi,459637,Pagurus kennerlyi,1,"{""PMLS:3059"":[48.94167,-123.51333]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,,,Pagurus,Pagurus kennerlyi,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,,,,,,,,
Mediaster aequalis,293174,Mediaster aequalis,2,"{""PMLS:3067"":[48.94167,-123.51333],""PMLS:15395"":[48.939813,-123.501514]}",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Goniasteridae,Mediasterinae,,Mediaster,Mediaster aequalis,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,,,,,,,,
Luidia foliolata,195859,Luidia foliolata,1,"{""PMLS:3069"":[48.94167,-123.51333]}",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Paxillosida,,,,Luidiidae,,,Luidia,Luidia foliolata,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,,,,,,,,
Ophiura sarsii,202051,Ophiura sarsii,1,"{""PMLS:3073"":[48.94167,-123.51333]}",Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Euryophiurida,Ophiurida,Ophiurina,,,Ophiuridae,Ophiurinae,,Ophiura,Ophiura sarsii,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,,,,,,,,
Ophiura luetkenii,255865,Ophiura luetkenii,3,"{""PMLS:3074"":[48.94167,-123.51333],""PMLS:15402"":[48.939813,-123.501514],""PMLS:16273"":[48.938826,-123.501192]}",Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Euryophiurida,Ophiurida,Ophiurina,,,Ophiuridae,Ophiurinae,,Ophiura,Ophiura luetkenii,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,2013-10-20T10:25:00.000Z,,,,,,,,
Eupentacta quinquesemita,51695,Eupentacta quinquesemita,8,"{""PMLS:3079"":[48.94167,-123.51333],""PMLS:15407"":[48.939813,-123.501514],""PMLS:16275"":[48.938826,-123.501192],""PMLS:16446"":[48.938826,-123.501192],""PMLS:17234"":[48.938826,-123.501192],""iNat:4052034"":[48.941072,-123.501007],""iNat:12684295"":[48.940651,-123.503226],""iNat:24798599"":[48.939591,-123.504847]}",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,,Sclerodactylidae,,,Eupentacta,Eupentacta quinquesemita,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,,dataPaper,,,2019-05-04T20:57:00.000Z,,,,,,,,
Psolus chitonoides,473064,Psolus chitonoides,3,"{""PMLS:3080"":[48.94167,-123.51333],""PMLS:15408"":[48.939813,-123.501514],""PMLS:17236"":[48.938826,-123.501192]}",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,,Psolidae,,,Psolus,Psolus chitonoides,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,2016-03-05T09:42:00.000Z,,,,,,,,
Didemnum,55512,Didemnum / Trididemnum complex,6,"{""PMLS:3086"":[48.94167,-123.51333],""PMLS:15418"":[48.939813,-123.501514],""PMLS:16277"":[48.938826,-123.501192],""PMLS:16454"":[48.938826,-123.501192],""PMLS:17239"":[48.938826,-123.501192],""iNat:2976349"":[48.940329,-123.502362]}",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Didemnidae,,,Didemnum,,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,2016-03-05T09:42:00.000Z,,,,,,,,
Sebastes emphaeus,64468,Sebastes emphaeus,1,"{""PMLS:3093"":[48.94167,-123.51333]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Scorpaenoidei,,,Sebastidae,Sebastinae,,Sebastes,Sebastes emphaeus,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,,,,,,,,
Asemichthys taylori,172639,Radulinus taylori,4,"{""PMLS:3099"":[48.94167,-123.51333],""PMLS:16290"":[48.938826,-123.501192],""PMLS:16468"":[48.938826,-123.501192],""iNat:2975888"":[48.940362,-123.502507]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Cottidae,,,Asemichthys,Asemichthys taylori,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,2013-10-23T11:25:00.000Z,,,,,,,,
Rhamphocottus richardsonii,51881,Rhamphocottus richardsonii,3,"{""PMLS:3100"":[48.94167,-123.51333],""PMLS:15435"":[48.939813,-123.501514],""iNat:4052031"":[48.940986,-123.501946]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Rhamphocottidae,,,Rhamphocottus,Rhamphocottus richardsonii,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,,,,,,,,
Lepidopsetta bilineata,183018,Lepidopsetta bilineata,4,"{""PMLS:3101"":[48.94167,-123.51333],""PMLS:15436"":[48.939813,-123.501514],""PMLS:16292"":[48.938826,-123.501192],""PMLS:16470"":[48.938826,-123.501192]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Carangiformes,Pleuronectoidei,,,Pleuronectidae,Pleuronectinae,,Lepidopsetta,Lepidopsetta bilineata,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Andy Lamb,dataPaper,,,2013-10-23T11:25:00.000Z,,,,,,,,
Pleuronichthys coenosus,228393,Pleuronichthys coenosus,2,"{""PMLS:3102"":[48.94167,-123.51333],""iNat:4015105"":[48.939811,-123.501529]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Carangiformes,Pleuronectoidei,,,Pleuronectidae,Pleuronichthyinae,,Pleuronichthys,Pleuronichthys coenosus,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,Karolle Wall,dataPaper,,,2013-06-22T17:19:00.000Z,,,,,,,,
Mycale adhaerens,256010,Mycale (Aegogropila) adhaerens,1,"{""PMLS:15345"":[48.939813,-123.501514]}",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Mycalidae,,,Mycale,Mycale adhaerens,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,,,,,,,,
Thuiaria,514521,Thuiaria spp.,3,"{""PMLS:15351"":[48.939813,-123.501514],""PMLS:16224"":[48.938826,-123.501192],""PMLS:16395"":[48.938826,-123.501192]}",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Sertularioidea,Sertulariidae,,,Thuiaria,,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Andy Lamb,dataPaper,,,2013-10-23T11:25:00.000Z,,,,,,,,
Arctonoe fragilis,69914,Arctonoe fragilis,2,"{""PMLS:15353"":[48.939813,-123.501514],""PMLS:16398"":[48.938826,-123.501192]}",Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Arctonoinae,,Arctonoe,Arctonoe fragilis,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Andy Lamb,dataPaper,,,2013-10-23T11:25:00.000Z,,,,,,,,
Arctonoe pulchra,465156,Arctonoe pulchra,3,"{""PMLS:15354"":[48.939813,-123.501514],""PMLS:16229"":[48.938826,-123.501192],""PMLS:16399"":[48.938826,-123.501192]}",Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Arctonoinae,,Arctonoe,Arctonoe pulchra,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Andy Lamb,dataPaper,,,2013-10-23T11:25:00.000Z,,,,,,,,
Myxicola infundibulum,49533,Myxicola sp.B,4,"{""PMLS:15357"":[48.939813,-123.501514],""PMLS:16232"":[48.938826,-123.501192],""PMLS:16404"":[48.938826,-123.501192],""PMLS:17193"":[48.938826,-123.501192]}",Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Myxicola,Myxicola infundibulum,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Andy Lamb,dataPaper,,,2016-03-05T09:42:00.000Z,,,,,,,,
Pista elongata,338339,Pista elongata,2,"{""PMLS:15358"":[48.939813,-123.501514],""PMLS:17194"":[48.938826,-123.501192]}",Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebellomorpha,,,Terebellidae,Terebellinae,,Pista,Pista elongata,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Andy Lamb,dataPaper,,,2016-03-05T09:42:00.000Z,,,,,,,,
Bugulina californica,551808,Bugulina californica,3,"{""PMLS:15359"":[48.939813,-123.501514],""PMLS:16233"":[48.938826,-123.501192],""iNat:7674532"":[48.940496,-123.502772]}",Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Buguloidea,Bugulidae,,,Bugulina,Bugulina californica,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Karolle Wall,dataPaper,,,2017-05-26T00:00:00.000Z,,,,,,,,
Diaperoforma californica,345872,Diaperoforma californica,1,"{""PMLS:15360"":[48.939813,-123.501514]}",Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,,,,,,,Diaperoforma,Diaperoforma californica,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,,,,,,,,
Chlamys hastata,180013,Chlamys hastata,2,"{""PMLS:15364"":[48.939813,-123.501514],""iNat:2976031"":[48.940312,-123.50237]}",Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,,Pectinoidea,Pectinidae,Pedinae,Chlamydini,Chlamys,Chlamys hastata,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Peter,dataPaper,,,2013-10-13T00:00:00.000Z,,,,,,,,
Tresus,117624,Tresus sp.,3,"{""PMLS:15367"":[48.939813,-123.501514],""PMLS:16241"":[48.938826,-123.501192],""PMLS:17203"":[48.938826,-123.501192]}",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,,Mactroidea,Mactridae,Lutrariinae,,Tresus,,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Andy Lamb,dataPaper,,,2016-03-05T09:42:00.000Z,1,1,0,1,1,0,sweem,"(Thom, 2011)"
Saxidomus gigantea,130233,Saxidomus gigantea,4,"{""PMLS:15369"":[48.939813,-123.501514],""iNat:19651746"":[48.942737,-123.513771],""iNat:45326879"":[48.941246,-123.502881],""Hunterston:443"":[48.943,-123.5]}",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,,Veneroidea,Veneridae,,,Saxidomus,Saxidomus gigantea,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,dataPaper,,,2020-05-08T20:30:00.000Z,1,1,1,1,1,0,s-axwa',"(Thom, 2011)"
Acmaea mitra,47676,Acmaea mitra,1,"{""PMLS:15370"":[48.939813,-123.501514]}",Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,,Lottioidea,Acmaeidae,,,Acmaea,Acmaea mitra,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,,,,,,,,
Paciocinebrina lurida,910800,Paciocinebrina lurida,1,"{""PMLS:15373"":[48.939813,-123.501514]}",Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Ocenebrinae,,Paciocinebrina,Paciocinebrina lurida,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,,,,,,,,
Calliostoma ligatum,129920,Calliostoma ligatum,5,"{""PMLS:15374"":[48.939813,-123.501514],""iNat:7674350"":[48.941001,-123.504171],""iNat:12945448"":[48.940566,-123.501372],""iNat:15702526"":[48.94081,-123.503385],""iNat:30009606"":[48.938922,-123.502289]}",Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Trochida,,,Trochoidea,Calliostomatidae,Calliostomatinae,,Calliostoma,Calliostoma ligatum,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Galiano observer,dataPaper,,,2019-05-04T19:49:00.000Z,,,,,,,,
Telmessus cheiragonus,180391,Telmessus cheiragonus,4,"{""PMLS:15382"":[48.939813,-123.501514],""iNat:7659462"":[48.940184,-123.501538],""iNat:12684293"":[48.940397,-123.50284],""Hunterston:486"":[48.943,-123.5]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Cheiragonoidea,Cheiragonidae,,,Telmessus,Telmessus cheiragonus,,Hunterston,,,2010-05-22T00:00:00.000Z,Karolle Wall,dataPaper,,,2018-05-18T22:15:00.000Z,,,,,,,,
Oregonia gracilis,84267,Oregonia gracilis,7,"{""PMLS:15385"":[48.939813,-123.501514],""PMLS:16428"":[48.938826,-123.501192],""PMLS:18516"":[48.939813,-123.501514],""iNat:7647272"":[48.940565,-123.501066],""iNat:7648046"":[48.941211,-123.503659],""iNat:30009611"":[48.938922,-123.502289],""Hunterston:315"":[48.943,-123.5]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Majoidea,Oregoniidae,Oregoniinae,,Oregonia,Oregonia gracilis,,Hunterston,,,2010-05-22T00:00:00.000Z,Galiano observer,dataPaper,,,2019-05-04T19:50:00.000Z,,,,,,,,
Pteraster tesselatus,194701,Pteraster tesselatus,3,"{""PMLS:15396"":[48.939813,-123.501514],""PMLS:16268"":[48.938826,-123.501192],""iNat:2975879"":[48.940296,-123.502336]}",Animalia,Echinodermata,Asterozoa,,Asteroidea,,,Velatida,,,,Pterasteridae,,,Pteraster,Pteraster tesselatus,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Andy Lamb,dataPaper,,,2013-10-20T10:25:00.000Z,,,,,,,,
Henricia leviuscula,47664,Henricia leviuscula species complex,6,"{""PMLS:15397"":[48.939813,-123.501514],""PMLS:16269"":[48.938826,-123.501192],""PMLS:16439"":[48.938826,-123.501192],""PMLS:17228"":[48.938826,-123.501192],""iNat:2975819"":[48.940301,-123.502361],""iNat:2976109"":[48.940307,-123.502378]}",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,,Echinasteridae,,,Henricia,Henricia leviuscula,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Andy Lamb,dataPaper,,,2016-03-05T09:42:00.000Z,,,,,,,,
Halocynthia aurantium,473652,Halocynthia aurantium,1,"{""PMLS:15411"":[48.939813,-123.501514]}",Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,,Pyuridae,,,Halocynthia,Halocynthia aurantium,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,,,,,,,,
Chelyosoma productum,428793,Chelyosoma productum,1,"{""PMLS:15415"":[48.939813,-123.501514]}",Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,,Corellidae,,,Chelyosoma,Chelyosoma productum,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,,,,,,,,
Cystodytes lobatus,339197,Cystodytes lobatus,1,"{""PMLS:15417"":[48.939813,-123.501514]}",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polycitoridae,,,Cystodytes,Cystodytes lobatus,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,,,,,,,,
Pholis laeta,67362,Pholis laeta,7,"{""PMLS:15422"":[48.939813,-123.501514],""iNat:4032541"":[48.939598,-123.501515],""iNat:4032638"":[48.940295,-123.501774],""iNat:7660414"":[48.940071,-123.502074],""iNat:12970650"":[48.941092,-123.503937],""iNat:15702536"":[48.940183,-123.501835],""iNat:15702542"":[48.941033,-123.503877]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,,Pholidae,Pholinae,,Pholis,Pholis laeta,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Karolle Wall,dataPaper,,,2018-08-10T20:15:00.000Z,,,,,,,,
Sebastes auriculatus,117541,Sebastes auriculatus,2,"{""PMLS:15429"":[48.939813,-123.501514],""PMLS:16462"":[48.938826,-123.501192]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Scorpaenoidei,,,Sebastidae,Sebastinae,,Sebastes,Sebastes auriculatus,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,Andy Lamb,dataPaper,,,2013-10-23T11:25:00.000Z,,,,,,,,
Enophrys bison,117536,Enophrys bison,6,"{""PMLS:15434"":[48.939813,-123.501514],""iNat:2976525"":[48.940301,-123.502404],""iNat:3706256"":[48.939831,-123.504726],""iNat:13029354"":[48.940612,-123.501487],""iNat:13926046"":[48.940779,-123.502203],""Hunterston:148"":[48.943,-123.5]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Cottidae,,,Enophrys,Enophrys bison,,Hunterston,,,2010-05-22T00:00:00.000Z,Karolle Wall,dataPaper,,,2018-06-28T20:26:00.000Z,,,,,,,,
Leucilla nuttingi,117713,Leucilla nuttingi,2,"{""PMLS:16214"":[48.938826,-123.501192],""iNat:2975914"":[48.940256,-123.502378]}",Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,,Amphoriscidae,,,Leucilla,Leucilla nuttingi,Peter,dataPaper,,,2013-10-13T00:00:00.000Z,Andy Lamb,dataPaper,,,2013-10-20T10:25:00.000Z,,,,,,,,
Urticina grebelnyi,492672,Urticina grebelnyi,11,"{""PMLS:16219"":[48.938826,-123.501192],""PMLS:16389"":[48.938826,-123.501192],""iNat:2975837"":[48.940301,-123.502353],""iNat:3706034"":[48.94014,-123.502378],""iNat:6298901"":[48.940751,-123.50306],""iNat:7660200"":[48.940013,-123.501946],""iNat:12970658"":[48.940154,-123.501118],""iNat:45326902"":[48.940355,-123.500775],""iNat:97205558"":[48.940799,-123.503227],""iNat:103178044"":[48.940763,-123.503086],""Hunterston:521"":[48.943,-123.5]}",Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Actinioidea,Actiniidae,,,Urticina,Urticina grebelnyi,Karolle Wall,iNat,,,2006-05-26T18:51:00.000Z,Andrew Simon,iNat,,,2021-12-16T23:59:00.000Z,,,,,,,,
Plumularia,60609,Plumularia sp.,1,"{""PMLS:16225"":[48.938826,-123.501192]}",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Plumularioidea,Plumulariidae,,,Plumularia,,Andy Lamb,dataPaper,,,2013-10-20T10:25:00.000Z,Andy Lamb,dataPaper,,,2013-10-20T10:25:00.000Z,,,,,,,,
Obelia,49536,Obelia spp.,1,"{""PMLS:16226"":[48.938826,-123.501192]}",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Campanulariidae,,,Obelia,,Andy Lamb,dataPaper,,,2013-10-20T10:25:00.000Z,Andy Lamb,dataPaper,,,2013-10-20T10:25:00.000Z,,,,,,,,
Bolinopsis infundibulum,492705,Bolinopsis infundibulum,4,"{""PMLS:16228"":[48.938826,-123.501192],""PMLS:18510"":[48.939813,-123.501514],""iNat:2976644"":[48.940296,-123.502336],""iNat:74472285"":[48.941558,-123.505449]}",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,Bolinopsis infundibulum,Peter,dataPaper,,,2013-10-13T00:00:00.000Z,Andrew Simon,dataPaper,,,2021-04-18T20:55:00.000Z,,,,,,,,
Macoma,71252,Macoma sp.,1,"{""PMLS:16242"":[48.938826,-123.501192]}",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,,Tellinoidea,Tellinidae,Macominae,,Macoma,,Andy Lamb,dataPaper,,,2013-10-20T10:25:00.000Z,Andy Lamb,dataPaper,,,2013-10-20T10:25:00.000Z,,,,,,,,
Gari californica,354323,Gari californica,2,"{""PMLS:16243"":[48.938826,-123.501192],""PMLS:16411"":[48.938826,-123.501192]}",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,,Tellinoidea,Psammobiidae,,,Gari,Gari californica,Andy Lamb,dataPaper,,,2013-10-20T10:25:00.000Z,Andy Lamb,dataPaper,,,2013-10-23T11:25:00.000Z,,,,,,,,
Mya truncata,447416,Mya truncata,1,"{""PMLS:16244"":[48.938826,-123.501192]}",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,,Myoidea,Myidae,,,Mya,Mya truncata,Andy Lamb,dataPaper,,,2013-10-20T10:25:00.000Z,Andy Lamb,dataPaper,,,2013-10-20T10:25:00.000Z,,,,,,,,
