iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Place Name,First Catalogue Number,First Date Reported,Last Reported By,Last Source,Last Place Name,Last Catalogue Number,Last Date Reported,Food Value,Medicinal Value,Spiritual Value,Material Value,Trade Value,Indicator Value,Hulquminum Name,Hulquminum Authority
Nucella lamellosa,117641,Nucella lamellosa,9,"{""PMLS:23"":[48.939813,-123.501514],""PMLS:15371"":[48.939813,-123.501514],""PMLS:16246"":[48.938826,-123.501192],""PMLS:16413"":[48.938826,-123.501192],""PMLS:17206"":[48.938826,-123.501192],""iNat:70635949"":[48.941532,-123.502757],""iNat:72321485"":[48.941593,-123.502703],""iNat:72321488"":[48.941575,-123.502708],""iNat:94383767"":[48.941845,-123.50132]}",Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Ocenebrinae,,Nucella,Nucella lamellosa,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,,iNat,,,2021-09-10T00:59:13.000Z,,,,,,,,
Peltodoris nobilis,48450,Peltodoris nobilis,8,"{""PMLS:24"":[48.939813,-123.501514],""PMLS:15375"":[48.939813,-123.501514],""PMLS:16415"":[48.938826,-123.501192],""PMLS:17209"":[48.938826,-123.501192],""PMLS:18512"":[48.939813,-123.501514],""iNat:68195093"":[48.939469,-123.501653],""iNat:68198421"":[48.938573,-123.500851],""iNat:69181306"":[48.939222,-123.501847]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Doridoidea,Discodorididae,,,Peltodoris,Peltodoris nobilis,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,Andrew Simon,dataPaper,,,2021-02-06T23:30:00.000Z,,,,,,,,
Doris montereyensis,47469,Doris montereyensis,6,"{""PMLS:25"":[48.939813,-123.501514],""PMLS:17210"":[48.938826,-123.501192],""iNat:7660202"":[48.940619,-123.502053],""iNat:12744159"":[48.941097,-123.505945],""iNat:68195090"":[48.939469,-123.501653],""iNat:71473614"":[48.9415,-123.50181]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Doridoidea,Dorididae,,,Doris,Doris montereyensis,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,,dataPaper,,,2021-03-16T20:02:39.000Z,,,,,,,,
Dendronotus iris,47706,Dendronotus iris,12,"{""PMLS:26"":[48.939813,-123.501514],""PMLS:2684"":[48.94167,-123.51333],""PMLS:3043"":[48.94167,-123.51333],""PMLS:15377"":[48.939813,-123.501514],""PMLS:16253"":[48.938826,-123.501192],""PMLS:16420"":[48.938826,-123.501192],""PMLS:17213"":[48.938826,-123.501192],""iNat:2975966"":[48.940329,-123.502328],""iNat:2975974"":[48.940312,-123.502361],""iNat:3706371"":[48.940923,-123.503053],""iNat:6298902"":[48.940751,-123.50306],""iNat:7647300"":[48.941072,-123.503812]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Dendronotoidea,Dendronotidae,,,Dendronotus,Dendronotus iris,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,Karolle Wall,dataPaper,,,2017-05-23T00:00:00.000Z,,,,,,,,
Dirona albolineata,47477,Dirona albolineata,23,"{""PMLS:27"":[48.939813,-123.501514],""PMLS:3045"":[48.94167,-123.51333],""PMLS:15378"":[48.939813,-123.501514],""PMLS:16255"":[48.938826,-123.501192],""PMLS:16422"":[48.938826,-123.501192],""PMLS:17215"":[48.938826,-123.501192],""PMLS:18237"":[48.938826,-123.501192],""PMLS:18513"":[48.939813,-123.501514],""iNat:2909345"":[48.940454,-123.502114],""iNat:2976490"":[48.94033,-123.502293],""iNat:12684288"":[48.941199,-123.505168],""iNat:68195083"":[48.939469,-123.501653],""iNat:68195091"":[48.939469,-123.501653],""iNat:69181302"":[48.939222,-123.501847],""iNat:69181312"":[48.939222,-123.501847],""iNat:69243370"":[48.939582,-123.502061],""iNat:97178779"":[48.940799,-123.503227],""iNat:107422973"":[48.939281,-123.501726],""iNat:107422985"":[48.939281,-123.501726],""iNat:107422986"":[48.939281,-123.501726],""iNat:107422988"":[48.939281,-123.501726],""iNat:107457327"":[48.939372,-123.503078],""iNat:107457357"":[48.939372,-123.503078]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Proctonotoidea,Dironidae,,,Dirona,Dirona albolineata,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,Andrew Simon,iNat,,,2022-02-26T00:43:00.000Z,,,,,,,,
Hermissenda crassicornis,495552,Hermissenda crassicornis,5,"{""PMLS:28"":[48.939813,-123.501514],""iNat:3707787"":[48.941268,-123.5037],""iNat:6298899"":[48.940751,-123.50306],""iNat:7674344"":[48.940194,-123.501601],""iNat:97178775"":[48.940799,-123.503227]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Aeolidioidea,Myrrhinidae,,,Hermissenda,Hermissenda crassicornis,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,Andrew Simon,dataPaper,,,2017-05-18T07:11:00.000Z,,,,,,,,
Scyra acutifrons,47712,Scyra acutifrons,8,"{""PMLS:29"":[48.939813,-123.501514],""PMLS:2699"":[48.94167,-123.51333],""PMLS:3054"":[48.94167,-123.51333],""PMLS:15384"":[48.939813,-123.501514],""PMLS:16260"":[48.938826,-123.501192],""PMLS:16427"":[48.938826,-123.501192],""PMLS:17218"":[48.938826,-123.501192],""iNat:2976243"":[48.94034,-123.502396]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Majoidea,Epialtidae,Pisinae,,Scyra,Scyra acutifrons,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,Andy Lamb,dataPaper,,,2016-03-05T09:42:00.000Z,,,,,,,,
Phyllolithodes papillosus,424896,Phyllolithodes papillosus,4,"{""PMLS:30"":[48.939813,-123.501514],""PMLS:15386"":[48.939813,-123.501514],""PMLS:16430"":[48.938826,-123.501192],""PMLS:17219"":[48.938826,-123.501192]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Lithodidae,,,Phyllolithodes,Phyllolithodes papillosus,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,Andy Lamb,dataPaper,,,2016-03-05T09:42:00.000Z,,,,,,,,
Pagurus armatus,459543,Pagurus armatus,2,"{""PMLS:31"":[48.939813,-123.501514],""iNat:12631603"":[48.939991,-123.502159]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,,,Pagurus,Pagurus armatus,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,Karolle Wall,dataPaper,,,2018-05-18T22:00:00.000Z,,,,,,,,
Balanus nubilus,49127,Balanus nubilus,10,"{""PMLS:32"":[48.939813,-123.501514],""PMLS:2693"":[48.94167,-123.51333],""PMLS:3061"":[48.94167,-123.51333],""PMLS:15389"":[48.939813,-123.501514],""PMLS:16262"":[48.938826,-123.501192],""PMLS:16433"":[48.938826,-123.501192],""PMLS:17223"":[48.938826,-123.501192],""PMLS:18481"":[48.938826,-123.501192],""iNat:2975823"":[48.940318,-123.502447],""iNat:103178046"":[48.940763,-123.503086]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,Balanus nubilus,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,Andrew Simon,iNat,,,2021-12-16T23:59:00.000Z,1,1,1,0,1,0,qumine',"(Thom, 2011)"
