Scientific,Date,Zone,Latitude,Longitude,Source
Cathartes aura,2010-05-22,0,48.942,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Branta canadensis,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Anagallis arvensis,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Bavista plumbea,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Bellis perennis,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Blechnum spicant,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Bromus tectorum,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Capsella bursa-pastoris,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Carduelis pinus,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Carduelis tristis,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Carpodacus mexicanus,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Celastrina echo,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Cerastium sp.,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Cirsium vulgare,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Dactylis glomerata,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Dryocopus pileatus,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Eleocharis palostris,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Geranium dissectum,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Geranium robertianum,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Holcus lanatus,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Hypochaeris,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Lactuca muralis,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Malva neglecta,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Marasmius oreades,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Melospiza melodius,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Poa annua,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Pseudacris regilla,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Rana aurora,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Ranunculus occidentelis,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Roa pratensis,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Rorripa sp.,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Sedum spathulifolium,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Selasphorus rufus,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Sonchus oleraceus,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Sphyrapicus ruber,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Spizella passerina,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Syrphidae,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Tachycineta thalassina,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Thlaspi arvense,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Trifolium repens,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Turdus migratorius,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Veronica beccabunga,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Veronica serpyllifolia,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Viola aduner,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Vireo huttoni,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Zonotrichia leucophrys,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Molothrus ater,2010-05-22,1,48.944,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Achillea millefolium,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Agoseris sp.,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Aira praecox,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Allium cernuum,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Amarrita pantherina,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Amsmakia sp.,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Anthocharis sara flora,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Anthoxanthum odoratum,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Asparagus,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Berberis nervosa,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Camassia,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Cardamine oligosperma,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Castilleja hispida,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Castilleja miniata,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Cerastium arvanse,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Cerastium sp.,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Certhia americana,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Claytonia perfoliata,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Cynosurus echinatus,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Cytisus scoparius,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
Danthonia intermedia,2010-05-22,2,48.943,-123.51,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz
