iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Date observed,Description,Place name,Common name,Recorded by,Event Remarks,coordinateUncertaintyInMeters,Individual count,Depth,gbifOccurrenceID,Catalog Number,Confidence,Sex,Field number,Coordinates Corrected,Coordinates Corrected Note,STATE,CLASS,SUB_CLASS,COMMENT,COMMUNITY,COMM_HULQ,LABEL,LABEL_HULQ,LABEL_LAB,clazz,LEGEND_LAB
Dendronotus iris,47706,Dendronotus iris,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Dendronotoidea,Dendronotidae,,,Dendronotus,iris,iNat:2975966,48.940329,-123.502328,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Dendronotus iris,47706,Dendronotus iris,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Dendronotoidea,Dendronotidae,,,Dendronotus,iris,iNat:2975974,48.940312,-123.502361,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Mesocentrotus franciscanus,992313,Mesocentrotus franciscanus,,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,,Camarodonta,,Echinidea,Odontophora,Strongylocentrotidae,,,Mesocentrotus,franciscanus,iNat:2975984,48.940313,-123.502336,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Dermasterias imbricata,63382,Dermasterias imbricata,,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Asteropseidae,,,Dermasterias,imbricata,iNat:2975990,48.94034,-123.502421,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Glebocarcinus oregonensis,429951,Glebocarcinus oregonensis,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Cancroidea,Cancridae,,,Glebocarcinus,oregonensis,iNat:2976002,48.940318,-123.502353,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Ptilosarcus gurneyi,448320,Ptilosarcus gurneyi,,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Scleralcyonacea,,,Pennatuloidea,Pennatulidae,,,Ptilosarcus,gurneyi,iNat:2976007,48.940352,-123.502404,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Rhinogobiops nicholsii,132521,Rhinogobiops nicholsii,,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gobiiformes,,,,Gobiidae,Gobiinae,,Rhinogobiops,nicholsii,iNat:2976016,48.94029,-123.502387,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Sebastes maliger,63386,Sebastes maliger,,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Scorpaenoidei,,,Scorpaenidae,Sebastinae,,Sebastes,maliger,iNat:2976021,48.940324,-123.502353,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Chlamys hastata,180013,Chlamys hastata,,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,,Pectinoidea,Pectinidae,Pedinae,Chlamydini,Chlamys,hastata,iNat:2976031,48.940312,-123.50237,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Cadlina luteomarginata,50146,Cadlina luteomarginata,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Chromodoridoidea,Cadlinidae,,,Cadlina,luteomarginata,iNat:2976038,48.94029,-123.502429,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Jordania zonope,222465,Jordania zonope,,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Jordaniidae,,,Jordania,zonope,iNat:2976049,48.940323,-123.502404,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Cadlina klasmalmbergi,1118728,Cadlina klasmalmbergi,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Chromodoridoidea,Cadlinidae,,,Cadlina,klasmalmbergi,iNat:2976072,48.940379,-123.502626,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Henricia leviuscula,47664,Henricia leviuscula,,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,,Echinasteridae,,,Henricia,leviuscula,iNat:2976109,48.940307,-123.502378,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Sebastes maliger,63386,Sebastes maliger,,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Scorpaenoidei,,,Scorpaenidae,Sebastinae,,Sebastes,maliger,iNat:2976114,48.940284,-123.502353,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Ophiodon elongatus,52539,Ophiodon elongatus,,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Hexagrammidae,Ophiodontinae,,Ophiodon,elongatus,iNat:2976120,48.940273,-123.502344,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Ceratostoma foliatum,116687,Ceratostoma foliatum,,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Ocenebrinae,,Ceratostoma,foliatum,iNat:2976124,48.940323,-123.502413,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Cnemidocarpa finmarkiensis,47807,Cnemidocarpa finmarkiensis,,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,,Styelidae,,,Cnemidocarpa,finmarkiensis,iNat:2976148,48.940318,-123.502361,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Pycnopodia helianthoides,47673,Pycnopodia helianthoides,,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,Pycnopodiinae,,Pycnopodia,helianthoides,iNat:2976203,48.940318,-123.502353,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Orthasterias koehleri,47669,Orthasterias koehleri,,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,,,Orthasterias,koehleri,iNat:2976217,48.940301,-123.502344,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Scyra acutifrons,47712,Scyra acutifrons,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Majoidea,Epialtidae,Pisinae,,Scyra,acutifrons,iNat:2976243,48.94034,-123.502396,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Acanthodoris nanaimoensis,47476,Acanthodoris nanaimoensis,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Acanthodoris,nanaimoensis,iNat:2976276,48.940301,-123.502378,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Tritonia festiva,48827,Tritonia festiva,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Tritonioidea,Tritoniidae,,,Tritonia,festiva,iNat:2976292,48.940346,-123.502387,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Cancer productus,47826,Cancer productus,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Cancroidea,Cancridae,,,Cancer,productus,iNat:2976310,48.940307,-123.502336,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Urticina clandestina,898651,Urticina clandestina,,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Actinioidea,Actiniidae,,,Urticina,clandestina,iNat:2976318,48.940279,-123.502318,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Rhinogobiops nicholsii,132521,Rhinogobiops nicholsii,,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gobiiformes,,,,Gobiidae,Gobiinae,,Rhinogobiops,nicholsii,iNat:2976323,48.94034,-123.502455,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Artedius fenestralis,117527,Artedius fenestralis,,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Oligocottinae,,Artedius,fenestralis,iNat:2976334,48.940329,-123.502396,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Didemnum,55512,Didemnum,,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Didemnidae,,,Didemnum,,iNat:2976349,48.940329,-123.502362,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Jordania zonope,222465,Jordania zonope,,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Jordaniidae,,,Jordania,zonope,iNat:2976356,48.940324,-123.502336,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Anthopleura artemisia,51658,Anthopleura artemisia,,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Actinioidea,Actiniidae,,,Anthopleura,artemisia,iNat:2976378,48.940368,-123.502388,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Rhinogobiops nicholsii,132521,Rhinogobiops nicholsii,,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gobiiformes,,,,Gobiidae,Gobiinae,,Rhinogobiops,nicholsii,iNat:2976382,48.940273,-123.502387,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Urticina clandestina,898651,Urticina clandestina,,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Actinioidea,Actiniidae,,,Urticina,clandestina,iNat:2976389,48.940194,-123.502386,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Tritonia festiva,48827,Tritonia festiva,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Tritonioidea,Tritoniidae,,,Tritonia,festiva,iNat:2976426,48.940363,-123.502345,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Dirona albolineata,47477,Dirona albolineata,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Proctonotoidea,Dironidae,,,Dirona,albolineata,iNat:2976490,48.94033,-123.502293,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Enophrys bison,117536,Enophrys bison,,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Myoxocephalinae,,Enophrys,bison,iNat:2976525,48.940301,-123.502404,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Anthopleura artemisia,51658,Anthopleura artemisia,,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Actinioidea,Actiniidae,,,Anthopleura,artemisia,iNat:2976540,48.940301,-123.502361,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Coryphella trophina,1376715,Coryphella trophina,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Fionoidea,Coryphellidae,,,Coryphella,trophina,iNat:2976615,48.940335,-123.502379,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Ceratostoma foliatum,116687,Ceratostoma foliatum,,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Ocenebrinae,,Ceratostoma,foliatum,iNat:2976638,48.940335,-123.502404,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Bolinopsis microptera,1419827,Bolinopsis microptera,,Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,microptera,iNat:2976644,48.940296,-123.502336,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Jordania zonope,222465,Jordania zonope,,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Jordaniidae,,,Jordania,zonope,iNat:2976649,48.94034,-123.502404,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Pugettia gracilis,130344,Pugettia gracilis,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Majoidea,Epialtidae,Epialtinae,,Pugettia,gracilis,iNat:2976672,48.940312,-123.50237,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Liparis pulchellus,223899,Liparis pulchellus,,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Liparidae,,,Liparis,pulchellus,iNat:2976683,48.940346,-123.502396,2013-10-13,,,,Peter,,184,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Pisaster ochraceus,49699,Pisaster ochraceus,,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,,,Pisaster,ochraceus,iNat:3369533,48.940049,-123.501196,2016-06-01T08:38:10-07:00,,,,Adam Huggins,,34,,,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Phacellophora camtschatica,52966,Phacellophora camtschatica,,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,,Phacellophoridae,,,Phacellophora,camtschatica,iNat:3369535,48.940195,-123.50087,2016-06-01T08:51:07-07:00,,,,Adam Huggins,,,,,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Polyorchis penicillatus,51640,Polyorchis penicillatus,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,,Corynidae,,,Polyorchis,penicillatus,iNat:3680720,48.940314,-123.501756,2010-07-09,,,,Karolle Wall,,31,,,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Phacellophora camtschatica,52966,Phacellophora camtschatica,,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,,Phacellophoridae,,,Phacellophora,camtschatica,iNat:3680726,48.941216,-123.502228,2016-06-14,,,,Karolle Wall,,31,,,,,,,,,,Natural,LT,,,Marine,,Shoreline,,Shoreline,Shoreline,
Cyanea ferruginea,786996,Cyanea ferruginea,,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,,Cyaneidae,,,Cyanea,ferruginea,iNat:3680731,48.940328,-123.501906,2016-05-22T12:22:00-07:00,,,,Karolle Wall,,31,,,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Triopha modesta,1133369,Triopha catalinae,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Polyceroidea,Polyceridae,Triophinae,,Triopha,modesta,iNat:3705553,48.940557,-123.502824,2016-05-09T13:23:00-07:00,,,,Karolle Wall,,31,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Dendronotus venustus,129995,Dendronotus venustus,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Dendronotoidea,Dendronotidae,,,Dendronotus,venustus,iNat:3705618,48.940123,-123.501778,2016-05-24T13:41:00-07:00,,,,Karolle Wall,,8,,,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Diaulula odonoghuei,508237,Diaulula odonoghuei,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Doridoidea,Discodorididae,,,Diaulula,odonoghuei,iNat:3705619,48.940271,-123.501928,2016-05-10T12:25:00-07:00,,,,Karolle Wall,,31,,,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Aeolidia loui,498117,Aeolidia loui,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Aeolidioidea,Aeolidiidae,,,Aeolidia,loui,iNat:3705620,48.940976,-123.502936,2016-04-01T15:47:00-07:00,,,,Karolle Wall,,31,,,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Melibe leonina,48455,Melibe leonina,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Dendronotoidea,Tethydidae,,,Melibe,leonina,iNat:3705621,48.939583,-123.50169,2013-08-20T11:24:00-07:00,,,,Karolle Wall,,,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Acanthodoris nanaimoensis,47476,Acanthodoris nanaimoensis,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Acanthodoris,nanaimoensis,iNat:3705623,48.941131,-123.504417,2015-07-02T10:27:00-07:00,,,,Karolle Wall,,31,,,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Antiopella fusca,886884,Antiopella fusca,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Proctonotoidea,Janolidae,,,Antiopella,fusca,iNat:3705624,48.941272,-123.506026,2015-06-18T13:47:00-07:00,,,,Karolle Wall,,31,,,,,,,,,,Natural,LT,,,Marine,,Shoreline,,Shoreline,Shoreline,
Dendronotus rufus,50393,Dendronotus rufus,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Dendronotoidea,Dendronotidae,,,Dendronotus,rufus,iNat:3705777,48.940373,-123.501735,2011-10-07T14:13:00-07:00,,,,Karolle Wall,,8,,,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Dendronotus albopunctatus,50328,Dendronotus albopunctatus,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Dendronotoidea,Dendronotidae,,,Dendronotus,albopunctatus,iNat:3705779,48.940387,-123.502883,2015-04-22T14:58:00-07:00,,,,Karolle Wall,,8,,,,,,,,,,Natural,LT,,,Marine,,Shoreline,,Shoreline,Shoreline,
Apostichopus californicus,202640,Apostichopus californicus,,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,iNat:3705817,48.940116,-123.501713,2015-05-24T14:27:00-07:00,,,,Karolle Wall,,31,,,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Cucumaria miniata,117695,Cucumaria miniata,,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,,Cucumariidae,,,Cucumaria,miniata,iNat:3705818,48.94154,-123.505769,2013-08-07T14:00:00-07:00,,,,Karolle Wall,,31,,,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Ophiopholis kennerlyi,129228,Ophiopholis kennerlyi,,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Ophintegrida,Amphilepidida,Gnathophiurina,,Ophiactoidea,Ophiopholidae,,,Ophiopholis,kennerlyi,iNat:3705819,48.940582,-123.502657,2014-03-24,,,,Karolle Wall,,31,,,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Aldisa sanguinea,50098,Aldisa sanguinea,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Chromodoridoidea,Cadlinidae,,,Aldisa,sanguinea,iNat:3705820,48.941018,-123.50358,2016-05-06T12:44:00-07:00,,,,Karolle Wall,,31,,,,,,,,,,,,,,Marine,,Eelgrass Beds,,,Eelgrass Beds,
Urticina grebelnyi,492672,Urticina grebelnyi,,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Actinioidea,Actiniidae,,,Urticina,grebelnyi,iNat:3706034,48.94014,-123.502378,2016-05-08T14:20:00-07:00,,,,Karolle Wall,,15,,,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Anthopleura elegantissima,52564,Anthopleura elegantissima,,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Actinioidea,Actiniidae,,,Anthopleura,elegantissima,iNat:3706035,48.939836,-123.504709,2016-04-01T15:47:00-07:00,,,,Karolle Wall,,187,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Neverita lewisii,447427,Neverita lewisii,,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,,Naticoidea,Naticidae,Polinicinae,,Neverita,lewisii,iNat:3706222,48.940174,-123.501532,2016-07-18T11:57:00-07:00,,,,Karolle Wall,,31,,,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Porichthys notatus,60021,Porichthys notatus,,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Batrachoidiformes,,,,Batrachoididae,Porichthyinae,,Porichthys,notatus,iNat:3706223,48.940476,-123.501695,2016-05-08T13:21:00-07:00,,,,Karolle Wall,,8,,,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Pandalus danae,154708,Pandalus danae,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Pandaloidea,Pandalidae,,,Pandalus,danae,iNat:3706255,48.939819,-123.5047,2015-04-22T15:41:00-07:00,,,,Karolle Wall,,187,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Enophrys bison,117536,Enophrys bison,,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Myoxocephalinae,,Enophrys,bison,iNat:3706256,48.939831,-123.504726,2016-04-25T14:04:00-07:00,,,,Karolle Wall,,187,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Nautichthys oculofasciatus,183019,Nautichthys oculofasciatus,,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Agonidae,Hemitripterinae,,Nautichthys,oculofasciatus,iNat:3706257,48.939808,-123.504717,2015-04-15,,,,Karolle Wall,,187,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Berthella chacei,1081461,Berthella chacei,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Pleurobranchida,,,Pleurobranchoidea,Pleurobranchidae,,,Berthella,chacei,iNat:3706277,48.939819,-123.504709,2015-04-20T14:34:00-07:00,,,,Karolle Wall,,187,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Gonionemus vertens,501046,Gonionemus vertens,,Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Limnomedusae,,,,Olindiidae,,,Gonionemus,vertens,iNat:3706321,48.939842,-123.504717,2013-07-07T11:52:00-07:00,,,,Karolle Wall,,187,,,,,,,,yes,shunted to adjacent waters in Retreat Cove,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
