iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Author,Date observed,Description,Place name,Common name,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Documenting
Bathydrilus litoreus,957359,Bathydrilus litoreus,Animalia,Annelida,,,Clitellata,Oligochaeta,,Tubificida,Tubificina,,,Naididae,Phallodrilinae,,Bathydrilus,Bathydrilus litoreus,"Baker, 1983",,,,naidid worm,1979-07-05,Randy Baker,Animalia,,,unobserved
Limnodriloides victoriensis,957352,Limnodriloides victoriensis,Animalia,Annelida,,,Clitellata,Oligochaeta,,Tubificida,Tubificina,,,Naididae,Limnodriloidinae,,Limnodriloides,Limnodriloides victoriensis,"Brinkhurst & Baker, 1979",,,,naidid worm,1979-07-05,Randy Baker,Animalia,,,unobserved
Phyllochaetopterus prolifica,467241,Phyllochaetopterus prolifica,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,,Chaetopteridae,,,Phyllochaetopterus,Phyllochaetopterus prolifica,"Potts, 1914",,,,prolific three-section tubeworm,2006-11-11,Andy Lamb,Animalia,,,unobserved
Phyllochaetopterus,374226,Phyllochaetopterus sp.,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,,Chaetopteridae,,,Phyllochaetopterus,,,,,,three-section tubeworm,2007-10-14,Andy Lamb,Animalia,,,unobserved
Diopatra ornata,339286,Diopatra ornata,Animalia,Annelida,,,Polychaeta,Errantia,,Eunicida,,,,Onuphidae,Onuphinae,,Diopatra,Diopatra ornata,"Moore, 1911",,,,ornate tubeworm,1999-10-02,Andy Lamb,Animalia,2020-06-07,Jennifer Grant,observed
Aphrodita negligens,733687,Aphrodita negligens,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Aphroditidae,,,Aphrodita,Aphrodita negligens,"Moore, 1905",,,,sea mouse,1914-06-26,,Animalia,,,unobserved
Oxydromus pugettensis,494514,Oxydromus pugettensis,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,,Hesionidae,Ophiodrominae,Ophiodromini,Oxydromus,Oxydromus pugettensis,"(Johnson, 1901)",,,,bat star commensal worm,2006-06-23,Andy Lamb,Animalia,2018-08-10,Karolle Wall,observed
Alitta williami,1115984,Alitta williami,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,,Nereididae,Nereidinae,,Alitta,Alitta williami,"Villalobos-Guerrero & Bakken, 2018",,,,giant piling sea-nymph worm,,,Animalia,2017-04-17,Kristian Sigvardsen,observed
Nereis zonata,347330,Nereis cf zonata,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,,Nereididae,Nereidinae,,Nereis,Nereis zonata,,,,,ragworm,1986-09-30,,Animalia,,,unobserved
Nereis,81791,Nereis sp.,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,,Nereididae,Nereidinae,,Nereis,,,,,,sea-nymph worm,2008-03-01,Andy Lamb,Animalia,,,unobserved
Nereis vexillosa,81790,Nereis vexillosa,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,,Nereididae,Nereidinae,,Nereis,Nereis vexillosa,"Grube, 1851",,,,banner sea-nymph,1969-02-22,Andy Lamb,Animalia,2019-05-04,Lena Dietz Chiasson,observed
Platynereis bicanaliculata,129876,Platynereis bicanaliculata,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,,Nereididae,Nereidinae,,Platynereis,Platynereis bicanaliculata,"(Baird, 1863)",,,,algae-dwelling sea-nymph,,,Animalia,2019-05-04,Emily Adamczyk,observed
Eulalia,347275,Eulalia sp.,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Phyllodociformia,,,Phyllodocidae,Eteoninae,,Eulalia,,,,,,,1959-12-11,Dan Quayle,Animalia,,,unobserved
Arctonoe fragilis,69914,Arctonoe fragilis,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Arctonoinae,,Arctonoe,Arctonoe fragilis,"(Baird, 1863)",,,,fragile ruffled scaleworm,1975-06-18,T. Kessler,Animalia,,,unobserved
Arctonoe pulchra,465156,Arctonoe pulchra,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Arctonoinae,,Arctonoe,Arctonoe pulchra,"(Johnson, 1897)",,,,red commensal scaleworm,1975-06-18,T. Kessler,Animalia,2019-05-04,Norah Brown,observed
Arctonoe vittata,122163,Arctonoe vittata,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Arctonoinae,,Arctonoe,Arctonoe vittata,"(Grube, 1855)",,,,red-banded commensal scaleworm,1975-06-18,T. Kessler,Animalia,,,unobserved
Halosydna brevisetosa,71236,Halosydna brevisetosa,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Lepidonotinae,,Halosydna,Halosydna brevisetosa,"Kinberg, 1856",,,,eighteen-scaled worm,1969-02-22,Andy Lamb,Animalia,2019-05-05,Dave Metzger,observed
Harmothoe fragilis,873903,Harmothoe fragilis,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Polynoinae,,Harmothoe,Harmothoe fragilis,"Moore, 1910",,,,chocolate & white scaleworm,2012-10-06,Andy Lamb,Animalia,,,unobserved
Epigamia alexandri,1136117,Epigamia cf alexandri,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,,Syllidae,Autolytinae,Autolytini,Epigamia,Epigamia alexandri,,,,,noble necklace worm,1986-09-30,,Animalia,,,unobserved
Trypanedenta gemmipara,1136121,Trypanedenta gemmipara,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,,Syllidae,Syllinae,,Trypanedenta,Trypanedenta gemmipara,"(Johnson, 1901)",,,,brown jewel necklace worm,1986-09-30,,Animalia,,,unobserved
Trypanosyllis,195014,Trypanosyllis sp.,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,,Syllidae,Syllinae,,Trypanosyllis,,,,,,necklace-worm,1985-08-02,Andy Lamb,Animalia,,,unobserved
Tomopteris,194976,Tomopteris sp.,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,,,,Tomopteridae,,,Tomopteris,,,,,,,2010-05-30,Andy Lamb,Animalia,,,unobserved
Bispira pacifica,1199401,Bispira pacifica,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Bispira,Bispira pacifica,"(Berkeley & Berkeley, 1954)",,,,twin-eyed feather duster,1973-09-20,Andy Lamb,Animalia,,,unobserved
Neosabellaria cementarium,339237,Neosabellaria cementarium,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,,Sabellariidae,,,Neosabellaria,Neosabellaria cementarium,"(Moore, 1906)",,,,cemented sandmason tubeworm,1996-09-28,Charlie Gibbs,Animalia,,,unobserved
Chone aurantiaca,356415,Chone aurantiaca,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Chone,Chone aurantiaca,"(Johnson, 1901)",,,,orange feather-duster,1999-05-04,Andy Lamb,Animalia,,,unobserved
Eudistylia vancouveri,84864,Eudistylia vancouveri,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Eudistylia,Eudistylia vancouveri,"(Kinberg, 1866)",,,,Vancouver feather-duster,1969-02-21,Andy Lamb,Animalia,2015-01-01,Peter Luckham,observed
Myxicola aesthetica,492594,Myxicola aff. aesthetica,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Myxicola,Myxicola aesthetica,,,,,petite slime-tube feather-duster,2018-06-19,Andy Lamb,Animalia,,,unobserved
Myxicola infundibulum,49533,Myxicola aff. infundibulum,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Myxicola,Myxicola infundibulum,,,,,slime-tube feather-duster,1993-05-09,Charlie Gibbs,Animalia,,,unobserved
Parasabella media,367054,Parasabella media,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Parasabella,Parasabella media,Bush 1905,,,,parasol feather-duster,1994-09-10,Andy Lamb,Animalia,2021-03-10,Andrew Simon,observed
Pseudopotamilla occelata,485471,Pseudopotamilla occelata,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Pseudopotamilla,Pseudopotamilla occelata,"Moore, 1905",,,,feather-duster,1986-09-30,,Animalia,,,unobserved
Schizobranchia insignis,339561,Schizobranchia insignis,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Schizobranchia,Schizobranchia insignis,"Bush, 1905",,,,split-branch feather-duster,1969-02-21,Andy Lamb,Animalia,2017-05-26,Karolle Wall,observed
Apomatus geniculatus,939557,Apomatus geniculatus,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Apomatus,Apomatus geniculatus,"(Moore & Bush, 1904)",,,,pearl-topped calcareous worm,2007-10-14,Andy Lamb,Animalia,,,unobserved
Crucigera zygophora,543574,Crucigera zygophora,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Crucigera,Crucigera zygophora,"(Johnson, 1901)",,,,pale calcareous tubeworm,1986-09-30,,Animalia,,,unobserved
Pileolaria,533325,Pileolaria spp.,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,Spirorbinae,Pileolariini,Pileolaria,,,,,,dwarf calcareous tubeworm,1994-10-23,Andy Lamb,Animalia,,,unobserved
Protula pacifica,538108,Protula pacifica,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Protula,Protula pacifica,"Pixell, 1912",,,,white-crown calcareous tubeworm,1981-05-31,Andy Lamb,Animalia,,,unobserved
Pseudochitinopoma occidentalis,538107,Pseudochitinopoma occidentalis,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Pseudochitinopoma,Pseudochitinopoma occidentalis,"(Bush, 1905)",,,,western calcareous tubeworm,2006-03-05,Andy Lamb,Animalia,,,unobserved
Salmacina tribranchiata,194972,Salmacina tribranchiata,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Salmacina,Salmacina tribranchiata,"(Moore, 1923)",,,,three-branch calcareous tubeworm,2006-11-18,Andy Lamb,Animalia,,,unobserved
Serpula columbiana,131207,Serpula columbiana,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Serpula,Serpula columbiana,"Johnson, 1901",,,,red-trumpet calcareous tubeworm,1986-04-08,,Animalia,2015-09-25,Karolle Wall,observed
Cirratulus spectabilis,1136116,Cirratulus spectabilis,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,,Cirratulidae,,,Cirratulus,Cirratulus spectabilis,"(Kinberg, 1866)",,,,red threads worm,1986-09-30,,Animalia,,,unobserved
Dodecaceria concharum,464813,Dodecaceria concharum,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,,Cirratulidae,,,Dodecaceria,Dodecaceria concharum,"Örsted, 1843",,,,coralline-encased filament-worm,1999-07-31,Charlie Gibbs,Animalia,2021-01-09,Andrew Simon,observed
Dodecaceria fewkesi,192656,Dodecaceria fewkesi,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,,Cirratulidae,,,Dodecaceria,Dodecaceria fewkesi,"Berkeley & Berkeley, 1954",,,,fringed filament-worm,1969-02-21,Andy Lamb,Animalia,2016-02-07,Peter Luckham,observed
Neoleprea spiralis,1136118,Neoleprea spiralis,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebellomorpha,,,Terebellidae,Terebellinae,,Neoleprea,Neoleprea spiralis,"(Johnson, 1901)",,,,spaghetti worm,1986-09-30,,Animalia,,,unobserved
Pista elongata,338339,Pista elongata,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebellomorpha,,,Terebellidae,Terebellinae,,Pista,Pista elongata,"Moore, 1909",,,,basket-top spaghetti worm,1993-08-16,Andy Lamb,Animalia,,,unobserved
Thelepus,117588,Thelepus spp.,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebellomorpha,,,Terebellidae,Thelepodinae,,Thelepus,,,,,,curly-head spaghetti worm,1985-08-02,Andy Lamb,Animalia,,,unobserved
Chaetopterus variopedatus,216631,Chaetopterus variopedatus complex,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,,Chaetopteridae,,,Chaetopterus,Chaetopterus variopedatus,"Cuvier, 1827",,,,U-shaped parchment tubeworm,2006-03-05,Andy Lamb,Animalia,,,unobserved
Spiochaetopterus costarum,130236,Spiochaetopterus costarum pottsi,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,,Chaetopteridae,,,Spiochaetopterus,Spiochaetopterus costarum,"(Berkeley, 1927)",,,,jointed three-section tubeworm,1985-12-07,Andy Lamb,Animalia,,,unobserved
Agelenopsis,82116,Agelenopsis sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Agelenoidea,Agelenidae,Ageleninae,,Agelenopsis,,,,,,grass spider,,,Animalia,2016-08-15,Andrew Simon,observed
Eratigena agrestis,454859,Eratigena agrestis,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Agelenoidea,Agelenidae,,,Eratigena,Eratigena agrestis,"(Walckenaer, 1802)",,,,hobo spider,,,Animalia,2016-08-15,Andrew Simon,observed
Eratigena duellica,750907,Eratigena duellica,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Agelenoidea,Agelenidae,,,Eratigena,Eratigena duellica,"Simon, 1875",,,,giant house spider,2002-12-25,Robb Bennett,Animalia,2014-06-21,Andrew Simon,observed
Tegenaria domestica,153507,Tegenaria domestica,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Agelenoidea,Agelenidae,Ageleninae,,Tegenaria,Tegenaria domestica,"(Clerck, 1757)",,,,barn funnel weaver,2002-12-25,Robb Bennett,Animalia,,,unobserved
Callobius pictus,199277,Callobius pictus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Amaurobioidea,Amaurobiidae,,,Callobius,Callobius pictus,"(Simon, 1884)",,,,truncated laceweaver,,,Animalia,2016-08-14,Andrew Simon,observed
Callobius severus,49549,Callobius severus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Amaurobioidea,Amaurobiidae,,,Callobius,Callobius severus,"(Simon, 1884)",,,,west coast laceweaver,1984-04-20,Geoffrey G.E. Scudder,Animalia,2016-09-11,Andrew Simon,observed
Antrodiaetus pacificus,199276,Antrodiaetus pacificus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Mygalomorphae,,Atypoidea,Antrodiaetidae,,,Antrodiaetus,Antrodiaetus pacificus,"(Simon, 1884)",,,,common foldingdoor spider,,,Animalia,2017-09-04,Andrew Simon,observed
Anyphaena aperta,213821,Anyphaena aperta,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Dictynoidea,Anyphaenidae,,,Anyphaena,Anyphaena aperta,"(Banks, 1921)",,,,west coast ghost spider,1983-04-30,Geoffrey G.E. Scudder,Animalia,2017-05-31,Andrew Simon,observed
Araneus diadematus,52628,Araneus diadematus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,,Araneus,Araneus diadematus,"Clerck, 1758",,,,cross orbweaver,,,Animalia,2012-09-13,Rolando Lampitoc,observed
Araneus saevus,122290,Araneus saevus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,,Araneus,Araneus saevus,,,,,fierce orbweaver,,,Animalia,2018-10-30,Christian Adler,observed
Araneus trifolium,119122,Araneus trifolium,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,,Araneus,Araneus trifolium,"(Hentz, 1847)",,,,shamrock orbweaver,,,Animalia,2018-07-13,Marty Moser,observed
Araniella displicata,81984,Araniella displicata,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,,Araniella,Araniella displicata,"(Hentz, 1847)",,,,six-spotted orbweaver,,,Animalia,2018-05-25,Andrew Simon,observed
Cyclosa conica,205888,Cyclosa conica,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,,Cyclosa,Cyclosa conica,,,,,conical trashline orbweaver,,,Animalia,2018-05-23,Andrew Simon,observed
Cyclosa,127360,Cyclosa sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,,Cyclosa,,,,,,trashline orbweaver,,,Animalia,2018-05-23,Andrew Simon,observed
Larinioides cornutus,126513,Larinioides cornutus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,,,Larinioides,Larinioides cornutus,"(Clerck, 1757)",,,,furrow orbweaver,,,Animalia,2017-04-15,Andrew Simon,observed
Larinioides sclopetarius,538959,Larinioides sclopetarius,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,,,Larinioides,Larinioides sclopetarius,,,,,grey cross spider,,,Animalia,2017-04-15,Andrew Simon,observed
Neoscona crucifera,85034,Neoscona crucifera,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,,Neoscona,Neoscona crucifera,"(Lucas, 1839)",,,,spotted orbweaver,,,Animalia,2018-10-22,Kevin Toomer,observed
Zygiella,141755,Zygiella sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Zygiellinae,,Zygiella,,,,,,,,,Animalia,2019-09-17,Dave “Zeuss” Cochrane,observed
Castianeira longipalpa,70300,Castianeira longipalpa,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Corinnoidea,Corinnidae,Castianeirinae,,Castianeira,Castianeira longipalpa,"(Hentz, 1847)",,,,common ant-mimic,,,Animalia,2016-09-01,Andrew Simon,observed
Castianeira walsinghami,216170,Castianeira walsinghami,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Corinnoidea,Corinnidae,Castianeirinae,,Castianeira,Castianeira walsinghami,"(O. P.-Cambridge, 1874)",,,,Walsingham ant-mimic,,,Animalia,2018-07-30,Tyson Ehlers,observed
Cybaeota shastae,217950,Cybaeota shastae,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Dictynoidea,Cybaeidae,,,Cybaeota,Cybaeota shastae,"Chamberlin & Ivie, 1937",,,,western cryptic woodland spider,2016-09-04,RBCM BC Spider Database,Animalia,,,unobserved
Cybaeus morosus,217953,Cybaeus morosus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Dictynoidea,Cybaeidae,,,Cybaeus,Cybaeus morosus,"Simon, 1886",,,,northwest woodland spider,1991-09-02,Geoffrey G.E. Scudder,Animalia,,,unobserved
Cybaeus signifer,52949,Cybaeus signifer,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Dictynoidea,Cybaeidae,,,Cybaeus,Cybaeus signifer,"Simon, 1886",,,,night-hunting woodland spider,,,Animalia,2016-07-26,Andrew Simon,observed
Ethobuella tuonops,219592,Ethobuella tuonops,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Dictynoidea,Cybaeidae,,,Ethobuella,Ethobuella tuonops,"Chamberlin & Ivie, 1937",,,,big-eyed forest litter spider,2012-05-09,Robb Bennett,Animalia,,,unobserved
Dysdera crocata,68912,Dysdera crocata,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Haplogynae,Dysderoidea,Dysderidae,,,Dysdera,Dysdera crocata,"C. L. Koch, 1838",,,,slater slayer,2016-09-04,RBCM BC Spider Database,Animalia,2016-07-09,Andrew Simon,observed
Gnaphosa,153645,Gnaphosa sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Gnaphosoidea,Gnaphosidae,,,Gnaphosa,,,,,,gnaphosid spider,,,Animalia,2018-10-20,Andrew Simon,observed
Sergiolus columbianus,230819,Sergiolus columbianus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Gnaphosoidea,Gnaphosidae,,,Sergiolus,Sergiolus columbianus,"(Emerton, 1917)",,,,western patterened ant-mimic,,,Animalia,2014-06-09,Andrew Simon,observed
Cicurina tersa,217002,Cicurina tersa,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Dictynoidea,Hahniidae,,,Cicurina,Cicurina tersa,"Simon, 1886",,,,western small-eared littleweaver,2016-09-04,RBCM BC Spider Database,Animalia,,,unobserved
Ceratinops inflatus,216458,Ceratinops inflatus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Linyphiidae,Erigoninae,,Ceratinops,Ceratinops inflatus,"(Emerton, 1923)",,,,high-headed rugose money spider,2012-05-09,Robb Bennett,Animalia,,,unobserved
Drapetisca alteranda,218702,Drapetisca alteranda,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Linyphiidae,Micronetinae,,Drapetisca,Drapetisca alteranda,"Chamberlin, 1909",,,,northern long-toothed sheetweaver,,,Animalia,2017-11-20,Andrew Simon,observed
Microlinyphia,172535,Microlinyphia sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Linyphiidae,Linyphiinae,,Microlinyphia,,,,,,dwarf weaver,,,Animalia,2016-06-23,Andrew Simon,observed
Neriene digna,225813,Neriene digna,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Linyphiidae,Linyphiinae,,Neriene,Neriene digna,"(Keyserling, 1886)",,,,eared western dome spider,2007-12-26,Robb Bennett,Animalia,2016-06-23,Andrew Simon,observed
Neriene litigiosa,209814,Neriene litigiosa,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Linyphiidae,Linyphiinae,,Neriene,Neriene litigiosa,,,,,Sierra dome spider,,,Animalia,2018-09-08,Andrew Simon,observed
Pityohyphantes,153447,Pityohyphantes sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Linyphiidae,Linyphiinae,,Pityohyphantes,,,,,,dwarf weaver,,,Animalia,2017-05-31,Andrew Simon,observed
Scotinotylus patellatus,230703,Scotinotylus patellatus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Linyphiidae,Erigoninae,,Scotinotylus,Scotinotylus patellatus,"(Emerton, 1917)",,,,west coast corkscrew money spider,2016-09-04,RBCM BC Spider Database,Animalia,,,unobserved
Spirembolus mundus,231417,Spirembolus mundus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Linyphiidae,Erigoninae,,Spirembolus,Spirembolus mundus,"Millidge, 1980",,,,northwestern corkscrew money spider,2016-09-04,RBCM BC Spider Database,Animalia,,,unobserved
Tachygyna vancouverana,232223,Tachygyna vancouverana,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Linyphiidae,Erigoninae,,Tachygyna,Tachygyna vancouverana,"Chamberlin & Ivie, 1939",,,,Vancouver spinster,,,Animalia,2019-04-26,Andrew Simon,observed
Tenuiphantes zelatus,455054,Tenuiphantes zelatus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Linyphiidae,Micronetinae,,Tenuiphantes,Tenuiphantes zelatus,"(Zorsch, 1937)",,,,enthusiastic thin sheetweaver spider,2012-05-09,Robb Bennett,Animalia,,,unobserved
Wubana pacifica,233674,Wubana pacifica,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Linyphiidae,Erigoninae,,Wubana,Wubana pacifica,"(Banks, 1896)",,,,dark unicorn,2016-09-04,RBCM BC Spider Database,Animalia,,,unobserved
Alopecosa kochi,143470,Alopecosa kochi,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Lycosoidea,Lycosidae,Lycosinae,,Alopecosa,Alopecosa kochi,"(Keyserling, 1877)",,,,koch fox spider,,,Animalia,2017-03-25,Andrew Simon,observed
Pardosa dorsuncata,227171,Pardosa dorsuncata,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Lycosoidea,Lycosidae,Pardosinae,,Pardosa,Pardosa dorsuncata,"Lowrie & Dondale, 1981",,,,western leopard spider,1985-05-05,Geoffrey G.E. Scudder,Animalia,,,unobserved
Pardosa lowriei,227180,Pardosa lowriei,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Lycosoidea,Lycosidae,Pardosinae,,Pardosa,Pardosa lowriei,"Kronestedt, 1975",,,,Lowrie leopard spider,1985-05-05,Geoffrey G.E. Scudder,Animalia,,,unobserved
Pardosa vancouveri,227200,Pardosa vancouveri,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Lycosoidea,Lycosidae,Pardosinae,,Pardosa,Pardosa vancouveri,"Emerton, 1917",,,,Vancouver leopard spider,1975-04-16,J. Spence,Animalia,2017-05-31,Andrew Simon,observed
Trochosa,148395,Trochosa sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Lycosoidea,Lycosidae,Lycosinae,,Trochosa,,,,,,,,,Animalia,2019-06-27,Dave “Zeuss” Cochrane,observed
Philodromus dispar,227754,Philodromus dispar,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Thomisoidea,Philodromidae,,,Philodromus,Philodromus dispar,,,,,Eurasian running crab spider,,,Animalia,2020-05-16,Andrew Simon,observed
