Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Documenting,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Lycogala epidendrum,(L.) Fr.,,wolf's milk,Protozoa,Amoebozoa,Conosa,Mycetozoa,Myxogastria,Endosporeae,Lucispordia,Liceales,,,Reticulariaceae,,cosmopolitan,unlisted,confirmed,observed,2012-03-11,Kent Brothers,VMS,,,2019-07-19,Kevin Toomer,https://www.inaturalist.org/observations/29123769,https://static.inaturalist.org/photos/45439620/original.jpg?1563558741,,47680,PRO
Tubifera ferruginosa,(Batsch) J.F. Gmel.,,red raspberry slime,Protozoa,Amoebozoa,Conosa,Mycetozoa,Myxogastria,Endosporeae,Lucispordia,Liceales,,,Reticulariaceae,,cosmopolitan,unlisted,reported,unobserved,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,,,,126522,PRO
Badhamia foliicola,Lister,,slime mold,Protozoa,Amoebozoa,Conosa,Mycetozoa,Myxogastria,Endosporeae,Lucispordia,Physarales,,,Physaraceae,,cosmopolitan,unlisted,new 2017,observed,2017-05,Pam Janszen,PJ private collection,Galiano #4,,2017-05-27,Pam Janszen,https://www.inaturalist.org/observations/33635443,https://static.inaturalist.org/photos/52847469/original.jpeg?1569816305,,381369,PRO
Badhamia utricularis,(Bull.) Berk,,slime mold,Protozoa,Amoebozoa,Conosa,Mycetozoa,Myxogastria,Endosporeae,Lucispordia,Physarales,,,Physaraceae,,cosmopolitan,unlisted,new 2018,observed,,,,,,2018-01-14,Kevin Toomer,https://www.inaturalist.org/observations/9475067,https://static.inaturalist.org/photos/12916188/original.jpg?1516055083,https://static.inaturalist.org/photos/12916188/original.jpg?1516055083,56264,PRO
Fuligo septica,(L.) F.H. Wigg.,,dog vomit slime,Protozoa,Amoebozoa,Conosa,Mycetozoa,Myxogastria,Endosporeae,Lucispordia,Physarales,,,Physaraceae,,cosmopolitan,unlisted,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2016-06-22,Andrew Simon,http://www.inaturalist.org/observations/3505716,https://static.inaturalist.org/photos/4079828/medium.JPG?1466650736,https://static.inaturalist.org/photos/4079828/medium.JPG?1466650736,55483,PRO
Leocarpus fragilis,(Dicks.) Rostaf.,,insect egg slime,Protozoa,Amoebozoa,Conosa,Mycetozoa,Myxogastria,Endosporeae,Lucispordia,Physarales,,,Physaraceae,,cosmopolitan,unlisted,reported,unobserved,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,,,,56273,PRO
Physarum cinereum,(Batsch) Pers.,,slime mold,Protozoa,Amoebozoa,Conosa,Mycetozoa,Myxogastria,Endosporeae,Lucispordia,Physarales,,,Physaraceae,,cosmopolitan,unlisted,reported,unobserved,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,,,,125933,PRO
Physarum viride,(Bull.) Pers.,,slime mold,Protozoa,Amoebozoa,Conosa,Mycetozoa,Myxogastria,Endosporeae,Lucispordia,Physarales,,,Physaraceae,,cosmopolitan,unlisted,new 2017,observed,2017-05,Pam Janszen,PJ private collection,Galiano #5,,2017-05-27,Pam Janszen,https://www.inaturalist.org/observations/6571618,https://static.inaturalist.org/photos/8337116/medium.jpeg?1497075797,,383670,PRO
Dictydiaethalium plumbeum,(Schumach.) Rostaf.,,slime mold,Protozoa,Amoebozoa,Conosa,Mycetozoa,Myxogastria,Endosporeae,Lucispordia,Physarales,,,Reticulariaceae,,cosmopolitan,unlisted,new 2019,observed,2019-05,Pam Janszen,PJ private collection,Galiano #8,,2019-05-04,Pam Janszen,https://www.inaturalist.org/observations/24652691,https://static.inaturalist.org/photos/38120642/original.jpg?1557123455,,324282,PRO
Amaurochaete tubulina,(Alb. & Schwein.) T. Macbr.,,slime mold,Protozoa,Amoebozoa,Conosa,Mycetozoa,Myxogastria,Endosporeae,Lucispordia,Stemonitales,,,Stemonitidaceae,,cosmopolitan,unlisted,new 2019,observed,2019-07,Kevin Toomer,PJ private collection,Galaino #10,,2019-07-05,Kevin Toomer,https://www.inaturalist.org/observations/28243758,https://static.inaturalist.org/photos/44013921/original.jpg?1562351294,,906605,PRO
Stemonaria irregularis,"(Rex) Nann.-Bremek., R. Sharma & Y. Yamam.",,slime mold,Protozoa,Amoebozoa,Conosa,Mycetozoa,Myxogastria,Endosporeae,Lucispordia,Stemonitales,,,Stemonitidaceae,,cosmopolitan,unlisted,new 2019,observed,2019-07,Kevin Toomer,PJ private collection,Galiano #7,,2019-07-08,Kevin Toomer,https://www.inaturalist.org/observations/28445406,https://static.inaturalist.org/photos/44342507/original.jpg?1562606893,,947418,PRO
Stemonitis fusca,Roth,,pipe-cleaner slime,Protozoa,Amoebozoa,Conosa,Mycetozoa,Myxogastria,Endosporeae,Lucispordia,Stemonitales,,,Stemonitidaceae,,cosmopolitan,unlisted,new 2017,observed,2017-05,Pam Janszen,PJ private collection,Galiano #6,,2017-05-27,Pam Janszen,https://www.inaturalist.org/observations/7150093,https://static.inaturalist.org/photos/9206785/medium.jpeg?1500677172,,126279,PRO
Stemonitis splendens,Rostaf.,,chocolate tube slime,Protozoa,Amoebozoa,Conosa,Mycetozoa,Myxogastria,Endosporeae,Lucispordia,Stemonitales,,,Stemonitidaceae,,cosmopolitan,unlisted,reported,unobserved,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,,,,53838,PRO
