iNaturalist taxon name,iNaturalist taxon ID,Taxon name,ambiguousNameMatch,nameStatus,Common name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,sinceTimestamp,sinceRecordedBy,sinceCollection,reportingStatus,foodValue,medicinalValue,spiritualValue,materialValue,tradeValue,indicatorValue,hulquminumName,hulquminumAuthority
Alsia californica,55323,Alsia californica,0,accepted,California alsia moss,(Hooker & Arnott),Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Leucodontaceae,,,Alsia,californica,1962-06-04,Frank M. Boas & Wilfred B. Schofield,WTU,B-035944,2021-06-12,Daniel Tucker,iNat,confirmed,,,,,,,,
Amphidium californicum,158304,Amphidium californicum,0,accepted,California yoke moss,(Hampe ex Müll. Hal.) Broth.,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Amphidiaceae,,,Amphidium,californicum,1962-06-03,Wilfred B. Schofield & F. M. Boas,UBC,B45016,2017-03-23,Andrew Simon,iNat,confirmed,,,,,,,,
Anacolia menziesii,128572,Anacolia menziesii,0,accepted,Menzies’ Anacolia moss,(Turner) Paris,Plantae,Bryophyta,,,Bryopsida,,,Bartramiales,,,,Bartramiaceae,,,Anacolia,menziesii,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2017-03-30,Andrew Simon,iNat,confirmed,,,,,,,,
Anthoceros fusiformis,56326,Anthoceros fusiformis,0,accepted,dotted hornwort,Austin,Plantae,Anthocerotophyta,,,Anthocerotopsida,Anthocerotidae,,Anthocerotales,,,,Anthocerotaceae,,,Anthoceros,fusiformis,1962-06-04,Frank M. Boas & Wilfred B. Schofield,WTU,B-010848,2018-04-01,Andrew Simon,iNat,confirmed,,,,,,,,
Antitrichia californica,67846,Antitrichia californica,0,accepted,California Antitrichia moss,Sull.,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Antitrichiaceae,,,Antitrichia,californica,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2016-01-28,Andrew Simon,iNat,confirmed,,,,,,,,
Antitrichia curtipendula,126107,Antitrichia curtipendula,0,accepted,pendulous wing-moss,(Timm ex Hedw.) Brid.,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Antitrichiaceae,,,Antitrichia,curtipendula,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2018-02-15,Andrew Simon,iNat,confirmed,,,,,,,,
Atrichum selwynii,55331,Atrichum selwynii,0,accepted,crane's-bill moss,Austin,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,,Polytrichaceae,,,Atrichum,selwynii,2011-05-14,Kent Brothers,VMS,,2014-09-27,Andrew Simon,iNat,confirmed,,,,,,,,
Atrichum undulatum,124155,Atrichum undulatum,0,accepted,common smooth cap,(Hedw.) P. Beauv.,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,,Polytrichaceae,,,Atrichum,undulatum,2014-01-01,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,2020-04-30,Andrew Simon,iNat,confirmed,,,,,,,,
Aulacomnium androgynum,124384,Aulacomnium androgynum,0,accepted,lover’s moss,(Hedw.) Schwägr.,Plantae,Bryophyta,,,Bryopsida,,,Aulacomniales,,,,Aulacomniaceae,,,Aulacomnium,androgynum,2017-05-13,"Olivia Lee, Steve Joya, Andrew Simon & Scott Gilmore",UBC,B213486,2015-03-21,Lauren Magner & Andrew Simon,iNat,confirmed,,,,,,,,
Aulacomnium palustre,154189,Aulacomnium palustre,0,accepted,bog groove-moss,(Hedw.) Schwägr.,Plantae,Bryophyta,,,Bryopsida,,,Aulacomniales,,,,Aulacomniaceae,,,Aulacomnium,palustre,2000-06-12,Hans Roemer,ER 128 Inventory,,2020-05-07,Andrew Simon,iNat,confirmed,,,,,,,,
