iNaturalist taxon name,iNaturalist taxon ID,Taxon name,ambiguousNameMatch,nameStatus,Common name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,sinceTimestamp,sinceRecordedBy,sinceCollection,reportingStatus,foodValue,medicinalValue,spiritualValue,materialValue,tradeValue,indicatorValue,hulquminumName,hulquminumAuthority
Blindia acuta,156309,Blindia acuta,0,accepted,sharp-leaved Blindia,(Hedw.) Bruch & Schimp.,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,,Seligeriaceae,,,Blindia,acuta,,,,,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",iNat,new 2018,,,,,,,,
Brachytheciastrum velutinum,917745,Brachytheciastrum velutinum,0,accepted,velvet feather-moss,(Hedw.) Ignatov & Huttunen,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Brachytheciaceae,,,Brachytheciastrum,velutinum,,,,,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",iNat,new 2018,,,,,,,,
Brachythecium albicans,123771,Brachythecium albicans,0,accepted,whitish feather-moss,(Hedw.) Schimp.,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Brachytheciaceae,,,Brachythecium,albicans,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2017-03-19,Sarah Tweedale & Andrew Simon,iNat,confirmed,,,,,,,,
Brachythecium frigidum,123270,Brachythecium frigidum,0,accepted,cold brachythecium moss,(Müll. Hal.) Besch.,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Brachytheciaceae,,,Brachythecium,frigidum,,,,,2017-04-27,Andrew Simon,iNat,new 2017,,,,,,,,
Brachythecium,67860,Brachythecium sp.,0,accepted,,,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Brachytheciaceae,,,Brachythecium,,,,,,2018-02-14,Andrew Simon,iNat,new 2018,,,,,,,,
Bryolawtonia vancouveriensis,67861,Bryolawtonia vancouveriensis,0,accepted,creekbed moss,(Kindb.) D.H. Norris & Enroth,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Thamnobryaceae,,,Bryolawtonia,vancouveriensis,,,,,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",iNat,new 2018,,,,,,,,
Bryum argenteum,123390,Bryum argenteum,0,accepted,silvergreen threadmoss,Hedw.,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,,Bryaceae,,,Bryum,argenteum,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2017-03-04,Andrew Simon,iNat,confirmed,,,,,,,,
Bryum canariense,67864,Bryum canariense,0,accepted,robust threadmoss,Brid.,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,,Bryaceae,,,Bryum,canariense,,,,,2017-02-11,Andrew Simon,iNat,new 2017,,,,,,,,
Bryum dichotomum,159528,Bryum dichotomum,0,accepted,gemmate threadmoss,Hedw.,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,,Bryaceae,,,Bryum,dichotomum,1962-06-04,Wilfred B. Schofield,UBC,B111043,,,iNat,reported,,,,,,,,
Bryum erythroloma,159529,Bryum erythroloma,0,accepted,threadmoss,(Kindb.) Syed,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,,Bryaceae,,,Bryum,erythroloma,,,,,2020-04-30,Andrew Simon,iNat,new 2020,,,,,,,,
Calliergon giganteum,159661,Calliergon cf giganteum,0,accepted,giant spearmoss,(Schimp.) Kindb.,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Calliergonaceae,,,Calliergon,giganteum,2000-06-12,Hans Roemer,ER 128 Inventory,,,,iNat,reported,,,,,,,,
Calliergonella cuspidata,159669,Calliergonella cuspidata,0,accepted,pointed spear-moss,(Hedw.) Loeske,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Pylaisiaceae,,,Calliergonella,cuspidata,,,,,2016-03-03,Andrew Simon,iNat,new 2016,,,,,,,,
Calypogeia,56484,Calypogeia trichomanis,0,unaccepted,hairy pouchwort,(L.) Corda,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Jungermanniineae,,,Calypogeiaceae,,,Calypogeia,,1974-04-21,"Judith D. Godfrey, G.A. Godfrey & Wilfred B. Schofield",UBC,B76670,,,iNat,reported,,,,,,,,
Cephaloziella byssacea,400634,Cephaloziella byssacea,0,accepted,liverwort,R.M. Schust.,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Cephaloziineae,,,Cephaloziellaceae,,,Cephaloziella,byssacea,1981-04-02,Wilfred B. Schofield,UBC,B23948,,,iNat,reported,,,,,,,,
Cephaloziella divaricata,56495,Cephaloziella divaricata,0,accepted,spreading threadwort,(Sm.) Warnst.,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Cephaloziineae,,,Cephaloziellaceae,,,Cephaloziella,divaricata,1964-05-03,Wilfred B. Schofield,UBC,B68393,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",iNat,confirmed,,,,,,,,
Ceratodon purpureus,123117,Ceratodon purpureus,0,accepted,fire moss,(Hedw.) Brid.,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Ditrichaceae,,,Ceratodon,purpureus,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2013-03-22,Ryan Batten,iNat,confirmed,,,,,,,,
Chiloscyphus polyanthos,56506,Chiloscyphus polyanthos,0,accepted,pale liverwort,(L.) Corda,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Lophocoleineae,,,Lophocoleaceae,,,Chiloscyphus,polyanthos,1962-06-04,Wilfred B. Schofield & F. M. Boas,UBC,B95476,2021-10-23,Daniel Tucker,iNat,confirmed,,,,,,,,
Chionoloma tenuirostre,1138348,Chionoloma tenuirostre,0,accepted,narrow-fruited crisp-moss,"(Hook. & Taylor) M.Alonso, M.J.Cano & J.A.Jiménez",Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,,Pottiaceae,,,Chionoloma,tenuirostre,2010-01-26,Terry McIntosh,UBC,B229507,,,iNat,reported,,,,,,,,
Claopodium bolanderi,160663,Claopodium bolanderi,0,accepted,Bolander’s Claopodium moss,Best,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Brachytheciaceae,,,Claopodium,bolanderi,2014-01-01,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,2017-02-23,Andrew Simon,iNat,confirmed,,,,,,,,
Claopodium crispifolium,128661,Claopodium crispifolium,0,accepted,rough moss,(Hook.) Renauld & Cardot,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Brachytheciaceae,,,Claopodium,crispifolium,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2016-03-14,Andrew Simon,iNat,confirmed,,,,,,,,
Claopodium whippleanum,67868,Claopodium whippleanum,0,accepted,Whipple's Claopodium moss,(Sull.) Renauld & Cardot,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Brachytheciaceae,,,Claopodium,whippleanum,,,,,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",iNat,new 2018,,,,,,,,
Crumia latifolia,161177,Crumia latifolia,0,accepted,wideleaf Crumia moss,(Kindb.) W.B. Schofield,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,,Pottiaceae,,,Crumia,latifolia,,,,,2020-04-25,Andrew Simon,iNat,new 2020,,,,,,,,
Cynodontium jenneri,161409,Cynodontium jenneri,0,accepted,Jenner's dog-tooth moss,(Schimper) Stirton,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Rhabdoweisiaceae,,,Cynodontium,jenneri,,,,,2017-03-04,Andrew Simon,iNat,new 2017,,,,,,,,
Dendroalsia abietina,55340,Dendroalsia abietina,0,accepted,plume moss,(Hook.) E. Britton,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Leucodontaceae,,,Dendroalsia,abietina,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2016-05-29,Andrew Simon,iNat,confirmed,,,,,,,,
Dichelyma uncinatum,161818,Dichelyma uncinatum,0,accepted,sickle dichelyma,Mitten,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Fontinalaceae,,,Dichelyma,uncinatum,2015-01-01,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,2015-03-04,Andrew Simon,iNat,confirmed,,,,,,,,
Dichodontium pellucidum,161820,Dichodontium pellucidum,0,accepted,transparent fork-moss,(Hedw.) Schimp.,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Aongstroemiaceae,,,Dichodontium,pellucidum,,,,,2019-03-17,Andrew Simon,iNat,new 2019,,,,,,,,
Dicranoweisia cirrata,67949,Dicranoweisia cirrata,0,accepted,common pincushion,(Hedw.) Lindb.,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Rhabdoweisiaceae,,,Dicranoweisia,cirrata,2015-01-01,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,2015-02-22,Andrew Simon,iNat,confirmed,,,,,,,,
Dicranum fuscescens,123177,Dicranum fuscescens,0,accepted,dusky forkmoss,Turner,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Dicranaceae,,,Dicranum,fuscescens,2015-01-01,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,2015-09-27,Andrew Simon,iNat,confirmed,,,,,,,,
Dicranum howellii,161860,Dicranum howellii,0,accepted,Howell’s forkmoss,Renauld & Cardot,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Dicranaceae,,,Dicranum,howellii,,,,,2016-10-23,Andrew Simon,iNat,new 2016,,,,,,,,
Dicranum polysetum,161868,Dicranum polysetum,0,accepted,wavy-leaved moss,Sw.,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Dicranaceae,,,Dicranum,polysetum,2000-06-12,Hans Roemer,ER 128 Inventory,,,,iNat,reported,,,,,,,,
Dicranum scoparium,123134,Dicranum scoparium,0,accepted,broom moss,Hedw.,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Dicranaceae,,,Dicranum,scoparium,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2015-03-21,Lauren Magner & Andrew Simon,iNat,confirmed,,,,,,,,
Dicranum tauricum,161872,Dicranum tauricum,0,accepted,fragile forkmoss,Sapjegin,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Dicranaceae,,,Dicranum,tauricum,2015-01-01,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,2016-04-01,Andrew Simon,iNat,confirmed,,,,,,,,
Diplophyllum obtusifolium,56507,Diplophyllum obtusifolium,0,accepted,blunt-leaved earwort,(Hook.) Dumort.,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Cephaloziineae,,,Scapaniaceae,,,Diplophyllum,obtusifolium,1974-04-21,"Judith D. Godfrey, G.A. Godfrey & Wilfred B. Schofield",UBC,B90626,,,iNat,reported,,,,,,,,
Encalypta ciliata,162304,Encalypta ciliata,0,accepted,fringed extinguisher-moss,Hedw.,Plantae,Bryophyta,,,Bryopsida,,,Encalyptales,,,,Encalyptaceae,,,Encalypta,ciliata,1962-06-03,Wilfred B. Schofield & F. M. Boas,UBC,B27908,,,iNat,reported,,,,,,,,
Encalypta,48368,Encalypta sp.,0,accepted,,,Plantae,Bryophyta,,,Bryopsida,,,Encalyptales,,,,Encalyptaceae,,,Encalypta,,,,,,2021-10-23,Dan Tucker,iNat,new 2021,,,,,,,,
Entosthodon fascicularis,162342,Entosthodon fascicularis,0,accepted,banded cord-moss,(Hedw.) Müll.Hal.,Plantae,Bryophyta,,,Bryopsida,,,Funariales,,,,Funariaceae,,,Entosthodon,fascicularis,,,,,2022-05-11,Andrew Simon,iNat,new 2022,,,,,,,,
Entosthodon muhlenbergii,917753,Entosthodon muhlenbergii,0,accepted,Muhlenberg’s cord-moss,(Turner) Fife,Plantae,Bryophyta,,,Bryopsida,,,Funariales,,,,Funariaceae,,,Entosthodon,muhlenbergii,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2013-03-22,Ryan Batten,iNat,confirmed,,,,,,,,
Epipterygium biauritum,1458560,Epipterygium biauritum,0,accepted,transparent thread-moss,Hanusch et al.,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,,Mniaceae,,,Epipterygium,biauritum,1962-06-03,Wilfred B. Schofield & F. M. Boas,UBC,B3066,2020-04-30,Andrew Simon,iNat,confirmed,,,,,,,,
Eurhynchiastrum pulchellum,447837,Eurhynchiastrum pulchellum,0,accepted,elegant beaked moss,(Hedw.) Ignatov & Huttunen,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Brachytheciaceae,,,Eurhynchiastrum,pulchellum,,,,,2020-11-10,Randal Mindell,iNat,new 2020,,,,,,,,
Fissidens bryoides,124421,Fissidens bryoides,0,accepted,lesser pocket-moss,Hedw.,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Fissidentaceae,,,Fissidens,bryoides,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2015-03-25,Lauren Magner & Andrew Simon,iNat,confirmed,,,,,,,,
Fissidens crispus,67883,Fissidens crispus,0,accepted,Herzog’s pocket-moss,Sull.,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Fissidentaceae,,,Fissidens,crispus,1962-06-03,Wilfred B. Schofield & F. M. Boas,UBC,B38500,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",iNat,confirmed,,,,,,,,
Fontinalis antipyretica,123790,Fontinalis antipyretica,0,accepted,willow moss,Hedw.,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Fontinalaceae,,,Fontinalis,antipyretica,,,,,2016-06-05,Andrew Simon,iNat,new 2016,,,,,,,,
Fossombronia longiseta,56444,Fossombronia longiseta,0,accepted,liverwort,(Austin) Austin,Plantae,Marchantiophyta,,,Jungermanniopsida,Pelliidae,,Fossombroniales,,,,Fossombroniaceae,,,Fossombronia,longiseta,,,,,2022-03-24,Andrew Simon,iNat,new 2022,,,,,,,,
Frullania californica,56520,Frullania californica,0,accepted,liverwort,(Austin ex Underw.) A. Evans,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Porellales,,,,Frullaniaceae,,,Frullania,californica,1962-06-04,Wilfred B. Schofield & F. M. Boas,UBC,B121820,,,iNat,reported,,,,,,,,
Frullania nisquallensis,123818,Frullania nisquallensis,0,accepted,hanging millipede liverwort,Sull.,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Porellales,,,,Frullaniaceae,,,Frullania,nisquallensis,1974-04-21,Judith D. Godfrey,UBC,B16217,2020-07-13,Andrew Simon,iNat,confirmed,,,,,,,,
Funaria hygrometrica,120000,Funaria hygrometrica,0,accepted,common cord-moss,Hedw.,Plantae,Bryophyta,,,Bryopsida,,,Funariales,,,,Funariaceae,,,Funaria,hygrometrica,,,,,2018-03-09,Andrew Simon,iNat,new 2018,,,,,,,,
Fuscocephaloziopsis lunulifolia,1020174,Fuscocephaloziopsis lunulifolia,0,accepted,moon-leaved pincerwort,(Dumort.) Váňa & L. Söderstr.,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Cephaloziineae,,,Cephaloziaceae,,,Fuscocephaloziopsis,lunulifolia,1962-06-04,Wilfred B. Schofield & Frank M. Boas,UBC,B47420,2021-11-03,Randal Mindell,iNat,confirmed,,,,,,,,
Geheebia fallax,1282046,Geheebia cf. fallax,0,accepted,moss,(Hedw.) R.H.Zander,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,,Pottiaceae,,,Geheebia,fallax,,,,,2017-02-11,Andrew Simon,iNat,new 2017,,,,,,,,
Grimmia montana,154180,Grimmia cf montana,0,accepted,montane dry rock moss,Bruch & Schimp.,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,,Grimmiaceae,,,Grimmia,montana,2010-04-17,Kent Brothers,VMS,,,,iNat,reported,,,,,,,,
Grimmia leibergii,163390,Grimmia leibergii,0,accepted,Leiberg’s Grimmia,Paris,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,,Grimmiaceae,,,Grimmia,leibergii,2015-01-01,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,,iNat,reported,,,,,,,,
Grimmia lisae,163391,Grimmia lisae,0,accepted,rockmoss,De Not.,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,,Grimmiaceae,,,Grimmia,lisae,,,,,2015-08-28,Lauren Magner & Andrew Simon,iNat,new 2015,,,,,,,,
Grimmia ovalis,163397,Grimmia ovalis,0,accepted,flat-rock Grimmia,(Hedw.) Lindb. ,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,,Grimmiaceae,,,Grimmia,ovalis,,,,,2022-04-30,Andrew Simon,iNat,new 2022,,,,,,,,
Grimmia pulvinata,56117,Grimmia pulvinata,0,accepted,grey-cushioned Grimmia,(Hedw.) Sm.,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,,Grimmiaceae,,,Grimmia,pulvinata,1962-06-04,Wilfred B. Schofield,UBC,B113701,2016-12-22,Andrew Simon,iNat,confirmed,,,,,,,,
Grimmia ramondii,338191,Grimmia ramondii,0,accepted,spreading-leaved Grimmia,(Lam. & DC.) Margad.,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,,Grimmiaceae,,,Grimmia,ramondii,,,,,2021-06-12,Dan Tucker & Andrew Simon,iNat,new 2021,,,,,,,,
Grimmia trichophylla,163406,Grimmia trichophylla,0,accepted,hair-pointed Grimmia,Grev.,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,,Grimmiaceae,,,Grimmia,trichophylla,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2017-04-02,Andrew Simon,iNat,confirmed,,,,,,,,
Gymnostomum,157223,Gymnostomum sp.,0,accepted,,,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,,Pottiaceae,,,Gymnostomum,,,,,,2017-12-30,Andrew Simon,iNat,new 2017,,,,,,,,
Hedwigia stellata,163552,Hedwigia stellata,0,accepted,starry hoar-moss,Hedenäs,Plantae,Bryophyta,,,Bryopsida,,,Hedwigiales,,,,Hedwigiaceae,,,Hedwigia,stellata,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2015-03-26,Andrew Simon,iNat,confirmed,,,,,,,,
Homalothecium aeneum,163824,Homalothecium aeneum,0,accepted,golden curl-moss,(Mitt.) E. Lawton,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Brachytheciaceae,,,Homalothecium,aeneum,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2017-05-13,Andrew Simon,iNat,confirmed,,,,,,,,
Homalothecium arenarium,163825,Homalothecium arenarium,0,accepted,sandwort Homalothecium,(Lesq.) E. Lawton,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Brachytheciaceae,,,Homalothecium,arenarium,,,,,2017-04-14,Andrew Simon,iNat,new 2017,,,,,,,,
Homalothecium aureum,451921,Homalothecium aureum,0,accepted,golden curl-moss,(Spruce) H. Rob.,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Brachytheciaceae,,,Homalothecium,aureum,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2016-04-03,Andrew Simon,iNat,confirmed,,,,,,,,
Homalothecium fulgescens,123819,Homalothecium fulgescens,0,accepted,yellow curl-moss,(Mitt. ex Müll. Hal.) A. Jaeger,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Brachytheciaceae,,,Homalothecium,fulgescens,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2016-10-02,Andrew Simon,iNat,confirmed,,,,,,,,
Homalothecium megaptilum,236885,Homalothecium megaptilum,0,accepted,great-feathered moss,(Sull.) H. Rob.,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Brachytheciaceae,,,Homalothecium,megaptilum,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2016-03-22,Andrew Simon,iNat,confirmed,,,,,,,,
Homalothecium nuttallii,67892,Homalothecium nuttallii,0,accepted,Nuttall’s Homalothecium,(Wilson) A. Jaeger,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Brachytheciaceae,,,Homalothecium,nuttallii,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2016-10-20,Andrew Simon,iNat,confirmed,,,,,,,,
Hygrohypnella ochracea,1124079,Hygrohypnella ochracea,0,accepted,claw brook-moss,(Turner ex Wilson) Ignatov & Ignatova,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Scorpidiaceae,,,Hygrohypnella,ochracea,,,,,2016-03-22,Andrew Simon,iNat,new 2016,,,,,,,,
Hylocomiadelphus triquetrus,1138381,Hylocomiadelphus triquetrus,0,accepted,stairstep moss,(Hedw.) Ochyra & Stebel,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Hylocomiaceae,,,Hylocomiadelphus,triquetrus,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2011-12-22,T. Abe Lloyd,iNat,confirmed,,,,,,,,
Hylocomium splendens,122555,Hylocomium splendens,0,accepted,glittering wood-moss,(Hedw.) Schimp.,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Hylocomiaceae,,,Hylocomium,splendens,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2015-02-12,Lauren Magner & Andrew Simon,iNat,confirmed,,,,,,,,
Hymenoloma crispulum,1122768,Hymenoloma crispulum,0,accepted,mountain pincushion,(Hedw.) Ochyra,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Hymenolomataceae,,,Hymenoloma,crispulum,2015-01-01,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,2015-04-04,Andrew Simon,iNat,confirmed,,,,,,,,
Hypnum circinale,125464,Hypnum circinale,0,accepted,coiled-leaf claw-moss,Hook.,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Hypnaceae,,,Hypnum,circinale,1962-06-04,Wilfred B. Schofield,UBC,B181156,2015-03-21,Lauren Magner & Andrew Simon,iNat,confirmed,,,,,,,,
Hypnum cupressiforme,163992,Hypnum cupressiforme,0,accepted,cypess-leaved plaitmoss,Hedw.,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Hypnaceae,,,Hypnum,cupressiforme,1974-04-21,Wilfred B. Schofield,UBC,B181388,2020-04-21,Andrew Simon,iNat,confirmed,,,,,,,,
Imbribryum miniatum,538114,Imbribryum miniatum,0,accepted,red threadmoss,(Lesq.) J.R. Spence,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,,Bryaceae,,,Imbribryum,miniatum,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,2017-03-12,Andrew Simon,iNat,confirmed,,,,,,,,
