Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Documenting,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Bathydrilus litoreus,"Baker, 1983",,earthworm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,Tubificina,,Naididae,Phallodrilinae,,,reported,unobserved,1979-07-05,Randy Baker,RBCM,991-00598-001,1898264423,,,,,,733687,MAR
Limnodriloides victoriensis,"Brinkhurst & Baker, 1979",,earthworm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,Tubificina,,Naididae,Limnodriloidinae,,,reported,unobserved,1979-07-05,Randy Baker,RBCM,991-00719-004,1898267514,,,,,,,MAR
Chaetopterus sp.,,,U-shaped parchment tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,,,confirmed,observed,2006-03-05,Andy Lamb & Donna Gibbs,Ocean Wise,,,2019-05-04,Norah Brown,https://www.inaturalist.org/observations/24536988,https://static.inaturalist.org/photos/37940882/medium.jpeg?1557002333,,171303,MAR
Phyllochaeopterus prolifica,"Potts, 1914",,prolific three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,,,reported,unobserved,2006-11-11,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,467241,MAR
Phyllochaetopterus claparedii,"McIntosh, 1885",,tangled-straw three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,,,reported,unobserved,2007-10-14,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,misspelled Phyllochaeopterus claparedii,876472,MAR
Spiochaetopterus costarum,"(Claparède, 1869)",,jointed three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,,,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,misspelled Spiochaeopterus costarum,130236,MAR
Diopatra ornata,"Moore, 1911",,ornate tubeworm,Animalia,Annelida,,,Polychaeta,Errantia,,Eunicida,,,Onuphidae,,,,reported,unobserved,1999-10-02,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,339286,MAR
Aphrodita negligens,"Moore, 1905",,sea mouse,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Aphroditidae,,,,reported,unobserved,1914-06-26,,RBCM,974-00265-001,1898322906,,,,,,733687,MAR
Oxydromus pugettensis,"(Johnson, 1901)",,bat star commensal worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Hesionidae,,,,confirmed,observed,2006-06-23,Andy Lamb & Donna Gibbs,Ocean Wise,,,2018-08-10,Karolle Wall,https://www.inaturalist.org/observations/15702535,https://static.inaturalist.org/photos/23436366/medium.jpg?1534715227,,494514,MAR
Nephtys sp.,,,goddess-worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,incertae sedis,,Nephtyidae,,,,reported,unobserved,1969-02-22,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,117607,MAR
Nereis procera,"Ehlers, 1868",,little pileworm sea-nymph,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,,,,reported,unobserved,2008-03-01,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,339256,MAR
Nereis vexillosa,"Grube, 1851",,banner sea-nymph,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,,,,reported,unobserved,1969-02-22,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,81790,MAR
Platynereis bicanaliculata,"(Baird, 1863)",,polychaete worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,,,,new 2019,observed,,,,,,2019-05-04,Emily Adamczyk,https://www.inaturalist.org/observations/24749850,https://static.inaturalist.org/photos/38192358/medium.jpg?1557184369,,129876,MAR
Arctonoe fragilis,"(Baird, 1863)",,fragile ruffled scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,,,reported,unobserved,1975-06-18,T. Kessler,RBCM,975-00227-001,1898315965,,,,,,69914,MAR
Arctonoe pulchra,"(Johnson, 1897)",,red commensal scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,,,confirmed,observed,1975-06-18,T. Kessler,RBCM,975-00227-003,1898314750,2019-05-04,Norah Brown,https://www.inaturalist.org/observations/24535513,https://static.inaturalist.org/photos/37938800/medium.jpeg?1557001322,,465156,MAR
Arctonoe vittata,"(Grube, 1855)",,red-banded commensal scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,,,reported,unobserved,1975-06-18,T. Kessler,RBCM,975-00227-002,1898294448,,,,,,122163,MAR
Halosydna brevisetosa,"Kinberg, 1855",,eighteen-scaled worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,,,confirmed,observed,1969-02-22,Andy Lamb & Donna Gibbs,Ocean Wise,,,2019-05-05,Dave Metzger,https://www.inaturalist.org/observations/25586752,https://static.inaturalist.org/photos/39647375/medium.jpg?1558564709,,71236,MAR
Harmothoe fragilis,"Moore, 1910",,chocolate & white scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,,,reported,unobserved,2012-10-06,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,873903,MAR
Tomopteris pacifica,"(Izuka, 1914)",,tailed Pacific transparent-worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,incertae sedis,,Tomopteridae,,,,reported,unobserved,2010-05-30,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,693689,MAR
Sabellaria cementarium,"Moore, 1906",,cemented sandmason tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellariidae,,,,reported,unobserved,1996-09-28,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,reported as Sabellaria cementarium,339237,MAR
