Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting,Documenting,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Documented,Documenter,iNaturalist Link,Notes,ID,Stats Code
Frankia sp.,,,actinobacterium,Bacteria,Actinobacteria,,,,,,Actinomycetales,,,Frankiaceae,,,Frankia,,,new 2017,observed,,,,,,2017-10-04,Marty Moser,https://www.inaturalist.org/observations/8352492,,334078,BAC
Spirulina sp.,,,cyanobacterium,Bacteria,Cyanobacteria,,,Cyanophyceae,,,Chroococcales,,,Spirulinaceae,,,Spirulina,,,new 2016,observed,,,,,,2004-07-16,Mark Webber,https://www.inaturalist.org/observations/4849010,,311339,BAC
Nostoc commune,"Vaucher ex Bornet & Flahault, 1888",,star jelly,Bacteria,Cyanobacteria,,,Cyanophyceae,,,Nostocales,,,Nostocaceae,,,Nostoc,,,new 2017,observed,,,,,,2017-04-01,Andrew Simon,https://www.inaturalist.org/observations/5537495,,319815,BAC
Oscillatoria sp.,,,cyanobacterium,Bacteria,Cyanobacteria,,,Cyanophyceae,,,Oscillatoriales,,,Oscillatoriaceae,,,Oscillatoria,,,new 2016,observed,,,,,,2006-01-13,Mark Webber,https://www.inaturalist.org/observations/4873153,,324242,BAC
