Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Documenting,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Protocystis sp.,,,filose amoeba,Chromista,Cercozoa,Filosa,,Thecofilosea,,,Phaeodaria,,,Challengeridae,,unlisted,unlisted,new 2016,observed,,,,,,2016-01-18,Mark Webber,https://www.inaturalist.org/observations/4849188,https://static.inaturalist.org/photos/5889514/large.jpg?1482822097,,521012,ALG
Tintinnopsis sp.,,,ciliate,Chromista,Ciliophora,,,Oligotrichea,,,Choreotrichida,,,Codonellidae,,unlisted,unlisted,new 2016,observed,,,,,,2005-07-01,Mark Webber,https://www.inaturalist.org/observations/4848931,https://static.inaturalist.org/photos/5889153/medium.jpg?1482817616,,485979,ALG
Dinophysis acuminata,Claparède & Lachmann,,dinoflagellate,Chromista,Dinophyta,,,Dinophyceae,,,Dinophysiales,,,Dinophysiaceae,,unlisted,unlisted,new 2016,observed,,,,,,2012-08-05,Mark Webber,https://www.inaturalist.org/observations/4849148,https://static.inaturalist.org/photos/5889460/medium.jpg?1482820897,,320121,ALG
Phalacroma rotundatum,(Claparéde & Lachmann) Kofoid & Michener,,dinoflagellate,Chromista,Dinophyta,,,Dinophyceae,,,Dinophysiales,,,Dinophysiaceae,,unlisted,unlisted,new 2017,observed,,,,,,2006-01-18,Mark Webber,https://www.inaturalist.org/observations/5197633,https://static.inaturalist.org/photos/6414029/large.jpg?1488275276,,320131,ALG
Ceratium fusus,(Ehrenberg) Dujardin,,dinoflagellate,Chromista,Dinophyta,,,Dinophyceae,,,Peridiniales,,,Ceratiaceae,,unlisted,unlisted,new 2016,observed,,,,,,2005-07-14,Mark Webber,https://www.inaturalist.org/observations/4848820,https://static.inaturalist.org/photos/5889032/medium.jpg?1482815754,,203749,ALG
Ceratium lineatum,(Ehrenberg) Cleve,,dinoflagellate,Chromista,Dinophyta,,,Dinophyceae,,,Peridiniales,,,Ceratiaceae,,unlisted,unlisted,new 2017,observed,,,,,,2006-01-21,Mark Webber,https://www.inaturalist.org/observations/9291462,https://static.inaturalist.org/photos/12595820/medium.jpg?1514523401,,345251,ALG
Achnanthes brevipes,C. Agardh.,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Acnanthales,,,Achnanthaceae,,unlisted,unlisted,new 2017,observed,,,,,,2006-07-21,Mark Webber,https://www.inaturalist.org/observations/5197608,https://static.inaturalist.org/photos/6413978/medium.jpg?1488273290,,345145,ALG
Achnanthes sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Acnanthales,,,Achnanthaceae,,unlisted,unlisted,new 2016,observed,,,,,,2011-11-19,Mark Webber,https://www.inaturalist.org/observations/4848785,https://static.inaturalist.org/photos/5888956/medium.jpg?1482815363,,339308,ALG
Arachnoidiscus schmidtii,Hajós,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Arachnoidiscales,,,Arachnoidiscaceae,,unlisted,unlisted,new 2016,observed,,,,,,2005-01-31,Mark Webber,https://www.inaturalist.org/observations/4874715,https://static.inaturalist.org/photos/5924882/medium.jpg?1483220177,,521732,ALG
Asteromphalus heptactis,(Brébisson) Ralfs,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Asterolamprales,,,Asterolampraceae,,unlisted,unlisted,new 2016,observed,,,,,,2007-07-13,Mark Webber,https://www.inaturalist.org/observations/4874751,https://static.inaturalist.org/photos/5924904/medium.jpg?1483220476,,521735,ALG
