Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID,Critical Notes
Bathydrilus litoreus,"Baker, 1983",,earthworm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,Tubificina,,Naididae,Phallodrilinae ,,,reported,unobserved,1979-07-05,Randy Baker,RBCM,991-00598-001,1898264423,,,,,,733687,
Limnodriloides victoriensis,"Brinkhurst & Baker, 1979",,earthworm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,Tubificina,,Naididae,Limnodriloidinae,,,reported,unobserved,1979-07-05,Randy Baker,RBCM,991-00719-004,1898267514,,,,,,,not recognized on iNat
Chaetopterus sp.,,,U-shaped parchment tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,,,confirmed,observed,2006-03-05,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Norah Brown,https://www.inaturalist.org/observations/24536988,https://static.inaturalist.org/photos/37940882/medium.jpeg?1557002333, ,171303,species complex. Chaetopterus does occur in the region but which species has not yet been documented. The iNat photo however shows what is most likely a sabellariidae
Phyllochaetopterus prolifica,"Potts, 1914",,prolific three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,,,reported,unobserved,2006-11-11,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,467241,
Phyllochaetopterus sp.,"McIntosh, 1885",,tangled-straw three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,,,reported,unobserved,2007-10-14,Andy Lamb & Donna Gibbs,PMLS,,,,,,,misspelled Phyllochaeopterus claparedii,876472,Older name. It is not on this coast
Spiochaetopterus costarum pottsi,"(Claparède, 1869)",,jointed three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,,,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,misspelled Spiochaeopterus costarum,130236,
Diopatra ornata,"Moore, 1911",,ornate tubeworm,Animalia,Annelida,,,Polychaeta,Errantia,,Eunicida,,,Onuphidae,,,,reported,unobserved,1999-10-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,339286,
Aphrodite negligens,"Moore, 1905",,sea mouse,Animalia,Annelida,,,Polychaeta,Errantia ,,Phyllodocida,Aphroditiformia ,,Aphroditidae,,,,reported,unobserved,1914-06-26,,RBCM,974-00265-001,1898322906,,,,,,733687,"collector name missing in metadata. Described from Japan, may not be in the NEP. Name is accepted for now"
Oxydromus pugettensis,"(Johnson, 1901)",,bat star commensal worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Hesionidae,,,,confirmed,observed,2006-06-23,Andy Lamb & Donna Gibbs,PMLS,,,2018-08-10,Karolle Wall,https://www.inaturalist.org/observations/15702535,https://static.inaturalist.org/photos/23436366/medium.jpg?1534715227,,494514,
Nephtys sp.,,,goddess-worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,incertae sedis,,Nephtyidae,,,,reported,unobserved,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,117607,
