Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID,Critical Notes
Clathrina sp.,,,lattice-skin sponge,Animalia,Porifera,,,Calcarea,Calcinea,,Clathrinida,,,Clathrinidae,,,,reported,unobserved,2017-06-30,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,122021,
Leucilla nuttingi,"(Urban, 1902)",,stalked vase sponge,Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,Amphoriscidae,,,,confirmed,observed,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2975914,https://static.inaturalist.org/photos/3420001/medium.jpg?1461097026,,117713,
Leucandra heathi,"Urban, 1906",,bristly vase sponge,Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,Grantiidae,,,,reported,unobserved,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,345357,
Leucosolenia eleanor,"Urban, 1906",,spaghetti sponge,Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,Leucosoleniidae,,,,reported,unobserved,2006-06-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,424817,
Leucosolenia nautilia,"de Laubenfels, 1930",,lacy ball sponge,Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,Leucosoleniidae,,,,reported,unobserved,1994-09-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,347319,
Sycon sp.,,,tiny vase sponge,Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,Sycettidae,,,,reported,unobserved,1994-10-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,347738,
Cliona californiana,"de Laubenfels, 1932",,yellow boring sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Clionaida,,,Clionaidae,,,,reported,unobserved,1973-09-20,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,424811,
Aplysilla polyraphis,"de Laubenfels, 1930",,slippery purple sponge,Animalia,Porifera,,,Demospongiae,Keratosa,,Dendroceratida,,,Darwinellidae,,,,reported,unobserved,2008-11-12,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,216652,This had been listed as Chelonaplysilla polyraphis but this disagrees with PMLS records; was this reviewed by Neil? Check. These names are not synonymous acc. to WoRMS.
Aplysilla sp.nov.,,,slippery rose sponge,Animalia,Porifera,,,Demospongiae,Keratosa,,Dendroceratida,,,Darwinellidae,,,,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,sp. nov.,63646,
Pleraplysilla sp.nov.,,,slippery white sponge,Animalia,Porifera,,,Demospongiae,Keratosa,,Dictyoceratida,,,Dysideidae,,,,reported,unobserved,2006-09-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,sp. nov.,623055,
Polymastia pachymastia,"de Laubenfels, 1932",,aggregated nipple sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Hadromerida,,,Polymastiidae,,,,confirmed,observed,1994-10-07,Andy Lamb & Donna Gibbs,PMLS,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763468,https://static.inaturalist.org/photos/3127749/medium.jpg?1457578370,,117717,
Adocia sp.,,,pale orange carpet sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Haplosclerida,,,Chalinidae,,,,reported,observed,1994-09-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,464717,
Reniera sp.nov.,,,gnarled finger sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Haplosclerida,,,Chalinidae,,,,reported,unobserved,2006-11-11,Andy Lamb & Donna Gibbs,PMLS,,,,,,,sp. nov.,129864,
Pachychalina sp.,,,thick-strap sponges,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Haplosclerida,,,Niphatidae,,,,reported,unobserved,1993-08-16,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,873877,
Xestospongia hispida,"(Ridley & Dendy, 1886)",,hard gnarled clump sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Haplosclerida,,,Petrosiidae,,,,reported,unobserved,2005-12-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,873856,
Acarnus erithacus,"de Laubenfels, 1927",,thick encrusting scarlet sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Acarnidae,,,,reported,observed,2008-08-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,63669,
Iophon lamella,"Wilson, 1904",,white reticulated sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Acarnidae,,,,reported,unobserved,1973-09-20,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,196333,
Amphilectus digitatus,"(Miklucho-maclay, 1870)",,glove sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Esperiopsidae,,,,reported,unobserved,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,459874,
Isodictya rigida,"(Lambe, 1893)",,orange finger sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Esperiopsidae,,,,reported,unobserved,1960-12-22,W. Clemens,RBCM,981-00064-001,1898268969,,,,,reported as Amphilectus rigida (GBIF); as Neoesperiopsis rigida (RBCM),459878,
Semisuberites cribrosa,"(Miklucho-Maclay, 1870)",,funnel sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Esperiopsidae,,,,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,194571,
Hamigera sp.,,,orange cratered encrusting sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Hymedesmiidae,,,,reported,unobserved,1994-02-26,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,342247,
Antho (Plocamia) karykina,"Laubenfels, 1927",,bright red sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Microcionidae,,,,reported,unobserved,1985-12-08,Andy Lamb & Donna Gibbs,PMLS,,,,,,,reported as Plocamia karykina,345142,
Clathria pennata,"(Lambe, 1895)",,red velvety sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Microcionidae,,,,reported,unobserved,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,63672,
Myxilla (Burtonanchora) lacunosa,"Lambe, 1893",,sulphur sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Myxillidae,,,,reported,unobserved,1973-09-20,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,459826,
Myxilla (Myxilla) incrustans,"(Johnston, 1842)",,rough scallop sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Myxillidae,,,,reported,unobserved,1973-06-14,Philip Lambert,RBCM,973-00137-003,1898298302,,,,,,256019,
Weberella perlucida,"Austin, Ott, Reiswig, Romagosa & McDaniel, 2014",,retractable nipple sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Polymastiida,,,Polymastiidae,,,,reported,unobserved,2007-10-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,424640,
Craniella villosa,"Lambe, 1893",,tennis ball sponge,Animalia,Porifera,,,Demospongiae,Tetractinomorpha,,Spirophorida,,,Tetillidae,,,,confirmed,observed,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2975867,https://static.inaturalist.org/photos/3419960/medium.jpg?1461096794,,459732,
Halichondria (Eumastia) sitiens,"(Schmidt, 1870)",,breast sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Suberitida,,,Halichondriidae,,,,reported,unobserved,2007-12-15,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,459775,
Halichondria bowerbanki,"Burton, 1930",,Bowerbank's crumb of bread sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Suberitida,,,Halichondriidae,,,,reported,unobserved,1973-09-20,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,120498,
Halichondria panicea,"(Pallas, 1766)",,yellow-green encrusting sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Suberitida,,,Halichondriidae,,,,reported,unobserved,1968-08-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,186854,
Homaxinella amphispicula,"(de Laubenfels, 1961)",,tough yellow branching sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Suberitida,,,Suberitidae,,,,reported,unobserved,1999-05-04,Andy Lamb & Donna Gibbs,PMLS,,,,,,,misspelled Hamaxinella amphispicula,459847,
Suberites concinnus,"Lambe, 1895",,peach ball sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Suberitida,,,Suberitidae,,,,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,873889,
Suberites latus,"Lambe, 1893",,hermit crab sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Suberitida,,,Suberitidae,,,,reported,unobserved,2007-12-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,473057,
Tethya californiana,"de Laubenfels, 1932",,orange rough ball sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Tethyida,,,Tethyidae,,,,reported,unobserved,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,127233,
Aphrocallistes vastus,"Schulze, 1886",,cloud sponge,Animalia,Porifera,,,Hexactinellida ,Hexasterophora,,Sceptrulophora ,,,Aphrocallistidae ,,,,reported,unobserved,2011-10-30,Jackson Chu,RBCM,016-00066-001,,,,,,,424651,
Mycale (Aegogropila) adhaerens,"(Lambe, 1893b)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
