Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Critical Notes
Balaenoptera acutorostrata,"Lacépède, 1804",,northern minke whale,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Balaenopteridae,,Balaenoptera,native,S4N (2006),reported,unobserved,2004-10-04,Amy Rowley,BCCSN,,,,,,,41550,
Balaenoptera physalus,"(Linnaeus, 1758)",,fin whale,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Balaenopteridae,,Balaenoptera,native,S2N (2006),reported,unobserved,2007-05-17,Amy Rowley,BCCSN,,,,,,,41562,
Megaptera novaeangliae,"(Borowski, 1781)",,humpback whale,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Balaenopteridae,,Megaptera,native,S3 (2006),confirmed,observed,2001-04-20,Amy Rowley,BCCSN,,,2017-06-06,Andrew Simon,http://inaturalist.ca/observations/6532303,,41566,
Lagenorhynchus obliquidens,"Gill, 1865",,Pacific white-sided dolphin,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Delphinidae,,Lagenorhynchus,native,S4S5 (2006),reported,unobserved,2002-08-15,Amy Rowley,BCCSN,,,,,,,41510,
Orcinus orca,"(Linnaeus, 1758)",,orca,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Delphinidae,,Orcinus,native,S1 (2011),confirmed,observed,2001-01-14,Amy Rowley,BCCSN,,,2011-06-26,Kris Krüg,http://inaturalist.ca/observations/3291897,,41521,
Eschrichtius robustus,"(Lilljeborg, 1861)",,grey whale,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Eschrichtiidae,,Eschrichtius,native,S3 (2006),reported,unobserved,2001-04-15,Amy Rowley,BCCSN,,,,,,,41478,
Phocoena phocoena,"(Linnaeus, 1758)",,harbour porpoise,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Phocoenidae,,Phocoena,native,S3 (2006),confirmed,observed,2001-12-15,Amy Rowley,BCCSN,,,2019-03-25,Karen Steve Smith,https://www.inaturalist.org/observations/21616577,,41440,
Phocoenoides dalli,"(True, 1885)",,Dall’s porpoise,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Phocoenidae,,Phocoenoides,native,S4S5 (2006),reported,unobserved,2001-11-19,Amy Rowley,BCCSN,,,,,,,41446,
Lontra canadensis,"(Schreber, 1777)",,North American river otter,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Caniformia,,Mustelidae,Mustelidae,Lontra,native,S5 (2015),confirmed,observed,2011-05-14,Kent Brothers,VMS,,,2006-09-04,Shera Street,http://www.inaturalist.org/observations/2635258,,41777,
Neovison vison,"(Schreber, 1777)",,American mink,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Caniformia,,Mustelidae,Mustelidae,Neovison,native,S5 (2015),confirmed,observed,2011-05-14,Kent Brothers,VMS,,,2017-05-28,Ayla Malcolm,https://www.inaturalist.org/observations/6485976,,74758,
Eumetopias jubatus,"(Schreber, 1776)",,Steller sea lion,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Pinnipedia,,Otariidae,Otariidae,Eumetopias,native,"S3B,S4N (2013)",confirmed,observed,1985-12-07,Andy Lamb & Donna Gibbs,Ocean Wise,,,2016-12-22,Lauren Magner & Andrew Simon,https://www.inaturalist.org/observations/4833811,,41755,
Zalophus californianus,"(Lesson, 1828)",,California sea lion,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Pinnipedia,,Otariidae,Otariidae,Zalophus,native,S5N (2006),new 2016,observed,,,,,,2016-05-27,Chessi Miltner,http://www.inaturalist.org/observations/3598720,,41740,
Phoca vitulina richardii,"Linnaeus, 1758","Gray, 1864",Pacific harbor seal,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Pinnipedia,,Phocidae,Phocidae,Phoca,native,S5 (2006),confirmed,observed,1995-02-24,Andy Lamb & Donna Gibbs,Ocean Wise,,,2015-02-12,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2565228,,41708,
