Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Critical Notes
Evasterias troschelii,"(Stimpson, 1862)",,mottled star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,Evasterias,native,unlisted,confirmed,observed,1968-08-02,Andy Lamb,PMLS,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763504,,84265,
Leptasterias hexactis,"(Stimpson, 1862)",,colourful six-armed star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,Leptasterias,native,unlisted,reported,unobserved,1993-08-16,Andy Lamb,PMLS,,,,,,,117691,
Orthasterias koehleri,"(de Loriol, 1897)",,rainbow star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,Orthasterias,native,unlisted,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2013-07-24,Karolle Wall,http://www.inaturalist.org/observations/3706322,,47669,
Pisaster brevispinus,"(Stimpson, 1857)",,giant pink star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,Pisaster,native,unlisted,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763412,,49539,
Pisaster ochraceus,"(Brandt, 1835)",,ochre star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,Pisaster,native,unlisted,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2009-07-08,Shera Street,http://www.inaturalist.org/observations/2635155,,49699,
Pycnopodia helianthoides,"(Brandt, 1835)",,sunflower star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,Pycnopodiinae,Pycnopodia,native,unlisted,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976203,,47673,
Stylasterias forreri,"(de Loriol, 1887)",,velcro star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,Stylasterias,native,unlisted,reported,unobserved,1973-09-20,Andy Lamb,PMLS,,,,,,,255883,
Luidia foliolata,"Grube, 1866",,sand star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Paxillosida,,,Luidiidae,,Luidia,native,unlisted,reported,unobserved,1959-12-11,Dan Quayle,RBCM,977-00454-001,1898300918,,,,,195859,
Henricia aspera aspera,"Fisher, 1906",,ridged blood star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,Henricia,native,unlisted,reported,unobserved,1969-02-21,Andy Lamb,PMLS,,,,,,,293168,
Henricia leviuscula complex,,,Pacific blood star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,Henricia,,,confirmed,observed,1973-09-21,Andy Lamb,PMLS,,,2013-07-23,Karolle Wall,http://www.inaturalist.org/observations/3706337,,47664,"""Roger Clark and Doug Ernisse are currently involved in a taxonomic re-assessment of this species complex"" (Philip Lambert, pers. comm. 2019)"
