Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID,Critical Notes
Porichthys notatus,"Girard, 1854",,plainfin midshipman,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Batrachoidiformes,,,Batrachoididae,,,,confirmed,observed,1995-02-23,Andy Lamb & Donna Gibbs,PMLS,,,2016-05-08,Karolle Wall,http://www.inaturalist.org/observations/3706223,https://static.inaturalist.org/photos/4303798/medium.jpg?1468968364,,60021,
Clupea pallasii,"Valenciennes in Cuvier & Valenciennes, 1847",,Pacific herring,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Clupeiformes,,,Clupeidae,Clupeinae,,,reported,unobserved,1973-09-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Engraulis mordax,"Girard, 1854",,northern anchovy,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Clupeiformes,,,Engraulidae,Engraulinae,,,reported,unobserved,2006-12-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Gadus chalcogrammus,"Pallas, 1814",,walleye pollock,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gadiformes,,,Gadidae,,,,reported,unobserved,1973-09-20,Andy Lamb & Donna Gibbs,PMLS,,,,,,,reported as Theragra chalcogramma,,
Gadus macrocephalus,"Tilesius, 1810",,Pacific cod,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gadiformes,,,Gadidae,,,,confirmed,observed,1994-02-26,Andy Lamb & Donna Gibbs,PMLS,,,2018-05-18,Karolle Wall,https://www.inaturalist.org/observations/12684562,https://static.inaturalist.org/photos/18361263/medium.jpg?1526928964,,180029,
Aulorhynchus flavidus,"Gill, 1861",,tubesnout,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gasterosteiformes,,,Aulorhynchidae,,,,reported,unobserved,1985-12-08,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Gasterosteus aculeatus,"Linnaeus, 1758",,three-spined stickleback,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gasterosteiformes,,,Gasterosteidae,,,,confirmed,observed,2000-01-01,Keith Erickson,"1999 / 2000 Urban Salmon Habitat Program Final Report. 2000. Keith Erickson. Galiano Conservancy Association. Galiano Island, BC",,,2016-06-20,Karolle Wall,http://www.inaturalist.org/observations/4014949,https://static.inaturalist.org/photos/4741820/medium.jpg?1472785436,,48403,"""Due to the species’ tendency for genetic variability among isolated populations, ... Jack Creek’s three spine sticklebacks may be a rare sub-species. This investigation was never followed up."" Keith Erickson (GCA)"
Gobiesox maeandricus,"(Girard, 1858)",,northern clingfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gobiesociformes,,,Gobiesocidae,Gobiesocinae,,,confirmed,observed,1995-02-23,Andy Lamb & Donna Gibbs,PMLS,,,2018-05-18,Karolle Wall,https://www.inaturalist.org/observations/12684292,https://static.inaturalist.org/photos/18360054/medium.jpg?1526927654,,67409,
Trachipterus altivelis,"Kner, 1859",,,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Lampriformes,,,Trachipteridae,,,,reported,unobserved,1965-08-21,A. W. Argue,CMN,CMNFI 1968-1875.1,,,,,,,,new record from CMN
Brosmophycis marginata,"(Ayres, 1854)",,red brotula,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Ophidiiformes,,,Bythitidae,Brosmophycinae,,,reported,unobserved,2010-05-30,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
