Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID,Critical Notes
Ampelisca hancocki,"J. L. Barnard, 1954",,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Gammaridea,Ampeliscoidea,Ampeliscidae,,,,reported,unobserved,1961-06-22,,RBCM,976-01146-018,1898315672,,,,,,295404,no common name listed; no collector name in metadata
Ampelisca lobata,"Holmes, 1908",,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Gammaridea,Ampeliscoidea,Ampeliscidae,,,,reported,unobserved,1961-06-22,,RBCM,976-01146-017,1898267968,,,,,,295407,no common name listed; no collector name in metadata
Ampelisca unsocalae,"J. L. Barnard, 1960",,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Gammaridea,Ampeliscoidea,Ampeliscidae,,,,reported,unobserved,1961-06-22,,RBCM,976-01146-019,1898311199,,,,,,313004,no common name listed; no collector name in metadata
Ampithoe lacertosa,"Bate, 1858",,sea lettuce sea flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophioidea,Ampithoidae,,,,reported,unobserved,2009-02-14,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,260501,
Caprella alaskana,"Mayer, 1903",,Alaskan skeleton shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Caprellidae,Caprellinae,,,reported,unobserved,2008-06-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,508889,
Caprella mutica,"Schurin, 1935",,Japanese skeleton shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Caprellidae,Caprellinae,,,new 2016,observed,,,,,,2010-08-21,Karolle Wall,http://www.inaturalist.org/observations/4052123,https://static.inaturalist.org/photos/4799013/medium.jpg?1473206733,,64634,confirmed by Mary Wicksten
Photis brevipes,"Shoemaker, 1942",,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Corophiidea,Isaeoidea,Isaeidae,,,,reported,unobserved,1961-06-22,,RBCM,976-01146-002,1898291753,,,,,,295828,no common name; no collector name in metadata
Desdimelita californica,"(Alderman, 1936)",,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Hadzioidea,Melitidae,,,,reported,unobserved,1976-06-20,Rita M. O'Clair,CMN,CMNC 2006-0611,,,,,,,,new record CMN
Desdimelita microdentata,"Jarrett & Bousfield, 1996",,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Hadzioidea,Melitidae,,,,reported,unobserved,1976-06-20,Rita M. O'Clair,CMN,CMNC 2007-0102,,,,,,,,new record CMN
Chromopleustes oculatus,"(Holmes, 1908)",,black-and-white sea flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Amphilochoidea,Pleustidae,,,,reported,unobserved,1995-02-24,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,796029,
Gnathopleustes pachychaetus,"Bousfield & Hendrycks, 1995",,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Amphilochoidea,Pleustidae,Parapleustinae,,,reported,unobserved,1976-06-20,Rita M. O'Clair,CMN,CMNC 2004-0232,,,,,,,,new record CMN
Megalorchestia pugettensis,"(Dana, 1853)",,Puget Sound beach flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talidtroidea,Talitridae,,,,new 2018,observed,,,,,,2018-08-01,Andrew Simon,https://www.inaturalist.org/observations/15038969,https://static.inaturalist.org/photos/22447275/medium.jpeg?1533189567,,63289,
Traskorchestia traskiana,"(Stimpson, 1857)",,Pacific beach hopper,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talidtroidea,Talitridae,,,,new 2017,observed,,,,,,2017-03-30,Andrew Simon,https://www.inaturalist.org/observations/5516564,https://static.inaturalist.org/photos/6803892/medium.jpg?1490951042,,130223,
Argulus pugettensis,"Dana, 1853",,surfperch fish louse,Animalia,Arthropoda,Crustacea,Oligostraca,Ichthyostraca,Branchiura,,Arguloida,,,Argulidae,,,,reported,unobserved,2007-09-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,873865,
Neotrypaea californiensis,"(Dana, 1854)",,bay ghost shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Callianassoidea,Callianassidae,,,,confirmed,observed,1995-02-23,Andy Lamb & Donna Gibbs,PMLS,,,2019-04-20,Natalie Kennedy,https://www.inaturalist.org/observations/22842052,https://static.inaturalist.org/photos/35403651/medium.jpg?1555881841,,56659,
Cancer productus,"Randall, 1840",,red rock crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,,confirmed,observed,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,2015-08-28,Andrew Simon,http://www.inaturalist.org/observations/2026014,https://static.inaturalist.org/photos/2464687/medium.jpg?1443768648,,47826,
