Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID,Critical Notes
Terebratalia transversa,"(Sowerby, 1846)",,transverse lamp shell,Animalia,Brachiopoda,Rhychonelliformea,,Rhynchonellata,,,Terebratulida,Terebratellidina,Laqueoidea,Terebrataliidae,Terebrataliinae,unlisted,unlisted,reported,unobserved,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,122157,
Bugula californica,"Robertson, 1905",,spiral bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,,,confirmed,observed,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,2017-05-26,Karolle Wall,https://www.inaturalist.org/observations/7674532,https://static.inaturalist.org/photos/10050677/medium.jpg?1503853386,,551808,
Caulibugula californica,"(Robertson, 1905)",,parasol bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,,,reported,unobserved,2002-03-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Dendrobeania lichenoides,"(Robertson, 1900)",,leaf crust bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,,,reported,unobserved,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Dendrobeania murrayana,"(Johnston, 1847)",,fan bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,,,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Cellaria diffusa,"Robertson, 1905",,spindly rabbit-ear bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Cellarioidea,Cellariidae,,,,reported,unobserved,1995-02-24,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Celleporina robertsoniae,"(Canu & Bassler, 1923)",,rusty bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Celleporoidea,Celleporidae,,,,reported,unobserved,1997-04-15,Andy Lamb & Donna Gibbs,PMLS,,,,,,,misspelled Celleprina robertsoni,,
Cribrilina sp.,"(Fabricius, 1780)",,encrusting bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Cribrilinoidea,Cribrilinidae,,,,new 2019,observed,,,,,,2019-05-04,Norah Brown,https://www.inaturalist.org/observations/24539878,https://static.inaturalist.org/photos/37945340/medium.jpeg?1557004411,,203432,
Membranipora villosa,"Hincks, 1880",,kelp-encrusting bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Malacostegina,Membraniporoidea,Membraniporidae,,,,reported,unobserved,1993-08-16,Andy Lamb & Donna Gibbs,PMLS,,,2016-08-17,Andrew Simon,http://www.inaturalist.org/observations/3910076,https://static.inaturalist.org/photos/4596489/medium.jpg?1471493170,reported as Membranipora serrilamella (synonymous),360867,"Andrew Simon: I did the microscopy on this one... I need to find my micrographs, showing spines, supporting the ID of Membranipora villosa"
Primavelans insculpta,"(Hincks, 1883)",,fluted bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Schizoporelloidea,Pacificincolidae,,,,reported,unobserved,1995-02-26,Andy Lamb & Donna Gibbs,PMLS,,,,,,,reported as Hippodiplosia insculpta,,
Phidolopora pacifica,"(Robertson, 1908)",,lattice-work bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Celleporoidea,Phidoloporidae,,,,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Schizoporella japonica,"Ortmann, 1890",,orange encrusting bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Schizoporelloidea,Schizoporellidae,,,,confirmed,observed,1973-09-20,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Joan Septembre,https://www.inaturalist.org/observations/24768697,https://static.inaturalist.org/photos/38304964/medium.jpeg?1557286702,misspelled Schizoporella japonicus,196034,"Jim Carlton: ""Schizoporella unicornis = introduced species in the PNW is Schizoporella japonica, although we have at least one other introduced Schizoporella down in California (S. unicornis now restricted to Europe I believe)"" "
Alcyonidium pedunculatum,"Robertson, 1902",,smooth leather bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Ctenostomatida,Alcyonidiina,Alcyonidoidea,Alcyonidiidae,,,,reported,unobserved,1994-02-26,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Bowerbankia sp.,"Farre, 1837",,tubeworm fuzz,Animalia,Bryozoa,,,Gymnolaemata,,,Ctenostomatida,Vesicularina,Vesicularioidea,Vesiculariidae,,,,reported,unobserved,2006-06-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Pectinatella magnifica,"(Leidy, 1851)",,magnificent bryozoan,Animalia,Bryozoa,,,Phylactolaemata,,,Plumatellida,,,Pectinatellidae,,,,new 2018,observed,,,,,,2009-10-02,Rene Zich,https://www.inaturalist.org/observations/16620436,https://static.inaturalist.org/photos/25048080/medium.jpeg?1537166316,,68103,
Crisia sp.,,,white tuft bryozoan,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Articulina,,Crisiidae,,,,reported,unobserved,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Diaperoforma californica,"(D'orbigny, 1852)",,southern staghorn bryozoan,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Tubuliporina,,Diaperoeciidae,,,,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Heteropora alaskensis,"Borg, 1933",,delicate staghorn bryozoan,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Cerioporina,,Heteroporidae,,,,reported,unobserved,2008-07-19,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Heteropora pacifica,"Borg, 1933",,northern staghorn bryozoan,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Cerioporina,,Heteroporidae,,,,reported,unobserved,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Disporella separata,"Osburn, 1953",,purple encrusting bryozoan,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Rectangulata,,Lichenoporidae,,,,reported,unobserved,1997-04-15,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Barentsia sp.,"Hincks, 1880",,nodding heads,Animalia,Entoprocta,,,,,,,,,Barentsiidae,,,,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Phoronis ijimai,"Oka, 1897",,phoronid worm,Animalia,Phoronida,,,,,,,,,Phoronidae,,,,new 2016,observed,,,,,,2013-06-26,Karolle Wall,http://www.inaturalist.org/observations/4014973,https://static.inaturalist.org/photos/4741896/medium.jpg?1472785672,,372139,
