Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID,Critical Notes
Bathydrilus litoreus,"Baker, 1983",,naidid worm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,Tubificina,,Naididae,Phallodrilinae ,,,reported,unobserved,1979-07-05,Randy Baker,RBCM,991-00598-001,1898264423,,,,,,733687,
Limnodriloides victoriensis,"Brinkhurst & Baker, 1979",,naidid worm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,Tubificina,,Naididae,Limnodriloidinae,,,reported,unobserved,1979-07-05,Randy Baker,RBCM,991-00719-004,1898267514,,,,,,957352,
Chaetopterus sp.,"Cuvier, 1827",,U-shaped parchment tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,,,reported,unobserved,2006-03-05,Andy Lamb,PMLS,,,,,,,,171303,species complex; Chaetopterus does occur in the region but which species has not yet been documented.
Phyllochaetopterus prolifica,"Potts, 1914",,prolific three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,,,reported,unobserved,2006-11-11,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,467241,
Phyllochaetopterus sp.,"Grube, 1863",,tangled-straw three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,,,reported,unobserved,2007-10-14,Andy Lamb & Donna Gibbs,PMLS,,,,,,,misspelled Phyllochaeopterus claparedii,876472,"""Considering"" ... ""the presence of multiple species of Phyllochaetopterus in the NEP, some of which are undescribed, I would use Phyllochaetopterus sp. in your list"" - Leslie Harris"
Spiochaetopterus costarum pottsi,"(Berkeley, 1927)",,jointed three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,,,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,misspelled Spiochaeopterus costarum,130236,
Cirratulus spectabilis,"(Kinberg, 1866)",,red threads worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,Cirratulidae,,,,reported,unobserved,1986-09-30,,RBCM,986-00197-064,1898288225,,,,,,1136116,valid species for the area
Diopatra ornata,"Moore, 1911",,ornate tubeworm,Animalia,Annelida,,,Polychaeta,Errantia,,Eunicida,,,Onuphidae,,,,reported,unobserved,1999-10-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,339286,
Aphrodita negligens,"Moore, 1905",,sea mouse,Animalia,Annelida,,,Polychaeta,Errantia ,,Phyllodocida,Aphroditiformia ,,Aphroditidae,,,,reported,unobserved,1914-06-26,,RBCM,974-00265-001,1898322906,,,,,,733687,"collector name missing in metadata. Described from Japan, may not be in the NEP. Originally recorded as ""Aphrodite negligens"""
Oxydromus pugettensis,"(Johnson, 1901)",,bat star commensal worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Hesionidae,,,,confirmed,observed,2006-06-23,Andy Lamb & Donna Gibbs,PMLS,,,2018-08-10,Karolle Wall,https://www.inaturalist.org/observations/15702535,https://static.inaturalist.org/photos/23436366/medium.jpg?1534715227,,494514,
