Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Provenance,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Critical Notes
Acarnus erithacus,"Laubenfels, 1927",,thick encrusting scarlet sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Acarnidae,,Acarnus,native,unlisted,reported,unobserved,2008-08-29,Andy Lamb,PMLS,,,,,,,63669,
Adocia sp.,,,pale orange carpet sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Haplosclerida,,,Chalinidae,,Adocia,,,reported,unobserved,1994-09-10,Andy Lamb,PMLS,,,,,,,464717,
Amphilectus digitatus,"(Miklucho-Maclay, 1870)",,glove sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Esperiopsidae,,Amphilectus,native,unlisted,reported,unobserved,1981-05-31,Andy Lamb,PMLS,,,,,,,459874,
Antho (Plocamia) karykina,"(Laubenfels, 1927)",,bright red sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Microcionidae,,Antho,native,unlisted,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,reported as Plocamia karykina,345142,
Aphrocallistes vastus,"Schulze, 1886",,cloud sponge,Animalia,Porifera,,,Hexactinellida ,Hexasterophora,,Sceptrulophora ,,,Aphrocallistidae ,,Aphrocallistes,native,unlisted,confirmed,observed,2011-10-30,Jackson Chu,RBCM,016-00066-001,,2007-10-23,Jackson Chu,https://inaturalist.ca/observations/8459011,,424651,
Aplysilla polyraphis,"Laubenfels, 1930",,slippery purple sponge,Animalia,Porifera,,,Demospongiae,Keratosa,,Dendroceratida,,,Darwinellidae,,Aplysilla,native,unlisted,reported,unobserved,2008-11-12,Andy Lamb,PMLS,,,,,,,216652,
Aplysilla sp.nov.,,,slippery rose sponge,Animalia,Porifera,,,Demospongiae,Keratosa,,Dendroceratida,,,Darwinellidae,,Aplysilla,,,reported,unobserved,1985-12-07,Andy Lamb,PMLS,,,,,,sp. nov.,63646,
Clathria (Microciona) pennata,"(Lambe, 1895)",,red velvety sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Microcionidae,,Clathria,native,unlisted,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,,,,,,63672,
Clathrina sp.,,,lattice-skin sponge,Animalia,Porifera,,,Calcarea,Calcinea,,Clathrinida,,,Clathrinidae,,Clathrina,,,reported,unobserved,2017-06-30,Andy Lamb,PMLS,,,,,,,122021,
Cliona californiana,"Laubenfels, 1932",,yellow boring sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Clionaida,,,Clionaidae,,Cliona,native,unlisted,reported,unobserved,1973-09-20,Andy Lamb,PMLS,,,,,,,424811,
Craniella villosa,"Lambe, 1893",,tennis ball sponge,Animalia,Porifera,,,Demospongiae,Tetractinomorpha,,Spirophorida,,,Tetillidae,,Craniella,native,unlisted,confirmed,observed,1985-08-02,Andy Lamb,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2975867,,459732,
Desmacella austini,"Lehnert, Conway, Barrie & Krautter, 2005",,thin encrusting Desmacella,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Desmacellida,,,Desmacellidae,,Desmacella,native,unlisted,new 2007,observed,,,,,,2007-10-23,Jackson Chu,https://inaturalist.ca/observations/59908535,,459736,
