Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID,Critical Notes
Ptilosarcus gurneyi,"(Gray, 1860)",,orange sea pen,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subsessiliflorae,,Pennatulidae,,,,confirmed,observed,1923-06-18,,RBCM,976-01146-015,1898281934,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763461,https://static.inaturalist.org/photos/3130226/medium.jpg?1457631809,,448320,
Virgularia sp.,,,white sea pen,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subsessiliflorae,,Virgulariidae,,,,confirmed,observed,1995-02-25,Andy Lamb & Donna Gibbs,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2975931,https://static.inaturalist.org/photos/3420031/medium.jpg?1461097213,,,
Caryophyllia (Caryophyllia) alaskensis,"Vaughan, 1941",,round tan cup coral,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,Caryophylliina,,Caryophylliidae,,,,reported,unobserved,2009-02-14,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Paracyathus stearnsii,"Verrill, 1869",,brown oval cup coral,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,Caryophylliina,,Caryophylliidae,,,,reported,unobserved,2006-06-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Balanophyllia (Balanophyllia) elegans,"Verrill, 1864",,orange cup coral,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,Dendrophylliina,,Dendrophylliidae,,,,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Isabelle Côté,https://www.inaturalist.org/observations/24792362,https://static.inaturalist.org/photos/38342287/medium.jpeg?1557335898,,51799,
Epizoanthus scotinus,"Wood, 1958",,orange zoanthid,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Zoantharia,Macrocnemina,,Epizoanthidae,,,,reported,unobserved,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Bougainvillia sp.,,,cluster-tentacled jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Bougainvilliidae,,,,reported,unobserved,2008-10-05,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Garveia annulata,"Nutting, 1901",,orange hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Bougainvilliidae,,,,reported,unobserved,1994-10-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Euphysa spp.,,,tiny red sausage jellies,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Corymorphidae,,,,confirmed,observed,1993-05-09,Andy Lamb & Donna Gibbs,PMLS,,,2013-05-09,Karolle Wall,http://www.inaturalist.org/observations/4052450,https://static.inaturalist.org/photos/4799494/medium.jpg?1473208745,,465161,"Claudia Mills: ""I think that there are several Euphysas in the area. I think 40 years ago that I was aware of one with only three tentacles and one with four tentacles. Now I wonder if the ones that I see (only) in June are different from the ones that I see in September. There is also an interstitial one - which I’ll have to look up. But mostly I think that we don’t know. I before believed in historical knowledge about this genus, but I am no longer sure about it. Am I getting old, or do I just not believe the old stories? I don’t think that anyone has studied this genus carefully here, actually."" The differences are apparently in the young specimens: E. japonica (one record in Vancouver, but mostly in Japan, and I’m guessing the one here may well be genetically not E. japonica, but that is unprovable right now) - has four tentacles, all alike, including in the youngest stages. E. flammea has four alike tentacles as an adult, but they develop successively - it is released with only one tentacle. E. tentaculata (which may well be an Arctic species) is said to have one long tentacle, two half as long, and one bulb without tentacles. 

The reason that I’ve settled on calling them just Euphysa sp. is that one mostly sees the adult. There is also another species of Euphysa described only as an interstitial polyp on San Juan Island (I think it is Euphysa ruthae), but which probably makes medusae. I’ve noticed that I see Euphysa medusae both in the spring and in the fall (rarely if ever in the summer) - just guessing that those could be two different species. We just don’t know enough. As a reference, I’m using Kramp, P.L. (1961). Medusae of the World. Journal of the Marine Biological Association of the United Kingdom, Volume 40: 1-468."
Sarsia sp.,,,thimble jellyfishes,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,Corynidae,,,,reported,unobserved,2009-04-13,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
