Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID,Critical Notes
Nanomia bijuga,"(delle Chiaje, 1841)",,tailed jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Siphonophorae,Physonectae,,Agalmatidae,,,,confirmed,observed,1993-05-09,Andy Lamb & Donna Gibbs,PMLS,,,2014-09-18,Karolle Wall,http://www.inaturalist.org/observations/4052157,https://static.inaturalist.org/photos/4799064/medium.jpg?1473207025,,506580,
Chelophyes appendiculata,"(Eschscholtz, 1829)",,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Siphonophorae,Calycophorae,,Diphyidae,Diphyinae,,,reported,unobserved,1928-11-09,Anita Brinckmann-Voss,CMN,CMNI 2012-0074,,,,,,,,"Recorded as Diphyes appendiculata in CMN catalogue; Henry Choong: ""Chelophyes appendiculata (Eschscholtz, 1829) has been reported from the Pacific as well as the Atlantic. Diphyes appendiculata Eschscholtz, 1829 is the original name. I'm not sure when Anita collected the specimen you mention, but it couldn't have been 1928, as she was born in 1929. I looked at the CMN record, but the collection date is incorrect. Nevertheless, I have seen warm-water species drift to our coast, so it is possible."""
Muggiaea sp.,,,dwarf tailed jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Siphonophorae,Calycophorae,,Diphyidae,Diphyinae,,,reported,unobserved,2009-04-11,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Cyanea ferruginea,"Eschscholtz, 1929",,lion's mane,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Cyaneidae,,,,confirmed,observed,1999-10-02,Andy Lamb & Donna Gibbs,PMLS,,,2015-05-16,Karolle Wall,https://www.inaturalist.org/observations/3680731,https://static.inaturalist.org/photos/4266035/original.jpg?1468556554,reported as Cyanea capillata,786996,
Aurelia labiata,"Chamisso & Eysenhardt, 1821",,moon jelly,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Ulmaridae,,,,confirmed,observed,1985-12-08,Andy Lamb & Donna Gibbs,PMLS,,,2015-06-21,Karolle Wall,http://www.inaturalist.org/observations/3706338,https://static.inaturalist.org/photos/4303997/large.jpg?1468970481,,48328,
Phacellophora camtschatica,"Brandt, 1838",,egg-yolk jelly,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Ulmaridae,,,,confirmed,observed,1994-09-10,Andy Lamb & Donna Gibbs,PMLS,,,2016-06-14,Karolle Wall,http://www.inaturalist.org/observations/3680726,https://static.inaturalist.org/photos/4266015/medium.jpg?1468556388,,52966,
Beroe abyssicola,"Mortensen, 1927",,transluscent comb jelly,Animalia,Ctenophora,,,Nuda,,,Beroida,,,Beroidae,,,,reported,unobserved,1993-05-09,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Euplokamis dunlapae,"Mills, 1987",,oval sea gooseberry,Animalia,Ctenophora,,,Tentaculata,,,Cydippida,,,Euplokamidae,,,,reported,unobserved,1995-02-25,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Pleurobrachia bachei,"A. Agassiz, 1860",,sea gooseberry,Animalia,Ctenophora,,,Tentaculata,,,Cydippida,,,Pleurobrachiidae,,,,confirmed,observed,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,2011-05-17,Karolle Wall,http://www.inaturalist.org/observations/4028653,https://static.inaturalist.org/photos/4762549/medium.jpg?1472949886,,117705,
Bolinopsis infundibulum,"(O.F. Müller, 1776)",,lobed sea gooseberry,Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,Bolinopsidae,,,,confirmed,observed,1996-05-29,Andy Lamb & Donna Gibbs,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976644,https://static.inaturalist.org/photos/3420886/medium.jpg?1461100454,,492705,
