Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID,Critical Notes
Panomya ampla,"Dall, 1898",,,Animalia,Mollusca,,,Bivalvia,Heterodonta,Imparidentia,Adapedonta,,Hiatelloidea,Hiatellidae,,unlisted,unlisted,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00316,1898318849,,,,,,,
Solen sicarius,"Gould, 1850",,sickle jackknife-clam,Animalia,Mollusca,,,Bivalvia,Heterodonta,Imparidentia,Adapedonta,,Solenoidea,Solenidae,,unlisted,unlisted,reported,unobserved,2007-12-09,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Glycymeris septentrionalis,"(Middendorff, 1849)",,western bittersweet,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Arcida,,Arcoidea,Glycymerididae,,unlisted,unlisted,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00294,1898292826,,,,,,,"Accessioned at the RBCM as Glycymeris subobsoleta (Carpenter, 1864) –unaccepted acc. to WoRMS"
Clinocardium ciliatum,"(Fabricus, 1780)",,hairy cockle,Animalia,Mollusca,,,Bivalvia,Heterodonta,Imparidentia,Cardiida,,Cardioidea,Cardiidae,Clinocardiinae,unlisted,unlisted,reported,unobserved,2008-10-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Keenaea centifilosa,"(Carpenter, 1864)",,,Animalia,Mollusca,,,Bivalvia,Heterodonta,Imparidentia,Cardiida,,Cardioidea,Cardiidae,,unlisted,unlisted,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00327,1898273217,,,,,Reported as Nemocardium centifilosum (RBCM 979-00327),,
Semele rubropicta,"Dall, 1871",,rose-painted clam,Animalia,Mollusca,,,Bivalvia,Heterodonta,Imparidentia,Cardiida,,Tellinoidea,Semelidae,,unlisted,unlisted,reported,unobserved,1999-05-05,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Macoma brota,"Dall, 1916",,heavy macoma,Animalia,Mollusca,,,Bivalvia,Heterodonta,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,unlisted,unlisted,new 2016,observed,,,,,,2016-08-17,Andrew Simon,http://www.inaturalist.org/observations/3910109,https://static.inaturalist.org/photos/4596826/medium.jpeg?1471495549,,504353,
Macoma calcarea,"(Gmelin, 1791)",,,Animalia,Mollusca,,,Bivalvia,Heterodonta,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,,unlisted,unlisted,reported,unobserved,1961-06-22,,RBCM,976-01146-008,1898275200,,,,,,,Collector name missing from metadata
Macoma carlottensis,"Dall, 1897",,,Animalia,Mollusca,,,Bivalvia,Heterodonta,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,,unlisted,unlisted,reported,unobserved,1961-06-22,,RBCM,976-01146-009,1898266087,,,,,,,"Accessioned at the RBCM as Macoma inflatula Dall, 1897 –unaccepted acc. to WoRMS"
Macoma nasuta,"(Conrad, 1857)",,bent-nose macoma,Animalia,Mollusca,,,Bivalvia,Heterodonta,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,unlisted,unlisted,confirmed,observed,2009-11-14,Andy Lamb & Donna Gibbs,PMLS,,,2016-08-21,Tyrel Froese,http://www.inaturalist.org/observations/4005328,https://static.inaturalist.org/photos/4731099/medium.jpeg?1472690079,,117612,
Kellia suborbicularis,"(Montagu, 1803)",,suborbicular kellyclam,Animalia,Mollusca,,,Bivalvia,Heterodonta,Imparidentia,Galeommatida,,Galeommatoidea,Lasaeidae,,unlisted,unlisted,reported,unobserved,2006-06-30,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Axinopsida serricata,"(Carpenter, 1864)",,,Animalia,Mollusca,,,Bivalvia,Heterodonta,Imparidentia,Lucinida,,Thyasiroidea,Thyasiridae,,unlisted,unlisted,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03315,1898280832,,,,,,,
Mya truncata,"Linnaeus, 1758",,truncated softshell-clam,Animalia,Mollusca,,,Bivalvia,Heterodonta,Imparidentia,Myida,,Myoidea,Myidae,,unlisted,unlisted,reported,unobserved,2013-10-20,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Zirfaea pilsbryi,"Lowe, 1931",,rough piddock,Animalia,Mollusca,,,Bivalvia,Heterodonta,Imparidentia,Myida,,Pholadoidea,Pholadidae,Pholadinae,unlisted,unlisted,reported,unobserved,2016-07-24,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Bankia setacea,"(Tryon,1863)",,feathery shipworm,Animalia,Mollusca,,,Bivalvia,Heterodonta,Imparidentia,Myida,,Pholadoidea,Teredinidae,Bankiinae,unlisted,unlisted,reported,unobserved,1999-10-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Panopea generosa,"(Gould, 1850)",,Pacific geoduck,Animalia,Mollusca,,,Bivalvia,Heterodonta,Imparidentia,Adapedonta,,Hiatelloidea,Hiatellidae,,unlisted,unlisted,confirmed,observed,1994-10-23,Andy Lamb & Donna Gibbs,PMLS,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763417,,,117618,
Mya arenaria,"Linnaeus, 1758",,soft-shelled clam,Animalia,Mollusca,,,Bivalvia,Heterodonta,Imparidentia,Myida,,Myoidea,Myidae,,unlisted,unlisted,new 2016,observed,,,,,,2016-08-20,Tyrel Froese,http://www.inaturalist.org/observations/3934324,https://static.inaturalist.org/photos/4631967/medium.jpeg?1471810134,,81634,
Modiolus modiolus,"(Linnaeus, 1758)",,northern horsemussel,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Mytilida,,Mytiloidea,Mytilidae,Modiolinae,unlisted,unlisted,reported,unobserved,2005-12-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Musculus discors,"(Linnaeus, 1767)",,,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Mytilida,,Mytiloidea,Mytilidae,,unlisted,unlisted,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00346,1898284913,,,,,,,
Mytilus spp.,,,Pacific blue mussel,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Mytilida,,Mytiloidea,Mytilidae,,unlisted,unlisted,confirmed,observed,1968-08-02,Andy Lamb & Donna Gibbs,PMLS,,,2015-08-05,Andrew Simon,https://www.inaturalist.org/observations/2599512,https://static.inaturalist.org/photos/2902497/original.JPG?1453232724,,62807,Mytilus trossulus cannot be discriminated from M. edulis / M. galloprovincialis in the field.
Musculus niger,"(J.E. Gray, 1824)",,black mussel,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Mytilida,,Mytiloidea,Mytilidae ,,unlisted,unlisted,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00347,1898295371,,,,,,,
Nuculana leonina,"(Dall, 1896)",,,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,Nuculanoidea,Nuculanidae,Nuculaninae,unlisted,unlisted,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03316,1898319922,,,,,,,
Megayoldia thraciaeformis,"(Storer, 1838)",,,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,Nuculanoidea,Yoldiidae,,unlisted,unlisted,reported,unobserved,1942-06-01,Dan Quayle,RBCM,991-00500-001,1898270739,,,,,,,"Accessioned at RBCM as Yoldia thraciaeformis (Storer, 1838) –unaccepted acc. to WoRMS"
Yoldia aeolica,"Dall, 1897",,,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,Nuculanoidea,Yoldiidae,,unlisted,unlisted,reported,unobserved,1917-06-29,,RBCM,991-00498-001,1898316827,,,,,,,"Accessioned at RBCM as Yoldia scissurata and Yoldia ensifera Dall, 1897 –unaccepted acc. WoRMS; collector name not listed in metadata"
Yoldia hyperborea,"(Gould, 1841)",,,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,Nuculanoidea,Yoldiidae,,,,,,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03304,1898268329,,,,,,,ID'd as Yoldia hyperborea limatuloides but not longer valid subspecies
Yoldia amygdalea,"Valenciennes, 1846",,yoldia,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,Nuculanoidea,Yoldiidae ,,unlisted,unlisted,reported,unobserved,1962-09-14,John Fleury,RBCM,991-00464-001,1898322652,,,,,,,
Nucula sp.,,,,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculida,,Nuculoidea,Nuculidae,,unlisted,unlisted,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03318,1898321136,,,,,,,
Acila castrensis,"(Hinds, 1843)",,nutclam or nutshell,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculida ,,Nuculoidea,Nuculidae,,unlisted,unlisted,reported,unobserved,1959-12-11,Dan B. Quayle,RBCM,989-00278-001,1898323311,,,,,,,
Magallana gigas,"(Thunberg, 1793)",,Pacific oyster,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Ostreida,,Ostreoidea,Ostreidae,,unlisted,unlisted,new 2016,observed,,,,,,2016-08-17,Andrew Simon,http://www.inaturalist.org/observations/3910078,https://static.inaturalist.org/photos/4596515/medium.jpeg?1471493298,,605992,
Pododesmus macrochisma,"(Deshayes, 1839)",,green false-jingle,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Pectinida,,Pectinoidea,Anomiidae,,unlisted,unlisted,confirmed,observed,1986-04-08,,RBCM,986-00191-016,,2016-04-06,Karolle Wall,http://www.inaturalist.org/observations/4052032,https://static.inaturalist.org/photos/4798688/medium.jpg?1473205046,,68652,no collector name listed in metadata
Chlamys hastata,"(Gould, 1850)",,spiny pink scallop,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Pectinida,,Pectinoidea,Pectinidae,Pedinae,unlisted,unlisted,confirmed,observed,1962-01-01,Dan Quayle,RBCM,989-00923-001,1898302672,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976031,https://static.inaturalist.org/photos/3420181/medium.jpg?1461097805,,180013,"Chlamys hastata hericia, reported by Dan Quayle (RBCM 989-00923-001), is unaccepted acc. to WoRMS; we report it as Chlamys hastata"
Chlamys rubida,"(Hinds, 1845)",,smooth pink scallop,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Pectinida,,Pectinoidea,Pectinidae,Pedinae,unlisted,unlisted,reported,unobserved,1961-05-13,Dan Quayle,RBCM,982-00207-003,1898263421,,,,,,,
Crassadoma gigantea,"(J.E. Gray, 1825)",,giant rock scallop,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Pectinida,,Pectinoidea,Pectinidae,Pedinae,unlisted,unlisted,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,2017-05-28,Karolle Wall,https://www.inaturalist.org/observations/7647289,https://static.inaturalist.org/photos/10005486/medium.jpg?1503684768,,54526,
Patinopecten caurinus,"(Gould, 1850)",,,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Pectinida,,Pectinoidea,Pectinidae,,unlisted,unlisted,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03311,1898283425,,,,,,,
Zemysina impolita,"(S. S. Berry, 1953)",,rough diplodon,Animalia,Mollusca,,,Bivalvia,Heterodonta,Imparidentia,Venerida,,Ungulinoidea,Ungulinidae,,unlisted,unlisted,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00293,1898314726,,,,,,,"McTaggart Cowan reports Diplodonta orbella (Gould, 1851) = Zemysina orbella (Gould, 1851); however this taxon has since been split, with Zemysina orbella recognized as a southern species and Diplodonta impolita S.S. Berry, 1953 as a northern species (Coan et al. 2000)"
Clinocardium nuttallii,"(Conrad, 1837)",,Nuttall's cockle,Animalia,Mollusca,,,Bivalvia,Heterodonta,,Veneroida,,Cardioidea,Cardiidae,,unlisted,unlisted,confirmed,observed,1995-02-23,Andy Lamb & Donna Gibbs,PMLS,,,2009-07-08,Shera Street,http://www.inaturalist.org/observations/2635143,https://static.inaturalist.org/photos/2954187/medium.JPG?1454295587,,69925,misspelled in PMLS data as of 2019-10-13 as Clinocardium nuttalli
Tresus capax,"(Gould, 1850)",,fat gaper,Animalia,Mollusca,,,Bivalvia,Heterodonta,,Veneroida,,Mactroidea,Mactridae,Lutrariinae,unlisted,unlisted,confirmed,observed,1993-05-09,Andy Lamb & Donna Gibbs,PMLS,,,2016-02-07,Peter Luckham,https://www.inaturalist.org/observations/2763417,https://static.inaturalist.org/photos/3127660/original.jpg?1457577593,,,
Tresus nuttallii,"(Conrad, 1837)",,Pacific gaper,Animalia,Mollusca,,,Bivalvia,Heterodonta,,Veneroida,,Mactroidea,Mactridae,Lutrariinae,unlisted,unlisted,confirmed,observed,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00317,1898324818,2019-05-04,Emily Adamczyk,https://www.inaturalist.org/observations/24698187,https://static.inaturalist.org/photos/38192955/medium.jpg?1557184734,,117611,
Gari californica,"(Conrad, 1849)",,California sunsetclam,Animalia,Mollusca,,,Bivalvia,Heterodonta,,Veneroida,,Tellinoidea,Psammobiidae,,unlisted,unlisted,reported,unobserved,2005-12-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Nuttallia obscurata,"(Reeve, 1857)",,purple mahogany clam,Animalia,Mollusca,,,Bivalvia,Heterodonta,,Veneroida,,Tellinoidea,Psammobiidae,,unlisted,unlisted,new 2016,observed,,,,,,2016-08-23,Andrew Simon,http://www.inaturalist.org/observations/3952115,https://static.inaturalist.org/photos/4657309/medium.jpeg?1472019104,,430211,
Compsomyax subdiaphana,"(Carpenter, 1864)",,,Animalia,Mollusca,,,Bivalvia,Heterodonta,,Veneroida,,Veneroidea,Veneridae,,unlisted,unlisted,reported,unobserved,1961-06-22,,RBCM,976-01146-007,1898298969,,,,,,,collector name not included in metadata
Humilaria kennerleyi,"(Reeve, 1863)",,Kennerley's venus,Animalia,Mollusca,,,Bivalvia,Heterodonta,,Veneroida,,Veneroidea,Veneridae,,unlisted,unlisted,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00318-002,1898275723,,,,,,,
Leukoma staminea,"(Conrad, 1837)",,Pacific littleneck clam,Animalia,Mollusca,,,Bivalvia,Heterodonta,,Veneroida,,Veneroidea,Veneridae,,unlisted,unlisted,confirmed,observed,2007-10-14,Andy Lamb & Donna Gibbs,PMLS,,,2016-09-01,Andrew Simon,http://www.inaturalist.org/observations/4017301,https://static.inaturalist.org/photos/4745679/medium.jpg?1472823347,,333608,
Ruditapes philippinarum,"(Adams & Reeve, 1850)",,Japanese littleneck,Animalia,Mollusca,,,Bivalvia,Heterodonta,,Veneroida,,Veneroidea,Veneridae,,unlisted,unlisted,new 2016,observed,,,,,,2016-08-21,Tyrel Froese,http://www.inaturalist.org/observations/4004964,https://static.inaturalist.org/photos/4730515/medium.jpeg?1472685615,,343269,
