Plot Name,Males,Females,pollinatorINatName,scientificName,plantINatName,plantScientificName,decimalLongitude,decimalLatitude,eventDate,plantINatId,pollinatorINatId
114A00,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Senecio multilobatus,Senecio multilobatus,-112.3279,37.2775,2001-06-06,78326,270393
114A00,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Brassicaceae,Brassicaceae sp.,-112.3279,37.2775,2001-07-24,47204,270393
TM2,1,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Sphaeralcea parvifolia,Sphaeralcea parvifolia,-112.2565,37.2634,2003-08-05,126667,270393
TM2,6,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Chrysothamnus greenei,Chrysothamnus greenei,-112.2565,37.2634,2003-09-05,76327,270393
TM2,3,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Senecio spartioides,Senecio spartioides,-112.2565,37.2634,2003-09-05,79054,270393
TM2,2,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Chrysothamnus greenei,Chrysothamnus greenei,-112.2565,37.2634,2003-09-24,76327,270393
TM2,3,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Senecio spartioides,Senecio spartioides,-112.2565,37.2634,2003-09-24,79054,270393
101A00,0,3,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.5353,37.7808,2002-05-13,51305,270393
101A00,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.5353,37.7808,2002-06-18,51305,270393
101A00,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Melilotus alba,Melilotus alba,-111.5353,37.7808,2001-07-23,58907,270393
101A00,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Sphaeralcea coccinea,Sphaeralcea coccinea,-111.5353,37.7808,2001-07-23,126671,270393
101A00,0,3,Agapostemon angelicus,Agapostemon angelicus/texanus,Opuntia polyacantha,Opuntia polyacantha,-111.5353,37.7808,2002-05-24,78269,270393
101A00,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Sphaeralcea coccinea,Sphaeralcea coccinea,-111.5353,37.7808,2002-05-24,126671,270393
101A00,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Lepidium montanum,Lepidium montanum,-111.5353,37.7808,2001-04-30,77670,270393
101B00,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Sphaeralcea coccinea,Sphaeralcea coccinea,-111.5326,37.7787,2001-08-06,126671,270393
101B00,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.5326,37.7787,2001-07-23,51305,270393
101B00,0,6,Agapostemon angelicus,Agapostemon angelicus/texanus,Opuntia polyacantha,Opuntia polyacantha,-111.5326,37.7787,2002-05-24,78269,270393
101B00,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Lepidium montanum,Lepidium montanum,-111.5326,37.7787,2001-05-28,77670,270393
300D,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Sphaeralcea grossulariifolia,Sphaeralcea grossulariifolia,-111.4677,37.2207,2002-05-16,79176,270393
10A99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Chrysothamnus nauseosus,Chrysothamnus nauseosus,-111.4078,37.5068,2000-08-15,57932,270393
10A99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Penstemon confusus,Penstemon confusus,-111.4078,37.5068,2001-06-18,68588,270393
10B99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Senecio multilobatus,Senecio multilobatus,-111.4069,37.5085,2000-06-06,78326,270393
21A99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Heterotheca villosa,Heterotheca villosa,-111.3544,37.8506,2003-06-02,77399,270393
21A99,0,5,Agapostemon angelicus,Agapostemon angelicus/texanus,Salix exigua,Salix exigua,-111.3544,37.8506,2002-05-06,59008,270393
21A99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Hymenopappus filifolius,Hymenopappus filifolius,-111.3544,37.8506,2001-06-07,77473,270393
21A99,0,2,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.3544,37.8506,2000-06-08,51305,270393
21A99,0,4,Agapostemon angelicus,Agapostemon angelicus/texanus,Melilotus officinalis,Melilotus officinalis,-111.3544,37.8506,2002-06-17,57066,270393
21A99,0,4,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.3544,37.8506,2002-06-17,51305,270393
21A99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.3544,37.8506,2002-05-20,51305,270393
21A99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Melilotus alba,Melilotus alba,-111.3544,37.8506,2002-07-29,58907,270393
21B99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Sphaeralcea grossulariifolia,Sphaeralcea grossulariifolia,-111.354,37.8474,2002-06-06,79176,270393
21B99,0,2,Agapostemon angelicus,Agapostemon angelicus/texanus,Salix exigua,Salix exigua,-111.354,37.8474,2002-05-06,59008,270393
21B99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Asclepias,Asclepias sp.,-111.354,37.8474,2000-08-08,47906,270393
21B99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Grindelia squarrosa,Grindelia squarrosa,-111.354,37.8474,2000-08-08,77305,270393
21B99,0,4,Agapostemon angelicus,Agapostemon angelicus/texanus,Sphaeralcea coccinea,Sphaeralcea coccinea,-111.354,37.8474,2000-06-08,126671,270393
21B99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Sphaeralcea grossulariifolia,Sphaeralcea grossulariifolia,-111.354,37.8474,2000-06-08,79176,270393
21B99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Heterotheca villosa,Heterotheca villosa,-111.354,37.8474,2002-10-09,77399,270393
21B99,0,2,Agapostemon angelicus,Agapostemon angelicus/texanus,Melilotus officinalis,Melilotus officinalis,-111.354,37.8474,2002-06-17,57066,270393
2B98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Brassicaceae,Brassicaceae sp.,-111.349,37.5068,2001-06-04,47204,270393
2B98,0,3,Agapostemon angelicus,Agapostemon angelicus/texanus,Opuntia polyacantha,Opuntia polyacantha,-111.349,37.5068,2001-05-21,78269,270393
2B98,0,2,Agapostemon angelicus,Agapostemon angelicus/texanus,Opuntia,Opuntia sp.,-111.349,37.5068,2001-05-21,47902,270393
2B98,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Helianthus petiolaris,Helianthus petiolaris,-111.349,37.5068,2001-08-23,77360,270393
2B98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Cleome lutea,Cleome lutea,-111.349,37.5068,2001-07-23,1415101,270393
2B98,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Salsola pestifer,Salsola pestifer,-111.349,37.5068,2001-07-23,57896,270393
2B98,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Chrysothamnus,Chrysothamnus sp.,-111.349,37.5068,2001-09-29,57965,270393
2A98,4,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Helianthus petiolaris,Helianthus petiolaris,-111.3435,37.5102,2001-07-04,77360,270393
2A98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Sclerocactus whipplei,Sclerocactus whipplei,-111.3435,37.5102,2001-05-07,168683,270393
2A98,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Helianthus petiolaris,Helianthus petiolaris,-111.3435,37.5102,2001-08-23,77360,270393
2A98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Helianthus petiolaris,Helianthus petiolaris,-111.3435,37.5102,2001-07-23,77360,270393
10A98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Poliomintha incana,Poliomintha incana,-111.3269,37.5584,2000-05-05,78669,270393
10A98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Cryptantha flava,Cryptantha flava,-111.3269,37.5584,2000-05-08,770852,270393
10A98,0,2,Agapostemon angelicus,Agapostemon angelicus/texanus,Sclerocactus whipplei,Sclerocactus whipplei,-111.3269,37.5584,2000-05-08,168683,270393
10A98,0,3,Agapostemon angelicus,Agapostemon angelicus/texanus,Opuntia erinacea,Opuntia erinacea,-111.3269,37.5584,2000-05-22,81159,270393
10B98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Phacelia heterophylla,Phacelia heterophylla,-111.3236,37.5608,2000-05-05,78488,270393
10B98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Oenothera,Oenothera sp.,-111.3236,37.5608,2001-05-07,914077,270393
10B98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.3236,37.5608,2000-05-22,51305,270393
5B98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.322,37.5452,2001-07-04,51305,270393
5B98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Senecio,Senecio sp.,-111.322,37.5452,2001-06-04,53207,270393
5B98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.322,37.5452,2001-06-04,51305,270393
5B98,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.322,37.5452,2000-06-05,51305,270393
5B98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.322,37.5452,2000-08-16,51305,270393
5B98,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Chrysothamnus nauseosus,Chrysothamnus nauseosus,-111.322,37.5452,2001-09-17,57932,270393
5B98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Calochortus aureus,Calochortus aureus,-111.322,37.5452,2001-05-21,64408,270393
5B98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.322,37.5452,2000-05-22,51305,270393
5B98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Lepidium,Lepidium sp.,-111.322,37.5452,2001-08-23,47203,270393
19A99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Melilotus officinalis,Melilotus officinalis,-111.317,37.8651,2000-08-02,57066,270393
19A99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Erigeron compositus,Erigeron compositus,-111.317,37.8651,2000-06-08,76912,270393
19A99,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Aster chilensis,Aster chilensis,-111.317,37.8651,2000-09-15,56861,270393
19A99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.317,37.8651,2000-05-26,51305,270393
19A99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Chrysothamnus,Chrysothamnus sp.,-111.317,37.8651,2000-08-31,57965,270393
19A99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Melilotus alba,Melilotus alba,-111.317,37.8651,2000-08-31,58907,270393
17B99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Opuntia polyacantha,Opuntia polyacantha,-111.2783,37.9022,2000-05-26,78269,270393
17A99,0,2,Agapostemon angelicus,Agapostemon angelicus/texanus,Opuntia,Opuntia sp.,-111.2773,37.8994,2000-05-26,47902,270393
17A99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Poliomintha incana,Poliomintha incana,-111.2773,37.8994,2000-05-26,78669,270393
64B98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Gilia gunnisonii,Gilia gunnisonii,-111.2309,37.4833,2003-07-01,148974,270393
64B98,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Helianthus annuus,Helianthus annuus,-111.2309,37.4833,2003-07-01,57983,270393
64B98,3,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Helianthus petiolaris,Helianthus petiolaris,-111.2309,37.4833,2003-07-01,77360,270393
64B98,1,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Gilia,Gilia sp.,-111.2309,37.4833,2001-07-05,50837,270393
64B98,4,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Psoralea lanceolata,Psoralea lanceolata,-111.2309,37.4833,2000-06-05,1434179,270393
64B98,0,2,Agapostemon angelicus,Agapostemon angelicus/texanus,Sclerocactus whipplei,Sclerocactus whipplei,-111.2309,37.4833,2001-05-08,168683,270393
64B98,4,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Helianthus petiolaris,Helianthus petiolaris,-111.2309,37.4833,2001-06-18,77360,270393
64A98,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Psorothamnus fremontii,Psorothamnus fremontii,-111.2289,37.4796,2001-06-05,78774,270393
64A98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Calochortus aureus,Calochortus aureus,-111.2289,37.4796,2001-05-08,64408,270393
64A98,6,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Helianthus petiolaris,Helianthus petiolaris,-111.2289,37.4796,2001-06-18,77360,270393
64A98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Psorothamnus fremontii,Psorothamnus fremontii,-111.2289,37.4796,2000-05-22,78774,270393
64A98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Opuntia polyacantha,Opuntia polyacantha,-111.2289,37.4796,2001-05-22,78269,270393
29A98,0,2,Agapostemon angelicus,Agapostemon angelicus/texanus,Poliomintha incana,Poliomintha incana,-111.2205,37.4798,2000-05-01,78669,270393
29A98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Lepidium montanum,Lepidium montanum,-111.2205,37.4798,2001-06-05,77670,270393
29A98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Opuntia,Opuntia sp.,-111.2205,37.4798,2001-05-22,47902,270393
29A98,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Grindelia squarrosa,Grindelia squarrosa,-111.2205,37.4798,2001-08-25,77305,270393
103A98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Opuntia erinacea,Opuntia erinacea,-111.2135,37.346,2001-06-14,81159,270393
103A98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Sphaeralcea,Sphaeralcea sp.,-111.2135,37.346,2001-06-14,50154,270393
48A98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Sclerocactus whipplei,Sclerocactus whipplei,-111.1788,37.5322,2002-05-07,168683,270393
7B99,0,3,Agapostemon angelicus,Agapostemon angelicus/texanus,Mahonia fremontii,Mahonia fremontii,-111.1682,37.7876,2002-05-06,75752,270393
7B99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Stanleya pinnata,Stanleya pinnata,-111.1682,37.7876,2001-06-07,58087,270393
7B99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Stephanomeria spinosa,Stephanomeria spinosa,-111.1682,37.7876,2001-08-10,78626,270393
7B99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Chrysothamnus nauseosus,Chrysothamnus nauseosus,-111.1682,37.7876,2000-09-14,57932,270393
7B99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Asteraceae,Asteraceae sp. (yellow),-111.1682,37.7876,2000-05-25,47604,270393
7B99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Opuntia,Opuntia sp.,-111.1682,37.7876,2000-05-25,47902,270393
22A98,4,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Aster chilensis,Aster chilensis,-111.1573,37.3229,2000-08-11,56861,270393
22A98,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Cirsium,Cirsium sp.,-111.1573,37.3229,2000-08-11,48561,270393
22A98,2,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Cleome lutea,Cleome lutea,-111.1573,37.3229,2000-08-11,1415101,270393
22A98,13,3,Agapostemon angelicus,Agapostemon angelicus/texanus,Senecio spartioides,Senecio spartioides,-111.1573,37.3229,2000-08-11,79054,270393
22A98,0,2,Agapostemon angelicus,Agapostemon angelicus/texanus,Aster chilensis,Aster chilensis,-111.1573,37.3229,2000-08-22,56861,270393
22A98,1,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Senecio spartioides,Senecio spartioides,-111.1573,37.3229,2000-08-22,79054,270393
22A98,2,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Erigeron utahensis,Erigeron utahensis,-111.1573,37.3229,2000-07-27,76947,270393
22A98,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Penstemon eatonii,Penstemon eatonii,-111.1573,37.3229,2000-07-27,68537,270393
22A98,2,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Senecio spartioides,Senecio spartioides,-111.1573,37.3229,2000-07-27,79054,270393
84B98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Phacelia hastata,Phacelia hastata,-111.1571,37.2983,2002-06-05,59982,270393
84B98,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Senecio spartioides,Senecio spartioides,-111.1571,37.2983,2000-08-10,79054,270393
84B98,0,2,Agapostemon angelicus,Agapostemon angelicus/texanus,Senecio spartioides,Senecio spartioides,-111.1571,37.2983,2000-08-23,79054,270393
78A98,0,2,Agapostemon angelicus,Agapostemon angelicus/texanus,Opuntia polyacantha,Opuntia polyacantha,-111.155,37.3221,2002-06-05,78269,270393
