taxonName,originalName
something,something
Green table grape,Green table grape
Camassia quamish,Camassia quamish
Eschscholzia califonica,Eschscholzia califonica
Lomatium ultriculatum,Lomatium ultriculatum
Lasioglossum aff. diatretum,Lasioglossum aff. diatretum
Salix spp,Salix spp
Cercocarpus ledifolia,Cercocarpus ledifolia
Rununculus,Rununculus sp.
Arbutus menziesie,Arbutus menziesie
Vaccinum ovatum,Vaccinum ovatum
Taraxacum officinales,Taraxacum officinales
Oemelaria,Oemelaria sp.
Oemlaria cerasiformis,Oemlaria cerasiformis
Calochortus tolmeii,Calochortus tolmeii
Lewisia oppositofolia,Lewisia oppositofolia
Phacelia corombosa,Phacelia corombosa
Arcostaphylos viscida and Arctostaphylos patula,Arcostaphylos viscida and Arctostaphylos patula
Balsamorrhiza sericea,Balsamorrhiza sericea
burned ground,burned ground
Lewisia appositfolia,Lewisia appositfolia
Arctostaphlos,Arctostaphlos
hovering over rock,hovering over rock
Pelargonium geranium,Pelargonium geranium
Plagiobothris,Plagiobothris
Hypericum perforata,Hypericum perforata
Saix discolor,Saix discolor
Triepeolus verbesinae complex,Triepeolus verbesinae complex
Ericameria nauseosus,Ericameria nauseosus
Sphecodes sisymbrii,Sphecodes sisymbrii
Sphecodes boreale,Sphecodes boreale
Ericameria viscidiflora,Ericameria viscidiflora
Hylaeus acantha,Hylaeus acantha
Calochoortus macrocarpus,Calochoortus macrocarpus
Erigion,Erigion
Lithodord diffusa,Lithodord diffusa
collected hovering over a hay field,collected hovering over a hay field
Tolmies mariposa,Tolmies mariposa
Gold moss Sedum,Gold moss Sedum
Aquilegia sp,Aquilegia sp
Collinsea linearis,Collinsea linearis
Arctostapholus,Arctostapholus sp.
Spirea douglassi,Spirea douglassi
Calliopsis anthidius,Calliopsis anthidius
Clarkis amoena,Clarkis amoena
Various wild flowers,Various wild flowers
Grinelia stricta,Grinelia stricta
Sphaeralcea grossuarifolia,Sphaeralcea grossuarifolia
Dowinigia yina ,Dowinigia yina (Cascade dowinigia)
"Mixed community Potentilla gracilis, Lupinus, Achillea millefolium, Delphinium, Aster. Collected 1 fly.","Mixed community Potentilla gracilis, Lupinus, Achillea millefolium, Delphinium, Aster. Collected 1 fly."
"Taraxacum officinale, Polemonium","Taraxacum officinale, Polemonium sp."
Rosa woodsii and Achillea millefolium,Rosa woodsii and Achillea millefolium
"Convolvulus, Melilotus officinale, Lupine and field mustard.","Convolvulus, Melilotus officinale, Lupine sp. and field mustard."
Purshia tridentata and Ribes cereum,Purshia tridentata and Ribes cereum
Sphaeralcea grossularifolia,Sphaeralcea grossularifolia
Rubus armeniacus Trifolium repens,Rubus armeniacus Trifolium repens
"Plectritis, Penstemon sp., clover, Ranunculus sp.","Plectritis sp., Penstemon sp., clover, Ranunculus sp."
Potentilla gracilis and Antennaria,Potentilla gracilis and Antennaria
Rosa �dumetorum Thuill,Rosa �dumetorum Thuill
