Bee Genus,Bee Species,Plot Name,Day,Month,Year,Males,Females,Zone,UTM_E,UTM_N,Plant Genus,Plant Species
Agapostemon,angelicus/texanus,114A00,6,Jun ,2001,1,0,12S,382273,4126481,Senecio,multilobatus
Agapostemon,angelicus/texanus,114A00,24,Jul,2001,0,1,12S,382273,4126481,Brassicaceae,sp.
Agapostemon,angelicus/texanus,TM2,5,Aug,2003,1,1,12S,388586,4124828,Sphaeralcea,parvifolia
Agapostemon,angelicus/texanus,TM2,5,Sep,2003,6,0,12S,388586,4124828,Chrysothamnus,greenei
Agapostemon,angelicus/texanus,TM2,5,Sep,2003,3,0,12S,388586,4124828,Senecio,spartioides
Agapostemon,angelicus/texanus,TM2,24,Sep,2003,2,0,12S,388586,4124828,Chrysothamnus,greenei
Agapostemon,angelicus/texanus,TM2,24,Sep,2003,3,0,12S,388586,4124828,Senecio,spartioides
Agapostemon,angelicus/texanus,101A00,13,May,2002,0,3,12S,452858,4181626,Tamarix,sp.
Agapostemon,angelicus/texanus,101A00,18,Jun,2002,0,1,12S,452858,4181626,Tamarix,sp.
Agapostemon,angelicus/texanus,101A00,23,Jul,2001,0,1,12S,452858,4181626,Melilotus,alba
Agapostemon,angelicus/texanus,101A00,23,Jul,2001,0,1,12S,452858,4181626,Sphaeralcea,coccinea
Agapostemon,angelicus/texanus,101A00,24,May,2002,0,3,12S,452858,4181626,Opuntia,polyacantha
Agapostemon,angelicus/texanus,101A00,24,May,2002,0,1,12S,452858,4181626,Sphaeralcea,coccinea
Agapostemon,angelicus/texanus,101A00,30,Apr,2001,0,1,12S,452858,4181626,Lepidium,montanum
Agapostemon,angelicus/texanus,101B00,6,Aug,2001,0,1,12S,453100,4181400,Sphaeralcea,coccinea
Agapostemon,angelicus/texanus,101B00,23,Jul,2001,0,1,12S,453100,4181400,Tamarix,sp.
Agapostemon,angelicus/texanus,101B00,24,May,2002,0,6,12S,453100,4181400,Opuntia,polyacantha
Agapostemon,angelicus/texanus,101B00,28,May,2001,0,1,12S,453100,4181400,Lepidium,montanum
Agapostemon,angelicus/texanus,300D,16,May,2002,0,1,12S,458505,4119458,Sphaeralcea,grossulariifolia
Agapostemon,angelicus/texanus,10A99,15,Aug,2000,0,1,12S,463958,4151179,Chrysothamnus,nauseosus
Agapostemon,angelicus/texanus,10A99,18,Jun ,2001,0,1,12S,463958,4151179,Penstemon,confusus
Agapostemon,angelicus/texanus,10B99,6,Jun,2000,0,1,12S,464040,4151361,Senecio,multilobatus
Agapostemon,angelicus/texanus,21A99,2,Jun,2003,0,1,12S,468824,4189300,Heterotheca,villosa
Agapostemon,angelicus/texanus,21A99,6,May,2002,0,5,12S,468824,4189300,Salix,exigua
Agapostemon,angelicus/texanus,21A99,7,Jun ,2001,0,1,12S,468824,4189300,Hymenopappus,filifolius
Agapostemon,angelicus/texanus,21A99,8,Jun,2000,0,2,12S,468824,4189300,Tamarix,sp.
Agapostemon,angelicus/texanus,21A99,17,Jun,2002,0,4,12S,468824,4189300,Melilotus,officinalis
Agapostemon,angelicus/texanus,21A99,17,Jun,2002,0,4,12S,468824,4189300,Tamarix,sp.
Agapostemon,angelicus/texanus,21A99,20,May,2002,0,1,12S,468824,4189300,Tamarix,sp.
Agapostemon,angelicus/texanus,21A99,29,Jul,2002,0,1,12S,468824,4189300,Melilotus,alba
Agapostemon,angelicus/texanus,21B99,6,Jun,2002,0,1,12S,468859,4188940,Sphaeralcea,grossulariifolia
Agapostemon,angelicus/texanus,21B99,6,May,2002,0,2,12S,468859,4188940,Salix,exigua
Agapostemon,angelicus/texanus,21B99,8,Aug,2000,0,1,12S,468859,4188940,Asclepias,sp.
Agapostemon,angelicus/texanus,21B99,8,Aug,2000,0,1,12S,468859,4188940,Grindelia,squarrosa
Agapostemon,angelicus/texanus,21B99,8,Jun,2000,0,4,12S,468859,4188940,Sphaeralcea,coccinea
Agapostemon,angelicus/texanus,21B99,8,Jun,2000,0,1,12S,468859,4188940,Sphaeralcea,grossulariifolia
Agapostemon,angelicus/texanus,21B99,9,Oct,2002,0,1,12S,468859,4188940,Heterotheca,villosa
Agapostemon,angelicus/texanus,21B99,17,Jun,2002,0,2,12S,468859,4188940,Melilotus,officinalis
Agapostemon,angelicus/texanus,2B98,4,Jun ,2001,0,1,12S,469153,4151154,Brassicaceae,sp.
Agapostemon,angelicus/texanus,2B98,21,May,2001,0,3,12S,469153,4151154,Opuntia,polyacantha
Agapostemon,angelicus/texanus,2B98,21,May,2001,0,2,12S,469153,4151154,Opuntia,sp.
Agapostemon,angelicus/texanus,2B98,23,Aug,2001,1,0,12S,469153,4151154,Helianthus,petiolaris
Agapostemon,angelicus/texanus,2B98,23,Jul,2001,0,1,12S,469153,4151154,Cleome,lutea
Agapostemon,angelicus/texanus,2B98,23,Jul,2001,1,0,12S,469153,4151154,Salsola,pestifer
Agapostemon,angelicus/texanus,2B98,29,Sep,2001,1,0,12S,469153,4151154,Chrysothamnus,sp.
Agapostemon,angelicus/texanus,2A98,4,Jul,2001,4,0,12S,469641,4151523,Helianthus,petiolaris
Agapostemon,angelicus/texanus,2A98,7,May,2001,0,1,12S,469641,4151523,Sclerocactus,whipplei
Agapostemon,angelicus/texanus,2A98,23,Aug,2001,1,0,12S,469641,4151523,Helianthus,petiolaris
Agapostemon,angelicus/texanus,2A98,23,Jul,2001,0,1,12S,469641,4151523,Helianthus,petiolaris
Agapostemon,angelicus/texanus,10A98,5,May,2000,0,1,12S,471132,4156875,Poliomintha,incana
Agapostemon,angelicus/texanus,10A98,8,May,2000,0,1,12S,471132,4156875,Cryptantha,flava
Agapostemon,angelicus/texanus,10A98,8,May,2000,0,2,12S,471132,4156875,Sclerocactus,whipplei
Agapostemon,angelicus/texanus,10A98,22,May,2000,0,3,12S,471132,4156875,Opuntia,erinacea
Agapostemon,angelicus/texanus,10B98,5,May,2000,0,1,12S,471418,4157133,Phacelia,heterophylla
Agapostemon,angelicus/texanus,10B98,7,May,2001,0,1,12S,471418,4157133,Oenothera,sp.
