taxonName,originalName
Osmia sericea,Osmia sericea
Eucera mellifera,Eucera mellifera
Osmia caraformis,Osmia caraformis
Biastes fulviventris,Biastes fulviventris
Osmia ulsenda,Osmia ulsenda
Andrena rubicundus,Andrena rubicundus
Brassica campestris,Brassica campestris
Ribes nidigrolaria,Ribes nidigrolaria
Viburnum davidi,Viburnum davidi
Osmia phaceliae,Osmia phaceliae
Osmia visenda,Osmia visenda
Andrena cyanella,Andrena cyanella
melecta pacifica,melecta pacifica
Pelargonium amaryllidis,Pelargonium amaryllidis
Sphecodes sisymbrii,Sphecodes sisymbrii
Sphecodes boreale,Sphecodes boreale
Anthidiellum robertsoni,Anthidiellum robertsoni
Hylaeus acantha,Hylaeus acantha
Viola wittrockiana,Viola wittrockiana
Calliopsis anthidius,Calliopsis anthidius
Melissodes vosnesenskii,Melissodes vosnesenskii
Calyptridiium umbellatum,Calyptridiium umbellatum
Anthidium formosa,Anthidium formosa
Epimelissodes obliquus,Epimelissodes obliquus
ceratina nanula,ceratina nanula
Fraser,Fraser
