"id","name","ancestry"
50087,"Agapostemon melliventris","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/49707/134106/335597/50086/606634"
346238,"Andrena cerasifolii","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669"
198981,"Andrena milwaukeensis","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571358"
57667,"Andrena prunorum","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571426"
270467,"Anthidiellum notatum","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/52777/314114/504741/252417/638427"
308703,"Anthidium maculosum","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/52777/314114/504741/57671/638430"
198855,"Anthophora bomboides","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/203135/57682/578078"
57681,"Anthophora urbana","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/203135/57682/578077"
47219,"Apis mellifera","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538904/47220/578086"
52774,"Bombus fervidus","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538883/52775/538902/1266534"
154043,"Bombus huntii","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538883/52775/538900"
130222,"Bombus melanopygus","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538883/52775/538900"
324278,"Bombus morrisoni","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538883/52775/538890"
341001,"Bombus nevadensis","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538883/52775/538874"
1255700,"Brachymelecta californica","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/467035/1254664"
626642,"Coelioxys rufitarsis","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/52777/314114/541027/199145/626528"
626643,"Coelioxys sayi","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/52777/314114/541027/199145/626528"
135310,"Diadasia enavata","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/335660/121512/578116"
361448,"Diadasia ochracea","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/335660/121512/578117"
308859,"Dieunomia heteropoda","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/49707/487187/252947/606684"
198862,"Epeolus scutellaris","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/335715/340736/154666"
318550,"Halictus farinosus","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/49707/134106/335597/57677/606645"
154298,"Halictus ligatus","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/49707/134106/335597/57677/606646"
127747,"Halictus rubicundus","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/49707/134106/335597/57677/606653"
309390,"Halictus tripartitus","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/49707/134106/335597/57677/574895"
199050,"Hylaeus leptocephalus","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/127740/574753/127812/602834"
459106,"Lasioglossum ovaliceps","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/49707/134106/335597/57678/569267"
222681,"Lasioglossum sisymbrii","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/49707/134106/335597/57678/569269"
493831,"Lithurgopsis apicalis","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/52777/575051/625686"
309381,"Megachile fidelis","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/52777/314114/541027/52784/325491"
199131,"Megachile mendica","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/52777/314114/541027/52784/571091"
199130,"Megachile montivaga","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/52777/314114/541027/52784/571092"
203033,"Megachile parallela","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/52777/314114/541027/52784/571088"
224501,"Megachile perihirta","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/52777/314114/541027/52784/471829"
271779,"Megachile policaris","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/52777/314114/541027/52784/325491"
199128,"Megachile texana","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/52777/314114/541027/52784/571091"
602568,"Melissodes druriellus","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/121514/52781/563472"
121507,"Osmia lignaria","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/52777/314114/465612/57674/628301"
133789,"Osmia ribifloris","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/52777/314114/465612/57674/628301"
271438,"Protosmia rubifloris","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/52777/314114/465612/252946/699707"
121504,"Svastra obliqua","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/121514/121505/572426"
57688,"Xylocopa californica","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/244505/574159/51111/571260"
57686,"Xylocopa tabaniformis","48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/244505/574159/51111/571249"
