iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Date observed,Description,Common name,Recorded by,Captive/Cultivated,Quality grade,coordinateUncertaintyInMeters
Sphaerophorus,55243,Sphaerophorus,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Sphaerophoraceae,,,Sphaerophorus,,iNat:1921296,49.677487,-123.147243,2015-09-05T15:49:03-07:00,,,Riley Pollom,false,needs_id,24
Peltigera,54294,Peltigera,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Peltigeraceae,,,Peltigera,,iNat:1921297,49.677484,-123.14743,2015-09-05T15:50:45-07:00,,,Riley Pollom,false,needs_id,10
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:3184560,49.404551,-123.211112,2016-05-15T13:08:35-07:00,,,Riley Pollom,false,needs_id,5
Caloscypha fulgens,153035,Caloscypha fulgens,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Caloscyphaceae,,,Caloscypha,fulgens,iNat:3184574,49.415339,-123.207201,2016-05-15T14:06:18-07:00,,,Riley Pollom,false,research,16
Pilophorus,128925,Pilophorus,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Pilophorus,,iNat:3184576,49.423418,-123.206716,2016-05-15T14:44:24-07:00,,,Riley Pollom,false,needs_id,10
Parmelia sulcata,54734,Parmelia sulcata,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Parmelia,sulcata,iNat:3184582,49.420001,-123.205932,2016-05-15T16:17:32-07:00,,,Riley Pollom,false,needs_id,14
Cladonia bellidiflora,123391,Cladonia bellidiflora,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,bellidiflora,iNat:5948224,49.673116,-123.119488,2014-05-30,,,judith holm,false,research,687
Chlorociboria,54595,Chlorociboria,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,,Chlorociboriaceae,,,Chlorociboria,,iNat:5971851,49.670636,-123.130367,2014-10-07,,,judith holm,false,research,42
Xylaria hypoxylon,55267,Xylaria hypoxylon,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Xylariomycetidae,,Xylariales,,,,Xylariaceae,,,Xylaria,hypoxylon,iNat:5972207,49.708624,-123.116784,2014-11-09,,,judith holm,false,research,85
Umbilicariaceae,59970,Umbilicariaceae,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,,Umbilicariaceae,,,,,iNat:5972268,49.713987,-123.106135,2014-11-23,,,judith holm,false,needs_id,85
Peltigera aphthosa,119675,Peltigera aphthosa,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Peltigeraceae,,,Peltigera,aphthosa,iNat:5972368,49.714444,-123.105555,2014-11-23,,,judith holm,false,needs_id,
Hypogymnia,117988,Hypogymnia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Hypogymnia,,iNat:6017891,49.669083,-123.128371,2015-05-24,,,judith holm,false,needs_id,42
Solorina crocea,231135,Solorina crocea,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Peltigeraceae,,,Solorina,crocea,iNat:6157588,49.855002,-123.035524,2013-09-08,,,judith holm,false,research,86
Scutellinia scutellata,49137,Scutellinia scutellata,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Pyronemataceae,,,Scutellinia,scutellata,iNat:6417401,49.37037,-123.255363,2017-05-28T12:43:43-07:00,,,Rita Clare,false,research,
Cladonia rangiferina,119778,Cladonia rangiferina,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,rangiferina,iNat:7552578,49.4427,-123.337937,2017-08-18T18:40:55-07:00,,,,false,needs_id,
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:7552613,49.443397,-123.337105,2017-08-18T19:08:26-07:00,,,,false,needs_id,
Lecanoromycetes,54743,Lecanoromycetes,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,,,,,,,,,,,,iNat:7552622,49.443638,-123.33687,2017-08-18T19:11:23-07:00,,,,false,needs_id,
Hypomyces lactifluorum,48215,Hypomyces lactifluorum,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,,Hypocreaceae,,,Hypomyces,lactifluorum,iNat:8301711,49.6721,-123.158898,2017-10-07T13:54:01-07:00,,,,false,research,10
Alectoria sarmentosa,126626,Alectoria sarmentosa,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Alectoria,sarmentosa,iNat:8461852,49.677421,-123.10951,2014-06-28,,,judith holm,false,needs_id,85
Cladonia cornuta,179035,Cladonia cornuta,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,cornuta,iNat:8462427,49.673421,-123.12114,2014-06-28,,,judith holm,false,research,85
Usnea,67747,Usnea,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Usnea,,iNat:8469795,49.73178,-123.097978,2017-10-18T11:53:11-07:00,,,Keegan Durovich,false,needs_id,0
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:8582988,49.68285,-123.153978,2017-10-23T12:32:59-07:00,,,,false,needs_id,
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:8583033,49.682878,-123.154481,2017-10-23T12:31:22-07:00,,,,false,needs_id,
Cladonia macilenta,117950,Cladonia macilenta,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,macilenta,iNat:8583063,49.682603,-123.15262,2017-10-23T12:25:51-07:00,,,,false,research,
Cladonia portentosa,119666,Cladonia portentosa,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,portentosa,iNat:8583070,49.683412,-123.153358,2017-10-23T12:24:04-07:00,,,,false,research,
Cladoniaceae,49489,Cladoniaceae,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,,,iNat:8583102,49.422962,-123.232125,2017-10-23T10:48:19-07:00,,,,false,needs_id,
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:8583106,49.42297,-123.232095,2017-10-23T10:48:27-07:00,,,,false,needs_id,
Cladonia furcata,54607,Cladonia furcata,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,furcata,iNat:8583109,49.422863,-123.232012,2017-10-23T10:47:48-07:00,,,,false,needs_id,
Aleuria aurantia,48716,Aleuria aurantia,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Pyronemataceae,,,Aleuria,aurantia,iNat:8603166,49.769478,-123.107101,2017-10-26T14:43:55-07:00,,,,false,research,4128
Parmeliaceae,54321,Parmeliaceae,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,,,,,iNat:8779064,49.949839,-123.097558,2012-08-09T23:48:00-04:00,,,,false,needs_id,1296
Alectoria sarmentosa,126626,Alectoria sarmentosa,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Alectoria,sarmentosa,iNat:8899112,49.81712,-123.159227,2017-05-07,,,judith holm,false,needs_id,342
Parmelioideae,1094690,Parmelioideae,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,,,iNat:8900627,49.674382,-123.112106,2014-06-28,,,judith holm,false,needs_id,2755
Pyronemataceae,48718,Pyronemataceae,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Pyronemataceae,,,,,iNat:8944483,49.722206,-123.133003,2017-10-29T17:13:00-07:00,,,Vanessa,false,needs_id,
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:8954900,49.730129,-123.158691,2017-11-24T12:12:23-08:00,,,Mike,false,needs_id,
Lobaria pulmonaria,48711,Lobaria pulmonaria,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Lobariaceae,,,Lobaria,pulmonaria,iNat:9001017,49.716488,-123.165836,2017-11-26T13:29:00-08:00,,,,false,research,244
Hypogymnia,117988,Hypogymnia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Hypogymnia,,iNat:9001053,49.715902,-123.165493,2017-11-26T13:35:00-08:00,,,,false,needs_id,244
Helvella,49206,Helvella,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Helvellaceae,,,Helvella,,iNat:9439391,49.372686,-123.274789,2018-01-01T15:36:58-08:00,,,,false,needs_id,77
Rhytisma punctatum,333838,Rhytisma punctatum,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Rhytismatales,,,,Rhytismataceae,,,Rhytisma,punctatum,iNat:9505581,49.409236,-123.462896,2015-09-03,,,Else Mikkelsen,false,research,172
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:9514730,49.408448,-123.457832,2015-09-03,,,Else Mikkelsen,false,needs_id,345
Usnea,67747,Usnea,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Usnea,,iNat:9538706,49.713797,-123.145364,2018-01-20T08:41:14-08:00,,,Vanessa,false,needs_id,5
Hypomyces lactifluorum,48215,Hypomyces lactifluorum,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,,Hypocreaceae,,,Hypomyces,lactifluorum,iNat:9593018,49.785975,-123.108566,2014-10-19,,,,false,research,85
Lobaria pulmonaria,48711,Lobaria pulmonaria,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Lobariaceae,,,Lobaria,pulmonaria,iNat:9630295,49.791571,-123.130474,2010-01-31,,,,false,research,171
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:9844046,49.815325,-123.16294,2018-02-12,,,judith holm,false,needs_id,171
Rhytisma punctatum,333838,Rhytisma punctatum,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Rhytismatales,,,,Rhytismataceae,,,Rhytisma,punctatum,iNat:10279497,49.408156,-123.461266,2015-04-04,,,Else Mikkelsen,false,research,691
Cladonia portentosa,119666,Cladonia portentosa,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,portentosa,iNat:10404604,49.33125,-123.266197,2018-03-24T14:03:55-07:00,,,,false,needs_id,10
Verpa bohemica,126131,Verpa bohemica,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Morchellaceae,,,Verpa,bohemica,iNat:10758820,49.730513,-123.134696,2018-04-10,,,,false,research,
