Taxon,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Hyacinthoides non-scripta,(L.) Chouard ex Rothm.,,bluebell,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,,Hyacinthoides,non-scripta,,,,exotic,SNA (2019),,new 2021,observed,,,,,,2021-05-04,benkeen,https://www.inaturalist.org/observations/81660727,,56132,
Maianthemum dilatatum,(Alph. Wood) A. Nelson & J.F. Macbr.,,western lily of the valley,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,,Maianthemum,dilatatum,,,,native,S5 (2000),,confirmed,observed,1997-05-18,Gerald B. Straley,UBC,UBC: V226289,,2017-04-16,sea2skynaturebc,http://inaturalist.ca/observations/5762841,,63939,
Maianthemum racemosum ssp. amplexicaule,(L.) Link (Nutt.) LaFrankie,,solomon's plume,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,,Maianthemum,racemosum,,amplexicaule,,native,S5 (2015),,confirmed,observed,1961-05-25,F. Vrugtman,UBC,UBC: V101047,,2014-06-21,judithofsquamish,https://www.inaturalist.org/observations/8894052,,53012,
Maianthemum stellatum,(L.) Link.,,starry false solomon's-seal,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,,Maianthemum,stellatum,,,,native,S5 (2015),,confirmed,observed,1960-06-09,L. Orloci,UBC,UBC: V90716,,2017-07-02,judithofsquamish,https://www.inaturalist.org/observations/7270508,,53268,
Muscari armeniacum,Leichtlin,,garden grape-hyacinth,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,,Muscari,armeniacum,,,,exotic,SNA,,new 2020,observed,,,,,,2020-04-10,benkeen,https://www.inaturalist.org/observations/41839372,,57847,
Muscari botryoides,(L.) Mill.,,common grape hyacinth,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,,Muscari,botryoides,,,,exotic,not in CDC records,,new 2021,observed,,,,,,2021-03-27,raduscurtescu,https://www.inaturalist.org/observations/72234262,,56134,
Muscari neglectum,Guss. ex Ten.,,grape hyacinths,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,,,Muscari,neglectum,,,,exotic,SNA (2012),,reported,unobserved,2014-04-12,Frank Lomer,UBC,UBC: V241862,,,,,UBC:  Lions Bay 220m north of Lions Bay Ave RR crossing,68846,
Scilla sp.,,,squills,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,,Scilla,,,,,,,,new 2021,observed,,,,,,2021-03-19,ahusdon,https://www.inaturalist.org/observations/71567384,iNat: needs i.d.,49149,
Triteleia grandiflora,Lindl.,,large-flower triplet lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Brodiaeoideae,,Triteleia,grandiflora,,,,native,S4 (2015),,reported,unobserved,1916-07-15,W. Taylor,UBC,UBC: V219822,,,,,UBC:  West Vancouver Caulfield,79452,
Triteleia hyacinthina,(Lindl.) Greene,,white brodiaea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Brodiaeoideae,,Triteleia,hyacinthina,,,,native,S4 (2015),,confirmed,observed,2001-06-15,Helen Kennedy,UBC,UBC: V217115,,2018-06-16,the_rainbow_bee,https://www.inaturalist.org/observations/13509117,UBC:  W Vancouver Caulfield Park W facing at oceanside,57132,
Yucca sp.,,,yucca,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Agavoideae,,Yucca,,,,,exotic,unlisted,,new 2021,observed,,,,,,2021-04-04,raduscurtescu,https://www.inaturalist.org/observations/72976540,iNat: needs i.d.,47787,
Hemerocallis fulva,L.,,orange day-lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asphodelaceae,Hemerocallidoideae,,Hemerocallis,fulva,,,,exotic,not in CDC records,,new 2021,observed,,,,,,2021-07-25,roslynmohr,https://www.inaturalist.org/observations/88590423,iNat: needs i.d.,126583,
Crocosmia × crocosmiiflora,(Lemoine) N.E. Br.,,montbretia,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,Crocoideae,,Crocosmia,,Crocosmia × crocosmiiflora,,,exotic,SNA (2001),,new 2019,observed,,,,,,2019-08-21,benkeen,https://www.inaturalist.org/observations/31271406,,181465,
Iris pseudacorus,L.,,yellow iris,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,Iridoideae,,Iris,pseudacorus,,,,exotic,SNA (2001),,new 2018,observed,,,,,,2018-09-20,keeganjd,https://www.inaturalist.org/observations/16718236,,47779,
Calypso bulbosa,(L.) Oakes,,fairy slipper,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,,,Calypso,bulbosa,,,,native,S5 (2000),,reported,unobserved,1914-04-27,W. Taylor,UBC,UBC: V218590,,,,,,47215,
Corallorhiza maculata,(Raf.) Raf.,,spotted coralroot,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,,Corallorhiza,maculata,,,,native,S5 (2000),,confirmed,observed,1913-06-15,Fred Perry,UBC,UBC: V52040,,2017-06-25,judithofsquamish,http://inaturalist.ca/observations/6792845,,49475,
Corallorhiza mertensiana,Bong,,Pacific coralroot,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,,Corallorhiza,mertensiana,,,,native,S5 (2015),,confirmed,observed,1974-07-05,C.E. Biel,UBC,UBC: V176127,,2016-05-31,judithofsquamish,https://www.inaturalist.org/observations/6032811,,49444,
Corallorhiza striata,Lindl.,,striped coralroot,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,,Corallorhiza,striata,,,,native,S5 (2019),,new 2021,observed,,,,,,2021-07-16,garethwheatley,https://www.inaturalist.org/observations/87316044,,50708,
Cypripedium montanum,Douglas ex Lindl.,,mountain lady's-slipper,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Cypripedioideae,,Cypripedium,montanum,,,,native,S4S5 (2019),,new 2019,observed,,,,,,2019-06-07,northvandad,https://www.inaturalist.org/observations/26944078,,50712,
Epipactis helleborine,(L.) Crantz,,broad-leafed helleborine,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,,Epipactis,helleborine,,,,exotic,SNA (2019),,new 2019,observed,,,,,,2019-07-12,andy415,https://www.inaturalist.org/observations/28818497,,50717,
Goodyera oblongifolia,Raf.,,western rattlesnake plantain,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Goodyera,oblongifolia,,,,native,S5 (2015),,new 2014,observed,,,,,,2014-06-03,judithofsquamish,https://www.inaturalist.org/observations/6160897,,50719,
Neottia banksiana,(Lind.) Rchb. f.,,northwestern twayblade,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,,Neottia,banksiana,,,,native,S4 (2015),,confirmed,observed,1975-07-29,Ken Carey,UBC,UBC: V157729,,2014-07-26,elsemikkelsen,https://www.inaturalist.org/observations/9237020,historical record Listera caurina,131227,
Neottia cordata,(L) Rchb.,,heartleaf twayblade,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,,Neottia,cordata,,,,native,S4S5 (2015),,confirmed,observed,2012-07-25,Erin R. Manton,UBC,UBC: V239571,,2017-07-02,judithofsquamish,https://www.inaturalist.org/observations/7270701,,204364,
Platanthera dilatata var. dilatata,(Pursh) Lindl. ex L.C. Beck,,white bog orchid,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,dilatata,,,dilatata,native,S5,,confirmed,observed,1971-07-15,Emmy Fisher,UBC,UBC: V156842,,2015-06-07,judithofsquamish,http://www.inaturalist.org/observations/4403034,,78623,
Platanthera dilatata var. leucostachys,(Pursh) Lindl. ex L.C. Beck,,Sierra bog orchid,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,dilatata,,,leucostachys,native,S5 (2000),,reported,unobserved,1926-07-04,W. Ashlee,UBC,UBC: V141569,,,,,UBC:  Hollyburn Ridge,81271,
Platanthera elegans,Lindl.,,elegant rein orchid,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,elegans,,,,native,S4,,new 2015,observed,,,,,,2015-06-09,steveansell,https://www.inaturalist.org/observations/66759681,,840641,
Platanthera orbiculata,(Pursh) Lindl.,,round-leaved bog orchid,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,orbiculata,,,,native,S4 (2015),,confirmed,observed,1916-07-25,W. Taylor,UBC,UBC: V219082,,2016-07-03,hillanddale,https://www.inaturalist.org/observations/8500276,,131218,
Platanthera stricta,Lindl.,,slender bog orchid,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,stricta,,,,native,S5 (2015),,confirmed,observed,1974-10-15,Peggy C. Martin,UBC,UBC: V148168,,2017-07-02,judithofsquamish,https://www.inaturalist.org/observations/7270946,,50739,
Platanthera unalascensis,,,Alaska piperia,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,unalascensis,,,,native,S5 (2019),,new 2015,observed,,,,,,2015-06-13,steveansell,https://www.inaturalist.org/observations/68140498,,840638,
Spiranthes romanzoffiana,Cham.,,hooded ladies' tresses,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Spiranthes,romanzoffiana,,,,native,S4? (2015),,confirmed,observed,1965-07-09,Jake P. Luitjens,UBC,UBC: V219079,,2007-07-28,hillanddale,https://www.inaturalist.org/observations/9630323,,50743,
Clintonia uniflora,(Menzies ex Schult. & Schult. f.) Kunth,,bride's bonnet,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,,Clintonia,uniflora,,,,native,S5 (2015),,confirmed,observed,2010-07-01,Erin R. Manton,UBC,UBC: V236238,,2017-07-16,sea2skynaturebc,http://inaturalist.ca/observations/7076582,,76401,
Erythronium grandiflorum,Pursh,,yellow glacier lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,,,Erythronium,grandiflorum,,,,native,S5 (2019),,reported,unobserved,,,,,,,,,,60496,
Erythronium oregonum,Applegate,,giant white fawn lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,,Erythronium,oregonum,,,,native,S4 (2019),,new 2016,observed,,,,,,2016-03-24,mtncatt,http://www.inaturalist.org/observations/4242613,,59520,
Erythronium revolutum,Sm.,,coast fawn lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,,Erythronium,revolutum,,,,native,S5? (2019),,new 2018,observed,,,,,,2018-04-10,hillanddale,https://www.inaturalist.org/observations/12689396,,77081,
Fritillaria affinis,(Shult. & Shult.f.) Sealy,,checker lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,,Fritillaria,affinis,,,,native,S5 (2000),,confirmed,observed,1948-05-11,Thomas M.C. Taylor,UBC,UBC: V25109,,2018-04-17,derekkillby,https://www.inaturalist.org/observations/13785692,,50618,
Fritillaria camschatcensis,(L.) Ker Gawl.,,rice root,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,,Fritillaria,camschatcensis,,,,native,S5 (2000),,confirmed,observed,2015-06-26,Bob Brett,2015 Squamish Bioblitz part of Whistler BB Bob Brett),,,2014-07-26,elsemikkelsen,https://www.inaturalist.org/observations/9228859,,128770,
Lilium columbianum,Leichtlin,,columbia lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,,Lilium,columbianum,,,,native,S5 (2015),,confirmed,observed,1924-05-31,T.R. Ashlee,UBC,UBC: V223468,,2018-05-29,judithofsquamish,https://www.inaturalist.org/observations/13099371,,77744,
Prosartes hookeri,Torr.,,Hooker's fairybells,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Streptopoideae,,Prosartes,hookeri,,,,native,S5 (2000),,confirmed,observed,2010-07-15,Erin R. Manton,UBC,UBC: V236243,,2016-05-03,judithofsquamish,http://www.inaturalist.org/observations/4469245,,51071,
Streptopus amplexifolius,(L.) DC.,,white twisted-stalk,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Streptopoideae,,Streptopus,amplexifolius,,,,native,S5,,confirmed,observed,2010-07-01,Erin R. Manton,UBC,UBC: V236237,,2017-07-02,judithofsquamish,https://www.inaturalist.org/observations/7271078,,79273,
Streptopus lanceolatus var. curvipes,(Aiton) Reveal,,rose twisted-stalk,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Streptopoideae,,Streptopus,lanceolatus,,,curvipes,native,S4 (2015),,confirmed,observed,2010-07-01,Erin R. Manton,UBC,UBC: V236236,,2014-06-28,judithofsquamish,http://www.inaturalist.org/observations/4503937,,243120,
Streptopus streptopoides,(Ledeb.) Frye & Rigg,,small twisted-stalk,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Streptopoideae,,Streptopus,streptopoides,,,,native,S5 (2019),,new 2021,observed,,,,,,2021-08-01,steveansell,https://www.inaturalist.org/observations/89992283,previous ssp of S. streptopoides are no longer recognized by CDC or I.T.I.S.,169409,
Toxicoscordion venenosum var. venenosum,(S. Watson) Rydb.,,death camas,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Melanthiaceae,,,Toxicoscordion,venenosum,,,venenosum,native,S5 (2000),,confirmed,observed,2012-05-02,Erin R. Manton,UBC,UBC: V238420,,2019-05-11,dave328,https://www.inaturalist.org/observations/24965715,UBC:  West Vancouver Lighthouse Park; just the one ssp of T. venenosum recorded in BC,81432,
Trillium ovatum var. ovatum,Pursh,,Pacific trillium,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Melanthiaceae,,,Trillium,ovatum,,,ovatum,native,S5 (2019),,new 2020,observed,,,,,,2020-04-25,sooty,https://www.inaturalist.org/observations/44625907,only this one variety recorded in BC,63972,
Veratrum viride var. eschscholzianum,Aiton,,western green false hellebore,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Melanthiaceae,,,Veratrum,viride,,,eschscholzianum,native,S5 (2015),,confirmed,observed,1969-06-24,P. Warrington,LEA,,,2014-06-21,judithofsquamish,https://www.inaturalist.org/observations/8894020,only this one variety recorded in BC,79484,
Bolboschoenus fluviatilis,(Torr.) Soják,,river bulrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Bolboschoenus,fluviatilis,,,,native,S2S3 (2019),,reported,unobserved,,,,,,,,,,64228,
Bolboschoenus maritimus,(L.) Palla,,sea clubrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Bolboschoenus,maritimus,,,,native,S4 (2000),,confirmed,observed,2007-08-19,F. Lomer,UBC,UBC: V233607,,2015-06-17,judithofsquamish,https://www.inaturalist.org/observations/8737843,,58345,
Bolboschoenus maritimus var. paludosus,(L.) Palla (A. Nelson),,seacoast bulrush alkali marsh,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Bolboschoenus,maritimus,,,paludosus,native,S1 (2015),,reported,unobserved,,,,,,,,,historical record Scirpus paludosus,79646,
Carex albonigra,Mack.,,black-and-white sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Carex,albonigra,,,,native,S5 (2015),,reported,unobserved,1917-08-10,John Davidson,UBC,UBC: V234059,,,,,UBC: Garibaldi PP Polemonium Ridge,76009,
Carex aquatilis var. dives,Wahlenb.,,Sitka sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Carex,aquatilis,,,dives,native,unlisted,,confirmed,observed,1960-05-04,L. Orloci,UBC,UBC: V90695,,2017-06-25,judithofsquamish,https://www.inaturalist.org/observations/6803746,UBC: Oxbow L Squamish R; aka C.sitchensis & C. aquatilis,80511,
Carex arcta,Boott,,northern clustered sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Carex,arcta,,,,native,S5 (2019),,reported,unobserved,,,,,,,,,,76014,
Carex aurea,Nutt.,,golden sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Carex,aurea,,,,native,S5 (2019),,new 2019,observed,,,,,,2019-08-25,ldietzchiasson,https://www.inaturalist.org/observations/31997726,,76017,
Carex canescens,L.,,hoary sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Carex,canescens,,,,native,S5 (2006),,confirmed,observed,1938-07-01,John W. Eastham,UBC,UBC: V13604,,2019-06-13,citizen1,https://www.inaturalist.org/observations/27254184,UBC:   Hollyburn Plateau,76023,
Carex circinata,C.A. Mey.,,coiled sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Carex,circinata,,,,native,S5 (2015),,reported,unobserved,1969-09-05,Thomas C. Brayshaw,UBC,UBC: V215338,,,,,UBC:   NW end Garibaldi Lake,159912,
Carex deweyana,Schwein,,short-scale sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Carex,deweyana,,,,native,S5,,new 2021,observed,,,,,,2021-06-20,judithofsquamish,https://www.inaturalist.org/observations/84447378,iNat: needs i.d.,143684,
Carex echinata,Murray,,star sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Carex,echinata,,,,native,S5 (2020),,new 2020,observed,,,,,,2020-05-31,benkeen,https://www.inaturalist.org/observations/48057493,,76035,
Carex engelmannii,L.H. Bailey,,Engelmann's sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Carex,engelmannii,,,,native,S4 (2019),,reported,unobserved,,,,,,,,,,159946,
Carex exsiccata,L.H. Bailey,,western inflated sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Carex,exsiccata,,,,native,S5 (2015),,reported,unobserved,1960-06-07,L. Orloci,UBC,UBC: V90696,,,,,"UBC:  oxbows, Squamish floodplain",76036,
