Taxon,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Sagittaria latifolia,Willd.,,broadleaf arrowhead,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Alismataceae,,,Sagittaria,latifolia,,,,native,S5 (2019),,new 2021,observed,,,,,,2021-07-13,pumakit,https://www.inaturalist.org/observations/86945066,iNat: needs i.d.,48070,
Lemna minor,"L,",,common duckweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Araceae,Lemnoideae,,Lemna,minor,,,,native,S5 (2019),,new 2019,observed,,,,,,2019-12-28,benkeen,https://www.inaturalist.org/observations/37048511,,54518,
Lysichiton americanus,Hultén & H.St.John,,western skunk cabbage,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Araceae,Orontioideae,,Lysichiton,americanus,,,,native,S5 (2019),,new 2013,observed,,,,,,2013-08-16,jmaughn,http://www.inaturalist.org/observations/367813,,48537,
Triglochin maritima,L.,,common arrowgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Juncaginaceae,,,Triglochin,maritima,,,,native,S5 (2000),,confirmed,observed,1997-05-18,Gerald B. Straley,UBC,UBC: V226287,,2019-05-26,citizen1,https://www.inaturalist.org/observations/26127503,,60264,
Potamogeton berchtoldii,Fieber,,small pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Potamogeton,berchtoldii,,,,native,S4 (2001),,reported,unobserved,1982-08-02,A.A. Rose,UBC,UBC: V176401,,,,,"UBC:  NW side of Squamish River Rd at Mile 15, herbarium record P. pusillus",78706,
Potamogeton epihydrus,Raf.,,ribbon-leaved pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Potamogeton,epihydrus,,,,native,S5 (2000),,reported,unobserved,1982-08-02,A.A. Rose,UBC,UBC: V176399,,,,,"UBC:  NW side of Squamish River Rd at Mile 15, herbarium record P. pusillus",78709,
Potamogeton foliosus,Raf.,,leafy pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Potamogeton,foliosus,,,,native,S4S5 (2015),,reported,unobserved,1977-08-12,J. M. Goddard,RBCM,V171312,,,,,RBCM:  Lucille Lake,59107,
Potamogeton natans,L.,,floating-leaved pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Potamogeton,natans,,,,native,S5? (2015),,new 2009,observed,,,,,,2009-12-28,benkeen,https://www.inaturalist.org/observations/37048406,,78712,
Potamogeton pusillus,L.,,small pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Potamogeton,pusillus,,,,native,S4 (2001),,reported,unobserved,1977-08-11,Patrick D. Warrington,RBCM,V171965,,,,,"RBCM:  Brohm Lake, Cheekye",78714,
Zannichellia palustris,L.,,horned pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Zannichellia,palustris,,,,native,S4 (2015),,reported,unobserved,1981-07-29,G.E. Bradfield,UBC,UBC: V175131,,,,,,79546,
Ruppia maritima,L.,,widgeongrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Ruppiaceae,,,Ruppia,maritima,,,,native,S5 (2001),,confirmed,observed,1980-01-01,,RBCM,V199577,,2015-07-14,judithofsquamish,https://www.inaturalist.org/observations/9974569,,61090,
Triantha glutinosa,Michx.,,sticky false asphodel,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Tofieldiaceae,,,Triantha,glutinosa,,,,native,S5 (2000),,confirmed,observed,1989-08-06,T. C. Wells,WTU,"WTU: 371152, WTU-V-029170",,2017-07-30,judithofsquamish,https://www.inaturalist.org/observations/7362020,,169913,
Triantha occidentalis ssp. brevistyla,(S. Watson) R.R. Gates,,short-style sticky tofieldia,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Tofieldiaceae,,,Triantha,occidentalis,,brevistyla,,native,S5 (2000),,reported,unobserved,2016-08-13,Qianshi Lin,UBC,UBC: V245038,,,,,UBC:  Cypress Mt. near Yew Lake,238899,
Zostera marina,L.,,eelgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Zosteraceae,,,Zostera,marina,,,,native,S5 (2019),,new 2017,observed,,,,,,2017-07-26,caitlinforeman,https://www.inaturalist.org/observations/7298464,,52614,
Allium amplectens,Torr.,,narrowleaf onion,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,,Allium,amplectens,,,,native,S3 (2019),,new 2015,observed,,,,,,2015-05-17,steveansell,https://www.inaturalist.org/observations/66765477,,60267,
Allium cernuum var. cernuum,Roth,,nodding onion,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,,Allium,cernuum,,,cernuum,native,S5 (2015),,confirmed,observed,2001-06-15,Helen Kennedy,UBC,UBC: V217116,,2006-06-22,gwenlh,https://www.inaturalist.org/observations/20816015,There is only one ssp of A. cernuum recorded in BC,116364,
Allium schoenoprasum,L.,,chives,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,,Allium,schoenoprasum,,,,native,S5 (2019),,new 2020,observed,,,,,,2020-06-07,benkeen,https://www.inaturalist.org/observations/48879007,,59254,
Asparagus officinalis,L.,,wild asparagus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Asparagoideae,,Asparagus,officinalis,,,,exotic,SNA (2001),,new 2015,observed,,,,,,2015-07-14,judithofsquamish,https://www.inaturalist.org/observations/9971627,,60265,
Brodiaea coronaria,(Salisb.) Engl,,crown brodiaea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,,,Brodiaea,coronaria,,,,native,S3S4 (2015),,confirmed,observed,1975-07-06,Golden Stanley,RBCM,V083598,,2018-06-18,taylor_justason,https://www.inaturalist.org/observations/42974970,RBCM:  Gibsons,57126,
Camassia leichtlinii,(Baker) S. Wats.,,great camas,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,,,Camassia,leichtlinii,,,,native,S4 (2019),,confirmed,observed,1993-05-24,,RBCM,V182029,,2015-05-17,steveansell,https://www.inaturalist.org/observations/66863985,CDC: C. leichtlinii ssp. suksdorfii,62218,
Camassia quamash,(Pursh) Greene,,small camas,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Agavoideae,,Camassia,quamash,,,,native,S4 (2020,,new 2021,observed,,,,,,2021-04-25,michaelkarlrichards,https://www.inaturalist.org/observations/75210075,,62220,
Convallaria majalis,L.,,European lily of the valley,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,,Convallaria,majalis,,,,unlisted,unlisted,,new 2019,observed,,,,,,2019-05-16,samthuja,https://www.inaturalist.org/observations/25225093,,48206,
Hyacinthoides hispanica,(Mill.) Chouard ex Rothm.,,spanish bluebell,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,,Hyacinthoides,hispanica,,,,exotic,SNA (2019),,new 2020,observed,,,,,,2020-05-06,benkeen,https://www.inaturalist.org/observations/45130121,iNat: needs i.d.,57635,
