iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Author,Date observed,Place name,Recorded by
Arctostaphylos columbiana,75505,Arctostaphylos columbiana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Arbutoideae,,Arctostaphylos,columbiana,HOWE:5463,49.366667,-123.266667,Piper,1993-01-01,nr. Fisherman's Cove,"MacPhail, J. & Woodward, R."
Aruncus dioicus acuminatus,80381,Aruncus dioicus var. acuminatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Spiraeeae,Aruncus,dioicus,HOWE:5464,49.372229,-123.270829,(Walter) Fernald,2022-06-03,,Steve Ansell
Asplenium trichomanes,75609,Asplenium trichomanes,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Aspleniinae,,,Aspleniaceae,,,Asplenium,trichomanes,HOWE:5465,49.366667,-123.266667,L.,1949-07-24,"horseshoe bay, near Vancouver",Vladimir J. Krajina
Asplenium trichomanes,75609,Asplenium trichomanes,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Aspleniinae,,,Aspleniaceae,,,Asplenium,trichomanes,HOWE:5466,49.366667,-123.266667,L.,1946-04-13,"horseshoe bay, west Vancouver",Thomas M.C. Taylor
Asplenium trichomanes,75609,Asplenium trichomanes,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Aspleniinae,,,Aspleniaceae,,,Asplenium,trichomanes,HOWE:5467,49.369134,-123.274734,L.,2022-06-03,,Steve Ansell
Asplenium trichomanes,75609,Asplenium trichomanes,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Aspleniinae,,,Aspleniaceae,,,Asplenium,trichomanes,HOWE:5468,49.36549,-123.273576,L.,2022-05-31,,Steve Ansell
Bidens frondosa,51712,Bidens frondosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Coreopsideae,Bidens,frondosa,HOWE:5469,49.366667,-123.266667,L.,1978-09-17,"Horseshoe Bay, 2 miles north","R.C. Summerbell, C. wilson"
Briza maxima,57157,Briza maxima,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Briza,maxima,HOWE:5470,49.366667,-123.266667,L.,1988-06-28,"West Vancouver at horseshoe bay interchange, Highway 1-99",Frank Lomer
Bromus hordeaceus,52703,Bromus hordeaceus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Bromeae,Bromus,hordeaceus,HOWE:5471,49.365556,-123.27545,L.,2006-05-27,"Horseshoe Bay, Eagleridge Drive, just south of Highway 1 (Trans-Canada Highway)",Jeffery M. Saarela
Bromus hordeaceus,52703,Bromus hordeaceus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Bromeae,Bromus,hordeaceus,HOWE:5472,49.366,-123.275,L.,2006-05-27,"Horseshoe Bay, Eagleridge Drive, just south of Hwy. 1 (Trans-Canada Highway).","Saarela, Jeffery M."
Buddleja davidii,75916,Buddleja davidii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Scrophulariaceae,,Buddlejeae,Buddleja,davidii,HOWE:5473,49.366667,-123.266667,Franch.,1978-09-17,"Horseshoe Bay, 2 miles north","R.C. Summerbell, C. wilson"
Buddleja davidii,75916,Buddleja davidii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Scrophulariaceae,,Buddlejeae,Buddleja,davidii,HOWE:5474,49.372065,-123.272391,Franch.,2019-07-08,,dmagdee
Buddleja davidii,75916,Buddleja davidii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Scrophulariaceae,,Buddlejeae,Buddleja,davidii,HOWE:5475,49.372086,-123.273147,Franch.,2022-09-11,,Steven Hayward
Buddleja davidii,75916,Buddleja davidii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Scrophulariaceae,,Buddlejeae,Buddleja,davidii,HOWE:5476,49.372073,-123.272487,Franch.,2022-07-11,,nancyevelyn
Cardamine oligosperma,52981,Cardamine oligosperma,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Cardamineae,Cardamine,oligosperma,HOWE:5477,49.366667,-123.266667,Nutt.,1939-04-01,horseshoe bay,J. Buckland
Carex oederi,1409518,Carex oederi,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,oederi,HOWE:5478,49.366667,-123.266667,Retz.,1991-08-15,Horsehoe Bay,Frank Lomer
Carex pendula,49365,Carex pendula,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,pendula,HOWE:5479,49.366667,-123.266667,Huds,2000-05-03,"West Vancouver, Horseshoe Bay, Marine Drive, Beside electrical substation near park & ride parking lot.",Terry Taylor
Chimaphila umbellata,62236,Chimaphila umbellata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Monotropoideae,,Chimaphila,umbellata,HOWE:5480,49.36407,-123.265195,(L.) W.P.C. Barton,2022-06-28,,anniebak
Cirsium arvense,60132,Cirsium arvense,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Cirsium,arvense,HOWE:5481,49.366667,-123.266667,(L.) Scop.,1978-09-17,6 km north of horseshoe bay,"R.C. Summerbell, C. wilson"
Collinsia parviflora,59013,Collinsia parviflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Cheloneae,Collinsia,parviflora,HOWE:5482,49.368996,-123.273777,Lindl.,2020-04-19,,Chris
Cotoneaster coriaceus,411074,Cotoneaster coriaceus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,coriaceus,HOWE:5483,49.365,-123.276667,Franch.,2007-11-13,"Above Marine Drive, near Horseshoe Bay ferry parking and Orch Hill Road, near north shore of English Bay.",Peter F. Zika
Cotoneaster coriaceus,411074,Cotoneaster coriaceus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,coriaceus,HOWE:5484,49.363472,-123.277111,Franch.,2018-07-14,"Metro Vancouver, Horseshoe Bay, Marine Drive, east side, between bus stop and Orchill Road",Frank Lomer
Cotoneaster divaricatus,160947,Cotoneaster divaricatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,divaricatus,HOWE:5485,49.364722,-123.270972,Rehder & E.H. Wils.,2017-05-26,"District of West Vancouver, Horseshoe Bay, 200 m east of Highway 99, 1.1 km south of ferry dock",Frank Lomer
Cotoneaster franchetii,1319212,Cotoneaster franchetii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,franchetii,HOWE:5486,49.369999,-123.269997,Bois,2008-02-18,"British Columbia, West Vancouver, Horseshoe Bay, rr tracks near tunnel below Hwy 99",F. Lomer
Crataegus monogyna,1437600,Crataegus monogyna,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Crataegus,monogyna,HOWE:5487,49.366667,-123.266667,Jacq.,1988-08-04,"outcrop above eagleridge turnoff from main highway, horseshoe bay area",Wilfred B. Schofield
Cryptogramma acrostichoides,76536,Cryptogramma acrostichoides,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,,Pteridaceae,Cryptogrammoideae,,Cryptogramma,acrostichoides,HOWE:5488,49.365467,-123.273667,R. Br.,2011-08-17,"Highway 99 scenic overlook, on west-facing rock outcrop immediately adjacent to interpretive pavilion on east side of highway.",Collector(s): Jordan Metzgar
Cryptogramma acrostichoides,76536,Cryptogramma acrostichoides,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,,Pteridaceae,Cryptogrammoideae,,Cryptogramma,acrostichoides,HOWE:5489,49.366667,-123.266667,R. Br.,1994-09-03,"Horseshoe Bay, above Highway 1 exit for Horseshoe Bay, near start of Baden Powell Trail",A.R. McCutcheon
Cryptogramma acrostichoides,76536,Cryptogramma acrostichoides,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,,Pteridaceae,Cryptogrammoideae,,Cryptogramma,acrostichoides,HOWE:5490,49.365478,-123.273567,R. Br.,2022-05-31,,Steve Ansell
Cryptogramma acrostichoides,76536,Cryptogramma acrostichoides,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,,Pteridaceae,Cryptogrammoideae,,Cryptogramma,acrostichoides,HOWE:5491,49.370056,-123.273996,R. Br.,2022-06-03,,Steve Ansell
Dactylis glomerata,52720,Dactylis glomerata,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Dactylis,glomerata,HOWE:5492,49.364645,-123.275817,L.,2020-06-25,,Liam Ragan
Dicentra formosa formosa,51049,Dicentra formosa ssp. formosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Papaveraceae,Fumarioideae,Corydaleae,Dicentra,formosa,HOWE:5493,49.370342,-123.275763,(Haw.) Walp.,2022-04-17,,Liam Ragan
Digitalis purpurea,53983,Digitalis purpurea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Digitalideae,Digitalis,purpurea,HOWE:5494,49.364495,-123.275863,L.,2020-06-25,,Liam Ragan
Erythranthe alsinoides,771843,Erythranthe alsinoides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Phrymaceae,,,Erythranthe,alsinoides,HOWE:5495,49.370685,-123.273277,(Benth.) G.L. Nesom & N.S. Fraga,2022-06-03,,Steve Ansell
Erythranthe alsinoides,771843,Erythranthe alsinoides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Phrymaceae,,,Erythranthe,alsinoides,HOWE:5496,49.363786,-123.265718,(Benth.) G.L. Nesom & N.S. Fraga,2018-04-26,,Steve Ansell
Erythranthe alsinoides,771843,Erythranthe alsinoides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Phrymaceae,,,Erythranthe,alsinoides,HOWE:5497,49.364696,-123.270508,(Benth.) G.L. Nesom & N.S. Fraga,2010-05-06,,Steve Ansell
Fragaria × ananassa cuneifolia,777063,Fragaria × ananassa ssp. cuneifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Potentilleae,Fragaria,,HOWE:5498,49.366375,-123.267671,(Nutt. ex Howell) Staudt,1949-07-24,"Near Vancouver, Horseshoe Bay",Vladimir J. Krajina
Fragaria × ananassa cuneifolia,777063,Fragaria × ananassa ssp. cuneifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Potentilleae,Fragaria,,HOWE:5499,49.366375,-123.267671,(Nutt. ex Howell) Staudt,1949-07-24,"Near Vancouver, Horseshoe Bay",Vladimir J. Krajina
Gaultheria shallon,48441,Gaultheria shallon,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Vaccinioideae,Gaultherieae,Gaultheria,shallon,HOWE:5500,49.366667,-123.266667,Pursh,1949-07-24,horseshoe bay near Vancouver,Vladimir J. Krajina
Goodyera oblongifolia,50719,Goodyera oblongifolia,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Orchidaceae,Orchidoideae,Cranichideae,Goodyera,oblongifolia,HOWE:5501,49.365787,-123.271809,Raf.,2021-08-28,,
Goodyera oblongifolia,50719,Goodyera oblongifolia,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Orchidaceae,Orchidoideae,Cranichideae,Goodyera,oblongifolia,HOWE:5502,49.36339,-123.265678,Raf.,2021-05-06,,smcd
Goodyera oblongifolia,50719,Goodyera oblongifolia,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Orchidaceae,Orchidoideae,Cranichideae,Goodyera,oblongifolia,HOWE:5503,49.364238,-123.268534,Raf.,2021-02-27,,tsonawa
Heuchera micrantha diversifolia,51344,Heuchera micrantha var. diversifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Saxifragaceae,,Heuchereae,Heuchera,micrantha,HOWE:5504,49.366667,-123.266667,Dougl.,1949-07-24,"horseshoe bay, w. Vancouver",Vladimir J. Krajina
Heuchera micrantha diversifolia,51344,Heuchera micrantha var. diversifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Saxifragaceae,,Heuchereae,Heuchera,micrantha,HOWE:5505,49.366667,-123.266667,Dougl.,1949-07-24,"horseshoe bay, w. Vancouver",Vladimir J. Krajina
Hieracium albiflorum,63937,Hieracium albiflorum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Hieracium,albiflorum,HOWE:5506,49.366667,-123.266667,Hook.,1963-06-04,"horseshoe bay, on highway",David L. Krause
Hieracium murorum,163793,Hieracium murorum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Hieracium,murorum,HOWE:5507,49.366667,-123.266667,L.,1989-06-01,near Highway 1 near Horseshoe Bay,Frank Lomer
Hypericum androsaemum,77480,Hypericum androsaemum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Hypericaceae,,Hypericeae,Hypericum,androsaemum,HOWE:5508,49.366667,-123.266667,L.,1991-08-03,horseshoe bay,Frank Lomer
Hypericum perforatum,56077,Hypericum perforatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Hypericaceae,,Hypericeae,Hypericum,perforatum,HOWE:5509,49.364513,-123.275863,L.,2020-06-25,,Liam Ragan
Kopsiopsis hookeri,77611,Kopsiopsis hookeri,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Orobanchaceae,,Orobancheae,Kopsiopsis,hookeri,HOWE:5510,49.369444,-123.269722,(Walp.) Govaerts,2001-06-05,"District of West Vancouver, Black Mountain trail, east of Horseshoe Bay",Frank Lomer
Kopsiopsis hookeri,77611,Kopsiopsis hookeri,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Orobanchaceae,,Orobancheae,Kopsiopsis,hookeri,HOWE:5511,49.365963,-123.264603,(Walp.) Govaerts,2022-05-21,,benrose
Lilium columbianum,77744,Lilium columbianum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,,Liliaceae,Lilioideae,Lilieae,Lilium,columbianum,HOWE:5512,49.365952,-123.264611,Leichtlin,2022-06-28,,anniebak
Linnaea borealis longiflora,81026,Linnaea borealis ssp. longiflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Linnaeoideae,,Linnaea,borealis,HOWE:5513,49.365235,-123.264905,L.,2022-06-28,,anniebak
Lunaria annua,55886,Lunaria annua,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Biscutelleae,Lunaria,annua,HOWE:5514,49.366667,-123.266667,L.,1931-05-23,Horseshoe Bay,"Groh, H."
Micranthes ferruginea,78024,Micranthes ferruginea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Saxifragaceae,,Micrantheae,Micranthes,ferruginea,HOWE:5515,49.366667,-123.266667,(Graham) Brouillet & Gornall,1946-04-13,horseshoe bay,Thomas M.C. Taylor
Monotropa uniflora,49477,Monotropa uniflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Monotropoideae,,Monotropa,uniflora,HOWE:5516,49.368008,-123.275047,L.,2020-08-09,,vandaman
Montia parvifolia,78123,Montia parvifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Montiaceae,,,Montia,parvifolia,HOWE:5517,49.365475,-123.273567,(Moc. ex DC.) Greene,2022-05-31,,Steve Ansell
Paxistima myrsinites,63893,Paxistima myrsinites,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Celastrales,,,,Celastraceae,,,Paxistima,myrsinites,HOWE:5518,49.366667,-123.266667,(Pursh.) Raf.,1946-04-13,Horsehoe Bay,Thomas M.C. Taylor
Paxistima myrsinites,63893,Paxistima myrsinites,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Celastrales,,,,Celastraceae,,,Paxistima,myrsinites,HOWE:5519,49.366667,-123.266667,(Pursh.) Raf.,1994-09-03,"horseshoe bay, above Highway 1 exit for horseshoe bay on rocky outcroping. near start of baden powell trail.",A.R. McCutcheon
Pentagramma triangularis triangularis,58767,Pentagramma triangularis ssp. triangularis,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,,Pteridaceae,Cheilanthoideae,,Pentagramma,triangularis,HOWE:5520,49.363361,-123.269451,"(Kaulf.) Yatskievych,Windham & Wollenweber",2020-08-30,,Steve Ansell
Platanthera aquilonis,131230,Platanthera aquilonis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Orchidaceae,Orchidoideae,Orchideae,Platanthera,aquilonis,HOWE:5521,49.367027,-123.275259,Sheviak,1995-07-16,"Cypress Mountain, Power Line Trail","Straley, Gerald B."
Polypodium glycyrrhiza,55104,Polypodium glycyrrhiza,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Polypodiineae,,,Polypodiaceae,Polypodioideae,,Polypodium,glycyrrhiza,HOWE:5522,49.364095,-123.26632,D.C. Eaton,2021-03-09,,Stephen Hui
Prunus laurocerasus,61432,Prunus laurocerasus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Amygdaleae,Prunus,laurocerasus,HOWE:5523,49.371099,-123.277067,L.,2021-09-08,,
Pyracantha coccinea,57254,Pyracantha coccinea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Pyracantha,coccinea,HOWE:5524,49.365,-123.273333,M. Roem.,1993-05-30,"West Vancouver, ca. 800 m southeast of Horseshoe Bay, 100 m east of Highway 99.",Frank Lomer
Rosa gymnocarpa gymnocarpa,81350,Rosa gymnocarpa var. gymnocarpa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Roseae,Rosa,gymnocarpa,HOWE:5525,49.366375,-123.267671,Nutt.,1956-08-11,"Northwest of West Vancouver, Horseshoe Bay",L. Jenkins
Rosa gymnocarpa gymnocarpa,81350,Rosa gymnocarpa var. gymnocarpa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Roseae,Rosa,gymnocarpa,HOWE:5526,49.366435,-123.264602,Nutt.,2021-05-06,,smcd
Rubus bifrons,168025,Rubus bifrons,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Rubeae,Rubus,,HOWE:5527,49.364483,-123.275887,Focke,2020-06-25,,Liam Ragan
Rubus parviflorus,51646,Rubus parviflorus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Rubeae,Rubus,parviflorus,HOWE:5528,49.364675,-123.275795,Nutt.,2020-06-25,,Liam Ragan
Rubus vestitus,55917,Rubus vestitus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Rubeae,Rubus,,HOWE:5529,49.366667,-123.266667,Weihe,1991-07-12,,Frank Lomer
Rumex obtusifolius,63371,Rumex obtusifolius,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Rumiceae,Rumex,obtusifolius,HOWE:5530,49.372025,-123.276527,L.,2022-03-16,,reaganleaves
Sedum album,1435254,Sedum album,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Sedeae,Sedum,album,HOWE:5531,49.36468,-123.275812,L.,2020-06-25,,Liam Ragan
Sedum album,1435254,Sedum album,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Sedeae,Sedum,album,HOWE:5532,49.371701,-123.27442,L.,2019-04-07,,Ben Keen
Sedum oreganum,79030,Sedum oreganum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Sedeae,Sedum,oreganum,HOWE:5533,49.370369,-123.273767,Nutt.,2022-06-03,,Steve Ansell
Selaginella wallacei,63875,Selaginella wallacei,Plantae,Tracheophyta,,,Lycopodiopsida,,,Selaginellales,,,,Selaginellaceae,,,Selaginella,wallacei,HOWE:5534,49.366667,-123.266667,Hieron,1994-09-03,"horseshoe bay, above Highway 1 exit for horseshoe bay on rocky outcroping. near start of baden powell trail.",A.R. McCutcheon
Symphoricarpos mollis,53456,Symphoricarpos mollis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Caprifolioideae,,Symphoricarpos,mollis,HOWE:5535,49.364219,-123.265922,Nutt.,2019-06-04,,Steve Ansell
Tiarella trifoliata trifoliata,51649,Tiarella trifoliata var. trifoliata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Saxifragaceae,,Heuchereae,Tiarella,trifoliata,HOWE:5536,49.366667,-123.266667,L.,1958-11-01,horseshoe bay,A. Jablanczy
Triteleia hyacinthina,57132,Triteleia hyacinthina,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Brodiaeoideae,,Triteleia,hyacinthina,HOWE:5537,49.366667,-123.266667,(Lindl.) Greene,1965-05-01,"West Vancouver, Horseshoe Bay",M.E.W. Frank
Typha angustifolia,60316,Typha angustifolia,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Typhaceae,,,Typha,angustifolia,HOWE:5538,49.366667,-123.266667,L.,1991-07-19,Horsehoe Bay,Frank Lomer
Vaccinium ovatum,48349,Vaccinium ovatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Vaccinioideae,Vaccinieae,Vaccinium,ovatum,HOWE:5539,49.365,-123.27,Pursh,2017-05-26,"District of West Vancouver, Horseshoe Bay, 270 m east of Highway 99, 1.2 km south of ferry dock",Frank Lomer
Vaccinium parvifolium,48354,Vaccinium parvifolium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Vaccinioideae,Vaccinieae,Vaccinium,parvifolium,HOWE:5540,49.366667,-123.266667,Sm.,1949-07-24,"Horsehoe Bay, near Vancouver",Vladimir J. Krajina
Vaccinium parvifolium,48354,Vaccinium parvifolium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Vaccinioideae,Vaccinieae,Vaccinium,parvifolium,HOWE:5541,49.366667,-123.266667,Sm.,1946-04-13,"horseshoe bay, Vancouver",Thomas M.C. Taylor
Vaccinium parvifolium,48354,Vaccinium parvifolium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Vaccinioideae,Vaccinieae,Vaccinium,parvifolium,HOWE:5542,49.366667,-123.266667,Sm.,1949-07-24,,Vladimir J. Krajina
Vaccinium parvifolium,48354,Vaccinium parvifolium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Vaccinioideae,Vaccinieae,Vaccinium,parvifolium,HOWE:5543,49.366667,-123.266667,Sm.,1946-04-13,,Thomas M. C. Taylor
Vaccinium parvifolium,48354,Vaccinium parvifolium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Vaccinioideae,Vaccinieae,Vaccinium,parvifolium,HOWE:5544,49.370474,-123.27548,Sm.,2021-07-18,,
Vinca minor,55844,Vinca minor,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Apocynaceae,Rauvolfioideae,Vinceae,Vinca,minor,HOWE:5545,49.366667,-123.266667,L.,1949-07-24,"horseshoe bay, Vancouver",Vladimir J. Krajina
Acer macrophyllum,48227,Acer macrophyllum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,macrophyllum,HOWE:5546,49.360367,-123.277397,Pursh,2021-10-31,,Stephen Hui
Aira caryophyllea,52694,Aira caryophyllea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Aira,caryophyllea,HOWE:5547,49.363236,-123.265353,L.,2022-05-29,,Nart Barileva
Anaphalis margaritacea,52833,Anaphalis margaritacea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Anaphalis,margaritacea,HOWE:5548,49.361472,-123.272889,(L.) Benth. & Hook.,2015-12-30,"Metro Vancouver, District of West Vancouver, Eagleridge Drive overpass, north end roundabout, between Highway 1 and Highway 99",Frank Lomer
Arbutus menziesii,51046,Arbutus menziesii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Arbutoideae,,Arbutus,menziesii,HOWE:5549,49.361343,-123.274422,Pursh,2022-06-06,,Jens-Christian Svenning
Arbutus menziesii,51046,Arbutus menziesii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Arbutoideae,,Arbutus,menziesii,HOWE:5550,49.363197,-123.267067,Pursh,2022-05-29,,Nart Barileva
Arbutus menziesii,51046,Arbutus menziesii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Arbutoideae,,Arbutus,menziesii,HOWE:5551,49.361343,-123.274422,Pursh,2022-06-06,,Jens-Christian Svenning
Arbutus menziesii,51046,Arbutus menziesii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Arbutoideae,,Arbutus,menziesii,HOWE:5552,49.363186,-123.267025,Pursh,2022-05-29,,Nart Barileva
Arctostaphylos × media,181436,Arctostaphylos × media,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Arbutoideae,,Arctostaphylos,,HOWE:5553,49.363275,-123.265205,Greene,2021-05-16,,pheavyside
