iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Author,Date observed,Place name,Recorded by
Vaccinium uliginosum,64714,Vaccinium uliginosum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Vaccinioideae,Vaccinieae,Vaccinium,uliginosum,HOWE:16,49.572778,-123.59,L.,2016-08-25,Dakota Bog (between Dakota Ridge & Mt Elphinstone),"Edinburgh, Howick Expedition to British Columbia (EHBC)"
Viburnum edule,79499,Viburnum edule,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Viburnaceae,,,Viburnum,edule,HOWE:17,49.572778,-123.59,(Michx.) Raf.,2016-08-25,Dakota Bog (between Dakota Ridge & Mt Elphinstone),"Edinburgh, Howick Expedition to British Columbia (EHBC)"
Caltha leptosepala,64445,Caltha leptosepala,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Caltheae,Caltha,leptosepala,HOWE:18,49.519007,-123.592908,DC.,2022-07-21,,pumakit
Cassiope mertensiana mertensiana,126554,Cassiope mertensiana ssp. mertensiana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Cassiopoideae,,Cassiope,mertensiana,HOWE:19,49.522082,-123.590377,(Bong.) D. Don,2021-07-01,,pumakit
Menyanthes trifoliata,78016,Menyanthes trifoliata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Menyanthaceae,,,Menyanthes,trifoliata,HOWE:20,49.521177,-123.591828,L.,2021-07-01,,pumakit
Phyllodoce empetriformis,78560,Phyllodoce empetriformis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Ericoideae,Phyllodoceae,Phyllodoce,empetriformis,HOWE:21,49.521213,-123.591503,(Sm.) D. Don,2021-07-03,,pumakit
Trillium ovatum ovatum,63972,Trillium ovatum var. ovatum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,,Melanthiaceae,,Parideae,Trillium,ovatum,HOWE:22,49.523859,-123.594711,Pursh,2021-04-23,,laurenbock
Veratrum viride eschscholtzianum,360545,Veratrum viride var. eschscholzianum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,,Melanthiaceae,,Melanthieae,Veratrum,viride,HOWE:23,49.520788,-123.592633,Aiton,2022-07-21,,pumakit
Veratrum viride eschscholtzianum,360545,Veratrum viride var. eschscholzianum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,,Melanthiaceae,,Melanthieae,Veratrum,viride,HOWE:24,49.520225,-123.592948,Aiton,2021-08-01,,pumakit
Abies amabilis,75240,Abies amabilis,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,,,Abies,amabilis,HOWE:25,49.498333,-123.578333,Douglas ex J. Forbes,2016-08-25,"Forest service road to Dakota Bog, Mt Elphinstone","Edinburgh, Howick Expedition to British Columbia (EHBC)"
