gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
657368061	7a25f7aa-03fb-4322-aaeb-66719e1a9527	1120723f-9405-462a-8478-d6322db252ff	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus boreas		SPECIES	Bufo boreas Baird & Girard, 1852	Bufo boreas		CA	British Colombia Bank Squamish River, 5 mi above Checkye	British Columbia	PRESENT	1	493fe050-055d-11d8-b84f-b8a03c50a862	49.834232	-123.225834	4038.0						1960-05-13T00:00:00	13	5	1960	5217057	2422924	PRESERVED_SPECIMEN	LACM	Herps	26083				CC0_1_0		J.C. Briggs		Native	2023-09-27T16:01:07.999Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
657368060	7a25f7aa-03fb-4322-aaeb-66719e1a9527	fd50d6eb-c145-4adc-9d0a-95b860bcaf3b	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus boreas		SPECIES	Bufo boreas Baird & Girard, 1852	Bufo boreas		CA	British Colombia Bank Squamish River, 5 mi above Checkye	British Columbia	PRESENT	1	493fe050-055d-11d8-b84f-b8a03c50a862	49.834232	-123.225834	4038.0						1960-05-13T00:00:00	13	5	1960	5217057	2422924	PRESERVED_SPECIMEN	LACM	Herps	26082				CC0_1_0		J.C. Briggs		Native	2023-09-27T16:02:26.716Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
657368059	7a25f7aa-03fb-4322-aaeb-66719e1a9527	291f6bd2-e8ef-417b-95f1-1881dd01ba43	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus boreas		SPECIES	Bufo boreas Baird & Girard, 1852	Bufo boreas		CA	British Colombia Bank Squamish River, 5 mi above Cheekye	British Columbia	PRESENT	1	493fe050-055d-11d8-b84f-b8a03c50a862	49.834232	-123.225834	4038.0						1960-05-13T00:00:00	13	5	1960	5217057	2422924	PRESERVED_SPECIMEN	LACM	Herps	26081				CC0_1_0		J.C. Briggs		Native	2023-09-27T16:02:03.582Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
657368058	7a25f7aa-03fb-4322-aaeb-66719e1a9527	ff83f889-fa9e-41fc-b49d-9731f4e211f2	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus boreas		SPECIES	Bufo boreas Baird & Girard, 1852	Bufo boreas		CA	British Colombia Bank Squamish River, 5 mi above Checkye	British Columbia	PRESENT	1	493fe050-055d-11d8-b84f-b8a03c50a862	49.834232	-123.225834	4038.0						1960-05-13T00:00:00	13	5	1960	5217057	2422924	PRESERVED_SPECIMEN	LACM	Herps	26080				CC0_1_0		J.C. Briggs		Native	2023-09-27T16:02:26.947Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
543708396	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:SUA:2637	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Aneides	Aneides vagrans		SPECIES	Aneides vagrans Wake & Jackman, 1999	Aneides vagrans		CA	Union Bay	British Columbia	PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	49.772102	-123.174558							1906-05-16T00:00:00	16	5	1906	2431710	2431710	PRESERVED_SPECIMEN	CAS	SUA	2637		J.V. Vindum	2013-01-03T00:00:00	CC0_1_0		J.O. Snyder and V. Burke			2023-11-06T00:09:32.074Z	StillImage	COORDINATE_ROUNDED
543708395	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:SUA:2636	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Aneides	Aneides vagrans		SPECIES	Aneides vagrans Wake & Jackman, 1999	Aneides vagrans		CA	Union Bay	British Columbia	PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	49.772102	-123.174558							1906-05-16T00:00:00	16	5	1906	2431710	2431710	PRESERVED_SPECIMEN	CAS	SUA	2636		J.V. Vindum	2013-01-03T00:00:00	CC0_1_0		J.O. Snyder and V. Burke			2023-11-06T00:09:32.049Z	StillImage	COORDINATE_ROUNDED
543708394	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:SUA:2635	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Aneides	Aneides vagrans		SPECIES	Aneides vagrans Wake & Jackman, 1999	Aneides vagrans		CA	Union Bay	British Columbia	PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	49.772102	-123.174558							1906-05-16T00:00:00	16	5	1906	2431710	2431710	PRESERVED_SPECIMEN	CAS	SUA	2635		J.V. Vindum	2013-01-03T00:00:00	CC0_1_0		J.O. Snyder and V. Burke			2023-11-06T00:09:32.047Z	StillImage	COORDINATE_ROUNDED
543708393	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:SUA:2634	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Aneides	Aneides vagrans		SPECIES	Aneides vagrans Wake & Jackman, 1999	Aneides vagrans		CA	Union Bay	British Columbia	PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	49.772102	-123.174558							1906-05-16T00:00:00	16	5	1906	2431710	2431710	PRESERVED_SPECIMEN	CAS	SUA	2634		J.V. Vindum	2013-01-03T00:00:00	CC0_1_0		J.O. Snyder and V. Burke			2023-11-06T00:09:32.071Z	StillImage	COORDINATE_ROUNDED
543708392	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:SUA:2633	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Aneides	Aneides vagrans		SPECIES	Aneides vagrans Wake & Jackman, 1999	Aneides vagrans		CA	Union Bay	British Columbia	PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	49.772102	-123.174558							1906-05-16T00:00:00	16	5	1906	2431710	2431710	PRESERVED_SPECIMEN	CAS	SUA	2633		J.V. Vindum	2013-01-03T00:00:00	CC0_1_0		J.O. Snyder and V. Burke			2023-11-06T00:09:32.071Z	StillImage	COORDINATE_ROUNDED
543708391	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:SUA:2632	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Aneides	Aneides vagrans		SPECIES	Aneides vagrans Wake & Jackman, 1999	Aneides vagrans		CA	Union Bay	British Columbia	PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	49.772102	-123.174558							1906-05-16T00:00:00	16	5	1906	2431710	2431710	PRESERVED_SPECIMEN	CAS	SUA	2632		J.V. Vindum	2013-01-03T00:00:00	CC0_1_0		J.O. Snyder and V. Burke			2023-11-06T00:09:32.081Z	StillImage	COORDINATE_ROUNDED
