id,parentId,iNaturalistTaxonName,commonName,rank,iNaturalistTaxonImage
48460,,Life,life,stateofmatter,https://inaturalist-open-data.s3.amazonaws.com/photos/347064198/medium.jpeg
1,48460,Animalia,Animals,kingdom,https://inaturalist-open-data.s3.amazonaws.com/photos/80678745/medium.jpg
2,1,Chordata,Chordates,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/80551845/medium.jpg
355675,2,Vertebrata,Vertebrates,subphylum,https://inaturalist-open-data.s3.amazonaws.com/photos/80551642/medium.jpg
20978,355675,Amphibia,Amphibians,class,https://static.inaturalist.org/photos/20797296/medium.jpg
26036,355675,Reptilia,Reptiles,class,https://static.inaturalist.org/photos/29214589/medium.jpg
40151,355675,Mammalia,Mammals,class,https://inaturalist-open-data.s3.amazonaws.com/photos/80551250/medium.jpg
20979,20978,Anura,Frogs and Toads,order,https://inaturalist-open-data.s3.amazonaws.com/photos/2261717/medium.jpg
26039,26036,Crocodylia,Crocodilians,order,https://static.inaturalist.org/photos/33292476/medium.jpg
26172,26036,Squamata,Snakes and Lizards,order,https://inaturalist-open-data.s3.amazonaws.com/photos/28516312/medium.jpeg
26718,20978,Caudata,Salamanders,order,https://inaturalist-open-data.s3.amazonaws.com/photos/126774452/medium.jpeg
39532,26036,Testudines,Turtles and Tortoises,order,https://static.inaturalist.org/photos/25646660/medium.jpeg
21359,20979,Bufonidae,True Toads,family,https://inaturalist-open-data.s3.amazonaws.com/photos/14443240/medium.jpg
23540,20979,Hylidae,Tree Frogs and Allies,family,https://static.inaturalist.org/photos/646307/medium.jpg
25473,20979,Ranidae,Typical Frogs,family,https://inaturalist-open-data.s3.amazonaws.com/photos/17781494/medium.jpeg
26041,26039,Crocodylidae,Crocodiles,family,https://inaturalist-open-data.s3.amazonaws.com/photos/8194566/medium.jpg
26720,26718,Ambystomatidae,Mole Salamanders,family,https://static.inaturalist.org/photos/20209480/medium.jpg
26909,26718,Plethodontidae,Lungless Salamanders,family,https://inaturalist-open-data.s3.amazonaws.com/photos/13031788/medium.jpg
27701,26718,Salamandridae,Newts,family,https://static.inaturalist.org/photos/100156624/medium.jpg
39680,39532,Chelydridae,Snapping Turtles,family,https://inaturalist-open-data.s3.amazonaws.com/photos/397483082/medium.jpg
39699,39532,Kinosternidae,American Mud and Musk Turtles,family,https://static.inaturalist.org/photos/174462071/medium.jpg
