iNaturalist taxon name,iNaturalist taxon ID,Taxon name,ambiguousNameMatch,nameStatus,Author,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Institution Code,First Place Name,First Catalogue Number,First observationId,First Date Reported,Last Reported By,Last Source,Last Institution Code,Last Place Name,Last Catalogue Number,Last observationId,Last Date Reported
Anaphalis margaritacea,52833,Anaphalis margaritacea,0,accepted,(L.) Benth. & Hook.,173,"{""HOWE:0"":[49.511,-123.6],""HOWE:53"":[49.484,-123.57],""HOWE:118"":[49.394,-123.53],""HOWE:119"":[49.394,-123.53],""HOWE:127"":[49.385,-123.53],""HOWE:162"":[49.403,-123.52],""HOWE:953"":[49.394,-123.47],""HOWE:954"":[49.394,-123.47],""HOWE:1342"":[49.403,-123.46],""HOWE:2214"":[49.403,-123.45],""HOWE:2215"":[49.403,-123.45],""HOWE:2362"":[49.394,-123.45],""HOWE:2609"":[49.457,-123.42],""HOWE:2640"":[49.367,-123.42],""HOWE:2833"":[49.349,-123.42],""HOWE:2834"":[49.349,-123.42],""HOWE:3124"":[49.484,-123.38],""HOWE:3239"":[49.395,-123.36],""HOWE:3333"":[49.341,-123.36],""HOWE:3366"":[49.449,-123.35],""HOWE:3429"":[49.395,-123.35],""HOWE:3430"":[49.395,-123.35],""HOWE:3431"":[49.395,-123.35],""HOWE:4018"":[49.341,-123.35],""HOWE:4346"":[49.377,-123.34],""HOWE:4347"":[49.377,-123.34],""HOWE:4723"":[49.377,-123.32],""HOWE:5367"":[49.377,-123.27],""HOWE:5545"":[49.359,-123.27],""HOWE:6634"":[49.332,-123.25],""HOWE:7476"":[49.557,-123.23],""HOWE:7477"":[49.557,-123.23],""HOWE:8031"":[49.485,-123.21],""HOWE:8032"":[49.485,-123.21],""HOWE:8092"":[49.404,-123.21],""HOWE:8093"":[49.404,-123.21],""HOWE:8094"":[49.404,-123.21],""HOWE:8095"":[49.404,-123.21],""HOWE:8096"":[49.404,-123.21],""HOWE:8097"":[49.404,-123.21],""HOWE:8098"":[49.404,-123.21],""HOWE:8099"":[49.404,-123.21],""HOWE:8100"":[49.404,-123.21],""HOWE:8101"":[49.404,-123.21],""HOWE:8102"":[49.404,-123.21],""HOWE:8507"":[49.395,-123.21],""HOWE:8508"":[49.395,-123.21],""HOWE:9152"":[49.44,-123.2],""HOWE:9187"":[49.413,-123.2],""HOWE:9277"":[49.404,-123.2],""HOWE:9278"":[49.404,-123.2],""HOWE:9279"":[49.404,-123.2],""HOWE:9280"":[49.404,-123.2],""HOWE:9281"":[49.404,-123.2],""HOWE:9549"":[49.395,-123.2],""HOWE:9550"":[49.395,-123.2],""HOWE:9551"":[49.395,-123.2],""HOWE:9552"":[49.395,-123.2],""HOWE:9553"":[49.395,-123.2],""HOWE:9554"":[49.395,-123.2],""HOWE:9555"":[49.395,-123.2],""HOWE:9556"":[49.395,-123.2],""HOWE:9557"":[49.395,-123.2],""HOWE:9558"":[49.395,-123.2],""HOWE:9559"":[49.395,-123.2],""HOWE:9560"":[49.395,-123.2],""HOWE:9561"":[49.395,-123.2],""HOWE:9562"":[49.395,-123.2],""HOWE:9563"":[49.395,-123.2],""HOWE:9564"":[49.395,-123.2],""HOWE:9565"":[49.395,-123.2],""HOWE:9566"":[49.395,-123.2],""HOWE:9567"":[49.395,-123.2],""HOWE:9568"":[49.395,-123.2],""HOWE:9569"":[49.395,-123.2],""HOWE:9570"":[49.395,-123.2],""HOWE:9571"":[49.395,-123.2],""HOWE:9572"":[49.395,-123.2],""HOWE:9573"":[49.395,-123.2],""HOWE:10352"":[50.007,-123.2],""HOWE:10470"":[49.476,-123.18],""HOWE:10537"":[49.377,-123.18],""HOWE:10538"":[49.377,-123.18],""HOWE:10849"":[49.908,-123.17],""HOWE:11018"":[49.701,-123.17],""HOWE:11019"":[49.701,-123.17],""HOWE:11070"":[49.692,-123.17],""HOWE:11071"":[49.692,-123.17],""HOWE:11072"":[49.692,-123.17],""HOWE:11073"":[49.692,-123.17],""HOWE:11162"":[49.962,-123.16],""HOWE:11222"":[49.908,-123.16],""HOWE:11321"":[49.791,-123.16],""HOWE:11373"":[49.755,-123.16],""HOWE:11670"":[49.701,-123.16],""HOWE:11671"":[49.701,-123.16],""HOWE:11672"":[49.701,-123.16],""HOWE:11673"":[49.701,-123.16],""HOWE:11937"":[49.692,-123.16],""HOWE:12109"":[49.674,-123.16],""HOWE:12110"":[49.674,-123.16],""HOWE:12111"":[49.674,-123.16],""HOWE:12452"":[49.818,-123.14],""HOWE:12508"":[49.782,-123.14],""HOWE:12509"":[49.782,-123.14],""HOWE:12570"":[49.773,-123.14],""HOWE:12711"":[49.737,-123.14],""HOWE:12818"":[49.71,-123.14],""HOWE:12989"":[49.701,-123.14],""HOWE:13107"":[49.683,-123.14],""HOWE:13108"":[49.683,-123.14],""HOWE:13109"":[49.683,-123.14],""HOWE:13110"":[49.683,-123.14],""HOWE:13111"":[49.683,-123.14],""HOWE:13112"":[49.683,-123.14],""HOWE:13431"":[49.971,-123.13],""HOWE:13432"":[49.971,-123.13],""HOWE:13433"":[49.971,-123.13],""HOWE:13824"":[49.755,-123.13],""HOWE:13825"":[49.755,-123.13],""HOWE:13826"":[49.755,-123.13],""HOWE:13827"":[49.755,-123.13],""HOWE:13828"":[49.755,-123.13],""HOWE:13868"":[49.746,-123.13],""HOWE:13929"":[49.737,-123.13],""HOWE:13930"":[49.737,-123.13],""HOWE:13931"":[49.737,-123.13],""HOWE:13976"":[49.728,-123.13],""HOWE:14107"":[49.71,-123.13],""HOWE:14289"":[49.683,-123.13],""HOWE:14310"":[49.674,-123.13],""HOWE:14391"":[49.665,-123.13],""HOWE:14392"":[49.665,-123.13],""HOWE:14521"":[49.791,-123.12],""HOWE:14522"":[49.791,-123.12],""HOWE:14943"":[49.737,-123.12],""HOWE:15190"":[49.791,-123.1],""HOWE:15261"":[49.773,-123.1],""HOWE:15357"":[49.737,-123.1],""HOWE:15358"":[49.737,-123.1],""HOWE:15480"":[49.71,-123.1],""HOWE:15667"":[49.791,-123.09],""HOWE:15681"":[49.755,-123.09],""HOWE:15691"":[49.737,-123.09],""HOWE:15692"":[49.737,-123.09],""HOWE:15786"":[49.71,-123.09],""HOWE:15937"":[49.647,-123.07],""HOWE:16145"":[49.737,-123.06],""HOWE:16252"":[49.944,-123.05],""HOWE:16253"":[49.944,-123.05],""HOWE:16254"":[49.944,-123.05],""HOWE:16395"":[49.764,-123.05],""HOWE:16396"":[49.764,-123.05],""HOWE:16397"":[49.764,-123.05],""HOWE:16398"":[49.764,-123.05],""HOWE:16455"":[49.755,-123.05],""HOWE:16456"":[49.755,-123.05],""HOWE:16457"":[49.755,-123.05],""HOWE:16458"":[49.755,-123.05],""HOWE:16459"":[49.755,-123.05],""HOWE:16499"":[49.746,-123.05],""HOWE:16865"":[49.935,-123.02],""HOWE:17153"":[49.926,-122.99],""HOWE:17187"":[49.863,-122.99],""HOWE:17242"":[49.809,-122.99],""HOWE:17261"":[49.926,-122.98],""HOWE:17372"":[49.809,-122.98],""HOWE:17429"":[49.827,-122.96],""HOWE:17442"":[49.917,-122.95],""HOWE:17443"":[49.917,-122.95],""HOWE:17529"":[49.755,-122.94],""HOWE:17596"":[49.746,-122.92],""HOWE:17600"":[49.737,-122.92]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Anaphalis,margaritacea,W. Cottle,HOWE,UBC,,V27384,HOWE:16865,1951-07-28T00:00:00.000Z,beccamelville,HOWE,iNaturalist,,138583153,HOWE:16396,2022-10-11T00:00:00.000Z
Chamaenerion angustifolium,564969,Chamaenerion angustifolium,0,accepted,(L.) Scop.,137,"{""HOWE:1"":[49.511,-123.6],""HOWE:2224"":[49.403,-123.45],""HOWE:2225"":[49.403,-123.45],""HOWE:3338"":[49.341,-123.36],""HOWE:4751"":[49.377,-123.32],""HOWE:7115"":[49.548,-123.24],""HOWE:7493"":[49.557,-123.23],""HOWE:7893"":[49.98,-123.21],""HOWE:7997"":[49.575,-123.21],""HOWE:8131"":[49.404,-123.21],""HOWE:8132"":[49.404,-123.21],""HOWE:8133"":[49.404,-123.21],""HOWE:8134"":[49.404,-123.21],""HOWE:8524"":[49.395,-123.21],""HOWE:8525"":[49.395,-123.21],""HOWE:8526"":[49.395,-123.21],""HOWE:8527"":[49.395,-123.21],""HOWE:8528"":[49.395,-123.21],""HOWE:8897"":[49.647,-123.2],""HOWE:9155"":[49.44,-123.2],""HOWE:9192"":[49.413,-123.2],""HOWE:9301"":[49.404,-123.2],""HOWE:9302"":[49.404,-123.2],""HOWE:9303"":[49.404,-123.2],""HOWE:9304"":[49.404,-123.2],""HOWE:9305"":[49.404,-123.2],""HOWE:9620"":[49.395,-123.2],""HOWE:9621"":[49.395,-123.2],""HOWE:9622"":[49.395,-123.2],""HOWE:9623"":[49.395,-123.2],""HOWE:9624"":[49.395,-123.2],""HOWE:9625"":[49.395,-123.2],""HOWE:9626"":[49.395,-123.2],""HOWE:9627"":[49.395,-123.2],""HOWE:9628"":[49.395,-123.2],""HOWE:9629"":[49.395,-123.2],""HOWE:9630"":[49.395,-123.2],""HOWE:9631"":[49.395,-123.2],""HOWE:9632"":[49.395,-123.2],""HOWE:9633"":[49.395,-123.2],""HOWE:9634"":[49.395,-123.2],""HOWE:9635"":[49.395,-123.2],""HOWE:9636"":[49.395,-123.2],""HOWE:9637"":[49.395,-123.2],""HOWE:9638"":[49.395,-123.2],""HOWE:9639"":[49.395,-123.2],""HOWE:9640"":[49.395,-123.2],""HOWE:9641"":[49.395,-123.2],""HOWE:9642"":[49.395,-123.2],""HOWE:9643"":[49.395,-123.2],""HOWE:9644"":[49.395,-123.2],""HOWE:9645"":[49.395,-123.2],""HOWE:9646"":[49.395,-123.2],""HOWE:9647"":[49.395,-123.2],""HOWE:9648"":[49.395,-123.2],""HOWE:9649"":[49.395,-123.2],""HOWE:9650"":[49.395,-123.2],""HOWE:9651"":[49.395,-123.2],""HOWE:9652"":[49.395,-123.2],""HOWE:10353"":[49.998,-123.19],""HOWE:10372"":[49.836,-123.19],""HOWE:10471"":[49.476,-123.18],""HOWE:10565"":[49.377,-123.18],""HOWE:10566"":[49.377,-123.18],""HOWE:10567"":[49.377,-123.18],""HOWE:10930"":[49.836,-123.17],""HOWE:11028"":[49.701,-123.17],""HOWE:11223"":[49.908,-123.16],""HOWE:11378"":[49.728,-123.16],""HOWE:11705"":[49.701,-123.16],""HOWE:11706"":[49.701,-123.16],""HOWE:11954"":[49.692,-123.16],""HOWE:11955"":[49.692,-123.16],""HOWE:11956"":[49.692,-123.16],""HOWE:12125"":[49.674,-123.16],""HOWE:12126"":[49.674,-123.16],""HOWE:12514"":[49.782,-123.14],""HOWE:12739"":[49.728,-123.14],""HOWE:12828"":[49.71,-123.14],""HOWE:12829"":[49.71,-123.14],""HOWE:13066"":[49.692,-123.14],""HOWE:13122"":[49.683,-123.14],""HOWE:13123"":[49.683,-123.14],""HOWE:13124"":[49.683,-123.14],""HOWE:13125"":[49.683,-123.14],""HOWE:13126"":[49.683,-123.14],""HOWE:13127"":[49.683,-123.14],""HOWE:13128"":[49.683,-123.14],""HOWE:13129"":[49.683,-123.14],""HOWE:13688"":[49.8,-123.13],""HOWE:13935"":[49.737,-123.13],""HOWE:14534"":[49.791,-123.12],""HOWE:14901"":[49.746,-123.12],""HOWE:14999"":[49.71,-123.12],""HOWE:15030"":[49.701,-123.12],""HOWE:15193"":[49.791,-123.1],""HOWE:15372"":[49.737,-123.1],""HOWE:15373"":[49.737,-123.1],""HOWE:15671"":[49.791,-123.09],""HOWE:15698"":[49.737,-123.09],""HOWE:15699"":[49.737,-123.09],""HOWE:15700"":[49.737,-123.09],""HOWE:15748"":[49.728,-123.09],""HOWE:15787"":[49.71,-123.09],""HOWE:15855"":[49.944,-123.08],""HOWE:15856"":[49.944,-123.08],""HOWE:16112"":[49.935,-123.06],""HOWE:16273"":[49.944,-123.05],""HOWE:16274"":[49.944,-123.05],""HOWE:16275"":[49.944,-123.05],""HOWE:16276"":[49.944,-123.05],""HOWE:16277"":[49.944,-123.05],""HOWE:16278"":[49.944,-123.05],""HOWE:16279"":[49.944,-123.05],""HOWE:16280"":[49.944,-123.05],""HOWE:16281"":[49.944,-123.05],""HOWE:16282"":[49.944,-123.05],""HOWE:16283"":[49.944,-123.05],""HOWE:16284"":[49.944,-123.05],""HOWE:16285"":[49.944,-123.05],""HOWE:16286"":[49.944,-123.05],""HOWE:16287"":[49.944,-123.05],""HOWE:16373"":[49.935,-123.05],""HOWE:16412"":[49.764,-123.05],""HOWE:16461"":[49.755,-123.05],""HOWE:16550"":[49.737,-123.05],""HOWE:16582"":[49.962,-123.03],""HOWE:16583"":[49.962,-123.03],""HOWE:16584"":[49.962,-123.03],""HOWE:16585"":[49.962,-123.03],""HOWE:16722"":[49.764,-123.03],""HOWE:16784"":[49.962,-123.02],""HOWE:17389"":[49.791,-122.98],""HOWE:17390"":[49.791,-122.98],""HOWE:17391"":[49.791,-122.98],""HOWE:17532"":[49.755,-122.94],""HOWE:17601"":[49.737,-122.92]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Chamaenerion,angustifolium,John Davidson,HOWE,UBC,,V63277,HOWE:16784,1912-08-14T00:00:00.000Z,adamrawski,HOWE,iNaturalist,,138192469,HOWE:10353,2022-10-09T00:00:00.000Z
Cornus unalaschkensis,1096279,Cornus unalaschkensis,0,accepted,Ledeb.,126,"{""HOWE:2"":[49.511,-123.6],""HOWE:114"":[49.448,-123.53],""HOWE:5085"":[49.476,-123.3],""HOWE:8004"":[49.521,-123.21],""HOWE:8149"":[49.404,-123.21],""HOWE:8150"":[49.404,-123.21],""HOWE:8151"":[49.404,-123.21],""HOWE:8152"":[49.404,-123.21],""HOWE:8153"":[49.404,-123.21],""HOWE:8154"":[49.404,-123.21],""HOWE:8155"":[49.404,-123.21],""HOWE:8156"":[49.404,-123.21],""HOWE:8157"":[49.404,-123.21],""HOWE:8158"":[49.404,-123.21],""HOWE:8159"":[49.404,-123.21],""HOWE:8160"":[49.404,-123.21],""HOWE:8161"":[49.404,-123.21],""HOWE:8162"":[49.404,-123.21],""HOWE:8163"":[49.404,-123.21],""HOWE:8534"":[49.395,-123.21],""HOWE:8535"":[49.395,-123.21],""HOWE:8536"":[49.395,-123.21],""HOWE:8537"":[49.395,-123.21],""HOWE:8538"":[49.395,-123.21],""HOWE:8899"":[49.647,-123.2],""HOWE:8900"":[49.647,-123.2],""HOWE:9330"":[49.404,-123.2],""HOWE:9331"":[49.404,-123.2],""HOWE:9332"":[49.404,-123.2],""HOWE:9333"":[49.404,-123.2],""HOWE:9334"":[49.404,-123.2],""HOWE:9335"":[49.404,-123.2],""HOWE:9336"":[49.404,-123.2],""HOWE:9337"":[49.404,-123.2],""HOWE:9683"":[49.395,-123.2],""HOWE:9684"":[49.395,-123.2],""HOWE:9685"":[49.395,-123.2],""HOWE:9686"":[49.395,-123.2],""HOWE:9687"":[49.395,-123.2],""HOWE:9688"":[49.395,-123.2],""HOWE:9689"":[49.395,-123.2],""HOWE:9690"":[49.395,-123.2],""HOWE:9691"":[49.395,-123.2],""HOWE:9692"":[49.395,-123.2],""HOWE:9693"":[49.395,-123.2],""HOWE:9694"":[49.395,-123.2],""HOWE:9695"":[49.395,-123.2],""HOWE:9696"":[49.395,-123.2],""HOWE:9697"":[49.395,-123.2],""HOWE:9698"":[49.395,-123.2],""HOWE:9699"":[49.395,-123.2],""HOWE:9700"":[49.395,-123.2],""HOWE:9701"":[49.395,-123.2],""HOWE:9702"":[49.395,-123.2],""HOWE:9703"":[49.395,-123.2],""HOWE:9704"":[49.395,-123.2],""HOWE:9705"":[49.395,-123.2],""HOWE:10383"":[49.836,-123.19],""HOWE:10384"":[49.836,-123.19],""HOWE:10385"":[49.836,-123.19],""HOWE:10585"":[49.377,-123.18],""HOWE:10586"":[49.377,-123.18],""HOWE:10587"":[49.377,-123.18],""HOWE:10588"":[49.377,-123.18],""HOWE:10589"":[49.377,-123.18],""HOWE:10590"":[49.377,-123.18],""HOWE:10591"":[49.377,-123.18],""HOWE:10592"":[49.377,-123.18],""HOWE:10593"":[49.377,-123.18],""HOWE:10594"":[49.377,-123.18],""HOWE:10595"":[49.377,-123.18],""HOWE:10596"":[49.377,-123.18],""HOWE:10597"":[49.377,-123.18],""HOWE:10598"":[49.377,-123.18],""HOWE:10599"":[49.377,-123.18],""HOWE:10821"":[49.368,-123.18],""HOWE:11714"":[49.701,-123.16],""HOWE:11715"":[49.701,-123.16],""HOWE:11959"":[49.692,-123.16],""HOWE:12314"":[49.98,-123.14],""HOWE:12526"":[49.782,-123.14],""HOWE:12527"":[49.782,-123.14],""HOWE:12528"":[49.782,-123.14],""HOWE:12592"":[49.773,-123.14],""HOWE:12593"":[49.773,-123.14],""HOWE:13436"":[49.971,-123.13],""HOWE:13656"":[49.809,-123.13],""HOWE:13692"":[49.8,-123.13],""HOWE:13882"":[49.746,-123.13],""HOWE:14315"":[49.674,-123.13],""HOWE:14316"":[49.674,-123.13],""HOWE:14395"":[49.665,-123.13],""HOWE:14396"":[49.665,-123.13],""HOWE:14397"":[49.665,-123.13],""HOWE:14398"":[49.665,-123.13],""HOWE:14548"":[49.791,-123.12],""HOWE:14549"":[49.791,-123.12],""HOWE:14693"":[49.782,-123.12],""HOWE:14694"":[49.782,-123.12],""HOWE:14695"":[49.782,-123.12],""HOWE:14895"":[49.755,-123.12],""HOWE:15057"":[49.692,-123.12],""HOWE:15091"":[49.962,-123.1],""HOWE:15114"":[49.953,-123.1],""HOWE:15115"":[49.953,-123.1],""HOWE:15116"":[49.953,-123.1],""HOWE:15177"":[49.809,-123.1],""HOWE:15201"":[49.791,-123.1],""HOWE:15235"":[49.782,-123.1],""HOWE:15271"":[49.773,-123.1],""HOWE:15272"":[49.773,-123.1],""HOWE:15491"":[49.71,-123.1],""HOWE:15492"":[49.71,-123.1],""HOWE:15519"":[49.701,-123.1],""HOWE:15520"":[49.701,-123.1],""HOWE:15567"":[49.953,-123.09],""HOWE:15638"":[49.944,-123.09],""HOWE:15639"":[49.944,-123.09],""HOWE:15640"":[49.944,-123.09],""HOWE:15701"":[49.737,-123.09],""HOWE:16553"":[49.719,-123.05],""HOWE:16759"":[49.755,-123.03],""HOWE:17535"":[49.755,-122.94],""HOWE:17536"":[49.755,-122.94],""HOWE:17585"":[49.764,-122.92],""HOWE:17588"":[49.755,-122.92]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Cornales,,,,Cornaceae,,,Cornus,unalaschkensis,"Straley, Gerald",HOWE,USCH,,,HOWE:9704,1995-07-16T00:00:00.000Z,aidz0597,HOWE,iNaturalist,,139018356,HOWE:8535,2022-10-16T00:00:00.000Z
Mycelis muralis,48543,Mycelis muralis,0,accepted,(L.) Dumort.,108,"{""HOWE:3"":[49.511,-123.6],""HOWE:686"":[49.385,-123.49],""HOWE:1032"":[49.394,-123.47],""HOWE:1220"":[49.412,-123.46],""HOWE:1221"":[49.412,-123.46],""HOWE:1222"":[49.412,-123.46],""HOWE:1223"":[49.412,-123.46],""HOWE:1224"":[49.412,-123.46],""HOWE:1515"":[49.403,-123.46],""HOWE:1516"":[49.403,-123.46],""HOWE:2011"":[49.394,-123.46],""HOWE:2188"":[49.412,-123.45],""HOWE:2189"":[49.412,-123.45],""HOWE:2912"":[49.34,-123.42],""HOWE:2913"":[49.34,-123.42],""HOWE:3107"":[49.35,-123.39],""HOWE:3362"":[49.476,-123.35],""HOWE:3377"":[49.44,-123.36],""HOWE:3602"":[49.395,-123.35],""HOWE:3603"":[49.395,-123.35],""HOWE:3960"":[49.368,-123.35],""HOWE:3961"":[49.368,-123.35],""HOWE:3962"":[49.368,-123.35],""HOWE:4232"":[49.386,-123.34],""HOWE:4625"":[49.395,-123.32],""HOWE:4626"":[49.395,-123.32],""HOWE:4823"":[49.377,-123.32],""HOWE:5088"":[49.458,-123.3],""HOWE:5198"":[49.377,-123.28],""HOWE:5199"":[49.377,-123.28],""HOWE:5200"":[49.377,-123.28],""HOWE:5764"":[49.341,-123.27],""HOWE:5765"":[49.341,-123.27],""HOWE:5766"":[49.341,-123.27],""HOWE:5767"":[49.341,-123.27],""HOWE:5768"":[49.341,-123.27],""HOWE:5769"":[49.341,-123.27],""HOWE:5770"":[49.341,-123.27],""HOWE:6065"":[49.332,-123.27],""HOWE:6066"":[49.332,-123.27],""HOWE:6067"":[49.332,-123.27],""HOWE:6197"":[49.386,-123.25],""HOWE:6232"":[49.377,-123.25],""HOWE:6233"":[49.377,-123.25],""HOWE:6302"":[49.368,-123.25],""HOWE:6345"":[49.359,-123.25],""HOWE:6485"":[49.341,-123.25],""HOWE:6486"":[49.341,-123.25],""HOWE:6487"":[49.341,-123.25],""HOWE:6488"":[49.341,-123.25],""HOWE:6489"":[49.341,-123.25],""HOWE:6490"":[49.341,-123.25],""HOWE:6854"":[49.332,-123.25],""HOWE:6855"":[49.332,-123.25],""HOWE:6856"":[49.332,-123.25],""HOWE:6857"":[49.332,-123.25],""HOWE:7266"":[49.476,-123.24],""HOWE:7267"":[49.476,-123.24],""HOWE:7552"":[49.557,-123.23],""HOWE:7553"":[49.557,-123.23],""HOWE:7554"":[49.557,-123.23],""HOWE:7946"":[49.836,-123.21],""HOWE:7988"":[49.584,-123.21],""HOWE:8269"":[49.404,-123.21],""HOWE:8822"":[49.836,-123.2],""HOWE:8957"":[49.647,-123.2],""HOWE:8958"":[49.647,-123.2],""HOWE:9390"":[49.404,-123.2],""HOWE:9391"":[49.404,-123.2],""HOWE:10681"":[49.377,-123.18],""HOWE:10682"":[49.377,-123.18],""HOWE:11544"":[49.71,-123.16],""HOWE:11803"":[49.701,-123.16],""HOWE:11976"":[49.692,-123.16],""HOWE:12061"":[49.683,-123.16],""HOWE:12173"":[49.674,-123.16],""HOWE:12174"":[49.674,-123.16],""HOWE:12175"":[49.674,-123.16],""HOWE:12176"":[49.674,-123.16],""HOWE:12177"":[49.674,-123.16],""HOWE:12178"":[49.674,-123.16],""HOWE:12179"":[49.674,-123.16],""HOWE:13331"":[49.674,-123.14],""HOWE:13332"":[49.674,-123.14],""HOWE:13600"":[49.818,-123.13],""HOWE:13709"":[49.8,-123.13],""HOWE:13749"":[49.791,-123.13],""HOWE:13946"":[49.737,-123.13],""HOWE:14089"":[49.719,-123.13],""HOWE:14515"":[49.8,-123.12],""HOWE:14600"":[49.791,-123.12],""HOWE:14752"":[49.782,-123.12],""HOWE:14753"":[49.782,-123.12],""HOWE:14754"":[49.782,-123.12],""HOWE:14755"":[49.782,-123.12],""HOWE:14868"":[49.773,-123.12],""HOWE:14869"":[49.773,-123.12],""HOWE:14958"":[49.737,-123.12],""HOWE:15016"":[49.71,-123.12],""HOWE:15040"":[49.701,-123.12],""HOWE:15129"":[49.953,-123.1],""HOWE:15130"":[49.953,-123.1],""HOWE:15131"":[49.953,-123.1],""HOWE:15173"":[49.818,-123.1],""HOWE:15409"":[49.737,-123.1],""HOWE:15457"":[49.728,-123.1],""HOWE:15527"":[49.701,-123.1],""HOWE:16526"":[49.746,-123.05]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Mycelis,muralis,Pat Warrington,HOWE,University of Lethbridge,,,HOWE:7946,1967-10-06T00:00:00.000Z,Guerric Haché,HOWE,iNaturalist,,143111601,HOWE:5765,2022-11-26T00:00:00.000Z
Nephrophyllidium crista-galli,340457,Nephrophyllidium crista-galli,0,accepted,(Menzies ex Hook.) Gilg,86,"{""HOWE:4"":[49.511,-123.6],""HOWE:40"":[49.493,-123.57],""HOWE:7315"":[49.386,-123.24],""HOWE:7316"":[49.386,-123.24],""HOWE:8273"":[49.404,-123.21],""HOWE:8274"":[49.404,-123.21],""HOWE:8275"":[49.404,-123.21],""HOWE:8276"":[49.404,-123.21],""HOWE:8277"":[49.404,-123.21],""HOWE:8278"":[49.404,-123.21],""HOWE:8279"":[49.404,-123.21],""HOWE:8280"":[49.404,-123.21],""HOWE:8281"":[49.404,-123.21],""HOWE:8282"":[49.404,-123.21],""HOWE:8283"":[49.404,-123.21],""HOWE:8284"":[49.404,-123.21],""HOWE:8285"":[49.404,-123.21],""HOWE:8286"":[49.404,-123.21],""HOWE:8287"":[49.404,-123.21],""HOWE:8288"":[49.404,-123.21],""HOWE:8289"":[49.404,-123.21],""HOWE:8290"":[49.404,-123.21],""HOWE:8291"":[49.404,-123.21],""HOWE:8292"":[49.404,-123.21],""HOWE:8293"":[49.404,-123.21],""HOWE:8294"":[49.404,-123.21],""HOWE:8295"":[49.404,-123.21],""HOWE:8296"":[49.404,-123.21],""HOWE:8297"":[49.404,-123.21],""HOWE:8298"":[49.404,-123.21],""HOWE:8299"":[49.404,-123.21],""HOWE:8300"":[49.404,-123.21],""HOWE:8615"":[49.395,-123.21],""HOWE:8616"":[49.395,-123.21],""HOWE:8617"":[49.395,-123.21],""HOWE:8618"":[49.395,-123.21],""HOWE:8619"":[49.395,-123.21],""HOWE:8620"":[49.395,-123.21],""HOWE:8621"":[49.395,-123.21],""HOWE:8622"":[49.395,-123.21],""HOWE:8623"":[49.395,-123.21],""HOWE:8624"":[49.395,-123.21],""HOWE:9088"":[49.494,-123.2],""HOWE:9159"":[49.44,-123.2],""HOWE:9393"":[49.404,-123.2],""HOWE:9394"":[49.404,-123.2],""HOWE:9916"":[49.395,-123.2],""HOWE:9917"":[49.395,-123.2],""HOWE:9918"":[49.395,-123.2],""HOWE:9919"":[49.395,-123.2],""HOWE:9920"":[49.395,-123.2],""HOWE:9921"":[49.395,-123.2],""HOWE:9922"":[49.395,-123.2],""HOWE:9923"":[49.395,-123.2],""HOWE:9924"":[49.395,-123.2],""HOWE:9925"":[49.395,-123.2],""HOWE:9926"":[49.395,-123.2],""HOWE:9927"":[49.395,-123.2],""HOWE:9928"":[49.395,-123.2],""HOWE:9929"":[49.395,-123.2],""HOWE:9930"":[49.395,-123.2],""HOWE:9931"":[49.395,-123.2],""HOWE:9932"":[49.395,-123.2],""HOWE:9933"":[49.395,-123.2],""HOWE:9934"":[49.395,-123.2],""HOWE:9935"":[49.395,-123.2],""HOWE:9936"":[49.395,-123.2],""HOWE:9937"":[49.395,-123.2],""HOWE:9938"":[49.395,-123.2],""HOWE:9939"":[49.395,-123.2],""HOWE:9940"":[49.395,-123.2],""HOWE:9941"":[49.395,-123.2],""HOWE:9942"":[49.395,-123.2],""HOWE:9943"":[49.395,-123.2],""HOWE:9944"":[49.395,-123.2],""HOWE:9945"":[49.395,-123.2],""HOWE:9946"":[49.395,-123.2],""HOWE:9947"":[49.395,-123.2],""HOWE:9948"":[49.395,-123.2],""HOWE:10333"":[49.386,-123.2],""HOWE:10511"":[49.395,-123.18],""HOWE:10684"":[49.377,-123.18],""HOWE:10685"":[49.377,-123.18],""HOWE:10686"":[49.377,-123.18],""HOWE:10687"":[49.377,-123.18],""HOWE:10688"":[49.377,-123.18]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Menyanthaceae,,,Nephrophyllidium,crista-galli,"Straley, Gerald",HOWE,NCU,,NCU00031508,HOWE:7315,1996-08-11T00:00:00.000Z,FreckLes,HOWE,iNaturalist,,139300048,HOWE:9921,2022-10-18T00:00:00.000Z
