taxonName,originalName
BOLD:AAD7355,BOLD:AAD7355
BOLD:ACE8406,BOLD:ACE8406
BOLD:AAF1239,BOLD:AAF1239
BOLD:AAA9165,BOLD:AAA9165
BOLD:AAF2573,BOLD:AAF2573
BOLD:AAF2673,BOLD:AAF2673
BOLD:ABZ5727,BOLD:ABZ5727
BOLD:ACA9380,BOLD:ACA9380
,
BOLD:AAD3817,BOLD:AAD3817
BOLD:AAD8303,BOLD:AAD8303
BOLD:AAA3325,BOLD:AAA3325
Microtus pennsylvanicus funebris,Microtus pennsylvanicus funebris
Sorex vagrans vancouverensis,Sorex vagrans vancouverensis
Peromyscus maniculatus hollisteri,Peromyscus maniculatus hollisteri
Tamiasciurus hudsonicus vancouverensis,Tamiasciurus hudsonicus vancouverensis
Castor canadensis leucodontus,Castor canadensis leucodontus
Peromyscus maniculatus angustus,Peromyscus maniculatus angustus
Microtus townsendii tetramerus,Microtus townsendii tetramerus
Myotis yumanensis saturatus,Myotis yumanensis saturatus
Peromyscus maniculatus georgiensis,Peromyscus maniculatus georgiensis
Sorex monticola setosus,Sorex monticola setosus
Microtus townsendii cummingi,Microtus townsendii cummingi
Sorex monticola mixtus,Sorex monticola mixtus
Sorex monticola isolatus,Sorex monticola isolatus
Myotis volans longicrus,Myotis volans longicrus
Peromyscus maniculatus oreas,Peromyscus maniculatus oreas
Phenacomys intermedius intermedius,Phenacomys intermedius intermedius
Peromyscus maniculatus saturatus,Peromyscus maniculatus saturatus
Tamiasciurus douglasii cascadensis,Tamiasciurus douglasii cascadensis
Lontra canadensis vancouverensis,Lontra canadensis vancouverensis
Sorex palustris navigator,Sorex palustris navigator
Myotis lucifugus alascensis,Myotis lucifugus alascensis
Peromyscus maniculatus austerus,Peromyscus maniculatus austerus
Tamias amoenus felix,Tamias amoenus felix
Ochotona princeps brunnescens,Ochotona princeps brunnescens
Microtus longicaudus macrurus,Microtus longicaudus macrurus
Martes americana vancouverensis,Martes americana vancouverensis
Neurotrichus gibbsii minor,Neurotrichus gibbsii minor
Sorex trowbridgii trowbridgii,Sorex trowbridgii trowbridgii
Microtus townsendii townsendii,Microtus townsendii townsendii
Tamias amoenus ludibundus,Tamias amoenus ludibundus
Neovison vison evagor,Neovison vison evagor
Glaucomys sabrinus fuliginosus,Glaucomys sabrinus fuliginosus
Peromyscus maniculatus isolatus,Peromyscus maniculatus isolatus
Peromyscus maniculatus rubriventor,Peromyscus maniculatus rubriventor
Peromyscus keeni oreas,Peromyscus keeni oreas
Tamias townsendii townsendii,Tamias townsendii townsendii
"Peromyscus maniculatus saturatus Bangs, 1897","Peromyscus maniculatus saturatus Bangs, 1897"
Eutamias amoenus felix,Eutamias amoenus felix
"Sorex monticolus obscurus Merriam, 1891","Sorex monticolus obscurus Merriam, 1891"
Peromyscus maniculatus artemisiae,Peromyscus maniculatus artemisiae
Eutamias townsendii townsendii,Eutamias townsendii townsendii
Microtus townsendi,Microtus townsendi
"Mustela vison energumenos (Bangs, 1896)","Mustela vison energumenos (Bangs, 1896)"
Neotoma cinera occidentalis,Neotoma cinera occidentalis
Microtus serpens,Microtus serpens
Microtus richardsoni arvicoloides,Microtus richardsoni arvicoloides
Lepus washingtoni,Lepus washingtoni
Lutra canadensis canadensis,Lutra canadensis canadensis
Castor canadensis leucodonta,Castor canadensis leucodonta
