Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Critical Notes
Anthopleura artemisia,"(Pickering in Dana, 1846)",,burrowing anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,Anthopleura,native,unlisted,confirmed,observed,1996-09-29,Charlie Gibbs,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976378,,51658,
Anthopleura elegantissima,"(Brandt, 1835)",,pink-tipped anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,Anthopleura,native,unlisted,confirmed,observed,1985-12-07,Andy Lamb,PMLS,,,2013-10-13,Bridget Spencer,http://www.inaturalist.org/observations/2580645,,52564,
Cribrinopsis fernaldi,"Siebert & Spaulding, 1976",,snakelock anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,Cribrinopsis,native,unlisted,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,,,,,,465158,
Cribrinopsis rubens,"Sanamyan, Sanamyan, McDaniel, Martynov, Korshunova & Bocharova, 2019",,crimson anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,Cribrinopsis,native,unlisted,reported,unobserved,2006-11-11,Andy Lamb,PMLS,,,,,,,936577,
Epiactis lisbethae,"Fautin & Chia, 1986",,brooding anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,Epiactis,native,unlisted,reported,unobserved,1999-07-31,Charlie Gibbs,PMLS,,,,,,,429853,
Epiactis prolifera,"Verrill, 1869",,proliferating anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,Epiactis,native,unlisted,reported,unobserved,1973-09-20,Andy Lamb,PMLS,,,,,,,49060,
Urticina clandestina,"N. Sanamyan, K. Sanamyan & McDaniel, 2013",,stubby rose anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,Urticina,native,unlisted,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763403,,898651,
Urticina grebelnyi,"Sanamyan & Sanamyan, 2006",,painted anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,Urticina,native,unlisted,confirmed,observed,1986-09-30,,RBCM,986-00197-009,1898310442,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2975837,,492672,Reported as Urticina crassicornis in collections at the RBCM (986-00197-009). This European species concept is commonly misapplied to U. grebelnyi. See Sanamyan and Sanamyan 2006.
Stomphia coccinea,"(Müller, 1776)",,spotted swimming anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinostoloidea,Actinostolidae,,Stomphia,native,unlisted,reported,unobserved,2008-04-27,Andy Lamb,PMLS,,,,,,,459981,
Stomphia didemon,"Siebert, 1973",,swimming anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinostoloidea,Actinostolidae,,Stomphia,native,unlisted,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,,,,,,501276,
