Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Critical Notes
Panomya ampla,"Dall, 1898",,ample roughmya,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Adapedonta,,Hiatelloidea,Hiatellidae,,Panomya,native,unlisted,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00316,1898318849,,,,,865774,
Panopea generosa,"Gould, 1850",,Pacific geoduck,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Adapedonta,,Hiatelloidea,Hiatellidae,,Panopea,native,unlisted,confirmed,observed,1994-10-23,Andy Lamb,PMLS,,,2019-05-04,Isabelle Côte,https://www.inaturalist.org/observations/24792030,,117618,
Solen sicarius,"Gould, 1850",,sickle jackknife-clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Adapedonta,,Solenoidea,Solenidae,,Solen,native,unlisted,reported,unobserved,2007-12-09,Andy Lamb,PMLS,,,,,,,54529,
Glycymeris septentrionalis,"(Middendorff, 1849)",,western bittersweet,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Arcida,,Arcoidea,Glycymerididae,,Glycymeris,native,unlisted,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00294,1898292826,,,,,479438,"Accessioned in collections at the RBCM as Glycymeris subobsoleta, an unaccepted synonym (WoRMS Editorial Board 2021)."
Ciliatocardium ciliatum,"(Fabricius, 1780)",,hairy cockle,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Cardioidea,Cardiidae,Clinocardiinae,Ciliatocardium,native,unlisted,reported,unobserved,2008-10-10,Andy Lamb,PMLS,,,,,,,940646,"Reported as Clinocardium ciliatum, an unaccepted synonym (WoRMS Editorial Board 2021)."
Clinocardium nuttallii,"(Conrad, 1837)",,Nuttall's cockle,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Cardioidea,Cardiidae,Clinocardiinae,Clinocardium,native,unlisted,confirmed,observed,1995-02-23,Charlie Gibbs,PMLS,,,2009-07-08,Shera Street,http://www.inaturalist.org/observations/2635143,,69925,
Keenaea centifilosa,"(Carpenter, 1864)",,cockle,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Cardioidea,Cardiidae,,Keenaea,native,unlisted,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00327,1898273217,,,,Reported as Nemocardium centifilosum (RBCM 979-00327),962184,
Keenocardium blandum,"(Gould, 1850)",,,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Cardioidea,Cardiidae,Clinocardiinae,Keenocardium,native,unlisted,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-017,1898304642,,,,,940598,
Gari californica,"(Conrad, 1849)",,California sunsetclam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Psammobiidae,,Gari,native,unlisted,reported,unobserved,2005-12-10,Andy Lamb,PMLS,,,,,,,354323,
Nuttallia obscurata,"(Reeve, 1857)",,purple mahogany clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Psammobiidae,,Nuttallia,non-native,unlisted,new 2016,observed,,,,,,2016-08-21,Tyrel Froese,http://www.inaturalist.org/observations/4005286,,430211,
