Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Critical Notes
Terebratalia transversa,"(Sowerby, 1846)",,transverse lamp shell,Animalia,Brachiopoda,Rhychonelliformea,,Rhynchonellata,,,Terebratulida,Terebratellidina,Laqueoidea,Terebrataliidae,Terebrataliinae,Terebratalia,native,unlisted,reported,unobserved,1981-05-31,Andy Lamb,PMLS,,,,,,,122157,
Bugulina californica,"(Robertson, 1905)",,spiral bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,Bugulina,native,unlisted,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,,2017-05-26,Karolle Wall,https://www.inaturalist.org/observations/7674532,,551808,
Caulibugula californica,"Robertson, 1905",,parasol bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,Caulibugula,native,unlisted,reported,unobserved,2007-12-15,Andy Lamb,PMLS,,,,,,,802658,
Dendrobeania lichenoides,"(Robertson, 1900)",,leaf crust bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,Dendrobeania,native,unlisted,reported,unobserved,1985-07-29,Andy Lamb,PMLS,,,,,,,339213,
Dendrobeania murrayana,"(Bean in Johnston, 1847)",,fan bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,Dendrobeania,native,unlisted,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,205170,
Cellaria diffusa,"Robertson, 1905",,spindly rabbit-ear bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Cellarioidea,Cellariidae,,Cellaria,native,unlisted,reported,unobserved,1995-02-24,Charlie Gibbs,PMLS,,,,,,,196077,
Celleporina robertsoniae,"(Canu & Bassler, 1923)",,rusty bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Celleporoidea,Celleporidae,,Celleporina,native,unlisted,reported,unobserved,1997-04-15,Donna Gibbs,PMLS,,,,,,misspelled Celleprina robertsoni,485340,
Membranipora villosa,"Hincks, 1880",,kelp-encrusting bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Malacostegina,Membraniporoidea,Membraniporidae,,Membranipora,native,unlisted,confirmed,observed,1993-08-16,Andy Lamb,PMLS,,,2019-08-04,Andrew Simon,https://www.inaturalist.org/observations/30217323,reported as Membranipora serrilamella (synonymous),360867,
Primavelans insculpta,"(Hincks, 1883)",,fluted bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Schizoporelloidea,Pacificincolidae,,Primavelans,native,unlisted,reported,unobserved,1995-02-26,Charlie Gibbs,PMLS,,,,,,reported as Hippodiplosia insculpta,429861,
Phidolopora pacifica,"(Robertson, 1908)",,lattice-work bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Celleporoidea,Phidoloporidae,,Phidolopora,native,unlisted,reported,unobserved,1985-12-07,Andy Lamb,PMLS,,,,,,,51796,
