Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Critical Notes
Bathydrilus litoreus,"Baker, 1983",,naidid worm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,Tubificina,,Naididae,Phallodrilinae ,Bathydrilus,native,unlisted,reported,unobserved,1979-07-05,Randy Baker,RBCM,991-00598-001,1898264423,,,,,957359,
Limnodriloides victoriensis,"Brinkhurst & Baker, 1979",,naidid worm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,Tubificina,,Naididae,Limnodriloidinae,Limnodriloides,native,unlisted,reported,unobserved,1979-07-05,Randy Baker,RBCM,991-00719-004,1898267514,,,,,957352,
Phyllochaetopterus prolifica,"Potts, 1914",,prolific three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,Phyllochaetopterus,native,unlisted,reported,unobserved,2006-11-11,Andy Lamb,PMLS,,,,,,,467241,
Phyllochaetopterus sp.,,,three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,Phyllochaetopterus,,,reported,unobserved,2007-10-14,Andy Lamb,PMLS,,,,,,misspelled Phyllochaeopterus claparedii,374226,
Diopatra ornata,"Moore, 1911",,ornate tubeworm,Animalia,Annelida,,,Polychaeta,Errantia,,Eunicida,,,Onuphidae,Onuphinae,Diopatra,native,unlisted,confirmed,observed,1999-10-02,Andy Lamb,PMLS,,,2020-06-07,Jennifer Grant,https://www.inaturalist.org/observations/49172988,,339286,
Aphrodita negligens,"Moore, 1905",,sea mouse,Animalia,Annelida,,,Polychaeta,Errantia ,,Phyllodocida,Aphroditiformia ,,Aphroditidae,,Aphrodita,native,unlisted,reported,unobserved,1914-06-26,,RBCM,974-00265-001,1898322906,,,,,733687,Described from Japan; may not be present in the NEP.
Oxydromus pugettensis,"(Johnson, 1901)",,bat star commensal worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Hesionidae,Ophiodrominae,Oxydromus,native,unlisted,confirmed,observed,2006-06-23,Andy Lamb,PMLS,,,2018-08-10,Karolle Wall,https://www.inaturalist.org/observations/15702535,,494514,
Alitta williami,"Villalobos-Guerrero & Bakken, 2018",,giant piling sea-nymph worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,Alitta,native,unlisted,new 2017,observed,,,,,,2017-04-17,Kristian Sigvardsen,https://inaturalist.ca/observations/5796200,,1115984,
Nereis cf zonata,,,ragworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,Nereis,,,reported,unobserved,1986-09-30,,RBCM,986-00197-016,1898310721,,,,,347330,"Specimens from the NEP are likely to be mis-identified as this name is a holdover from when European literature dominated polychaete systematics. Northern European specimens have a distinct color pattern similar to our Cheilonereis cyclurus, which is very different from NEP worms identified as N. zonata."
Nereis sp.,,,sea-nymph worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,Nereis,,,reported,unobserved,2008-03-01,Andy Lamb,PMLS,,,,,,,81791,
Nereis vexillosa,"Grube, 1851",,banner sea-nymph,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,Nereis,native,unlisted,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,,2019-05-04,Lena Dietz Chiasson,https://www.inaturalist.org/observations/24714358,,81790,
Platynereis bicanaliculata,"(Baird, 1863)",,algae-dwelling sea-nymph,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,Platynereis,native,unlisted,new 2019,observed,,,,,,2019-05-04,Emily Adamczyk,https://www.inaturalist.org/observations/24749850,,129876,
Eulalia sp.,,,,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Phyllodociformia,,Phyllodocidae,Eteoninae,Eumida,native,unlisted,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-024,1898322763,,,,,345515,
Arctonoe fragilis,"(Baird, 1863)",,fragile ruffled scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Arctonoinae,Arctonoe,native,unlisted,reported,unobserved,1975-06-18,T. Kessler,RBCM,975-00227-001,1898315965,,,,,69914,
