Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Origin,Status,Reporting,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,First Documented,Documenter,iNaturalist Link,Notes,Stats Code
Geoglossum glutinosum,Pers.,,Fungi,Ascomycota,Pezizomycotina,,Geoglossomycetes,Leotiomycetidae,,Geoglossales,,,Geoglossaceae,—,—,undocumented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,FUN
Geopora cooperi,Harkn.,velvet foot,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Pyronemataceae,—,—,undocumented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,FUN
Geopyxis carbonaria,(Alb. & Schwein.) Sacc.,pixie cup,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Pyronemataceae,—,—,undocumented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,FUN
Geopyxis vulcanalis,(Peck) Sacc.,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Pyronemataceae,—,—,undocumented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,FUN
Gyromitra esculenta,(Pers.) Fr.,false morel,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Discinaceae,—,—,documented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,2015-03-25,L. Magner & A. Simon,http://www.inaturalist.org/observations/2573928,,FUN
Gyromitra melaleucoides,(Seaver) Pfister,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Discinaceae,—,—,undocumented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,FUN
Helvella compressa,,compressed elfin saddle,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Helvellaceae,—,—,undocumented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,FUN
Helvella elastica,,brown elfin saddle,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Helvellaceae,—,—,undocumented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,FUN
Helvella lactea,,fluted white helvella,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Helvellaceae,—,—,undocumented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,FUN
Helvella lacunosa,,—,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Helvellaceae,—,—,documented,2016-11-07,R. Zich,15th Galiano Mushroom Festival List,2016-10-12,A. Simon,http://www.inaturalist.org/observations/4337749,,FUN
Helvella leucomelaena,,white-footed elfin saddle,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Helvellaceae,—,—,undocumented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,FUN
Hypocrea sp.,—,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,Hypocreaceae,—,—,documented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,2017-05-23,A. Simon,https://www.inaturalist.org/observations/6413749,,FUN
Hypomyces chrysospermus,Tul. & C. Tul.,bolete eater,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,Hypocreaceae,—,—,undocumented,2016-11-07,R. Zich,15th Galiano Mushroom Festival List,,,,,FUN
Hypomyces lactifluorum,(Schwein.) Tul. & C. Tul.,lobster mushroom,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,Hypocreaceae,—,—,documented,2016-11-07,R. Zich,15th Galiano Mushroom Festival List,2016-08-04,G. Barber,http://inaturalist.ca/observations/3826875,,FUN
Hypoxylon fragiforme,(Pers.) J. Kickx f.,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Xylariomycetidae,,Xylariales,,,Xylariaceae,—,—,undocumented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,FUN
Micarea prasina grp,,—,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Pilocarpaceae,,,undocumented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,LIC
Morchella elata,,morel,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Morchellaceae,—,—,undocumented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,FUN
Morchella esculenta,,morel,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Morchellaceae,,,documented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,2016-03-11,A. Simon,http://www.inaturalist.org/observations/2771108,,FUN
Otidea alutacea,(Pers.) Fuckel,donkey ears,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Pyronemataceae,—,—,undocumented,2016-11-07,R. Zich,15th Galiano Mushroom Festival List,,,,,FUN
Peziza badioconfusa,,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Pezizaceae,—,—,undocumented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,FUN
Peziza repanda,Pers.,palomino cup,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Pezizaceae,—,—,documented,2016-11-07,R. Zich,15th Galiano Mushroom Festival List,2017-02-01,D. & V. Ages,https://www.inaturalist.org/observations/5815627,,FUN
Plectania milleri,Paden & Tylutki,black cup,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Sarcosomataceae,—,—,undocumented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,FUN
Pseudoplectania nigrella,(Pers.) Fuckel,hairy cups,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Sarcosomataceae,—,—,undocumented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,FUN
Rhytisma punctatum,(Pers.) Fr.,maple tar spot,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,Leotiomycetidae,,Rhytismatales,,,Rhytismataceae,—,—,documented,2016-11-07,R. Zich,15th Galiano Mushroom Festival List,2015-03-21,L. Magner,http://www.inaturalist.org/observations/2608970,,FUN
Tapinella atrotomentosus,,—,Fungi,Ascomycota,,,Taphrinomycetes,,,Taphrinales,,,Tapinellaceae,—,—,undocumented,2016-11-07,R. Zich,15th Galiano Mushroom Festival List,,,,,FUN
Trichoglossum hirsutum,,black earth tongue,Fungi,Ascomycota,Pezizomycotina,,Geoglossomycetes,Leotiomycetidae,,Geoglossales,,,Geoglossaceae,—,—,undocumented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,FUN
Verpa conica,,thimble morel,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Morchellaceae,—,—,documented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,2015-02-21,L. Magner,http://inaturalist.ca/observations/2605609,,FUN
Xylaria hypoxylon,(L.) Gray,candlesnuff fungus,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Xylariomycetidae,,Xylariales,,,Xylariaceae,—,—,documented,2016-11-07,R. Zich,15th Galiano Mushroom Festival List,2016-01-10,K. Mason,http://www.inaturalist.org/observations/2570675,,FUN
Xylaria sp.,,“black bubbledomes”,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Xylariomycetidae,,Xylariales,,,Xylariaceae,—,—,undocumented,2016-02,R. Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,FUN
Cladonia umbricola,,shadow pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,—,,documented,1977-07-24,T. Ahti,UBC,2015-08-28,A. Simon,https://www.inaturalist.org/observations/5288444,,LIC
Ochrolechia laevigata,,smooth saucer lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Pertusariales,,,Ochrolechiaceae,—,—,documented,1977-07-24,T. Ahti,UBC,2016-10-16,A. Simon,http://www.inaturalist.org/observations/4381767,,LIC
Peltigera aphthosa,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,—,—,undocumented,1977-07-24,T. Ahti,UBC,,,,,LIC
Peltigera neopolydactyla,,carpet pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,—,—,documented,1977-07-24,T. Ahti,UBC,2015-02-12,L. Magner & A. Simon,http://www.inaturalist.org/observations/2565159,,LIC
Peltigera pacifica,,fringed pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,—,,documented,1977-07-24,T. Ahti,UBC,2017-04-02,A. Simon,https://www.inaturalist.org/observations/5551264,,LIC
Punctelia perreticulata,(Räsänen) G. Wilh. & Ladd,galactic speckleback,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,S2 (2010),documented,1977-07-24,T. Ahti,UBC,2016-04-23,A. Simon,http://www.inaturalist.org/observations/3031127,,LIC
Usnea rigida,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,,undocumented,2008-04-05,T. Taylor,UBC,,,,questionable; cf. U. intermedia,LIC
Cudonia monticola,Mains,Main’s mountain-loving Cudonia,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,Leotiomycetidae,,Helotiales,,,Cudoniaceae,—,—,undocumented,2011-05-14,VMS,UBC,,,,,FUN
Geoglossum fallax,E.J. Durand,earth tongue,Fungi,Ascomycota,Pezizomycotina,,Geoglossomycetes,Leotiomycetidae,,Geoglossales,,,Geoglossaceae,—,—,undocumented,2010-04-17,VMS,UBC,,,,,FUN
Plectania melastoma,(Sowerby) Fuckel,orange rim cups,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,Pezizomycetidae,,Pezizales,,,Sarcosomataceae,—,—,undocumented,2011-05-14,VMS,UBC,,,,,FUN
Cladonia furcata,,many-forked cladonia,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,—,,documented,1964-05-27,W. B. Schofield,UBC,2017-03-30,A. Simon,https://www.inaturalist.org/observations/5536939,,LIC
Ephebe lanata,,,Fungi,Ascomycota,Pezizomycotina,,Lichinomycetes,,,Lichinales,,,Lichinaceae,,,undocumented,1962-06-04,W. B. Schofield,UBC,,,,,LIC
Peltigera degenii,,lustrous pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,—,—,undocumented,1962-06-03,W. B. Schofield,UBC,,,,,LIC
Peltigera hymenina,,nebulous pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,—,—,undocumented,1962-06-04,W. B. Schofield,UBC,,,,,LIC
Sphaerophorus venerabilis,,ancient coral lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Sphaerophoraceae,,,documented,1962-06-04,W. B. Schofield,UBC,2016-04-01,A. Simon,http://www.inaturalist.org/observations/2865613,,LIC
Tuckermannopsis americana,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,,undocumented,1962-06-04,W. B. Schofield,UBC,,,,maybe...?,LIC
Alectoria vancouverensis,(Gyeln.) Brodo & D. Hawksw.,witch’s hair,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,—,undocumented,1974-05-31,W. J. Noble,UBC,,,,Questionable taxon; perhaps only a chemomorph of A. sarmentosa?,LIC
Amandinea punctata,(Hoffm.) Coppins & Scheid.,tiny button lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,—,—,documented,1974-05-28,W. J. Noble,UBC,2016-10-16,A. Simon,http://www.inaturalist.org/observations/4381611,,LIC
Amandinea turgescens,(Tuck.) Marbach,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Caliciaceae,—,—,undocumented,1974-05-29,W. J. Noble,UBC,,,,,LIC
Aspicilia leprosescens,(Sandst.) Hav.,sunken disk lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Pertusariales,,,Megasporaceae,—,—,undocumented,1974-05-29,W. J. Noble,UBC,,,,,LIC
Bryoria friabilis,Brodo & D. Hawksw.,friable horsehair,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,(G3G4) Globally vulnerable,undocumented,1974-05-29,W. J. Noble,UBC,,,,,LIC
Bryoria tortuosa,(G. Merr.) Brodo & D. Hawksw.,inedible horsehair,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,,undocumented,1974-05-31,W. J. Noble,UBC,,,,,LIC
Buellia fecunda,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Caliciaceae,—,,undocumented,1974-05-29,W. J. Noble,UBC,,,,,LIC
Buellia penichra,(Tuck.) Hasse,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Caliciaceae,—,,undocumented,1974-05-31,W. J. Noble,UBC,,,,,LIC
Buellia polyspora,(Willey) Vain.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Caliciaceae,—,,undocumented,1974-05-29,W. J. Noble,UBC,,,,,LIC
Calicium viride,Pers.,green stubble lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Caliciaceae,—,,undocumented,1977-07-24,W. J. Noble,UBC,,,,,LIC
Caloplaca arenaria,(Pers.) Müll. Arg.,granite firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,—,,undocumented,1974-05-30,W. J. Noble,UBC,,,,,LIC
Caloplaca luteominia var. luteominia,(Tuck.) Zahlbr.,red firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,—,,documented,1974-06-01,W. J. Noble,UBC,2015-08-05,A. Simon,http://www.inaturalist.org/observations/2599898,,LIC
Caloplaca obliterans,(Nyl.) Blomb. & Forssell,firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,—,,undocumented,1974-06-01,W. J. Noble,UBC,,,,,LIC
Chrysothrix candelaris,(L.) J.R. Laundon,gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,—,,undocumented,1974-05-31,W. J. Noble,UBC,,,,,LIC
Circinaria caesiocinerea,"(Nyl. ex Malbr.) A. Nordin, S. Savic & Tibel",crust lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Coccocarpiaceae,—,,undocumented,1974-05-30,W. J. Noble,UBC,,,,Appears to have been incorrectly accessioned as Rinodina caesiocinerea,LIC
Cladina rangiferina,(L.) Nyl.,grey reindeer,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,—,,documented,1974-04-21,W. J. Noble,UBC,2016-08-26,L. Magner & A. Simon,http://www.inaturalist.org/observations/3971238,,LIC
Cladonia macilenta,,lipstick powderhorn,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,—,—,documented,1974-06-01,W. J. Noble,UBC,2015-03-04,A. Simon,http://www.inaturalist.org/observations/2566592,,LIC
Cladonia pyxidata,,pebbled pixie cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,—,—,documented,1974-06-01,W. J. Noble,UBC,2015-03-24,L. Magner,http://www.inaturalist.org/observations/2569437,,LIC
Cladonia squamosa,,dragon horn,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,—,—,documented,1974-05-31,W. J. Noble,UBC,2015-03-04,A. Simon,http://www.inaturalist.org/observations/2566605,,LIC
Collema fecundum,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,undocumented,1974-06-01,W. J. Noble,UBC,,,,,LIC
Collema furfuraceum,,effervescent tarpaper lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,documented,1974-05-28,W. J. Noble,UBC,2016-10-16,A. Simon,http://www.inaturalist.org/observations/4381558,,LIC
Collema nigrescens,,blistered jelly lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,—,—,documented,1974-05-29,W. J. Noble,UBC,2016-11-03,A. Simon,http://www.inaturalist.org/observations/4491315,,LIC
Collemopsidium halodytes,,lichen,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Pyrenulales,,,Xanthopyreniaceae,—,,undocumented,1977-07-24,W. J. Noble,UBC,,,,,LIC
Dermatocarpon intestiniforme,,—,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,undocumented,1974-05-31,W. J. Noble,UBC,,,,,LIC
Dermatocarpon leptophyllodes,,jigsaw stippleback,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,—,,undocumented,1974-05-29,W. J. Noble,UBC,,,,,LIC
Diplotomma penichrum,,button lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,—,—,undocumented,1974-04-21,W. J. Noble,UBC,,,,,LIC
Flavopunctelia flaventior,,speckled greenshield,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,S1S2 (2010),documented,1974-05-28,W. J. Noble,UBC,2016-10-16,A. Simon,,,LIC
Fuscopannaria crustacea,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,,undocumented,1974-05-31,W. J. Noble,UBC,,,,,LIC
Fuscopannaria leprosa,,powdered shingle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,,undocumented,1974-04-21,W. J. Noble,UBC,,,,,LIC
Fuscopannaria maritima,,seaside shingle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,,documented,1974-06-01,W. J. Noble,UBC,2017-04-10,A. Simon,https://www.inaturalist.org/observations/5646969,,LIC
Fuscopannaria praetermissa,,thumbs-up shingle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Pannariaceae,—,,undocumented,1974-04-21,W. J. Noble,UBC,,,,,LIC
Fuscopannaria saubinetii,,pink-eyed shingle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Pannariaceae,—,,undocumented,1974-05-28,W. J. Noble,UBC,,,,,LIC
Hypogymnia enteromorpha,,budding tube lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,,documented,1974-05-31,W. J. Noble,UBC,2016-03-22,A. Simon,http://www.inaturalist.org/observations/2819286,,LIC
Hypogymnia inactiva,,mottled bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,,documented,1974-05-31,W. J. Noble,UBC,2017-03-30,A. Simon,https://www.inaturalist.org/observations/5525983,,LIC
Ionaspis lacustris,,rusty brook lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Hymeneliaceae,—,,undocumented,1974-06-01,W. J. Noble,UBC,,,,,LIC
Lecania dudleyi,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,undocumented,1974-05-29,W. J. Noble,UBC,,,,,LIC
Lecanora campestris,,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,—,,undocumented,1974-05-30,W. J. Noble,UBC,,,,,LIC
Lecanora confusa,,—,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,documented,1974-05-31,W. J. Noble,UBC,2016-10-07,A. Simon,http://www.inaturalist.org/observations/4296044,,LIC
Lecanora dispersa,,mortar rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,—,,undocumented,1974-05-29,W. J. Noble,UBC,,,,,LIC
Lecanora muralis,,stonewall rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,—,—,documented,1974-05-31,W. J. Noble,UBC,2015-08-05,A. Simon,http://www.inaturalist.org/observations/2599414,,LIC
Lecanora polytropa,(Hoffm.) Rabenh.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,undocumented,1974-06-01,W. J. Noble,UBC,,,,,LIC
Lecanora schofieldii,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,undocumented,1974-05-30,W. J. Noble,UBC,,,,,LIC
Lecanora symmicta,,fused rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,—,,undocumented,1974-05-31,W. J. Noble,UBC,,,,,LIC
Lecanora xylophila,,driftwood rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,undocumented,1974-05-30,W. J. Noble,UBC,,,,,LIC
Lecidea mannii,,tile lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecideales,,,Lecideaceae,—,,undocumented,1974-05-28,W. J. Noble,UBC,,,,,LIC
Lecidea sulphurea,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecideales,,,Lecideaceae,—,,undocumented,1974-05-29,W. J. Noble,UBC,,,,,LIC
Lecidella asema,,disk lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanorineae,—,,undocumented,1974-05-30,W. J. Noble,UBC,,,,,LIC
Lecidella stigmatea,,rock disk lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanorineae,—,,undocumented,1974-05-30,W. J. Noble,UBC,,,,,LIC
Leptogium rivale,,creekbed vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,—,,undocumented,1974-05-30,W. J. Noble,UBC,,,,,LIC
Lobaria scrobiculata,,textured lung lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Lobariaceae,,,documented,1974-05-28,W. J. Noble,UBC,2016-12-04,A. Simon,http://www.inaturalist.org/observations/4716501,,LIC
Massalongia carnosa,,rockmoss rosette lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Massalongiaceae,—,—,documented,1974-05-29,W. J. Noble,UBC,2017-03-25,A. Simon,https://www.inaturalist.org/observations/5483241,,LIC
Melanelia fuliginosa,,shiny camouflage,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,,undocumented,1974-05-31,W. J. Noble,UBC,,,,,LIC
Melanelixia glabratula,,—,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,—,documented,1974-06-01,W. J. Noble,UBC,2015-10-08,L. Magner & A. Simon,http://www.inaturalist.org/observations/2647572,,LIC
Melanohalea exasperatula,,lustrous camouflage,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,,undocumented,1974-05-31,W. J. Noble,UBC,,,,,LIC
Micarea peliocarpa,,—,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Pilocarpaceae,,,undocumented,1974-05-31,W. J. Noble,UBC,,,,,LIC
Mycobilimbia hypnorum,,lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecideales,,,Lecideaceae,—,,undocumented,1974-04-21,W. J. Noble,UBC,,,,,LIC
Neofuscelia verruculifera,,carbuncular toad,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,,undocumented,1974-05-24,W. J. Noble,UBC,,,,,LIC
Ochrolechia oregonensis,H. Magn.,double-rimmed saucer lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Pertusariales,,,Ochrolechiaceae,—,—,documented,1974-05-31,W. J. Noble,UBC,2016-11-03,A. Simon,https://www.inaturalist.org/observations/5133812,,LIC
Ochrolechia upsaliensis,,saucer lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Pertusariales,,,Ochrolechiaceae,—,—,documented,1974-05-29,W. J. Noble,UBC,,,,,LIC
Parmelia saxatilis,(L.) Ach.,salted shield lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,—,documented,1974-05-31,W. J. Noble,UBC,2015-05-14,A. Simon,http://www.inaturalist.org/observations/2617727,,LIC
