Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Protocystis sp.,,filose amoeba,Chromista,Cercozoa,Filosa,,Thecofilosea,,,Phaeodaria,,,Challengeridae,,,,new 2016,,,,2016-01-18,M. Weber,https://www.inaturalist.org/observations/4849188,https://static.inaturalist.org/photos/5889514/large.jpg?1482822097,,521012,ALG
Dinophysis acuminata,Claparède & Lachmann,dinoflagellate,Chromista,Dinophyta,,,Dinophyceae,,,Dinophysiales,,,Dinophysiaceae,,,,new 2016,,,,2012-08-05,M. Weber,https://www.inaturalist.org/observations/4849148,https://static.inaturalist.org/photos/5889460/medium.jpg?1482820897,,320121,ALG
Phalacroma rotundatum,(Claparéde & Lachmann) Kofoid & Michener,dinoflagellate,Chromista,Dinophyta,,,Dinophyceae,,,Dinophysiales,,,Dinophysiaceae,,,,new 2017,,,,2006-01-18,M. Weber,https://www.inaturalist.org/observations/5197633,https://static.inaturalist.org/photos/6414029/large.jpg?1488275276,,320131,ALG
Ceratium fusus,(Ehrenberg) Dujardin,dinoflagellate,Chromista,Dinophyta,,,Dinophyceae,,,Peridiniales,,,Ceratiaceae,,,,new 2016,,,,2005-07-14,M. Weber,https://www.inaturalist.org/observations/4848820,https://static.inaturalist.org/photos/5889032/medium.jpg?1482815754,,203749,ALG
Achnanthes brevipes,C. Agardh.,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,Acnanthales,,,Achnanthaceae,,,,new 2017,,,,2006-07-21,M. Weber,https://www.inaturalist.org/observations/5197608,https://static.inaturalist.org/photos/6413978/medium.jpg?1488273290,,345145,ALG
Arachnoidiscus schmidtii,Hajós,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Arachnoidiscales,,,Arachnoidiscaceae,,,,new 2016,,,,2005-01-31,M. Weber,https://www.inaturalist.org/observations/4874715,https://static.inaturalist.org/photos/5924882/medium.jpg?1483220177,,521732,ALG
Asteromphalus heptactis,(Brébisson) Ralfs,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Asterolamprales,,,Asterolampraceae,,,,new 2016,,,,2007-07-13,M. Weber,https://www.inaturalist.org/observations/4874751,https://static.inaturalist.org/photos/5924904/medium.jpg?1483220476,,521735,ALG
Fragilariopsis oceanica,(Cleve) Hasle,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,Bacillariales,,,Bacillariaceae,,,,new 2017,,,,2006-01-24,M. Weber,https://www.inaturalist.org/observations/5197620,https://static.inaturalist.org/photos/6414007/medium.jpg?1488274199,,534459,ALG
Nitzschia longissima,(Brébisson) Ralfs,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,Bacillariales,,,Bacillariaceae,,,,new 2016,,,,2008-07-23,M. Weber,https://www.inaturalist.org/observations/4874641,https://static.inaturalist.org/photos/5924726/large.jpg?1483218526,,469821,ALG
Pseudo-nitzschia fraudulenta,(Cleve) Hasle,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,Bacillariales,,,Bacillariaceae,,,,new 2016,,,,2006-01-20,M. Weber,https://www.inaturalist.org/observations/4873093,https://static.inaturalist.org/photos/5922381/medium.jpg?1483175845,,521710,ALG
Biddulphia antediluviana,(Ehrenberg) Van Heurck,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Biddulphiales,,,Biddulphiaceae,,,,new 2016,,,,2011-01-05,M. Weber,https://www.inaturalist.org/observations/4876139,https://static.inaturalist.org/photos/5927265/medium.jpg?1483240874,,521743,ALG
Biddulphia biddulphiana,(J.E. Smith) Boyer,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Biddulphiales,,,Biddulphiaceae,,,,new 2016,,,,2008-07-19,M. Weber,https://www.inaturalist.org/observations/4876149,https://static.inaturalist.org/photos/5927295/medium.jpg?1483241027,,372546,ALG
Isthmia nervosa,Kützing,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Biddulphiales,,,Biddulphiaceae,,,,new 2016,,,,2009-12-27,M. Weber,https://www.inaturalist.org/observations/4873163,https://static.inaturalist.org/photos/5922489/medium.jpg?1483180238,,348140,ALG
