Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Eudistylia vancouveri,,northern feather duster worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,,,,new 2016,,,,2015-01-01,P. Luckham,http://www.inaturalist.org/observations/2797277,https://static.inaturalist.org/photos/3175031/medium.jpg?1458270041,,84864,MAR
Myxicola cf infundibulum,,sand fan worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,,,,new 2016,,,,2016-05-25,K. Wall,http://www.inaturalist.org/observations/4052030,https://static.inaturalist.org/photos/4798684/medium.jpg?1473205031,"Dr. Leslie Harris, polychaete expert, remarks: ""different NEP websites & publications report this soft-sediment worm as both M. infundibulum and M. aesthetica, which is the first part of the confusion. In Europe M. infundibulum is found in soft-sediments & M. aesthetica is the one hanging from docks & hard-surfaces so if our NEP specimens are really the same as an european species they would be M. infundibulum. However, our NEP specimens are distinctly different both morphologically & genetically from infundibulum. The second part of the confusion is what to call them. In the past several NEP species of Myxicola were described from California, Puget Sound, and Alaska. All of the original specimens need to be re-examined so we can decide what name (or names) to use in the NEP.""",49533,MAR
Schizobranchia insignis,,feather duster worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,,,,new 2017,,,,2017-05-26,K. Wall,https://www.inaturalist.org/observations/7674363,https://static.inaturalist.org/photos/10049762/medium.jpg?1503850746,,339561,MAR
Serpula columbiana,,serpulid worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,Serpulinae,,,new 2016,,,,2015-09-25,K. Wall,http://www.inaturalist.org/observations/3706037,https://static.inaturalist.org/photos/4303535/medium.jpg?1468966530,,131207,MAR
Dodecaceria fewkesi,,fringed filament worm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,,,Cirratulidae,,,,new 2016,,,,2016-02-07,P. Luckham,http://www.inaturalist.org/observations/2763488,https://static.inaturalist.org/photos/3127777/medium.jpg?1457578667,,192656,MAR
Agelenopsis sp.,,grass spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,,,new 2016,,,,2016-08-15,A. Simon,http://www.inaturalist.org/observations/3903554,https://static.inaturalist.org/photos/4587871/medium.jpg?1471414953,,82116,ART
Eratigena agrestis,,hobo spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,,,new 2016,,,,2016-08-15,A. Simon,http://www.inaturalist.org/observations/3897194,https://static.inaturalist.org/photos/4578338/medium.jpg?1471331079,,454859,ART
Eratigena atrica,,giant house spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,,,documented,2016-09-04,RBCM BC Spider Database,,2014-06-21,A. Simon,http://www.inaturalist.org/observations/748881,https://static.inaturalist.org/photos/941266/medium.jpg?1403417916,,454863,ART
Tegenaria domestica,(Clerck),barn funnel weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,,,undocumented,2002-12-25,R. Bennett,RBCM,,,,,,,ART
Tegenaria duellica,Simon,giant house spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,,,undocumented,1980-04-19,G.G.E. Scudder,SEM,,,,,,,ART
