Taxon,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Abies grandis,(Douglas ex D. Don) Lindl.,,grand fir,Plantae,Tracheophyta,,,Pinopsida,Pinidae,,Pinales,,,Pinaceae,,,Abies,grandis,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2012-06-15,"Alison, Laura and Malcolm Colwell",http://www.inaturalist.org/observations/2586528,,63690,VAS
Acer glabrum var. douglasii,Torr.,(Hook.) Dippel,Douglas maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Sapindales,,,Sapindaceae,,,Acer,glabrum,,,douglasii,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-08-10,Adam Huggins,http://www.inaturalist.org/observations/3852586,,181694,VAS
Acer macrophyllum,Pursh,,bigleaf maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Sapindales,,,Sapindaceae,,,Acer,macrophyllum,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-03-04,Andrew Simon,http://www.inaturalist.org/observations/2566633,,48227,VAS
Achillea millefolium complex,,,yarrow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Achillea,millefolium,,,,unlisted,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-06-19,Andrew Simon,http://www.inaturalist.org/observations/3493815,"nominate subspecies not yet observed on project; varieties historically recognized on Galiano Island include: A.m. borealis (239064), A.m. californica (239065), & A.m. lanulosa (239065); according to provincial authorities, our native yarrows are now lumped into A. borealis following Ramsey et al. (2008); A. millefolium is recognized as an exotic species in the BC Flora; David Giblin, gives this account for why A.millefolium is adopted in FPNW2: ""One of the problems that I have with the Achillea situation is that it takes us down the path of assigning different names to similar looking plants of different ploidy levels.That is not a functional system for field botanists because there are often no clear morphological markers among populations with different ploidy levels.This issue also applies to Campanula rotundifolia, another widespread species with everything from diploid to beyond octoploid populations.Perhaps had Justin provided a key to distinguish A. millefolium from A. borealis he would have had better success advancing his argument.I think that it is highly unlikely that no A. millefolium plants of Eurasian origin have been introduced into western North America.Without a key, it is safest to call everything A. millefolium.""",1105043,VAS
Achlys triphylla,DC.,,vanilla-leaf,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Ranunculanae,Ranunculales,,,Berberidaceae,,,Achlys,triphylla,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2013-04-10,Felix Erhard,http://www.inaturalist.org/observations/2583396,,75263,VAS
Acmispon americanus var. americanus,(Nutt.) Rydb.,,Spanish-clover,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fabales,,,Fabaceae,Faboideae,,Acmispon,americanus,,,,native,S4,,reported,unobserved,1975-08-04,Angela Wood,RBCM,V097714,1949546719,,,,,57053,VAS
Acmispon denticulatus,(Drew) Greene,,meadow birds-foot trefoil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fabales,,,Fabaceae,Faboideae,,Acmispon,denticulatus,,,,native,S4S5,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,60194,VAS
Acmispon parviflorus,(Benth.) D.D. Sokoloff,,small-flowered birds-foot trefoil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fabales,,,Fabaceae,Faboideae,,Acmispon,parviflorus,,,,native,S4S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-05-14,Andrew Simon,http://www.inaturalist.org/observations/2617636,Reported as Lotus micranthus,57048,VAS
Actaea rubra,(Aiton) Willd.,,baneberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Ranunculanae,Ranunculales,,,Ranunculaceae,,,Actaea,rubra,,,,native,S5,,reported,unobserved,1981-07-16,Harvey Janszen,RBCM,V113804,,,,,"E. P. Morgan collected 1935 (see Addendum to Henry’s Flora); creek north side of Georgeson Bay Road; Active Pass Drive neighbourhood (confirmed by Harvey, date unknown);",49870,VAS
Adenocaulon bicolor,Hook.,,pathfinder,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Mutisioideae,,Adenocaulon,bicolor,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-05-13,Andrew Simon,http://www.inaturalist.org/observations/3319316,,56854,VAS
Adiantum aleuticum var. aleuticum,(Rupr.) Paris,,western maidenhair fern,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,Pteridaceae,Vittarioideae,,Adiantum,aleuticum,,,,native,S5,,new 2017,observed,,,,,,2017-05-19,Andrew Simon,https://www.inaturalist.org/observations/6425140,,947668,VAS
Aesculus hippocastanum,L.,,horse chestnut,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Sapindales,,,Sapindaceae,,,Aesculus,hippocastanum,,,,exotic,unlisted,,new 2016,observed,,,,,,2016-05-13,Andrew Simon,http://www.inaturalist.org/observations/3329680,,84298,VAS
Agoseris grandiflora var. leptophylla,(Nutt.) Greene,G. I. Baird,large-flowered agoseris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,,Agoseris,grandiflora,,,leptophylla,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-04-23,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3040898,,80332,VAS
Agoseris heterophylla ssp. heterophylla,Kuntze,,annual agoseris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,,Agoseris,heterophylla,,,,native,S5,,confirmed,observed,1988-04-23,Gerald B. Straley,UBC,V194354,,2022-04-30,Andrew Simon,https://www.inaturalist.org/observations/114122184,"Bluff Park record. Still there? –QC; I think this voucher should be checked; A. grandiflora,a very different species, is known from Bluffs Park (see photo above)",56859,VAS
Agrostis capillaris,L.,,colonial bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,capillaris,,,,exotic,unlisted,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113800,1949562802,2018-06-27,Andrew Simon,https://www.inaturalist.org/observations/13845807,,75312,VAS
Agrostis exarata,Trin.,,spike bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,exarata,,,,native,S5,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113799,1949562759,2016-06-26,Andrew Simon,http://inaturalist.ca/observations/6677554,Reported asAgrostis exaratassp.minor (Hook.) C.L. Hitchc.(V113799),59088,VAS
Agrostis gigantea,Roth,,redtop,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,gigantea,,,,exotic,unlisted,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2020-07-10,Sylvie Hawkes,https://www.inaturalist.org/observations/52922478,,75314,VAS
Agrostis pallens,Trin.,,seashore bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,pallens,,,,native,S4,,confirmed,observed,2022-06-12,Frank Lomer,UBC,13028,,2022-06-12,Andrew Simon,https://www.inaturalist.org/observations/121538541,,52692,VAS
Agrostis scabra,Willd.,,hair bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,scabra,,,,native,S5,,reported,unobserved,1979-07-09,Harvey Janszen,RBCM,V097864,1949546889,,,,,75319,VAS
Agrostis stolonifera,L.,,creeping bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,stolonifera,,,,exotic,unlisted,,new 2021,observed,,,,,,2021-07-01,Andrew Simon,https://www.inaturalist.org/observations/85291237,,69931,VAS
