Taxon,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Abies grandis,(Douglas ex D. Don) Lindl.,,grand fir,Plantae,Tracheophyta,,,Pinopsida,Pinidae,,Pinales,,,Pinaceae,,,Abies,grandis,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2012-06-15,"Alison, Laura and Malcolm Colwell",http://www.inaturalist.org/observations/2586528,,63690,VAS,accepted,63690,Abies grandis,Abies grandis
Acer glabrum var. douglasii,Torr.,(Hook.) Dippel,Douglas maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Sapindales,,,Sapindaceae,,,Acer,glabrum,,,douglasii,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-08-10,Adam Huggins,http://www.inaturalist.org/observations/3852586,,181694,VAS,accepted,181694,Acer glabrum douglasii,Acer glabrum douglasii
Acer macrophyllum,Pursh,,bigleaf maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Sapindales,,,Sapindaceae,,,Acer,macrophyllum,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-03-04,Andrew Simon,http://www.inaturalist.org/observations/2566633,,48227,VAS,accepted,48227,Acer macrophyllum,Acer macrophyllum
Achillea millefolium,L.,,yarrow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Achillea,millefolium,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-06-19,Andrew Simon,http://www.inaturalist.org/observations/3493815,"nominate subspecies not yet observed on project; varieties historically recognized on Galiano Island include: A.m. borealis (239064), A.m. californica (239065), & A.m. lanulosa (239065); according to provincial authorities, our native yarrows are now lumped into A. borealis following Ramsey et al. (2008); A. millefolium is recognized as an exotic species in the BC Flora; David Giblin, gives this account for why A.millefolium is adopted in FPNW2: ""One of the problems that I have with the Achillea situation is that it takes us down the path of assigning different names to similar looking plants of different ploidy levels.That is not a functional system for field botanists because there are often no clear morphological markers among populations with different ploidy levels.This issue also applies to Campanula rotundifolia, another widespread species with everything from diploid to beyond octoploid populations.Perhaps had Justin provided a key to distinguish A. millefolium from A. borealis he would have had better success advancing his argument.I think that it is highly unlikely that no A. millefolium plants of Eurasian origin have been introduced into western North America.Without a key, it is safest to call everything A. millefolium.""",52821,VAS,accepted,1105043,Achillea millefolium,Achillea millefolium
Achlys triphylla,DC.,,vanilla-leaf,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Ranunculanae,Ranunculales,,,Berberidaceae,,,Achlys,triphylla,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2013-04-10,Felix Erhard,http://www.inaturalist.org/observations/2583396,,75263,VAS,accepted,75263,Achlys triphylla,Achlys triphylla
Acmispon americanus var. americanus,(Nutt.) Rydb.,,Spanish-clover,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fabales,,,Fabaceae,Faboideae,,Acmispon,americanus,,,,native,S4,,reported,unobserved,1975-08-04,Angela Wood,RBCM,V097714,1949546719,,,,,57049,VAS,accepted,57053,Acmispon americanus americanus,Acmispon americanus
Acmispon denticulatus,(Drew) Greene,,meadow birds-foot trefoil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fabales,,,Fabaceae,Faboideae,,Acmispon,denticulatus,,,,native,S4S5,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,60194,VAS,accepted,60194,Acmispon denticulatus,Acmispon denticulatus
Acmispon parviflorus,(Benth.) D.D. Sokoloff,,small-flowered birds-foot trefoil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fabales,,,Fabaceae,Faboideae,,Acmispon,parviflorus,,,,native,S4S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-05-14,Andrew Simon,http://www.inaturalist.org/observations/2617636,Reported as Lotus micranthus,57048,VAS,accepted,57048,Acmispon parviflorus,Acmispon parviflorus
Actaea rubra,(Aiton) Willd.,,baneberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Ranunculanae,Ranunculales,,,Ranunculaceae,,,Actaea,rubra,,,,native,S5,,reported,unobserved,1981-07-16,Harvey Janszen,RBCM,V113804,,,,,"E. P. Morgan collected 1935 (see Addendum to Henry’s Flora); creek north side of Georgeson Bay Road; Active Pass Drive neighbourhood (confirmed by Harvey, date unknown);",49870,VAS,accepted,49870,Actaea rubra,Actaea rubra
Adenocaulon bicolor,Hook.,,pathfinder,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Mutisioideae,,Adenocaulon,bicolor,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-05-13,Andrew Simon,http://www.inaturalist.org/observations/3319316,,56854,VAS,accepted,56854,Adenocaulon bicolor,Adenocaulon bicolor
Adiantum aleuticum var. aleuticum,(Rupr.) Paris,,western maidenhair fern,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,Pteridaceae,Vittarioideae,,Adiantum,aleuticum,,,,native,S5,,new 2017,observed,,,,,,2017-05-19,Andrew Simon,https://www.inaturalist.org/observations/6425140,,52667,VAS,accepted,947668,Adiantum aleuticum aleuticum,Adiantum aleuticum
Aesculus hippocastanum,L.,,horse chestnut,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Sapindales,,,Sapindaceae,,,Aesculus,hippocastanum,,,,exotic,unlisted,,new 2016,observed,,,,,,2016-05-13,Andrew Simon,http://www.inaturalist.org/observations/3329680,,84298,VAS,accepted,84298,Aesculus hippocastanum,Aesculus hippocastanum
Agoseris grandiflora var. leptophylla,(Nutt.) Greene,G. I. Baird,large-flowered agoseris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,,Agoseris,grandiflora,,,leptophylla,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-04-23,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3040898,,52828,VAS,accepted,80332,Agoseris grandiflora leptophylla,Agoseris grandiflora
Agoseris heterophylla ssp. heterophylla,Kuntze,,annual agoseris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,,Agoseris,heterophylla,,,,native,S5,,confirmed,observed,1988-04-23,Gerald B. Straley,UBC,V194354,,2022-04-30,Andrew Simon,https://www.inaturalist.org/observations/114122184,"Bluff Park record. Still there? –QC; I think this voucher should be checked; A. grandiflora,a very different species, is known from Bluffs Park (see photo above)",56856,VAS,accepted,56859,Agoseris heterophylla heterophylla,Agoseris heterophylla
Agrostis capillaris,L.,,colonial bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,capillaris,,,,exotic,unlisted,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113800,1949562802,2018-06-27,Andrew Simon,https://www.inaturalist.org/observations/13845807,,75312,VAS,accepted,75312,Agrostis capillaris,Agrostis capillaris
Agrostis exarata,Trin.,,spike bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,exarata,,,,native,S5,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113799,1949562759,2016-06-26,Andrew Simon,http://inaturalist.ca/observations/6677554,Reported asAgrostis exaratassp.minor (Hook.) C.L. Hitchc.(V113799),59088,VAS,accepted,59088,Agrostis exarata,Agrostis exarata
Agrostis gigantea,Roth,,redtop,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,gigantea,,,,exotic,unlisted,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2020-07-10,Sylvie Hawkes,https://www.inaturalist.org/observations/52922478,,75314,VAS,accepted,75314,Agrostis gigantea,Agrostis gigantea
Agrostis pallens,Trin.,,seashore bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,pallens,,,,native,S4,,confirmed,observed,2022-06-12,Frank Lomer,UBC,13028,,2022-06-12,Andrew Simon,https://www.inaturalist.org/observations/121538541,,52692,VAS,accepted,52692,Agrostis pallens,Agrostis pallens
Agrostis scabra,Willd.,,hair bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,scabra,,,,native,S5,,reported,unobserved,1979-07-09,Harvey Janszen,RBCM,V097864,1949546889,,,,,75319,VAS,accepted,75319,Agrostis scabra,Agrostis scabra
Agrostis stolonifera,L.,,creeping bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,stolonifera,,,,exotic,unlisted,,new 2021,observed,,,,,,2021-07-01,Andrew Simon,https://www.inaturalist.org/observations/85291237,,69931,VAS,accepted,69931,Agrostis stolonifera,Agrostis stolonifera
Aira caryophyllea,L.,,silver hairgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Aira,caryophyllea,,,,exotic,unlisted,,confirmed,observed,1975-05-31,Angela Wood,RBCM,V097146,1949546264,2015-05-28,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2625010,,52694,VAS,accepted,52694,Aira caryophyllea,Aira caryophyllea
Aira praecox,L.,,early hairgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Aira,praecox,,,,exotic,unlisted,,confirmed,observed,1981-04-27,Harvey Janszen,RBCM,V113537,1949562644,2016-07-10,Andrew Simon,http://www.inaturalist.org/observations/3664526,,61058,VAS,accepted,61058,Aira praecox,Aira praecox
Ajuga reptans,L.,,bugle-weed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Lamiaceae,,,Ajuga,reptans,,,,exotic,unlisted,,new 2013,observed,2022-06-15,Frank Lomer,UBC,13055,,2013-04-21,Felix Erhard,http://www.inaturalist.org/observations/2588447,,56099,VAS,accepted,56099,Ajuga reptans,Ajuga reptans
Alcea rosea,L.,,hollyhock,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Malvales,,,Malvaceae,,,Alcea,rosea,,,,exotic,unlisted,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,62205,VAS,accepted,62205,Alcea rosea,Alcea rosea
Allium acuminatum,Hook.,,Hooker's onion,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,acuminatum,,,,native,S5,,confirmed,observed,1958-05-18,W. M. Bird,UBC,V80091,,2016-05-25,Adam Huggins,http://www.inaturalist.org/observations/3318703,,59782,VAS,accepted,59782,Allium acuminatum,Allium acuminatum
Allium amplectens,Torr.,,slimleaf onion,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,amplectens,,,,native,S3 (2019),,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2017-05-14,Sarah Tweedale,http://inaturalist.ca/observations/6249542,,60267,VAS,accepted,60267,Allium amplectens,Allium amplectens
Allium cernuum,Roth,,nodding onion,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,cernuum,,,,native,S5,,confirmed,observed,1996-05-21,"Jenifer Penny, Charlotte Norris, & Harvey Janszen",RBCM,V178592,1949627030,2016-05-25,Adam Huggins,http://www.inaturalist.org/observations/3318682,,116364,VAS,accepted,116364,Allium cernuum,Allium cernuum
Allium vineale,L.,,field garlic,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,vineale,,,,exotic,unlisted,,new 2019,observed,2022-06-09,Frank Lomer,UBC,19224,,2019-06-26,Adam Huggins,https://www.inaturalist.org/observations/27844109,,75371,VAS,accepted,75371,Allium vineale,Allium vineale
Allotropa virgata,Torr. & A. Gray,,candystick,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Ericaceae,Monotropoideae,,Allotropa,virgata,,,,native,S4,,confirmed,observed,1982-06-05,Harvey Janszen,RBCM,V119983,1949568884,2018-05-10,Andrew Simon,https://www.inaturalist.org/observations/12345119,matsutake associate,62481,VAS,accepted,62481,Allotropa virgata,Allotropa virgata
Alnus rubra,Bong.,,red alder,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fagales,,,Betulaceae,,,Alnus,rubra,,,,native,S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2012-02-05,Ian Guthrie,http://www.inaturalist.org/observations/4171727,,56034,VAS,accepted,56034,Alnus rubra,Alnus rubra
Alopecurus geniculatus,L.,,water meadow-foxtail,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Alopecurus,geniculatus,,,,exotic,unlisted,,confirmed,observed,1975-08-15,Angela Wood,RBCM,V097685,1949546729,2022-06-12,Andrew Simon,https://www.inaturalist.org/observations/121538413,Wet farm field sec-L-57,71140,VAS,accepted,71140,Alopecurus geniculatus,Alopecurus geniculatus
Alopecurus pratensis,L.,,meadow-foxtail,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Alopecurus,pratensis,,,,exotic,unlisted,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113802,1949562841,2022-07-07,Adam Huggins,https://www.inaturalist.org/observations/125219486,Meadow and farm fields,71141,VAS,accepted,71141,Alopecurus pratensis,Alopecurus pratensis
