taxonName,originalName
Abstoma reticulatum,Abstoma reticulatum
Abstrusomyzus phloxae,Abstrusomyzus phloxae
Acanthobasidium penicillatum,Acanthobasidium penicillatum
Acanthobasidium weirii,Acanthobasidium weirii
Acarospora verruciformis,Acarospora verruciformis
Achorotile distincta,Achorotile distincta
Achorotile stylata,Achorotile stylata
Actinobdella inequiannulata,Actinobdella inequiannulata
Adelges oregonensis,Adelges oregonensis
Adropion belgicae,Adropion belgicae
Adropion scoticum,Adropion scoticum
Aetheca thamba,Aetheca thamba
Aetheca wagneri,Aetheca wagneri
Agaricus queletii,Agaricus queletii
Agaricus siccus,Agaricus siccus
Agrenia atroviridis,Agrenia atroviridis
Agrocybe amara,Agrocybe amara
Agulla crotchi,Agulla crotchi
Aletopauropus lentus,Aletopauropus lentus
Aleurocystidiellum tsugae,Aleurocystidiellum tsugae
Aleurodiscus abietis,Aleurodiscus abietis
Aleurodiscus laurentianus,Aleurodiscus laurentianus
Aleurodiscus macrocystidiatus,Aleurodiscus macrocystidiatus
Aleurodiscus occidentalis,Aleurodiscus occidentalis
Aleurodiscus piceinus,Aleurodiscus piceinus
Aleurodiscus spiniger,Aleurodiscus spiniger
Allopauropus marshalli,Allopauropus marshalli
Amanita vaginata,Amanita vaginata
Amaradix euphorbi,Amaradix euphorbi
Amelanchier lamarckii,Amelanchier lamarckii
Ammophila breviligulata ssp. breviligulata,Ammophila breviligulata ssp. breviligulata
Amphalius necopinus,Amphalius necopinus
Amphicercidus pulverulens,Amphicercidus pulverulens
Amphorophora capilanoense,Amphorophora capilanoense
Amphorophora forbesi,Amphorophora forbesi
Amphorophora rubicumberlandi,Amphorophora rubicumberlandi
Amphorophora rubitoxica,Amphorophora rubitoxica
Amphorophora stachyophila,Amphorophora stachyophila
Amphorophora tigwatensa,Amphorophora tigwatensa
Amphorophora urtica,Amphorophora urtica
Amylobasidium tsugae,Amylobasidium tsugae
Amyloporia sinuosa,Amyloporia sinuosa
Amyloxenasma rallum,Amyloxenasma rallum
Aneurus borealis,Aneurus borealis
Anisococcus oregonensis,Anisococcus oregonensis
Annettenia eremonoma,Annettenia eremonoma
Anodonta californiensis/nuttalliana clade,Anodonta californiensis/nuttalliana clade
Anodonta kennerlyi/oregonensis clade,Anodonta kennerlyi/oregonensis clade
Anoectangium sikkimense,Anoectangium sikkimense
Antennulariella lichenisata,Antennulariella lichenisata
Anurida polaris,Anurida polaris
Aoplonema uhleri,Aoplonema uhleri
Apache degeerii,Apache degeerii
Aphalara persicariae,Aphalara persicariae
Aphis boydstoni,Aphis boydstoni
Aphis chani,Aphis chani
Aphis lupini,Aphis lupini
Aphis nigratibialis,Aphis nigratibialis
Aphis sierra,Aphis sierra
Aphrophora maculosa,Aphrophora maculosa
Apion antennatum,Apion antennatum
Apochthonius minimus,Apochthonius minimus
Aporrectodea turgida,Aporrectodea turgida
Aquilonium adscendens,Aquilonium adscendens
Aradus apicalis,Aradus apicalis
Aradus coarctatus,Aradus coarctatus
Aradus paganicus,Aradus paganicus
Aradus parshleyi,Aradus parshleyi
Aradus taylori,Aradus taylori
Arctiostrotus perrieri,Arctiostrotus perrieri
Argas cooleyi,Argas cooleyi
Arhyssus distinctus,Arhyssus distinctus
Arion rufus,Arion rufus
Arrenurus aphelocercus,Arrenurus aphelocercus
Arrenurus auricularis,Arrenurus auricularis
Arrenurus auris,Arrenurus auris
Arrenurus belonacercus,Arrenurus belonacercus
Arrenurus capillatus,Arrenurus capillatus
Arrenurus cascadensis,Arrenurus cascadensis
Arrenurus couleensis,Arrenurus couleensis
Arrenurus elongatus,Arrenurus elongatus
Arrenurus galweyensis,Arrenurus galweyensis
Arrenurus hungerfordi,Arrenurus hungerfordi
Arrenurus interpositus,Arrenurus interpositus
Arrenurus invaginatus,Arrenurus invaginatus
Arrenurus krameri,Arrenurus krameri
Arrenurus laversi,Arrenurus laversi
Arrenurus morrisoni,Arrenurus morrisoni
Arrenurus mucronatus,Arrenurus mucronatus
Arrenurus pistillatus,Arrenurus pistillatus
Arrenurus prominulus,Arrenurus prominulus
Arrenurus rheophilous,Arrenurus rheophilous
Arrenurus serratus,Arrenurus serratus
Arrenurus simulans,Arrenurus simulans
