"id","time_observed_at","observed_on","user_login","user_name","quality_grade","coordinates_obscured","image_url","positional_accuracy","scientific_name","common_name","taxon_id","latitude","longitude","private_latitude","private_longitude"
18987508,"2018-12-02","2018-12-02","donnatalluto","Donna Talluto","research","false","https://static.inaturalist.org/photos/29113079/square.jpeg",31,"Zalophus californianus","California Sea Lion",41740,49.0113969396,-123.577096018,,
53613937,"2020-07-15T13:48:00-06:00","2020-07-15","rbbrummitt","","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/85278825/square.jpg",244,"Phoca vitulina richardii","Pacific Harbor Seal",117766,48.8585506092,-123.3389110298,,
61897887,"2020-10-06T11:36:12-07:00","2020-10-06","alisonmartin","Alison Martin","research","false","https://static.inaturalist.org/photos/99104311/square.jpeg",,"Silene coronaria","Rose campion",485191,48.8642277778,-123.3304055556,,
61897917,"2020-10-06T11:36:12-07:00","2020-10-06","alisonmartin","Alison Martin","research","false","https://static.inaturalist.org/photos/101079199/square.jpeg",,"Cynosurus echinatus","bristly dogtail grass",47695,48.8642277778,-123.3304055556,,
63022967,"2020-10-06T11:36:12-07:00","2020-10-06","alisonmartin","Alison Martin","research","false","https://static.inaturalist.org/photos/101079232/square.jpeg",,"Arbutus menziesii","Pacific madrone",51046,48.8642277778,-123.3304055556,,
105999640,"2022-02-01T15:47:00-08:00","2022-02-01","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/177979235/square.jpg",79,"Larus brachyrhynchus","Short-billed Gull",1286964,48.858907,-123.322841,,
105999641,"2022-02-01T15:47:00-08:00","2022-02-01","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/177979250/square.jpg",35,"Larus brachyrhynchus","Short-billed Gull",1286964,48.858518,-123.32093,,
105999643,"2022-02-01T15:47:00-08:00","2022-02-01","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/177979265/square.jpg",90,"Phoca vitulina richardii","Pacific Harbor Seal",117766,48.858516,-123.317986,,
105999644,"2022-02-01T15:47:00-08:00","2022-02-01","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/177979294/square.jpg",41,"Phoca vitulina richardii","Pacific Harbor Seal",117766,48.858712,-123.323581,,
105999645,"2022-02-01T15:48:00-08:00","2022-02-01","jackson_chu","Jackson W.F. Chu","needs_id","false","https://static.inaturalist.org/photos/177979309/square.jpg",19,"Larus","Large White-headed Gulls",4343,48.858979,-123.327442,,
105999647,"2022-02-01T15:48:00-08:00","2022-02-01","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/177979322/square.jpg",29,"Larus glaucoides thayeri","Thayer's Gull",556736,48.859086,-123.327235,,
105999649,"2022-02-01T15:48:00-08:00","2022-02-01","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/177979329/square.jpg",20,"Larus brachyrhynchus","Short-billed Gull",1286964,48.859151,-123.327342,,
105999653,"2022-02-01T15:49:00-08:00","2022-02-01","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/177979352/square.jpg",19,"Larus brachyrhynchus","Short-billed Gull",1286964,48.859533,-123.334307,,
116212928,"2022-05-08T14:40:00-07:00","2022-05-08","jackson_chu","Jackson W.F. Chu","research","false","https://static.inaturalist.org/photos/196146336/square.jpg",84,"Cathartes aura","Turkey Vulture",4756,48.875525,-123.297959,,
146845890,"2023-01-17T08:52:00-08:00","2023-01-17","kevintoo","Kevin Toomer","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/252561497/square.jpeg",174,"Lentinellus ursinus","bear lentinus",118231,48.8770785636,-123.3366394154,,
